QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
1,11:45.0,D. Russell makes 2-pt layup from 3 ft (assist by J. Allen),,2,0
1,11:28.0,,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),2,2
1,11:21.0,Turnover by D. Russell (lost ball; steal by N. Vučević),,2,2
1,11:09.0,,N. Vučević misses 2-pt jump shot from 10 ft,2,2
1,11:06.0,Defensive rebound by J. Allen,,2,2
1,11:00.0,T. Graham makes 3-pt jump shot from 27 ft (assist by D. Russell),,5,2
1,10:39.0,,N. Vučević misses 2-pt jump shot from 21 ft,5,2
1,10:37.0,Defensive rebound by R. Kurucs,,5,2
1,10:27.0,Turnover by R. Kurucs (bad pass; steal by J. Isaac),,5,2
1,10:21.0,,A. Gordon misses 3-pt jump shot from 27 ft,5,2
1,10:18.0,Defensive rebound by T. Graham,,5,2
1,10:10.0,J. Harris misses 3-pt jump shot from 26 ft,,5,2
1,10:08.0,Offensive rebound by J. Allen,,5,2
1,9:56.0,R. Kurucs misses 2-pt jump shot from 5 ft,,5,2
1,9:54.0,,Defensive rebound by N. Vučević,5,2
1,9:52.0,,A. Gordon misses 2-pt layup from 3 ft (block by D. Russell),5,2
1,9:52.0,,Offensive rebound by Team,5,2
1,9:49.0,,Offensive foul by N. Vučević (drawn by J. Harris),5,2
1,9:49.0,,Turnover by N. Vučević (offensive foul),5,2
1,9:37.0,R. Kurucs misses 2-pt layup from 4 ft (block by N. Vučević),,5,2
1,9:37.0,Offensive rebound by Team,,5,2
1,9:26.0,T. Graham misses 2-pt hook shot from 8 ft,,5,2
1,9:26.0,Offensive rebound by Team,,5,2
1,9:25.0,Turnover by Team (shot clock),,5,2
1,9:17.0,,Personal foul by T. Graham (drawn by A. Gordon),5,2
1,9:05.0,,A. Gordon misses 2-pt jump shot from 16 ft,5,2
1,9:02.0,,Offensive rebound by J. Isaac,5,2
1,9:01.0,,J. Isaac makes 2-pt layup from 2 ft,5,4
1,8:53.0,J. Allen makes 2-pt dunk from 3 ft (assist by D. Russell),,7,4
1,8:36.0,,J. Isaac makes 3-pt jump shot from 28 ft (assist by D. Augustin),7,7
1,8:20.0,R. Kurucs misses 2-pt layup from 5 ft (block by J. Isaac),,7,7
1,8:17.0,,Defensive rebound by N. Vučević,7,7
1,8:15.0,,A. Gordon makes 2-pt dunk from 3 ft (assist by D. Augustin),7,9
1,7:55.0,D. Russell makes 2-pt layup from 5 ft (assist by J. Allen),,9,9
1,7:42.0,,E. Fournier makes 2-pt jump shot from 15 ft (assist by D. Augustin),9,11
1,7:29.0,J. Harris misses 2-pt layup from 2 ft (block by N. Vučević),,9,11
1,7:25.0,,Defensive rebound by J. Isaac,9,11
1,7:18.0,,E. Fournier misses 3-pt jump shot from 26 ft,9,11
1,7:16.0,Defensive rebound by J. Allen,,9,11
1,7:10.0,D. Russell misses 3-pt jump shot from 27 ft,,9,11
1,7:06.0,Offensive rebound by T. Graham,,9,11
1,7:04.0,Turnover by J. Harris (bad pass; steal by A. Gordon),,9,11
1,6:55.0,,N. Vučević misses 2-pt hook shot from 7 ft,9,11
1,6:53.0,Defensive rebound by T. Graham,,9,11
1,6:48.0,T. Graham misses 3-pt jump shot from 27 ft,,9,11
1,6:45.0,,Defensive rebound by E. Fournier,9,11
1,6:43.0,,Personal foul by T. Graham (drawn by E. Fournier),9,11
1,6:43.0,,Orlando full timeout,9,11
1,6:29.0,,J. Isaac makes 2-pt layup from 3 ft (assist by A. Gordon),9,13
1,6:15.0,J. Allen makes 2-pt dunk from 2 ft (assist by J. Harris),,11,13
1,6:00.0,,N. Vučević misses 2-pt hook shot from 6 ft,11,13
1,5:57.0,Defensive rebound by R. Kurucs,,11,13
1,5:50.0,R. Kurucs misses 3-pt jump shot from 27 ft,,11,13
1,5:48.0,,Defensive rebound by D. Augustin,11,13
1,5:34.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by N. Vučević),11,16
1,5:25.0,Turnover by T. Graham (bad pass),,11,16
1,5:25.0,S. Napier enters the game for D. Russell,,11,16
1,5:25.0,,W. Iwundu enters the game for A. Gordon,11,16
1,5:10.0,,N. Vučević makes 2-pt layup from 5 ft (assist by E. Fournier),11,18
1,4:58.0,J. Harris misses 2-pt jump shot from 8 ft,,11,18
1,4:55.0,,Defensive rebound by N. Vučević,11,18
1,4:49.0,,D. Augustin misses 2-pt layup from 4 ft,11,18
1,4:46.0,Defensive rebound by R. Kurucs,,11,18
1,4:42.0,R. Kurucs misses 2-pt layup from 5 ft (block by J. Isaac),,11,18
1,4:42.0,Offensive rebound by Team,,11,18
1,4:42.0,D. Carroll enters the game for R. Kurucs,,11,18
1,4:42.0,,I. Briscoe enters the game for D. Augustin,11,18
1,4:28.0,D. Carroll makes 2-pt jump shot from 14 ft (assist by J. Allen),,13,18
1,4:14.0,,E. Fournier makes 3-pt jump shot from 27 ft,13,21
1,3:59.0,S. Napier misses 3-pt jump shot from 26 ft,,13,21
1,3:59.0,,Defensive rebound by Team,13,21
1,3:59.0,E. Davis enters the game for J. Allen,,13,21
1,3:59.0,R. Hollis-Jefferson enters the game for T. Graham,,13,21
1,3:59.0,,T. Ross enters the game for E. Fournier,13,21
1,3:39.0,,W. Iwundu misses 2-pt hook shot from 7 ft,13,21
1,3:37.0,Defensive rebound by E. Davis,,13,21
1,3:33.0,Personal foul by I. Briscoe (drawn by S. Napier),,13,21
1,3:33.0,D. Russell enters the game for J. Harris,,13,21
1,3:25.0,S. Napier misses 2-pt jump shot from 15 ft,,13,21
1,3:23.0,,Defensive rebound by J. Isaac,13,21
1,3:17.0,,J. Isaac misses 3-pt jump shot from 26 ft,13,21
1,3:15.0,Defensive rebound by D. Carroll,,13,21
1,3:04.0,D. Russell misses 2-pt jump shot from 7 ft,,13,21
1,3:02.0,,Defensive rebound by J. Isaac,13,21
1,2:54.0,,Turnover by I. Briscoe (bad pass),13,21
1,2:54.0,Brooklyn full timeout,,13,21
1,2:54.0,,K. Birch enters the game for J. Isaac,13,21
1,2:54.0,,A. Gordon enters the game for N. Vučević,13,21
1,2:43.0,D. Russell misses 3-pt jump shot from 27 ft,,13,21
1,2:40.0,,Defensive rebound by K. Birch,13,21
1,2:31.0,,A. Gordon makes 3-pt jump shot from 26 ft,13,24
1,2:16.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,13,24
1,2:13.0,,Defensive rebound by I. Briscoe,13,24
1,2:13.0,,Personal foul by D. Carroll (drawn by I. Briscoe),13,24
1,1:59.0,,T. Ross makes 2-pt jump shot from 20 ft,13,26
1,1:49.0,D. Carroll misses 2-pt layup from 5 ft (block by K. Birch),,13,26
1,1:49.0,Offensive rebound by Team,,13,26
1,1:41.0,D. Russell makes 2-pt jump shot from 17 ft (assist by E. Davis),,15,26
1,1:22.0,,T. Ross misses 3-pt jump shot from 27 ft,15,26
1,1:20.0,Defensive rebound by E. Davis,,15,26
1,1:14.0,Personal foul by W. Iwundu (drawn by E. Davis),,15,26
1,1:09.0,Personal foul by W. Iwundu (drawn by D. Russell),,15,26
1,1:09.0,D. Russell makes free throw 1 of 2,,16,26
1,1:09.0,D. Russell makes free throw 2 of 2,,17,26
1,0:51.0,,A. Gordon misses 2-pt jump shot from 12 ft,17,26
1,0:48.0,Defensive rebound by E. Davis,,17,26
1,0:34.0,D. Carroll makes 2-pt jump shot from 11 ft (assist by S. Napier),,19,26
1,0:23.0,,T. Ross misses 2-pt jump shot from 21 ft,19,26
1,0:23.0,Defensive rebound by D. Carroll,,19,26
1,0:01.0,D. Russell makes 2-pt jump shot from 20 ft,,21,26
1,0:00.0,,T. Ross misses 3-pt jump shot from 55 ft,21,26
1,0:00.0,,Offensive rebound by Team,21,26
2,11:37.0,,K. Birch misses 2-pt hook shot from 5 ft,21,26
2,11:35.0,Defensive rebound by E. Davis,,21,26
2,11:23.0,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Birch),,21,26
2,11:18.0,,A. Gordon misses 3-pt jump shot from 26 ft,21,26
2,11:16.0,Defensive rebound by S. Napier,,21,26
2,11:12.0,Shooting foul by K. Birch (drawn by S. Napier),,21,26
2,11:12.0,S. Napier makes free throw 1 of 2,,22,26
2,11:12.0,S. Napier makes free throw 2 of 2,,23,26
2,11:02.0,,Shooting foul by E. Davis (drawn by I. Briscoe),23,26
2,11:02.0,,I. Briscoe makes free throw 1 of 2,23,27
2,11:02.0,,I. Briscoe makes free throw 2 of 2,23,28
2,10:48.0,E. Davis makes 2-pt layup from 4 ft (assist by D. Russell),,25,28
2,10:33.0,,I. Briscoe misses 3-pt jump shot from 26 ft,25,28
2,10:31.0,Defensive rebound by E. Davis,,25,28
