QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
1,11:41.0,T. Hardaway makes 2-pt jump shot from 9 ft (assist by D. Dotson),,2,0
1,11:38.0,,Turnover by T. Young (traveling),2,0
1,11:31.0,M. Robinson makes 2-pt dunk from 1 ft (assist by T. Hardaway),,4,0
1,11:14.0,,K. Bazemore misses 3-pt jump shot from 26 ft,4,0
1,11:10.0,Defensive rebound by M. Robinson,,4,0
1,11:05.0,F. Ntilikina misses 3-pt jump shot from 26 ft,,4,0
1,11:02.0,,Defensive rebound by A. Len,4,0
1,10:53.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by O. Spellman),4,3
1,10:41.0,T. Hardaway misses 3-pt jump shot from 26 ft,,4,3
1,10:38.0,,Defensive rebound by O. Spellman,4,3
1,10:23.0,,T. Young misses 2-pt jump shot from 20 ft,4,3
1,10:17.0,Defensive rebound by M. Robinson,,4,3
1,10:14.0,D. Dotson makes 3-pt jump shot from 25 ft,,7,3
1,9:52.0,,A. Len misses 3-pt jump shot from 23 ft,7,3
1,9:46.0,,Offensive rebound by O. Spellman,7,3
1,9:46.0,,O. Spellman misses 2-pt layup from 1 ft,7,3
1,9:45.0,Defensive rebound by N. Vonleh,,7,3
1,9:36.0,Turnover by M. Robinson (bad pass),,7,3
1,9:24.0,,Turnover by T. Young (bad pass; steal by T. Hardaway),7,3
1,9:20.0,Shooting foul by K. Bazemore (drawn by T. Hardaway),,7,3
1,9:20.0,Offensive rebound by Team,,7,3
1,9:20.0,T. Hardaway misses free throw 1 of 2,,7,3
1,9:20.0,T. Hardaway makes free throw 2 of 2,,8,3
1,9:07.0,,Turnover by A. Len (off goaltending),8,3
1,8:54.0,F. Ntilikina makes 2-pt jump shot from 9 ft,,10,3
1,8:46.0,,Personal foul by N. Vonleh (drawn by O. Spellman),10,3
1,8:41.0,,Personal foul by F. Ntilikina (drawn by T. Young),10,3
1,8:35.0,,D. Bembry misses 2-pt jump shot from 14 ft (block by M. Robinson),10,3
1,8:35.0,,Offensive rebound by Team,10,3
1,8:32.0,,A. Len misses 2-pt layup from 6 ft,10,3
1,8:28.0,,Offensive rebound by A. Len,10,3
1,8:28.0,,A. Len makes 2-pt layup from 1 ft,10,5
1,8:28.0,,Shooting foul by F. Ntilikina (drawn by A. Len),10,5
1,8:28.0,E. Mudiay enters the game for F. Ntilikina,,10,5
1,8:28.0,,A. Len makes free throw 1 of 1,10,6
1,8:10.0,T. Hardaway misses 3-pt jump shot from 25 ft,,10,6
1,8:06.0,,Defensive rebound by T. Young,10,6
1,8:00.0,,D. Bembry misses 3-pt jump shot from 25 ft,10,6
1,7:56.0,Defensive rebound by N. Vonleh,,10,6
1,7:49.0,N. Vonleh makes 3-pt jump shot from 25 ft (assist by D. Dotson),,13,6
1,7:37.0,,A. Len makes 2-pt dunk from 2 ft (assist by T. Young),13,8
1,7:37.0,,Shooting foul by D. Dotson (drawn by A. Len),13,8
1,7:37.0,,A. Len misses free throw 1 of 1,13,8
1,7:37.0,Defensive rebound by N. Vonleh,,13,8
1,7:28.0,Turnover by T. Hardaway (lost ball; steal by K. Bazemore),,13,8
1,7:22.0,,T. Young misses 2-pt layup from 1 ft,13,8
1,7:17.0,,Offensive rebound by K. Bazemore,13,8
1,7:17.0,,K. Bazemore makes 2-pt layup from 1 ft,13,10
1,7:00.0,N. Vonleh makes 2-pt layup from 1 ft,,15,10
1,6:45.0,,O. Spellman misses 3-pt jump shot from 23 ft,15,10
1,6:43.0,Defensive rebound by N. Vonleh,,15,10
1,6:39.0,E. Mudiay misses 2-pt layup from 1 ft (block by O. Spellman),,15,10
1,6:34.0,,Defensive rebound by A. Len,15,10
1,6:30.0,,O. Spellman makes 2-pt dunk from 2 ft (assist by K. Bazemore),15,12
1,6:20.0,New York full timeout,,15,12
1,6:20.0,E. Freedom enters the game for M. Robinson,,15,12
1,6:20.0,,D. Dedmon enters the game for D. Bembry,15,12
