QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
1,11:43.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft,0,2
1,11:24.0,M. Gasol misses 2-pt jump shot from 13 ft,,0,2
1,11:20.0,,Defensive rebound by G. Antetokounmpo,0,2
1,11:17.0,,B. Lopez misses 3-pt jump shot from 28 ft,0,2
1,11:13.0,Defensive rebound by P. Siakam,,0,2
1,11:00.0,P. Siakam misses 2-pt layup from 5 ft (block by G. Antetokounmpo),,0,2
1,10:56.0,,Defensive rebound by K. Middleton,0,2
1,10:54.0,,N. Mirotić misses 3-pt jump shot from 27 ft,0,2
1,10:51.0,Defensive rebound by M. Gasol,,0,2
1,10:42.0,Turnover by M. Gasol (bad pass; steal by G. Antetokounmpo),,0,2
1,10:38.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,0,4
1,10:17.0,P. Siakam makes 3-pt jump shot from 26 ft (assist by M. Gasol),,3,4
1,10:08.0,,E. Bledsoe misses 2-pt jump shot from 15 ft,3,4
1,10:06.0,Defensive rebound by M. Gasol,,3,4
1,9:55.0,P. Siakam misses 2-pt layup from 5 ft (block by N. Mirotić),,3,4
1,9:50.0,,Defensive rebound by B. Lopez,3,4
1,9:49.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,3,6
1,9:49.0,,Violation by Team (delay of game),3,6
1,9:35.0,Turnover by K. Lowry (out of bounds lost ball),,3,6
1,9:29.0,,Shooting foul by D. Green (drawn by N. Mirotić),3,6
1,9:29.0,,N. Mirotić makes free throw 1 of 2,3,7
1,9:29.0,,N. Mirotić makes free throw 2 of 2,3,8
1,9:18.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by P. Siakam),,6,8
1,9:08.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,6,8
1,9:05.0,Defensive rebound by M. Gasol,,6,8
1,9:00.0,K. Leonard misses 3-pt jump shot from 26 ft,,6,8
1,8:56.0,,Defensive rebound by E. Bledsoe,6,8
1,8:50.0,,K. Middleton misses 2-pt jump shot from 9 ft,6,8
1,8:47.0,Defensive rebound by M. Gasol,,6,8
1,8:44.0,K. Lowry makes 3-pt jump shot from 30 ft,,9,8
1,8:17.0,,B. Lopez misses 3-pt jump shot from 24 ft,9,8
1,8:17.0,,Offensive rebound by G. Antetokounmpo,9,8
1,8:17.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,9,8
1,8:17.0,,Offensive rebound by Team,9,8
1,8:17.0,,Turnover by Team (shot clock),9,8
1,8:06.0,P. Siakam makes 2-pt jump shot from 18 ft,,11,8
1,8:06.0,,Milwaukee full timeout,11,8
1,7:51.0,,Turnover by N. Mirotić (out of bounds lost ball),11,8
1,7:40.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Lowry),,14,8
1,7:24.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,14,8
1,7:20.0,Defensive rebound by K. Lowry,,14,8
1,7:15.0,D. Green misses 3-pt jump shot from 27 ft,,14,8
1,7:10.0,Offensive rebound by P. Siakam,,14,8
1,7:06.0,Shooting foul by B. Lopez (drawn by K. Leonard),,14,8
1,7:06.0,K. Leonard makes free throw 1 of 2,,15,8
1,7:06.0,,P. Connaughton enters the game for B. Lopez,15,8
1,7:06.0,,E. İlyasova enters the game for N. Mirotić,15,8
1,7:06.0,K. Leonard makes free throw 2 of 2,,16,8
1,6:54.0,,Personal foul by M. Gasol (drawn by K. Middleton),16,8
1,6:48.0,,Turnover by G. Antetokounmpo (bad pass; steal by K. Leonard),16,8
1,6:41.0,P. Siakam misses 3-pt jump shot from 24 ft,,16,8
1,6:37.0,,Defensive rebound by P. Connaughton,16,8
1,6:28.0,,E. İlyasova misses 3-pt jump shot from 27 ft,16,8
1,6:24.0,Defensive rebound by D. Green,,16,8
1,6:20.0,D. Green makes 3-pt jump shot from 27 ft (assist by M. Gasol),,19,8
1,5:59.0,,G. Antetokounmpo misses 2-pt layup from 14 ft (block by M. Gasol),19,8
1,5:57.0,,Offensive rebound by E. İlyasova,19,8
1,5:52.0,,E. İlyasova makes 2-pt layup from 2 ft,19,10
1,5:41.0,Personal foul by K. Middleton (drawn by K. Leonard),,19,10
1,5:41.0,,G. Hill enters the game for E. Bledsoe,19,10
1,5:33.0,Turnover by K. Leonard (lost ball; steal by G. Hill),,19,10
1,5:28.0,,Personal foul by K. Lowry (drawn by G. Antetokounmpo),19,10
1,5:21.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft,19,13
1,5:08.0,K. Leonard makes 3-pt jump shot from 27 ft,,22,13
1,4:57.0,,P. Connaughton misses 3-pt jump shot from 23 ft,22,13
1,4:54.0,Defensive rebound by D. Green,,22,13
1,4:47.0,M. Gasol misses 3-pt jump shot from 27 ft,,22,13
1,4:43.0,Offensive rebound by K. Lowry,,22,13
1,4:39.0,K. Leonard makes 2-pt jump shot from 10 ft,,24,13
1,4:22.0,,Turnover by G. Antetokounmpo (lost ball; steal by K. Leonard),24,13
1,4:17.0,K. Leonard misses 3-pt jump shot from 27 ft (block by P. Connaughton),,24,13
1,4:12.0,,Defensive rebound by E. İlyasova,24,13
1,4:07.0,,K. Middleton misses 3-pt jump shot from 27 ft,24,13
1,4:04.0,Defensive rebound by P. Siakam,,24,13
1,4:04.0,Toronto full timeout,,24,13
1,4:04.0,S. Ibaka enters the game for M. Gasol,,24,13
1,4:04.0,,M. Brogdon enters the game for G. Antetokounmpo,24,13
1,4:04.0,,B. Lopez enters the game for K. Middleton,24,13
1,3:50.0,K. Leonard makes 2-pt jump shot from 12 ft,,26,13
1,3:30.0,,B. Lopez makes 2-pt layup from 2 ft,26,15
1,3:21.0,P. Siakam makes 2-pt layup from 1 ft,,28,15
1,3:12.0,,E. İlyasova makes 3-pt jump shot from 28 ft (assist by M. Brogdon),28,18
1,2:43.0,S. Ibaka misses 2-pt jump shot from 16 ft,,28,18
1,2:37.0,Offensive rebound by S. Ibaka,,28,18
1,2:37.0,S. Ibaka makes 2-pt layup at rim,,30,18
1,2:34.0,,B. Lopez misses 3-pt jump shot from 27 ft,30,18
1,2:31.0,,Offensive rebound by P. Connaughton,30,18
1,2:27.0,,G. Hill misses 2-pt layup from 2 ft,30,18
1,2:24.0,Defensive rebound by D. Green,,30,18
1,2:21.0,K. Lowry misses 3-pt jump shot from 30 ft,,30,18
1,2:18.0,,Defensive rebound by M. Brogdon,30,18
1,2:15.0,,M. Brogdon misses 3-pt jump shot from 29 ft,30,18
1,2:12.0,Defensive rebound by D. Green,,30,18
1,2:02.0,K. Leonard misses 2-pt jump shot from 13 ft,,30,18
1,1:58.0,,Defensive rebound by E. İlyasova,30,18
1,1:40.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by B. Lopez),30,21
1,1:23.0,P. Siakam makes 2-pt dunk from 2 ft,,32,21
1,1:04.0,,G. Hill misses 2-pt layup from 2 ft (block by S. Ibaka),32,21
1,0:59.0,,Offensive rebound by B. Lopez,32,21
1,0:59.0,,B. Lopez makes 2-pt layup from 1 ft,32,23
1,0:57.0,Offensive foul by D. Green (drawn by E. İlyasova),,32,23
1,0:57.0,Turnover by D. Green (offensive foul),,32,23
1,0:57.0,M. Gasol enters the game for D. Green,,32,23
1,0:57.0,N. Powell enters the game for K. Lowry,,32,23
1,0:57.0,F. VanVleet enters the game for P. Siakam,,32,23
1,0:57.0,,G. Antetokounmpo enters the game for P. Connaughton,32,23
1,0:57.0,,E. Bledsoe enters the game for E. İlyasova,32,23
1,0:57.0,,N. Mirotić enters the game for B. Lopez,32,23
1,0:41.0,,G. Hill misses 3-pt jump shot from 27 ft,32,23
1,0:39.0,Defensive rebound by F. VanVleet,,32,23
1,0:32.0,F. VanVleet misses 3-pt jump shot from 27 ft,,32,23
1,0:27.0,,Defensive rebound by E. Bledsoe,32,23
1,0:22.0,,N. Mirotić misses 3-pt jump shot from 27 ft,32,23
1,0:19.0,,Offensive rebound by M. Brogdon,32,23
1,0:12.0,,Turnover by G. Antetokounmpo (bad pass; steal by S. Ibaka),32,23
1,0:00.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Leonard),,34,23
2,11:41.0,P. Siakam misses 2-pt jump shot from 19 ft,,34,23
2,11:36.0,,Defensive rebound by G. Antetokounmpo,34,23
2,11:12.0,,K. Middleton misses 3-pt jump shot from 27 ft,34,23
2,11:08.0,,Offensive rebound by N. Mirotić,34,23
2,11:07.0,,N. Mirotić makes 2-pt layup from 1 ft,34,25
2,10:44.0,N. Powell makes 3-pt jump shot from 29 ft (assist by S. Ibaka),,37,25
2,10:27.0,,Turnover by N. Mirotić (lost ball; steal by F. VanVleet),37,25
2,10:22.0,S. Ibaka misses 3-pt jump shot from 28 ft,,37,25
2,10:19.0,,Defensive rebound by G. Antetokounmpo,37,25
2,10:07.0,,G. Antetokounmpo misses 2-pt hook shot from 4 ft,37,25
2,10:04.0,Defensive rebound by M. Gasol,,37,25
2,10:02.0,N. Powell misses 3-pt jump shot from 25 ft,,37,25
2,9:58.0,,Defensive rebound by N. Mirotić,37,25
2,9:34.0,,K. Middleton misses 3-pt jump shot from 28 ft,37,25
2,9:34.0,Defensive rebound by M. Gasol,,37,25
2,9:34.0,Personal foul by G. Antetokounmpo (drawn by F. VanVleet),,37,25
2,9:34.0,,M. Brogdon enters the game for G. Hill,37,25
2,9:16.0,P. Siakam misses 3-pt jump shot from 25 ft,,37,25
2,9:12.0,,Defensive rebound by E. Bledsoe,37,25
