QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
3,7:12.0,M. Bagley enters the game for N. Bjelica,,68,59
3,7:12.0,,J. Winslow enters the game for K. Olynyk,68,59
3,6:58.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),68,61
3,6:45.0,B. Hield makes 2-pt dunk from 1 ft (assist by M. Bagley),,70,61
3,6:33.0,,R. McGruder misses 2-pt layup from 2 ft,70,61
3,6:28.0,Defensive rebound by B. Hield,,70,61
3,6:24.0,D. Fox misses 2-pt jump shot from 16 ft,,70,61
3,6:22.0,,Defensive rebound by H. Whiteside,70,61
3,6:19.0,,Shooting foul by W. Cauley-Stein (drawn by H. Whiteside),70,61
3,6:19.0,,H. Whiteside misses free throw 1 of 2,70,61
3,6:19.0,,Offensive rebound by Team,70,61
3,6:19.0,,D. Wade enters the game for J. Richardson,70,61
3,6:19.0,,H. Whiteside misses free throw 2 of 2,70,61
3,6:15.0,,Offensive rebound by J. Winslow,70,61
3,6:11.0,,Shooting foul by W. Cauley-Stein (drawn by J. Winslow),70,61
3,6:11.0,,J. Winslow misses free throw 1 of 2,70,61
3,6:11.0,,Offensive rebound by Team,70,61
3,6:11.0,,J. Winslow makes free throw 2 of 2,70,62
3,6:01.0,Shooting foul by R. McGruder (drawn by B. Hield),,70,62
3,6:01.0,B. Hield makes free throw 1 of 2,,71,62
3,6:01.0,F. Mason enters the game for D. Fox,,71,62
3,6:01.0,B. Hield misses free throw 2 of 2,,71,62
3,5:58.0,,Defensive rebound by H. Whiteside,71,62
3,5:43.0,,G. Dragić misses 2-pt layup from 2 ft,71,62
3,5:40.0,Defensive rebound by F. Mason,,71,62
3,5:36.0,B. Hield makes 3-pt jump shot from 25 ft (assist by F. Mason),,74,62
3,5:17.0,,G. Dragić makes 3-pt jump shot from 23 ft (assist by J. Winslow),74,65
3,5:09.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by F. Mason),,76,65
3,5:00.0,,G. Dragić misses 3-pt jump shot from 25 ft,76,65
3,4:57.0,Defensive rebound by B. Hield,,76,65
3,4:39.0,W. Cauley-Stein makes 2-pt hook shot from 3 ft (assist by F. Mason),,78,65
3,4:39.0,Shooting foul by J. Winslow (drawn by W. Cauley-Stein),,78,65
3,4:39.0,,B. Adebayo enters the game for R. McGruder,78,65
3,4:39.0,,T. Johnson enters the game for H. Whiteside,78,65
3,4:39.0,W. Cauley-Stein makes free throw 1 of 1,,79,65
3,4:27.0,,D. Wade misses 3-pt jump shot from 26 ft,79,65
3,4:25.0,Defensive rebound by M. Bagley,,79,65
3,4:17.0,M. Bagley makes 3-pt jump shot from 25 ft (assist by F. Mason),,82,65
3,3:57.0,,G. Dragić misses 2-pt layup from 1 ft (block by W. Cauley-Stein),82,65
3,3:54.0,Defensive rebound by I. Shumpert,,82,65
3,3:51.0,B. Hield misses 3-pt jump shot from 24 ft,,82,65
3,3:51.0,Offensive rebound by M. Bagley,,82,65
3,3:51.0,Sacramento full timeout,,82,65
3,3:51.0,J. Jackson enters the game for W. Cauley-Stein,,82,65
3,3:51.0,K. Koufos enters the game for I. Shumpert,,82,65
3,3:51.0,Turnover by (5 sec),,82,65
3,3:34.0,,J. Winslow makes 2-pt jump shot from 6 ft,82,67
3,3:18.0,J. Jackson misses 2-pt jump shot from 20 ft,,82,67
3,3:15.0,,Defensive rebound by B. Adebayo,82,67
3,3:06.0,,J. Winslow misses 2-pt jump shot from 12 ft,82,67
3,3:05.0,,Offensive rebound by J. Winslow,82,67
3,3:04.0,,Shooting foul by B. Hield (drawn by J. Winslow),82,67
3,3:04.0,,J. Winslow makes free throw 1 of 2,82,68
3,3:04.0,,J. Richardson enters the game for G. Dragić,82,68
3,3:04.0,,J. Winslow makes free throw 2 of 2,82,69
3,2:54.0,B. Hield makes 3-pt jump shot from 24 ft (assist by J. Jackson),,85,69
3,2:48.0,,Away from play foul by J. Jackson (drawn by J. Richardson),85,69
3,2:48.0,,J. Richardson makes free throw 1 of 2,85,70
3,2:48.0,,J. Richardson makes free throw 2 of 2,85,71
3,2:32.0,F. Mason makes 2-pt jump shot from 10 ft,,87,71
3,2:21.0,,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Winslow),87,74
3,1:53.0,F. Mason misses 2-pt jump shot from 20 ft,,87,74
3,1:51.0,,Defensive rebound by D. Wade,87,74
3,1:44.0,,J. Richardson misses 2-pt layup from 2 ft,87,74
3,1:42.0,Defensive rebound by B. Hield,,87,74
3,1:38.0,M. Bagley makes 2-pt dunk from 2 ft (assist by B. Hield),,89,74
3,1:22.0,,T. Johnson makes 2-pt jump shot from 10 ft,89,76
3,1:09.0,M. Bagley misses 2-pt jump shot from 13 ft,,89,76
3,1:07.0,,Defensive rebound by T. Johnson,89,76
3,1:00.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Johnson),89,78
3,0:40.0,F. Mason makes 3-pt jump shot from 26 ft,,92,78
3,0:35.0,,Shooting foul by J. Jackson (drawn by J. Richardson),92,78
3,0:35.0,,J. Richardson makes free throw 1 of 2,92,79
3,0:35.0,,J. Richardson makes free throw 2 of 2,92,80
3,0:14.0,K. Koufos misses 2-pt dunk from 1 ft,,92,80
3,0:12.0,,Defensive rebound by B. Adebayo,92,80
3,0:11.0,,Turnover by B. Adebayo (lost ball; steal by F. Mason),92,80
3,0:09.0,K. Koufos makes 2-pt dunk from 1 ft (assist by B. Hield),,94,80
3,0:02.0,,D. Wade makes 3-pt jump shot from 26 ft,94,83
4,11:46.0,N. Bjelica makes 2-pt layup from 2 ft (assist by D. Fox),,96,83
4,11:26.0,,Shooting foul by N. Bjelica (drawn by B. Adebayo),96,83
4,11:26.0,,B. Adebayo makes free throw 1 of 2,96,84
4,11:26.0,,B. Adebayo misses free throw 2 of 2,96,84
4,11:26.0,Defensive rebound by K. Koufos,,96,84
4,11:06.0,K. Koufos makes 2-pt layup from 2 ft (assist by N. Bjelica),,98,84
4,11:02.0,,Shooting foul by N. Bjelica (drawn by B. Adebayo),98,84
4,11:02.0,,B. Adebayo makes free throw 1 of 2,98,85
4,11:02.0,,B. Adebayo makes free throw 2 of 2,98,86
4,10:45.0,D. Fox misses 2-pt jump shot from 17 ft,,98,86
4,10:41.0,,Defensive rebound by D. Wade,98,86
4,10:36.0,,J. Winslow misses 3-pt jump shot from 25 ft,98,86
4,10:33.0,Defensive rebound by D. Fox,,98,86
4,10:31.0,Shooting foul by T. Johnson (drawn by F. Mason),,98,86
4,10:31.0,F. Mason makes free throw 1 of 2,,99,86
4,10:31.0,W. Cauley-Stein enters the game for K. Koufos,,99,86
4,10:31.0,F. Mason misses free throw 2 of 2,,99,86
4,10:28.0,,Defensive rebound by B. Adebayo,99,86
4,10:13.0,,Shooting foul by F. Mason (drawn by T. Johnson),99,86
4,10:13.0,,T. Johnson makes free throw 1 of 2,99,87
4,10:13.0,,T. Johnson makes free throw 2 of 2,99,88
4,9:57.0,J. Jackson misses 3-pt jump shot from 25 ft,,99,88
4,9:55.0,,Defensive rebound by T. Johnson,99,88
4,9:51.0,,Shooting foul by F. Mason (drawn by T. Johnson),99,88
4,9:51.0,,T. Johnson makes free throw 1 of 2,99,89
4,9:51.0,,T. Johnson makes free throw 2 of 2,99,90
4,9:37.0,Turnover by D. Fox (bad pass; steal by J. Richardson),,99,90
4,9:34.0,,Turnover by B. Adebayo (out of bounds lost ball),99,90
4,9:34.0,,Technical foul by B. Adebayo,99,90
4,9:34.0,F. Mason misses technical free throw,,99,90
4,9:34.0,Offensive rebound by Team,,99,90
4,9:23.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by J. Jackson),,102,90
4,9:10.0,,T. Johnson misses 3-pt jump shot from 25 ft,102,90
4,9:06.0,Defensive rebound by F. Mason,,102,90
4,9:06.0,Personal foul by D. Wade (drawn by W. Cauley-Stein),,102,90
4,9:00.0,Turnover by N. Bjelica (traveling),,102,90
4,8:46.0,,J. Richardson misses 3-pt jump shot from 25 ft,102,90
4,8:43.0,Defensive rebound by J. Jackson,,102,90
4,8:22.0,N. Bjelica misses 2-pt layup from 1 ft (block by J. Richardson),,102,90
