QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
1,11:44.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Green),,2,0
1,11:27.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by B. Lopez),2,2
1,11:19.0,B. Beal makes 2-pt jump shot from 14 ft,,4,2
1,11:03.0,,Shooting foul by J. Green (drawn by E. Bledsoe),4,2
1,11:03.0,,E. Bledsoe makes free throw 1 of 2,4,3
1,11:03.0,,E. Bledsoe makes free throw 2 of 2,4,4
1,10:51.0,J. Green makes 3-pt jump shot from 25 ft (assist by T. Ariza),,7,4
1,10:39.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),7,6
1,10:25.0,Turnover by B. Beal (traveling),,7,6
1,10:12.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),7,8
1,10:00.0,T. Satoranský misses 2-pt jump shot from 15 ft,,7,8
1,9:57.0,,Defensive rebound by E. Bledsoe,7,8
1,9:54.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),7,10
1,9:40.0,T. Bryant misses 2-pt jump shot from 15 ft,,7,10
1,9:40.0,,Defensive rebound by B. Lopez,7,10
1,9:30.0,,K. Middleton misses 2-pt jump shot from 14 ft,7,10
1,9:29.0,Defensive rebound by T. Bryant,,7,10
1,9:06.0,B. Beal makes 3-pt jump shot from 23 ft (assist by T. Ariza),,10,10
1,8:57.0,,M. Brogdon misses 2-pt layup from 2 ft,10,10
1,8:57.0,Defensive rebound by Team,,10,10
1,8:43.0,Turnover by B. Beal (lost ball; steal by G. Antetokounmpo),,10,10
1,8:40.0,,M. Brogdon misses 2-pt layup from 1 ft,10,10
1,8:36.0,,Offensive rebound by G. Antetokounmpo,10,10
1,8:36.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,10,12
1,8:21.0,T. Bryant misses 2-pt dunk from 3 ft,,10,12
1,8:15.0,,Defensive rebound by E. Bledsoe,10,12
1,8:15.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),10,15
1,8:15.0,Washington full timeout,,10,15
1,8:06.0,B. Beal makes 2-pt jump shot from 15 ft,,12,15
1,8:06.0,Shooting foul by E. Bledsoe (drawn by B. Beal),,12,15
1,8:06.0,B. Beal makes free throw 1 of 1,,13,15
1,7:56.0,,E. Bledsoe misses 2-pt layup from 2 ft,13,15
1,7:53.0,Defensive rebound by T. Ariza,,13,15
1,7:49.0,T. Ariza misses 2-pt layup from 4 ft (block by B. Lopez),,13,15
1,7:46.0,,Defensive rebound by G. Antetokounmpo,13,15
1,7:42.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),13,18
1,7:22.0,B. Beal misses 2-pt jump shot from 13 ft,,13,18
1,7:18.0,Offensive rebound by T. Bryant,,13,18
1,7:18.0,T. Bryant misses 2-pt layup from 1 ft,,13,18
1,7:16.0,,Defensive rebound by B. Lopez,13,18
1,7:12.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by M. Brogdon),13,20
1,7:00.0,J. Green makes 3-pt jump shot from 28 ft (assist by B. Beal),,16,20
1,6:50.0,,Offensive foul by G. Antetokounmpo (drawn by B. Beal),16,20
1,6:50.0,,Turnover by G. Antetokounmpo (offensive foul),16,20
1,6:50.0,S. Dekker enters the game for T. Bryant,,16,20
1,6:50.0,,S. Brown enters the game for M. Brogdon,16,20
1,6:41.0,S. Dekker makes 3-pt jump shot from 24 ft (assist by T. Ariza),,19,20
1,6:19.0,,B. Lopez misses 3-pt jump shot from 29 ft,19,20
1,6:19.0,,Offensive rebound by E. Bledsoe,19,20
1,6:14.0,,E. Bledsoe makes 2-pt layup from 1 ft,19,22
1,5:56.0,S. Dekker misses 2-pt jump shot from 22 ft,,19,22
1,5:53.0,Offensive rebound by J. Green,,19,22
1,5:50.0,,Violation by Team (kicked ball),19,22
1,5:50.0,,D. Wilson enters the game for G. Antetokounmpo,19,22
1,5:40.0,T. Ariza misses 2-pt jump shot from 17 ft,,19,22
1,5:37.0,Offensive rebound by J. Green,,19,22
1,5:35.0,Turnover by J. Green (bad pass),,19,22
1,5:19.0,,K. Middleton makes 3-pt jump shot from 26 ft,19,25
1,5:10.0,J. Green makes 3-pt jump shot from 28 ft (assist by T. Satoranský),,22,25
1,4:56.0,,D. Wilson misses 3-pt jump shot from 24 ft,22,25
1,4:53.0,Defensive rebound by B. Beal,,22,25
1,4:48.0,S. Dekker makes 2-pt layup from 1 ft (assist by T. Satoranský),,24,25
1,4:40.0,,K. Middleton makes 3-pt jump shot from 27 ft,24,28
1,4:29.0,S. Dekker makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,27,28
1,4:26.0,,Milwaukee full timeout,27,28
1,4:26.0,,G. Hill enters the game for E. Bledsoe,27,28
1,4:26.0,,E. İlyasova enters the game for B. Lopez,27,28
1,4:03.0,,Turnover by G. Hill (lost ball; steal by B. Beal),27,28
1,3:58.0,B. Beal makes 2-pt dunk from 1 ft (assist by T. Ariza),,29,28
1,3:49.0,,K. Middleton makes 2-pt layup from 4 ft (assist by S. Brown),29,30
1,3:49.0,,Shooting foul by B. Beal (drawn by K. Middleton),29,30
1,3:49.0,C. Randle enters the game for T. Satoranský,,29,30
1,3:49.0,Violation by Team (delay of game),,29,30
1,3:49.0,,K. Middleton makes free throw 1 of 1,29,31
1,3:28.0,Turnover by B. Beal (lost ball; steal by D. Wilson),,29,31
1,3:22.0,,E. İlyasova makes 2-pt dunk from 1 ft (assist by G. Hill),29,33
1,3:16.0,Offensive foul by J. Green (drawn by E. İlyasova),,29,33
1,3:16.0,Turnover by J. Green (offensive foul),,29,33
1,3:16.0,J. McRae enters the game for J. Green,,29,33
1,3:16.0,,M. Brogdon enters the game for K. Middleton,29,33
1,2:55.0,,G. Hill makes 2-pt layup from 2 ft,29,35
1,2:41.0,Turnover by T. Ariza (bad pass; steal by M. Brogdon),,29,35
1,2:35.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by M. Brogdon),29,38
1,2:18.0,Shooting foul by E. İlyasova (drawn by C. Randle),,29,38
1,2:18.0,C. Randle misses free throw 1 of 2,,29,38
1,2:18.0,Offensive rebound by Team,,29,38
1,2:18.0,C. Randle makes free throw 2 of 2,,30,38
1,2:18.0,T. Bryant enters the game for T. Ariza,,30,38
1,1:57.0,,S. Brown makes 2-pt jump shot from 14 ft (assist by D. Wilson),30,40
1,1:40.0,J. McRae misses 2-pt jump shot from 11 ft,,30,40
1,1:36.0,,Defensive rebound by M. Brogdon,30,40
1,1:25.0,,M. Brogdon misses 2-pt layup from 2 ft (block by T. Bryant),30,40
1,1:21.0,Defensive rebound by T. Bryant,,30,40
1,1:20.0,S. Dekker misses 2-pt layup from 1 ft (block by E. İlyasova),,30,40
1,1:14.0,,Defensive rebound by S. Brown,30,40
1,1:11.0,,M. Brogdon makes 2-pt dunk from 2 ft (assist by G. Hill),30,42
1,0:56.0,Turnover by B. Beal (lost ball; steal by E. İlyasova),,30,42
1,0:53.0,,D. Wilson makes 2-pt dunk from 1 ft,30,44
1,0:46.0,C. Randle makes 3-pt jump shot from 28 ft,,33,44
1,0:29.0,,E. İlyasova makes 3-pt jump shot from 22 ft (assist by M. Brogdon),33,47
1,0:08.0,B. Beal makes 2-pt layup from 1 ft,,35,47
1,0:01.0,,M. Brogdon makes 3-pt jump shot from 26 ft,35,50
1,0:00.0,S. Dekker misses 3-pt jump shot from 40 ft,,35,50
1,0:00.0,Offensive rebound by Team,,35,50
2,11:45.0,,M. Brogdon misses 2-pt layup from 2 ft (block by J. McRae),35,50
2,11:44.0,,Offensive rebound by Team,35,50
2,11:30.0,,M. Brogdon misses 3-pt jump shot from 26 ft,35,50
2,11:30.0,,Offensive rebound by Team,35,50
2,11:30.0,,Turnover by Team (shot clock),35,50
2,11:19.0,T. Satoranský makes 2-pt layup from 1 ft (assist by T. Bryant),,37,50
2,11:10.0,,Shooting foul by T. Bryant (drawn by E. İlyasova),37,50
2,11:10.0,,E. İlyasova makes free throw 1 of 2,37,51
2,11:10.0,,E. Bledsoe enters the game for G. Hill,37,51
2,11:10.0,,E. İlyasova makes free throw 2 of 2,37,52
2,10:53.0,J. McRae makes 3-pt jump shot from 27 ft (assist by T. Satoranský),,40,52
2,10:39.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,40,54
2,10:29.0,C. Randle misses 3-pt jump shot from 26 ft,,40,54
2,10:25.0,,Defensive rebound by G. Antetokounmpo,40,54
2,10:17.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft,40,57
2,10:05.0,J. McRae makes 2-pt jump shot from 19 ft (assist by C. Randle),,42,57
2,9:48.0,,M. Brogdon misses 2-pt layup from 2 ft,42,57
2,9:45.0,Defensive rebound by T. Bryant,,42,57
2,9:44.0,Personal foul by E. İlyasova (drawn by J. McRae),,42,57
2,9:38.0,T. Bryant makes 2-pt jump shot from 19 ft (assist by C. Randle),,44,57
2,9:24.0,,E. Bledsoe misses 2-pt layup from 3 ft,44,57
2,9:21.0,,Offensive rebound by E. Bledsoe,44,57
2,9:11.0,,E. Bledsoe misses 2-pt layup from 1 ft,44,57
2,9:07.0,Defensive rebound by C. Randle,,44,57
2,9:02.0,S. Dekker misses 3-pt jump shot from 25 ft,,44,57
2,8:59.0,,Defensive rebound by G. Antetokounmpo,44,57
2,8:55.0,,Personal foul by C. Randle (drawn by G. Antetokounmpo),44,57
2,8:55.0,,G. Hill enters the game for M. Brogdon,44,57
2,8:42.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,44,59
2,8:36.0,Washington full timeout,,44,59
2,8:21.0,J. McRae misses 2-pt jump shot from 12 ft,,44,59
2,8:18.0,,Defensive rebound by G. Hill,44,59
2,8:18.0,,Turnover by G. Antetokounmpo (traveling),44,59
2,8:05.0,T. Satoranský misses 2-pt jump shot from 16 ft,,44,59
2,8:04.0,,Defensive rebound by Team,44,59
2,8:04.0,Loose ball foul by S. Dekker (drawn by G. Antetokounmpo),,44,59
2,8:04.0,B. Beal enters the game for T. Bryant,,44,59
2,8:04.0,J. Green enters the game for C. Randle,,44,59
2,8:04.0,,K. Middleton enters the game for E. İlyasova,44,59
2,7:47.0,,G. Antetokounmpo misses 2-pt jump shot from 15 ft,44,59
2,7:44.0,Defensive rebound by T. Satoranský,,44,59
2,7:37.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),,46,59
2,7:25.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),46,62
2,7:15.0,J. Green misses 3-pt jump shot from 26 ft,,46,62
