QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
1,11:42.0,C. McCollum makes 2-pt layup from 1 ft (assist by D. Lillard),,2,0
1,11:17.0,,Turnover by J. Jackson (lost ball; steal by A. Aminu),2,0
1,10:59.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),,5,0
1,10:38.0,,M. Conley misses 3-pt jump shot from 25 ft,5,0
1,10:35.0,Defensive rebound by A. Aminu,,5,0
1,10:28.0,C. McCollum misses 3-pt jump shot from 25 ft,,5,0
1,10:25.0,Offensive rebound by D. Lillard,,5,0
1,10:19.0,C. McCollum makes 2-pt jump shot from 11 ft,,7,0
1,10:17.0,,Memphis full timeout,7,0
1,10:04.0,,M. Conley misses 2-pt jump shot from 10 ft,7,0
1,10:00.0,Defensive rebound by D. Lillard,,7,0
1,9:48.0,J. Nurkić misses 2-pt layup at rim,,7,0
1,9:44.0,,Defensive rebound by G. Temple,7,0
1,9:35.0,,Turnover by M. Gasol (lost ball; steal by D. Lillard),7,0
1,9:32.0,Turnover by C. McCollum (step out of bounds),,7,0
1,9:17.0,,J. Jackson misses 3-pt jump shot from 26 ft,7,0
1,9:15.0,Defensive rebound by J. Nurkić,,7,0
1,9:07.0,J. Nurkić misses 2-pt jump shot from 22 ft,,7,0
1,9:04.0,Offensive rebound by A. Aminu,,7,0
1,9:04.0,Personal foul by K. Anderson (drawn by A. Aminu),,7,0
1,8:59.0,C. McCollum makes 2-pt jump shot from 9 ft,,9,0
1,8:40.0,,M. Gasol misses 3-pt jump shot from 26 ft,9,0
1,8:37.0,,Offensive rebound by J. Jackson,9,0
1,8:36.0,,J. Jackson makes 2-pt hook shot from 1 ft,9,2
1,8:22.0,J. Nurkić misses 2-pt hook shot from 6 ft (block by M. Gasol),,9,2
1,8:18.0,,Defensive rebound by M. Conley,9,2
1,8:17.0,,Turnover by M. Conley (bad pass; steal by A. Aminu),9,2
1,8:14.0,A. Aminu misses 2-pt layup from 1 ft,,9,2
1,8:08.0,Offensive rebound by J. Layman,,9,2
1,8:08.0,J. Layman makes 2-pt layup at rim,,11,2
1,8:03.0,,J. Jackson misses 2-pt layup from 1 ft,11,2
1,8:00.0,Defensive rebound by J. Nurkić,,11,2
1,7:53.0,J. Nurkić misses 2-pt jump shot from 21 ft,,11,2
1,7:50.0,,Defensive rebound by K. Anderson,11,2
1,7:43.0,,M. Gasol misses 2-pt jump shot from 23 ft,11,2
1,7:40.0,Defensive rebound by J. Layman,,11,2
1,7:31.0,D. Lillard misses 3-pt jump shot from 25 ft,,11,2
1,7:28.0,,Defensive rebound by M. Gasol,11,2
1,7:21.0,,M. Conley misses 2-pt layup at rim,11,2
1,7:17.0,Defensive rebound by J. Layman,,11,2
1,7:14.0,Turnover by D. Lillard (bad pass; steal by G. Temple),,11,2
1,7:03.0,,K. Anderson makes 2-pt jump shot from 4 ft (assist by M. Gasol),11,4
1,6:45.0,A. Aminu misses 3-pt jump shot from 26 ft,,11,4
1,6:42.0,,Defensive rebound by M. Gasol,11,4
1,6:34.0,,G. Temple misses 3-pt jump shot from 23 ft,11,4
1,6:32.0,Defensive rebound by J. Nurkić,,11,4
1,6:11.0,C. McCollum makes 2-pt jump shot from 9 ft,,13,4
1,5:54.0,,Personal foul by C. McCollum (drawn by G. Temple),13,4
1,5:54.0,E. Turner enters the game for C. McCollum,,13,4
1,5:54.0,,O. Casspi enters the game for K. Anderson,13,4
1,5:54.0,,J. Green enters the game for M. Conley,13,4
1,5:54.0,,S. Mack enters the game for J. Jackson,13,4
1,5:41.0,,G. Temple misses 3-pt jump shot from 29 ft,13,4
1,5:38.0,Defensive rebound by J. Layman,,13,4
1,5:28.0,E. Turner makes 2-pt layup from 4 ft,,15,4
1,5:14.0,,Personal foul by J. Layman (drawn by O. Casspi),15,4
1,5:14.0,M. Leonard enters the game for J. Layman,,15,4
1,5:14.0,N. Stauskas enters the game for J. Nurkić,,15,4
1,5:14.0,,M. Brooks enters the game for G. Temple,15,4
1,5:09.0,,M. Gasol misses 2-pt jump shot from 18 ft,15,4
1,5:07.0,Defensive rebound by E. Turner,,15,4
1,5:00.0,D. Lillard misses 2-pt layup from 1 ft,,15,4
1,4:58.0,,Defensive rebound by M. Gasol,15,4
1,4:52.0,,O. Casspi makes 2-pt layup at rim (assist by M. Gasol),15,6
1,4:31.0,Shooting foul by J. Green (drawn by A. Aminu),,15,6
1,4:31.0,A. Aminu makes free throw 1 of 2,,16,6
1,4:31.0,,J. Noah enters the game for M. Gasol,16,6
1,4:31.0,A. Aminu makes free throw 2 of 2,,17,6
1,4:20.0,,Shooting foul by M. Leonard (drawn by M. Brooks),17,6
1,4:20.0,,M. Brooks misses free throw 1 of 2,17,6
1,4:20.0,,Offensive rebound by Team,17,6
1,4:20.0,,M. Brooks misses free throw 2 of 2,17,6
1,4:20.0,Defensive rebound by E. Turner,,17,6
1,4:11.0,D. Lillard misses 3-pt jump shot from 25 ft,,17,6
1,4:07.0,,Defensive rebound by O. Casspi,17,6
1,4:01.0,,M. Brooks makes 2-pt jump shot from 11 ft,17,8
1,3:43.0,M. Leonard misses 3-pt jump shot from 24 ft,,17,8
1,3:41.0,,Defensive rebound by O. Casspi,17,8
1,3:36.0,,S. Mack misses 2-pt layup from 1 ft (block by M. Leonard),17,8
1,3:31.0,,Offensive rebound by J. Noah,17,8
1,3:31.0,,J. Noah misses 2-pt layup from 1 ft,17,8
1,3:30.0,Defensive rebound by M. Leonard,,17,8
1,3:25.0,Turnover by N. Stauskas (bad pass; steal by S. Mack),,17,8
1,3:24.0,Technical foul by,,17,8
1,3:24.0,D. Lillard makes technical free throw,,18,8
1,3:24.0,Z. Collins enters the game for A. Aminu,,18,8
1,3:10.0,,M. Brooks makes 2-pt jump shot from 10 ft,18,10
1,2:55.0,E. Turner misses 2-pt layup from 3 ft (block by J. Green),,18,10
1,2:54.0,Offensive rebound by Team,,18,10
1,2:54.0,Portland full timeout,,18,10
1,2:54.0,C. McCollum enters the game for D. Lillard,,18,10
1,2:45.0,Z. Collins misses 2-pt jump shot from 15 ft,,18,10
1,2:42.0,,Defensive rebound by J. Noah,18,10
1,2:22.0,,J. Green makes 2-pt layup from 1 ft (assist by M. Brooks),18,12
1,2:09.0,M. Leonard misses 3-pt jump shot from 25 ft,,18,12
1,2:06.0,,Defensive rebound by O. Casspi,18,12
1,2:03.0,,Turnover by S. Mack (lost ball; steal by N. Stauskas),18,12
1,1:58.0,C. McCollum misses 2-pt layup from 1 ft,,18,12
1,1:58.0,Offensive rebound by Team,,18,12
1,1:58.0,,Loose ball foul by O. Casspi (drawn by Z. Collins),18,12
1,1:54.0,C. McCollum makes 2-pt jump shot from 13 ft,,20,12
1,1:38.0,,Shooting foul by M. Leonard (drawn by M. Brooks),20,12
1,1:38.0,,M. Brooks makes free throw 1 of 2,20,13
1,1:38.0,,M. Brooks misses free throw 2 of 2,20,13
1,1:36.0,Defensive rebound by E. Turner,,20,13
1,1:25.0,N. Stauskas makes 2-pt jump shot from 13 ft (assist by M. Leonard),,22,13
1,1:04.0,,S. Mack misses 2-pt jump shot from 16 ft,22,13
1,1:00.0,Defensive rebound by N. Stauskas,,22,13
1,0:50.0,M. Leonard makes 2-pt layup from 1 ft (assist by N. Stauskas),,24,13
1,0:39.0,,Personal foul by N. Stauskas (drawn by J. Noah),24,13
1,0:39.0,,J. Noah makes free throw 1 of 2,24,14
1,0:39.0,,J. Noah makes free throw 2 of 2,24,15
1,0:33.0,Turnover by C. McCollum (lost ball; steal by S. Mack),,24,15
1,0:28.0,,Turnover by O. Casspi (lost ball; steal by E. Turner),24,15
1,0:25.0,N. Stauskas makes 2-pt dunk at rim (assist by E. Turner),,26,15
1,0:04.0,,S. Mack misses 2-pt layup from 2 ft (block by C. McCollum),26,15
1,0:04.0,Defensive rebound by Z. Collins,,26,15
1,0:00.0,E. Turner misses 3-pt jump shot from 28 ft,,26,15
1,0:00.0,Offensive rebound by Team,,26,15
2,11:44.0,,Personal foul by M. Leonard (drawn by J. Jackson),26,15
2,11:39.0,,M. Conley misses 2-pt jump shot from 12 ft,26,15
2,11:36.0,,Offensive rebound by M. Conley,26,15
2,11:34.0,,Shooting foul by Z. Collins (drawn by M. Conley),26,15
2,11:34.0,,M. Conley misses free throw 1 of 2,26,15
2,11:34.0,,Offensive rebound by Team,26,15
2,11:34.0,,M. Conley makes free throw 2 of 2,26,16
2,11:19.0,E. Turner misses 2-pt jump shot from 10 ft,,26,16
2,11:18.0,,Defensive rebound by Team,26,16
2,11:03.0,,W. Selden misses 3-pt jump shot from 27 ft,26,16
2,10:59.0,Defensive rebound by Z. Collins,,26,16
2,10:51.0,Turnover by C. McCollum (lost ball; steal by J. Jackson),,26,16
2,10:36.0,,M. Brooks misses 3-pt jump shot from 26 ft,26,16
2,10:32.0,Defensive rebound by E. Turner,,26,16
2,10:29.0,Turnover by E. Turner (lost ball; steal by J. Green),,26,16
2,10:23.0,,M. Brooks makes 2-pt layup from 1 ft (assist by W. Selden),26,18
2,10:05.0,Z. Collins misses 3-pt jump shot from 24 ft,,26,18
2,9:59.0,,Defensive rebound by M. Conley,26,18
2,9:44.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by M. Conley),26,21
2,9:27.0,C. McCollum makes 2-pt jump shot from 20 ft (assist by M. Leonard),,28,21
2,9:05.0,,M. Brooks makes 2-pt layup from 1 ft (assist by J. Jackson),28,23
2,8:52.0,E. Turner misses 2-pt jump shot from 6 ft,,28,23
2,8:49.0,,Defensive rebound by M. Brooks,28,23
2,8:48.0,,J. Green makes 2-pt dunk from 1 ft (assist by M. Brooks),28,25
2,8:48.0,Portland full timeout,,28,25
2,8:48.0,D. Lillard enters the game for M. Leonard,,28,25
2,8:48.0,J. Nurkić enters the game for C. McCollum,,28,25
2,8:30.0,J. Nurkić misses 2-pt layup from 1 ft (block by J. Jackson),,28,25
2,8:26.0,,Defensive rebound by M. Brooks,28,25
2,8:10.0,,Turnover by J. Jackson (bad pass; steal by D. Lillard),28,25
2,8:03.0,N. Stauskas misses 3-pt jump shot from 26 ft,,28,25
2,7:59.0,,Defensive rebound by M. Brooks,28,25
2,7:49.0,,J. Green makes 3-pt jump shot from 26 ft (assist by M. Brooks),28,28
2,7:28.0,Turnover by D. Lillard (step out of bounds),,28,28
2,7:28.0,A. Aminu enters the game for Z. Collins,,28,28
2,7:28.0,J. Layman enters the game for E. Turner,,28,28
2,7:13.0,,W. Selden misses 3-pt jump shot from 26 ft,28,28
2,7:11.0,Defensive rebound by Team,,28,28
2,7:11.0,,Loose ball foul by W. Selden (drawn by N. Stauskas),28,28
2,6:55.0,Turnover by D. Lillard (bad pass),,28,28
2,6:34.0,,M. Brooks misses 2-pt layup from 1 ft (block by J. Layman),28,28
2,6:34.0,,Offensive rebound by Team,28,28
