QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
1,11:49.0,Personal foul by T. Burke (drawn by T. Prince),,0,0
1,11:44.0,V. Carter misses 3-pt jump shot from 28 ft,,0,0
1,11:42.0,,Defensive rebound by E. Freedom,0,0
1,11:30.0,,Personal foul by K. Bazemore (drawn by T. Hardaway),0,0
1,11:18.0,,T. Hardaway misses 3-pt jump shot from 28 ft,0,0
1,11:16.0,Defensive rebound by T. Prince,,0,0
1,11:10.0,T. Prince misses 2-pt layup from 2 ft,,0,0
1,11:09.0,,Defensive rebound by T. Hardaway,0,0
1,11:06.0,,T. Hardaway misses 2-pt layup from 1 ft (block by K. Bazemore),0,0
1,11:05.0,,Offensive rebound by Team,0,0
1,10:58.0,,E. Freedom misses 2-pt jump shot from 20 ft,0,0
1,10:56.0,Defensive rebound by A. Len,,0,0
1,10:45.0,K. Bazemore misses 2-pt layup from 2 ft,,0,0
1,10:44.0,,Defensive rebound by E. Freedom,0,0
1,10:24.0,,T. Burke misses 2-pt jump shot from 19 ft,0,0
1,10:23.0,,Offensive rebound by Team,0,0
1,10:23.0,Loose ball foul by A. Len (drawn by E. Freedom),,0,0
1,10:14.0,,T. Burke misses 2-pt jump shot from 14 ft,0,0
1,10:12.0,Defensive rebound by T. Prince,,0,0
1,10:09.0,Shooting foul by T. Hardaway (drawn by T. Prince),,0,0
1,10:09.0,T. Prince makes free throw 1 of 2,,1,0
1,10:09.0,T. Prince makes free throw 2 of 2,,2,0
1,9:56.0,,Shooting foul by V. Carter (drawn by T. Hardaway),2,0
1,9:56.0,,T. Hardaway makes free throw 1 of 2,2,1
1,9:56.0,,T. Hardaway makes free throw 2 of 2,2,2
1,9:43.0,Turnover by T. Prince (bad pass; steal by T. Hardaway),,2,2
1,9:39.0,,T. Hardaway misses 3-pt jump shot from 24 ft,2,2
1,9:37.0,Defensive rebound by T. Young,,2,2
1,9:31.0,A. Len makes 2-pt layup from 1 ft (assist by T. Young),,4,2
1,9:18.0,,Offensive foul by L. Thomas (drawn by V. Carter),4,2
1,9:18.0,,Turnover by L. Thomas (offensive foul),4,2
1,9:07.0,K. Bazemore misses 3-pt jump shot from 25 ft,,4,2
1,9:06.0,,Defensive rebound by F. Ntilikina,4,2
1,8:56.0,,Turnover by T. Burke (bad pass; steal by K. Bazemore),4,2
1,8:47.0,A. Len makes 2-pt layup from 2 ft (assist by T. Young),,6,2
1,8:40.0,,T. Burke misses 2-pt layup from 1 ft,6,2
1,8:38.0,,Offensive rebound by E. Freedom,6,2
1,8:38.0,,E. Freedom misses 2-pt dunk from 1 ft,6,2
1,8:36.0,Defensive rebound by T. Prince,,6,2
1,8:36.0,A. Poythress enters the game for V. Carter,,6,2
1,8:30.0,A. Poythress makes 2-pt layup from 1 ft (assist by A. Len),,8,2
1,8:17.0,,T. Hardaway misses 2-pt jump shot from 15 ft,8,2
1,8:15.0,Defensive rebound by T. Prince,,8,2
1,8:08.0,T. Prince makes 2-pt jump shot from 8 ft,,10,2
1,8:03.0,,New York full timeout,10,2
1,7:52.0,,F. Ntilikina makes 3-pt jump shot from 26 ft (assist by T. Hardaway),10,5
1,7:35.0,T. Prince misses 2-pt jump shot from 16 ft,,10,5
1,7:33.0,,Defensive rebound by E. Freedom,10,5
1,7:22.0,,F. Ntilikina misses 2-pt jump shot from 17 ft,10,5
1,7:20.0,Defensive rebound by K. Bazemore,,10,5
1,7:11.0,Turnover by K. Bazemore (bad pass; steal by F. Ntilikina),,10,5
1,7:08.0,,T. Burke makes 2-pt layup from 1 ft (assist by T. Hardaway),10,7
1,6:54.0,T. Prince misses 2-pt jump shot from 16 ft,,10,7
1,6:52.0,,Defensive rebound by T. Hardaway,10,7
1,6:52.0,D. Bembry enters the game for K. Bazemore,,10,7
1,6:52.0,J. Lin enters the game for T. Young,,10,7
1,6:33.0,,T. Hardaway makes 2-pt layup at rim,10,9
1,6:15.0,Turnover by T. Prince (bad pass; steal by T. Hardaway),,10,9
1,6:11.0,,T. Burke makes 3-pt jump shot from 25 ft (assist by T. Hardaway),10,12
1,5:49.0,Turnover by A. Len (3 sec),,10,12
1,5:49.0,M. Plumlee enters the game for A. Len,,10,12
1,5:49.0,,K. Knox enters the game for L. Thomas,10,12
1,5:26.0,,Turnover by T. Burke (bad pass; steal by A. Poythress),10,12
1,5:20.0,J. Lin misses 3-pt jump shot from 25 ft,,10,12
1,5:18.0,,Defensive rebound by T. Burke,10,12
1,5:10.0,,K. Knox misses 2-pt layup from 2 ft,10,12
1,5:08.0,Defensive rebound by D. Bembry,,10,12
1,4:50.0,Turnover by T. Prince (bad pass; steal by K. Knox),,10,12
1,4:45.0,,T. Hardaway makes 2-pt layup from 1 ft,10,14
1,4:45.0,Atlanta full timeout,,10,14
1,4:45.0,K. Bazemore enters the game for A. Poythress,,10,14
1,4:45.0,V. Carter enters the game for T. Prince,,10,14
1,4:45.0,,R. Baker enters the game for T. Burke,10,14
1,4:41.0,Personal foul by R. Baker (drawn by J. Lin),,10,14
1,4:29.0,V. Carter makes 2-pt layup from 1 ft,,12,14
1,4:18.0,,K. Knox misses 2-pt jump shot from 20 ft,12,14
1,4:17.0,Defensive rebound by Team,,12,14
1,4:08.0,Turnover by V. Carter (bad pass),,12,14
1,4:08.0,,M. Robinson enters the game for E. Freedom,12,14
1,3:54.0,,Shooting foul by M. Plumlee (drawn by K. Knox),12,14
1,3:54.0,,A. Trier enters the game for T. Hardaway,12,14
1,3:54.0,,K. Knox misses free throw 1 of 2,12,14
1,3:54.0,,Offensive rebound by Team,12,14
1,3:54.0,,K. Knox misses free throw 2 of 2,12,14
1,3:52.0,Defensive rebound by J. Lin,,12,14
1,3:38.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Lin),,14,14
1,3:26.0,,M. Robinson makes 2-pt layup at rim (assist by R. Baker),14,16
1,3:15.0,J. Lin misses 2-pt layup at rim,,14,16
1,3:12.0,,Defensive rebound by F. Ntilikina,14,16
1,3:08.0,,A. Trier misses 3-pt jump shot from 26 ft,14,16
1,3:06.0,Defensive rebound by V. Carter,,14,16
1,3:01.0,V. Carter misses 3-pt jump shot from 25 ft,,14,16
1,2:59.0,,Defensive rebound by A. Trier,14,16
1,2:53.0,,Turnover by A. Trier (bad pass; steal by J. Lin),14,16
1,2:50.0,Shooting foul by R. Baker (drawn by J. Lin),,14,16
1,2:50.0,T. Dorsey enters the game for K. Bazemore,,14,16
1,2:50.0,,N. Vonleh enters the game for M. Robinson,14,16
1,2:50.0,J. Lin makes free throw 1 of 2,,15,16
1,2:50.0,J. Lin makes free throw 2 of 2,,16,16
1,2:37.0,,K. Knox misses 2-pt jump shot from 19 ft,16,16
1,2:35.0,Defensive rebound by D. Bembry,,16,16
1,2:26.0,J. Lin makes 2-pt layup from 1 ft (assist by D. Bembry),,18,16
1,2:18.0,Violation by Team (kicked ball),,18,16
1,2:18.0,T. Young enters the game for J. Lin,,18,16
1,2:18.0,,M. Hezonja enters the game for F. Ntilikina,18,16
1,2:06.0,,K. Knox misses 2-pt jump shot from 15 ft,18,16
1,2:04.0,,Offensive rebound by N. Vonleh,18,16
1,2:04.0,,N. Vonleh makes 2-pt dunk from 1 ft,18,18
1,1:51.0,D. Bembry makes 2-pt jump shot from 9 ft,,20,18
1,1:43.0,,Shooting foul by T. Dorsey (drawn by A. Trier),20,18
1,1:43.0,,A. Trier makes free throw 1 of 2,20,19
1,1:43.0,,A. Trier makes free throw 2 of 2,20,20
1,1:32.0,T. Young makes 2-pt jump shot from 9 ft,,22,20
1,1:12.0,,Turnover by R. Baker (bad pass; steal by D. Bembry),22,20
1,1:05.0,D. Bembry misses 2-pt layup from 2 ft,,22,20
1,1:03.0,,Defensive rebound by M. Hezonja,22,20
1,0:50.0,,Personal foul by M. Plumlee (drawn by R. Baker),22,20
1,0:50.0,A. Len enters the game for M. Plumlee,,22,20
1,0:50.0,,R. Baker makes free throw 1 of 2,22,21
1,0:50.0,,R. Baker makes free throw 2 of 2,22,22
1,0:38.0,Turnover by T. Young (bad pass; steal by M. Hezonja),,22,22
1,0:34.0,,Turnover by K. Knox (traveling),22,22
1,0:21.0,T. Dorsey makes 2-pt layup from 1 ft,,24,22
1,0:03.0,,R. Baker misses 3-pt jump shot from 23 ft,24,22
1,0:02.0,,Offensive rebound by Team,24,22
1,0:02.0,Loose ball foul by T. Dorsey (drawn by N. Vonleh),,24,22
1,0:02.0,,N. Vonleh misses free throw 1 of 2,24,22
1,0:02.0,,Offensive rebound by Team,24,22
1,0:02.0,,N. Vonleh makes free throw 2 of 2,24,23
1,0:00.0,T. Young misses 2-pt layup from 3 ft,,24,23
1,0:00.0,Offensive rebound by Team,,24,23
2,11:49.0,,A. Trier misses 2-pt jump shot from 15 ft,24,23
2,11:48.0,,Offensive rebound by Team,24,23
2,11:48.0,Loose ball foul by V. Carter (drawn by N. Vonleh),,24,23
2,11:39.0,,N. Vonleh makes 2-pt dunk from 1 ft (assist by M. Hezonja),24,25
2,11:27.0,Turnover by T. Young (lost ball; steal by R. Baker),,24,25
2,11:14.0,,A. Trier makes 2-pt jump shot from 20 ft,24,27
2,10:58.0,V. Carter misses 3-pt jump shot from 27 ft,,24,27
2,10:56.0,,Defensive rebound by A. Trier,24,27
2,10:43.0,,M. Hezonja misses 2-pt jump shot from 10 ft,24,27
2,10:41.0,,Offensive rebound by N. Vonleh,24,27
2,10:38.0,,M. Hezonja misses 3-pt jump shot from 25 ft,24,27
2,10:36.0,,Offensive rebound by Team,24,27
2,10:36.0,T. Prince enters the game for D. Bembry,,24,27
2,10:29.0,,A. Trier makes 2-pt jump shot from 16 ft,24,29
2,10:11.0,Shooting foul by K. Knox (drawn by T. Young),,24,29
2,10:11.0,T. Young makes free throw 1 of 2,,25,29
2,10:11.0,T. Young makes free throw 2 of 2,,26,29
2,9:53.0,,M. Hezonja makes 3-pt jump shot from 27 ft,26,32
2,9:35.0,T. Dorsey makes 2-pt layup from 1 ft (assist by T. Prince),,28,32
2,9:21.0,,K. Knox makes 2-pt jump shot from 13 ft (assist by N. Vonleh),28,34
2,9:13.0,T. Young misses 3-pt jump shot from 26 ft,,28,34
2,9:11.0,,Defensive rebound by R. Baker,28,34
2,8:54.0,,N. Vonleh makes 2-pt hook shot from 7 ft,28,36
2,8:40.0,Personal foul by M. Hezonja (drawn by A. Len),,28,36
2,8:40.0,K. Bazemore enters the game for V. Carter,,28,36
2,8:40.0,A. Poythress enters the game for T. Dorsey,,28,36
2,8:40.0,,T. Burke enters the game for R. Baker,28,36
2,8:40.0,,T. Hardaway enters the game for A. Trier,28,36
2,8:32.0,K. Bazemore misses 3-pt jump shot from 25 ft,,28,36
2,8:30.0,,Defensive rebound by Team,28,36
2,8:30.0,Loose ball foul by A. Len (drawn by K. Knox),,28,36
2,8:15.0,,T. Hardaway makes 2-pt jump shot from 11 ft,28,38
2,8:02.0,Turnover by T. Prince (bad pass; steal by M. Hezonja),,28,38
2,7:59.0,,T. Hardaway makes 2-pt dunk from 1 ft (assist by T. Burke),28,40
2,7:58.0,Atlanta full timeout,,28,40
2,7:46.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by T. Prince),,31,40
2,7:28.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by N. Vonleh),31,43
2,7:13.0,A. Len misses 3-pt jump shot from 24 ft,,31,43
2,7:11.0,,Defensive rebound by N. Vonleh,31,43
2,7:04.0,,K. Knox makes 2-pt jump shot from 18 ft (assist by N. Vonleh),31,45
2,7:04.0,,Shooting foul by T. Prince (drawn by K. Knox),31,45
2,7:04.0,,E. Freedom enters the game for M. Hezonja,31,45
2,7:04.0,,F. Ntilikina enters the game for N. Vonleh,31,45
