QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
1,11:47.0,K. Knox misses 3-pt jump shot from 25 ft,,0,0
1,11:43.0,,Defensive rebound by T. Bryant,0,0
1,11:32.0,,T. Bryant misses 2-pt jump shot from 15 ft,0,0
1,11:29.0,Defensive rebound by N. Vonleh,,0,0
1,11:24.0,Turnover by T. Hardaway (bad pass; steal by J. Green),,0,0
1,11:13.0,,T. Satoranský makes 2-pt layup from 2 ft (assist by B. Beal),0,2
1,10:58.0,L. Kornet misses 3-pt jump shot from 27 ft,,0,2
1,10:54.0,,Defensive rebound by B. Beal,0,2
1,10:47.0,,T. Ariza misses 3-pt jump shot from 25 ft,0,2
1,10:44.0,Defensive rebound by N. Vonleh,,0,2
1,10:38.0,L. Kornet makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,3,2
1,10:16.0,,T. Ariza misses 2-pt jump shot from 8 ft,3,2
1,10:14.0,,Offensive rebound by T. Bryant,3,2
1,10:12.0,,J. Green misses 3-pt jump shot from 26 ft,3,2
1,10:10.0,Defensive rebound by N. Vonleh,,3,2
1,10:02.0,E. Mudiay makes 2-pt layup from 3 ft,,5,2
1,9:52.0,,Turnover by T. Satoranský (bad pass; steal by L. Kornet),5,2
1,9:48.0,Turnover by T. Hardaway (step out of bounds),,5,2
1,9:32.0,,B. Beal misses 2-pt layup from 1 ft,5,2
1,9:29.0,Defensive rebound by L. Kornet,,5,2
1,9:27.0,T. Hardaway misses 2-pt jump shot from 18 ft,,5,2
1,9:22.0,,Defensive rebound by J. Green,5,2
1,9:22.0,,Personal foul by T. Hardaway (drawn by T. Ariza),5,2
1,9:14.0,,J. Green misses 2-pt jump shot from 9 ft,5,2
1,9:12.0,Defensive rebound by N. Vonleh,,5,2
1,9:04.0,N. Vonleh misses 3-pt jump shot from 27 ft,,5,2
1,9:00.0,,Defensive rebound by T. Ariza,5,2
1,8:54.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Ariza),5,4
1,8:40.0,E. Mudiay makes 2-pt dunk from 2 ft,,7,4
1,8:25.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Ariza),7,6
1,8:09.0,E. Mudiay misses 3-pt jump shot from 26 ft,,7,6
1,8:07.0,Offensive rebound by E. Mudiay,,7,6
1,8:06.0,K. Knox misses 3-pt jump shot from 27 ft,,7,6
1,8:04.0,Offensive rebound by Team,,7,6
1,8:01.0,T. Hardaway misses 2-pt jump shot from 15 ft,,7,6
1,7:57.0,,Defensive rebound by J. Green,7,6
1,7:42.0,,Turnover by J. Green (bad pass; steal by L. Kornet),7,6
1,7:35.0,N. Vonleh makes 2-pt layup from 3 ft (assist by T. Hardaway),,9,6
1,7:19.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Green),9,9
1,7:00.0,N. Vonleh makes 2-pt hook shot from 6 ft,,11,9
1,6:44.0,,T. Bryant makes 2-pt layup from 1 ft (assist by T. Ariza),11,11
1,6:29.0,K. Knox makes 2-pt layup from 2 ft,,13,11
1,6:14.0,,T. Satoranský makes 2-pt jump shot from 13 ft,13,13
1,6:01.0,T. Hardaway misses 3-pt jump shot from 28 ft,,13,13
1,5:57.0,,Defensive rebound by T. Bryant,13,13
1,5:50.0,,J. Green misses 3-pt jump shot from 23 ft,13,13
1,5:46.0,Defensive rebound by N. Vonleh,,13,13
1,5:29.0,L. Kornet misses 2-pt jump shot from 8 ft,,13,13
1,5:27.0,,Defensive rebound by T. Bryant,13,13
1,5:22.0,,Turnover by B. Beal (lost ball; steal by L. Kornet),13,13
1,5:08.0,N. Vonleh misses 2-pt layup from 5 ft,,13,13
1,5:05.0,,Defensive rebound by T. Bryant,13,13
1,4:55.0,,B. Beal misses 2-pt jump shot from 6 ft,13,13
1,4:54.0,Defensive rebound by N. Vonleh,,13,13
1,4:39.0,,Washington full timeout,13,13
1,4:39.0,D. Dotson enters the game for T. Hardaway,,13,13
1,4:39.0,F. Ntilikina enters the game for E. Mudiay,,13,13
1,4:39.0,,O. Porter enters the game for J. Green,13,13
1,4:39.0,,C. Randle enters the game for T. Satoranský,13,13
1,4:33.0,L. Kornet makes 3-pt jump shot from 27 ft (assist by D. Dotson),,16,13
1,4:19.0,,B. Beal misses 3-pt jump shot from 27 ft,16,13
1,4:16.0,Defensive rebound by D. Dotson,,16,13
1,4:01.0,F. Ntilikina misses 2-pt layup from 2 ft,,16,13
1,4:00.0,Offensive rebound by L. Kornet,,16,13
1,4:00.0,L. Kornet misses 2-pt layup at rim,,16,13
1,4:00.0,Offensive rebound by Team,,16,13
1,4:00.0,M. Hezonja enters the game for N. Vonleh,,16,13
1,3:54.0,K. Knox misses 2-pt jump shot from 10 ft,,16,13
1,3:50.0,,Defensive rebound by B. Beal,16,13
1,3:47.0,,B. Beal misses 2-pt jump shot from 10 ft,16,13
1,3:43.0,Defensive rebound by M. Hezonja,,16,13
1,3:36.0,L. Kornet misses 3-pt jump shot from 27 ft,,16,13
1,3:32.0,,Defensive rebound by T. Bryant,16,13
1,3:24.0,,T. Ariza misses 3-pt jump shot from 24 ft,16,13
1,3:21.0,,Offensive rebound by B. Beal,16,13
1,3:15.0,,O. Porter misses 3-pt jump shot from 25 ft,16,13
1,3:12.0,,Offensive rebound by T. Bryant,16,13
1,3:10.0,,Shooting foul by M. Hezonja (drawn by O. Porter),16,13
1,3:10.0,,O. Porter misses free throw 1 of 2,16,13
1,3:10.0,,Offensive rebound by Team,16,13
1,3:10.0,A. Trier enters the game for K. Knox,,16,13
1,3:10.0,,I. Mahinmi enters the game for T. Bryant,16,13
1,3:10.0,,O. Porter makes free throw 2 of 2,16,14
1,2:52.0,F. Ntilikina makes 3-pt jump shot from 27 ft,,19,14
1,2:35.0,,B. Beal makes 2-pt layup from 2 ft,19,16
1,2:17.0,D. Dotson makes 2-pt jump shot from 18 ft (assist by L. Kornet),,21,16
1,2:01.0,New York full timeout,,21,16
1,2:01.0,,S. Dekker enters the game for T. Ariza,21,16
1,2:01.0,,T. Satoranský enters the game for B. Beal,21,16
1,1:59.0,,O. Porter misses 2-pt jump shot from 19 ft,21,16
1,1:55.0,Defensive rebound by M. Hezonja,,21,16
1,1:44.0,L. Kornet makes 3-pt jump shot from 27 ft (assist by A. Trier),,24,16
1,1:29.0,,O. Porter misses 2-pt jump shot from 14 ft,24,16
1,1:26.0,Defensive rebound by M. Hezonja,,24,16
1,1:20.0,L. Kornet makes 3-pt jump shot from 22 ft (assist by A. Trier),,27,16
1,1:00.0,,T. Satoranský misses 2-pt jump shot from 6 ft,27,16
1,0:57.0,,Offensive rebound by S. Dekker,27,16
1,0:57.0,,S. Dekker misses 2-pt layup from 1 ft,27,16
1,0:56.0,,Offensive rebound by S. Dekker,27,16
1,0:54.0,,S. Dekker misses 2-pt layup from 4 ft,27,16
1,0:53.0,Defensive rebound by M. Hezonja,,27,16
1,0:47.0,Turnover by A. Trier (bad pass),,27,16
1,0:35.0,,C. Randle makes 2-pt layup from 1 ft,27,18
1,0:27.0,D. Dotson makes 3-pt jump shot from 28 ft (assist by F. Ntilikina),,30,18
1,0:03.0,,C. Randle makes 2-pt layup from 1 ft,30,20
1,0:00.0,M. Hezonja misses 2-pt jump shot from 10 ft,,30,20
1,0:00.0,Offensive rebound by Team,,30,20
2,11:48.0,,O. Porter makes 2-pt jump shot from 12 ft (assist by S. Dekker),30,22
2,11:31.0,M. Robinson makes 2-pt dunk from 1 ft (assist by A. Trier),,32,22
2,11:14.0,,S. Dekker makes 2-pt dunk from 2 ft (assist by T. Satoranský),32,24
2,10:58.0,Personal foul by C. Randle (drawn by F. Ntilikina),,32,24
2,10:50.0,A. Trier misses 3-pt jump shot from 26 ft,,32,24
2,10:46.0,,Defensive rebound by S. Dekker,32,24
2,10:41.0,,O. Porter makes 2-pt jump shot from 13 ft (assist by S. Dekker),32,26
2,10:23.0,A. Trier makes 2-pt jump shot from 18 ft,,34,26
2,10:07.0,,C. Randle misses 3-pt jump shot from 24 ft,34,26
2,10:04.0,Defensive rebound by D. Dotson,,34,26
2,9:52.0,D. Dotson makes 2-pt layup from 4 ft (assist by M. Hezonja),,36,26
2,9:39.0,,O. Porter makes 2-pt layup at rim (assist by T. Satoranský),36,28
2,9:27.0,F. Ntilikina misses 2-pt jump shot from 10 ft,,36,28
2,9:21.0,Offensive rebound by M. Robinson,,36,28
2,9:10.0,D. Dotson makes 3-pt jump shot from 29 ft,,39,28
2,9:09.0,,Washington full timeout,39,28
2,8:51.0,,S. Dekker makes 2-pt layup from 2 ft (assist by I. Mahinmi),39,30
2,8:31.0,A. Trier makes 2-pt layup from 5 ft (assist by D. Dotson),,41,30
2,8:31.0,Shooting foul by C. Randle (drawn by A. Trier),,41,30
2,8:31.0,,B. Beal enters the game for C. Randle,41,30
2,8:31.0,A. Trier makes free throw 1 of 1,,42,30
2,8:13.0,,O. Porter misses 3-pt jump shot from 27 ft,42,30
2,8:09.0,Defensive rebound by F. Ntilikina,,42,30
2,8:06.0,F. Ntilikina misses 2-pt jump shot from 21 ft,,42,30
2,8:04.0,,Defensive rebound by O. Porter,42,30
2,7:56.0,,B. Beal misses 2-pt jump shot from 12 ft,42,30
2,7:53.0,,Offensive rebound by S. Dekker,42,30
2,7:52.0,,S. Dekker makes 2-pt layup from 2 ft,42,32
2,7:37.0,A. Trier misses 2-pt jump shot from 17 ft,,42,32
2,7:34.0,,Defensive rebound by O. Porter,42,32
2,7:25.0,,Turnover by B. Beal (bad pass),42,32
2,7:25.0,L. Kornet enters the game for M. Hezonja,,42,32
2,7:25.0,N. Vonleh enters the game for M. Robinson,,42,32
2,7:25.0,,T. Ariza enters the game for S. Dekker,42,32
2,7:25.0,,J. Green enters the game for I. Mahinmi,42,32
2,7:04.0,A. Trier makes 2-pt layup from 2 ft,,44,32
2,6:50.0,,T. Ariza misses 3-pt jump shot from 27 ft,44,32
2,6:45.0,,Offensive rebound by T. Satoranský,44,32
2,6:45.0,,T. Satoranský makes 2-pt dunk from 1 ft,44,34
2,6:31.0,D. Dotson makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),,47,34
2,6:23.0,,Turnover by B. Beal (lost ball; steal by A. Trier),47,34
2,6:21.0,A. Trier makes 2-pt layup from 2 ft,,49,34
2,6:21.0,Shooting foul by B. Beal (drawn by A. Trier),,49,34
2,6:21.0,E. Mudiay enters the game for F. Ntilikina,,49,34
2,6:21.0,A. Trier makes free throw 1 of 1,,50,34
2,6:04.0,,T. Satoranský misses 2-pt jump shot from 14 ft,50,34
2,6:01.0,Defensive rebound by N. Vonleh,,50,34
2,5:56.0,D. Dotson misses 3-pt jump shot from 27 ft,,50,34
2,5:52.0,,Defensive rebound by T. Ariza,50,34
2,5:48.0,,B. Beal misses 3-pt jump shot from 27 ft,50,34
2,5:45.0,Defensive rebound by D. Dotson,,50,34
2,5:45.0,T. Hardaway enters the game for D. Dotson,,50,34
2,5:45.0,K. Knox enters the game for A. Trier,,50,34
2,5:24.0,T. Hardaway makes 3-pt jump shot from 26 ft,,53,34
2,5:20.0,,Washington full timeout,53,34
2,5:04.0,,Shooting foul by K. Knox (drawn by T. Ariza),53,34
2,5:04.0,,T. Ariza makes free throw 1 of 2,53,35
2,5:04.0,,T. Ariza makes free throw 2 of 2,53,36
2,4:43.0,N. Vonleh misses 2-pt layup from 2 ft (block by T. Satoranský),,53,36
2,4:43.0,Offensive rebound by Team,,53,36
2,4:38.0,Turnover by E. Mudiay (lost ball; steal by T. Satoranský),,53,36
2,4:32.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by T. Satoranský),53,39
2,4:25.0,New York full timeout,,53,39
2,4:08.0,N. Vonleh misses 2-pt hook shot from 9 ft,,53,39
2,4:05.0,,Defensive rebound by O. Porter,53,39
2,3:54.0,,Turnover by B. Beal (bad pass),53,39
2,3:39.0,L. Kornet misses 2-pt jump shot from 13 ft,,53,39
2,3:33.0,Offensive rebound by N. Vonleh,,53,39
2,3:33.0,N. Vonleh makes 2-pt layup from 2 ft,,55,39
2,3:25.0,,Shooting foul by L. Kornet (drawn by J. Green),55,39
2,3:25.0,,J. Green makes free throw 1 of 2,55,40
2,3:25.0,,J. Green makes free throw 2 of 2,55,41
2,3:04.0,Turnover by E. Mudiay (step out of bounds),,55,41
2,2:49.0,,B. Beal makes 2-pt jump shot from 5 ft (assist by T. Ariza),55,43
2,2:33.0,Personal foul by T. Ariza (drawn by T. Hardaway),,55,43
2,2:21.0,Shooting foul by O. Porter (drawn by L. Kornet),,55,43
2,2:21.0,L. Kornet makes free throw 1 of 2,,56,43
2,2:21.0,L. Kornet makes free throw 2 of 2,,57,43
2,2:10.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),57,46
2,1:57.0,K. Knox misses 2-pt hook shot from 9 ft,,57,46
2,1:53.0,,Defensive rebound by B. Beal,57,46
2,1:51.0,,B. Beal makes 2-pt jump shot from 19 ft,57,48
2,1:49.0,New York full timeout,,57,48
2,1:49.0,D. Dotson enters the game for N. Vonleh,,57,48
2,1:31.0,E. Mudiay makes 2-pt jump shot from 16 ft,,59,48
2,1:06.0,,T. Satoranský makes 3-pt jump shot from 23 ft (assist by T. Ariza),59,51
2,0:52.0,Personal foul by O. Porter (drawn by T. Hardaway),,59,51
2,0:52.0,T. Hardaway makes free throw 1 of 2,,60,51
2,0:52.0,M. Robinson enters the game for L. Kornet,,60,51
2,0:52.0,,T. Bryant enters the game for O. Porter,60,51
2,0:52.0,T. Hardaway makes free throw 2 of 2,,61,51
2,0:33.0,,Personal foul by E. Mudiay (drawn by B. Beal),61,51
2,0:25.0,,B. Beal makes 2-pt layup from 2 ft,61,53
2,0:02.0,E. Mudiay makes 2-pt layup from 1 ft,,63,53
2,0:00.0,,T. Ariza misses 3-pt jump shot from 43 ft,63,53
2,0:00.0,,Offensive rebound by Team,63,53
3,11:46.0,,B. Beal misses 2-pt jump shot from 17 ft,63,53
3,11:43.0,,Offensive rebound by B. Beal,63,53
3,11:41.0,,B. Beal misses 2-pt jump shot from 15 ft,63,53
3,11:40.0,,Offensive rebound by T. Bryant,63,53
3,11:40.0,,T. Bryant makes 2-pt hook shot from 3 ft,63,55
3,11:25.0,N. Vonleh misses 2-pt dunk from 2 ft (block by T. Bryant),,63,55
3,11:22.0,,Defensive rebound by T. Bryant,63,55
3,11:19.0,,B. Beal misses 3-pt jump shot from 25 ft,63,55
3,11:17.0,Defensive rebound by K. Knox,,63,55
3,11:03.0,K. Knox misses 3-pt jump shot from 26 ft,,63,55
3,11:00.0,,Defensive rebound by T. Satoranský,63,55
3,10:40.0,,T. Satoranský makes 2-pt layup from 1 ft,63,57
3,10:35.0,New York full timeout,,63,57
3,10:26.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Kornet),,66,57
3,10:09.0,,Turnover by B. Beal (bad pass; steal by L. Kornet),66,57
3,10:04.0,Shooting foul by B. Beal (drawn by N. Vonleh),,66,57
3,10:04.0,N. Vonleh misses free throw 1 of 2,,66,57
3,10:04.0,Offensive rebound by Team,,66,57
3,10:04.0,N. Vonleh makes free throw 2 of 2,,67,57
3,9:42.0,,B. Beal misses 3-pt jump shot from 26 ft,67,57
3,9:39.0,Defensive rebound by E. Mudiay,,67,57
3,9:34.0,E. Mudiay makes 2-pt layup from 2 ft,,69,57
3,9:17.0,,B. Beal misses 2-pt layup from 2 ft,69,57
3,9:14.0,,Offensive rebound by B. Beal,69,57
3,9:14.0,,B. Beal makes 2-pt layup at rim,69,59
3,8:58.0,Turnover by E. Mudiay (bad pass; steal by T. Satoranský),,69,59
3,8:52.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),69,61
3,8:33.0,N. Vonleh makes 2-pt dunk at rim (assist by K. Knox),,71,61
3,8:21.0,,B. Beal misses 2-pt jump shot from 9 ft,71,61
3,8:19.0,Defensive rebound by E. Mudiay,,71,61
3,8:14.0,K. Knox misses 2-pt layup from 5 ft,,71,61
3,8:12.0,Offensive rebound by K. Knox,,71,61
3,8:11.0,K. Knox makes 2-pt layup from 2 ft,,73,61
3,7:48.0,,T. Bryant misses 2-pt jump shot from 12 ft,73,61
3,7:46.0,Defensive rebound by K. Knox,,73,61
3,7:39.0,L. Kornet misses 2-pt jump shot from 13 ft,,73,61
3,7:35.0,,Defensive rebound by T. Ariza,73,61
3,7:24.0,,B. Beal misses 3-pt jump shot from 24 ft,73,61
3,7:22.0,Defensive rebound by T. Hardaway,,73,61
3,7:15.0,T. Hardaway misses 3-pt jump shot from 26 ft,,73,61
3,7:12.0,,Defensive rebound by T. Ariza,73,61
3,7:10.0,,T. Ariza misses 2-pt layup from 4 ft,73,61
3,7:07.0,,Offensive rebound by J. Green,73,61
3,7:07.0,,Shooting foul by T. Hardaway (drawn by J. Green),73,61
3,7:07.0,,J. Green makes free throw 1 of 2,73,62
3,7:07.0,,O. Porter enters the game for T. Bryant,73,62
3,7:07.0,,J. Green misses free throw 2 of 2,73,62
3,7:05.0,Defensive rebound by N. Vonleh,,73,62
3,6:58.0,E. Mudiay makes 2-pt layup from 1 ft,,75,62
3,6:45.0,,O. Porter misses 2-pt jump shot from 19 ft,75,62
3,6:43.0,Defensive rebound by N. Vonleh,,75,62
3,6:38.0,T. Hardaway misses 2-pt layup from 3 ft,,75,62
