QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
1,11:38.0,Turnover by B. Biyombo (bad pass; steal by R. Rondo),,0,0
1,11:34.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by J. McGee),0,2
1,11:11.0,M. Bridges misses 2-pt jump shot from 11 ft,,0,2
1,11:09.0,,Defensive rebound by J. McGee,0,2
1,10:54.0,,L. James misses 3-pt jump shot from 25 ft,0,2
1,10:52.0,,Offensive rebound by R. Rondo,0,2
1,10:50.0,,L. James makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),0,4
1,10:37.0,M. Williams misses 3-pt jump shot from 27 ft,,0,4
1,10:32.0,,Defensive rebound by J. McGee,0,4
1,10:16.0,,R. Rondo misses 3-pt jump shot from 24 ft,0,4
1,10:13.0,Defensive rebound by B. Biyombo,,0,4
1,10:05.0,D. Bacon makes 2-pt jump shot from 13 ft (assist by K. Walker),,2,4
1,9:45.0,,Turnover by L. James (bad pass; steal by M. Williams),2,4
1,9:41.0,M. Williams makes 3-pt jump shot from 26 ft (assist by M. Bridges),,5,4
1,9:21.0,,J. McGee misses 2-pt layup from 4 ft,5,4
1,9:19.0,Defensive rebound by B. Biyombo,,5,4
1,9:16.0,Personal foul by K. Caldwell-Pope (drawn by D. Bacon),,5,4
1,9:09.0,M. Bridges misses 2-pt layup from 2 ft,,5,4
1,9:07.0,Offensive rebound by B. Biyombo,,5,4
1,9:06.0,B. Biyombo misses 2-pt layup from 4 ft (block by J. McGee),,5,4
1,9:03.0,,Defensive rebound by R. Rondo,5,4
1,9:01.0,,R. Rondo misses 2-pt layup from 2 ft,5,4
1,9:01.0,Defensive rebound by K. Walker,,5,4
1,8:54.0,K. Walker misses 2-pt jump shot from 5 ft,,5,4
1,8:52.0,Offensive rebound by Team,,5,4
1,8:52.0,Personal foul by K. Kuzma (drawn by M. Williams),,5,4
1,8:48.0,M. Williams misses 2-pt layup from 3 ft,,5,4
1,8:45.0,Offensive rebound by M. Bridges,,5,4
1,8:44.0,M. Bridges makes 3-pt jump shot from 24 ft,,8,4
1,8:34.0,,Turnover by L. James (bad pass; steal by M. Bridges),8,4
1,8:29.0,D. Bacon makes 2-pt layup from 1 ft (assist by M. Bridges),,10,4
1,8:18.0,,K. Kuzma misses 3-pt jump shot from 26 ft,10,4
1,8:14.0,Defensive rebound by M. Williams,,10,4
1,8:10.0,K. Walker misses 3-pt jump shot from 25 ft,,10,4
1,8:07.0,,Defensive rebound by J. McGee,10,4
1,8:01.0,,L. James misses 3-pt jump shot from 27 ft,10,4
1,7:57.0,Defensive rebound by M. Williams,,10,4
1,7:51.0,D. Bacon makes 2-pt jump shot from 13 ft,,12,4
1,7:49.0,,LA Lakers full timeout,12,4
1,7:30.0,,L. James makes 2-pt layup from 1 ft,12,6
1,7:30.0,,Shooting foul by D. Bacon (drawn by L. James),12,6
1,7:30.0,,L. James makes free throw 1 of 1,12,7
1,7:14.0,M. Bridges makes 2-pt hook shot from 9 ft (assist by D. Bacon),,14,7
1,6:59.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. James),14,10
1,6:40.0,D. Bacon makes 2-pt jump shot from 14 ft (assist by M. Bridges),,16,10
1,6:25.0,,Turnover by L. James (bad pass; steal by D. Bacon),16,10
1,6:20.0,M. Williams makes 3-pt jump shot from 27 ft (assist by K. Walker),,19,10
1,6:05.0,,K. Kuzma makes 2-pt jump shot from 16 ft,19,12
1,5:49.0,B. Biyombo makes 2-pt layup from 2 ft (assist by K. Walker),,21,12
1,5:44.0,,Shooting foul by M. Bridges (drawn by K. Caldwell-Pope),21,12
1,5:44.0,,K. Caldwell-Pope makes free throw 1 of 3,21,13
1,5:44.0,,K. Caldwell-Pope makes free throw 2 of 3,21,14
1,5:44.0,J. Lamb enters the game for M. Williams,,21,14
1,5:44.0,,K. Caldwell-Pope makes free throw 3 of 3,21,15
1,5:29.0,K. Walker misses 3-pt jump shot from 25 ft,,21,15
1,5:27.0,,Defensive rebound by J. McGee,21,15
1,5:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,21,15
1,5:07.0,Defensive rebound by B. Biyombo,,21,15
1,5:00.0,D. Bacon misses 2-pt jump shot from 17 ft,,21,15
1,4:57.0,,Defensive rebound by K. Caldwell-Pope,21,15
1,4:52.0,,Turnover by L. James (bad pass),21,15
1,4:52.0,W. Hernangómez enters the game for B. Biyombo,,21,15
1,4:42.0,Turnover by D. Bacon (bad pass),,21,15
1,4:42.0,,L. Stephenson enters the game for L. James,21,15
1,4:38.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by R. Rondo),21,17
1,4:23.0,M. Bridges makes 2-pt dunk from 1 ft (assist by W. Hernangómez),,23,17
1,4:08.0,,Turnover by R. Rondo (bad pass),23,17
1,4:08.0,Charlotte full timeout,,23,17
1,4:08.0,,J. Williams enters the game for J. McGee,23,17
