QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
1,11:34.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by K. Irving),0,0
1,11:25.0,A. Horford makes 2-pt jump shot from 14 ft (assist by K. Irving),,2,0
1,11:09.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by P. Beverley),2,3
1,10:53.0,Turnover by K. Irving (bad pass; steal by S. Gilgeous-Alexander),,2,3
1,10:53.0,,Personal foul by K. Irving (drawn by S. Gilgeous-Alexander),2,3
1,10:34.0,,D. Gallinari makes 3-pt jump shot from 29 ft (assist by L. Shamet),2,6
1,10:17.0,K. Irving misses 3-pt jump shot from 26 ft,,2,6
1,10:15.0,,Defensive rebound by P. Beverley,2,6
1,10:12.0,,Offensive foul by I. Zubac (drawn by M. Smart),2,6
1,10:12.0,,Turnover by I. Zubac (offensive foul),2,6
1,10:01.0,M. Morris makes 2-pt layup from 2 ft (assist by M. Smart),,4,6
1,9:40.0,,Personal foul by M. Morris (drawn by D. Gallinari),4,6
1,9:32.0,,D. Gallinari makes 2-pt jump shot from 14 ft (assist by P. Beverley),4,8
1,9:17.0,K. Irving misses 2-pt jump shot from 17 ft,,4,8
1,9:15.0,,Defensive rebound by D. Gallinari,4,8
1,9:01.0,,L. Shamet makes 2-pt jump shot from 21 ft (assist by P. Beverley),4,10
1,8:45.0,M. Smart makes 2-pt jump shot from 15 ft,,6,10
1,8:21.0,,D. Gallinari misses 3-pt jump shot from 28 ft,6,10
1,8:18.0,Defensive rebound by M. Morris,,6,10
1,8:03.0,A. Horford misses 3-pt jump shot from 26 ft,,6,10
1,8:00.0,,Defensive rebound by I. Zubac,6,10
1,7:53.0,,Turnover by D. Gallinari (bad pass; steal by A. Horford),6,10
1,7:51.0,Personal take foul by P. Beverley (drawn by K. Irving),,6,10
1,7:51.0,Technical foul by M. Morris,,6,10
1,7:51.0,,D. Gallinari makes technical free throw,6,11
1,7:47.0,Personal foul by L. Shamet (drawn by M. Smart),,6,11
1,7:31.0,J. Brown makes 2-pt jump shot from 16 ft (assist by A. Horford),,8,11
1,7:05.0,,I. Zubac misses 2-pt hook shot from 2 ft,8,11
1,7:03.0,Defensive rebound by K. Irving,,8,11
1,6:52.0,M. Morris misses 3-pt jump shot from 24 ft,,8,11
1,6:50.0,,Defensive rebound by I. Zubac,8,11
1,6:40.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 19 ft,8,11
1,6:38.0,Defensive rebound by M. Smart,,8,11
1,6:34.0,K. Irving makes 2-pt layup from 2 ft (assist by A. Horford),,10,11
1,6:09.0,,L. Shamet misses 3-pt jump shot from 26 ft,10,11
1,6:06.0,Defensive rebound by M. Morris,,10,11
1,5:59.0,J. Brown misses 2-pt jump shot from 17 ft,,10,11
1,5:57.0,,Defensive rebound by D. Gallinari,10,11
1,5:51.0,,Personal foul by M. Smart (drawn by P. Beverley),10,11
1,5:51.0,,LA Clippers full timeout,10,11
1,5:51.0,G. Hayward enters the game for M. Smart,,10,11
1,5:33.0,,D. Gallinari makes 2-pt jump shot from 15 ft (assist by S. Gilgeous-Alexander),10,13
1,5:26.0,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Irving),,12,13
1,5:14.0,,Turnover by L. Shamet (bad pass; steal by J. Brown),12,13
1,5:12.0,Turnover by K. Irving (bad pass),,12,13
1,4:49.0,,D. Gallinari misses 2-pt jump shot from 21 ft,12,13
1,4:46.0,Defensive rebound by G. Hayward,,12,13
1,4:37.0,M. Morris misses 3-pt jump shot from 28 ft,,12,13
1,4:35.0,,Defensive rebound by I. Zubac,12,13
1,4:30.0,,Turnover by P. Beverley (lost ball; steal by J. Brown),12,13
1,4:11.0,M. Morris misses 2-pt jump shot from 9 ft,,12,13
1,4:08.0,,Defensive rebound by S. Gilgeous-Alexander,12,13
1,4:06.0,,Shooting foul by G. Hayward (drawn by S. Gilgeous-Alexander),12,13
1,4:06.0,,S. Gilgeous-Alexander makes free throw 1 of 2,12,14
1,4:06.0,T. Rozier enters the game for M. Morris,,12,14
1,4:06.0,,M. Harrell enters the game for I. Zubac,12,14
1,4:06.0,,S. Gilgeous-Alexander makes free throw 2 of 2,12,15
1,3:53.0,T. Rozier makes 2-pt jump shot from 11 ft (assist by K. Irving),,14,15
1,3:30.0,,D. Gallinari makes 2-pt jump shot from 12 ft,14,17
1,3:25.0,Shooting foul by L. Shamet (drawn by G. Hayward),,14,17
1,3:25.0,G. Hayward misses free throw 1 of 2,,14,17
1,3:25.0,Offensive rebound by Team,,14,17
1,3:25.0,,G. Temple enters the game for S. Gilgeous-Alexander,14,17
1,3:25.0,,L. Williams enters the game for L. Shamet,14,17
1,3:25.0,G. Hayward makes free throw 2 of 2,,15,17
1,3:01.0,,Turnover by D. Gallinari (bad pass; steal by J. Brown),15,17
1,2:49.0,A. Horford makes 2-pt hook shot from 10 ft (assist by K. Irving),,17,17
1,2:34.0,,L. Williams makes 2-pt layup from 2 ft (assist by M. Harrell),17,19
1,2:33.0,Boston full timeout,,17,19
1,2:33.0,A. Baynes enters the game for J. Brown,,17,19
1,2:33.0,S. Ojeleye enters the game for A. Horford,,17,19
1,2:33.0,,J. Green enters the game for P. Beverley,17,19
1,2:33.0,,T. Wallace enters the game for D. Gallinari,17,19
1,2:19.0,A. Baynes misses 3-pt jump shot from 27 ft,,17,19
1,2:16.0,,Defensive rebound by J. Green,17,19
1,2:10.0,,M. Harrell makes 2-pt jump shot from 4 ft (assist by L. Williams),17,21
1,1:53.0,K. Irving misses 2-pt jump shot from 13 ft,,17,21
1,1:50.0,,Defensive rebound by J. Green,17,21
1,1:45.0,,Turnover by L. Williams (step out of bounds),17,21
1,1:34.0,G. Hayward misses 2-pt jump shot from 20 ft,,17,21
1,1:31.0,Offensive rebound by A. Baynes,,17,21
1,1:31.0,A. Baynes misses 2-pt layup from 1 ft,,17,21
1,1:31.0,Offensive rebound by Team,,17,21
1,1:31.0,,Loose ball foul by G. Temple (drawn by A. Baynes),17,21
1,1:24.0,G. Hayward misses 2-pt jump shot from 18 ft,,17,21
1,1:19.0,,Defensive rebound by G. Temple,17,21
1,1:13.0,,L. Williams misses 3-pt jump shot from 28 ft,17,21
1,1:08.0,Defensive rebound by A. Baynes,,17,21
1,1:02.0,Turnover by K. Irving (bad pass),,17,21
1,0:47.0,,G. Temple misses 3-pt jump shot from 23 ft,17,21
1,0:44.0,,Offensive rebound by L. Williams,17,21
1,0:41.0,,L. Williams makes 2-pt jump shot from 6 ft,17,23
1,0:32.0,K. Irving makes 2-pt jump shot from 12 ft (assist by A. Baynes),,19,23
1,0:24.0,,L. Williams makes 2-pt jump shot from 2 ft (assist by T. Wallace),19,25
1,0:17.0,Turnover by S. Ojeleye (out of bounds lost ball),,19,25
1,0:04.0,,L. Williams misses 3-pt jump shot from 26 ft,19,25
1,0:01.0,Defensive rebound by K. Irving,,19,25
2,11:48.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),,22,25
2,11:30.0,,M. Harrell makes 2-pt layup from 2 ft,22,27
2,11:12.0,M. Smart misses 3-pt jump shot from 26 ft,,22,27
2,11:10.0,,Defensive rebound by J. Green,22,27
2,11:06.0,,L. Williams makes 2-pt layup from 1 ft,22,29
2,10:47.0,Personal foul by J. Green (drawn by T. Rozier),,22,29
