QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MIAMI_ACTION,MINNESOTA_SCORE,MIAMI_SCORE
1,11:42.0,,R. McGruder misses 2-pt jump shot from 5 ft,0,0
1,11:39.0,Defensive rebound by K. Towns,,0,0
1,11:21.0,K. Towns misses 2-pt hook shot from 9 ft,,0,0
1,11:16.0,,Defensive rebound by R. McGruder,0,0
1,11:04.0,,J. Winslow misses 2-pt layup from 10 ft,0,0
1,11:03.0,,Offensive rebound by H. Whiteside,0,0
1,11:02.0,,H. Whiteside misses 2-pt layup at rim,0,0
1,10:59.0,,Offensive rebound by H. Whiteside,0,0
1,10:58.0,,H. Whiteside misses 2-pt layup at rim,0,0
1,10:57.0,Defensive rebound by T. Jones,,0,0
1,10:52.0,T. Gibson makes 2-pt layup from 4 ft (assist by T. Jones),,2,0
1,10:29.0,,Turnover by R. McGruder (bad pass; steal by T. Jones),2,0
1,10:24.0,A. Wiggins misses 2-pt layup from 2 ft,,2,0
1,10:22.0,,Defensive rebound by J. Richardson,2,0
1,10:08.0,,Shooting foul by A. Wiggins (drawn by H. Whiteside),2,0
1,10:08.0,,H. Whiteside misses free throw 1 of 2,2,0
1,10:08.0,,Offensive rebound by Team,2,0
1,10:08.0,,H. Whiteside makes free throw 2 of 2,2,1
1,10:08.0,,B. Adebayo enters the game for H. Whiteside,2,1
1,9:53.0,Turnover by K. Towns (bad pass; steal by J. Winslow),,2,1
1,9:43.0,,J. Winslow misses 2-pt jump shot from 16 ft,2,1
1,9:43.0,Defensive rebound by R. Covington,,2,1
1,9:37.0,Turnover by T. Jones (bad pass; steal by J. Winslow),,2,1
1,9:26.0,,Turnover by J. Winslow (bad pass),2,1
1,9:14.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,4,1
1,8:55.0,,J. Winslow misses 2-pt hook shot from 3 ft,4,1
1,8:52.0,Defensive rebound by A. Wiggins,,4,1
1,8:40.0,T. Jones makes 2-pt jump shot from 6 ft,,6,1
1,8:12.0,,B. Adebayo misses 2-pt hook shot from 6 ft (block by K. Towns),6,1
1,8:09.0,,Offensive rebound by B. Adebayo,6,1
1,8:08.0,,Turnover by B. Adebayo (lost ball; steal by R. Covington),6,1
1,7:55.0,T. Gibson makes 2-pt layup from 1 ft,,8,1
1,7:55.0,,Miami full timeout,8,1
1,7:42.0,,J. Richardson misses 2-pt layup from 2 ft (block by K. Towns),8,1
1,7:39.0,Defensive rebound by K. Towns,,8,1
1,7:20.0,A. Wiggins misses 2-pt jump shot from 18 ft,,8,1
