QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
1,11:46.0,R. Rubio makes 2-pt layup from 1 ft (assist by J. Ingles),,2,0
1,11:24.0,,D. Dotson misses 2-pt jump shot from 16 ft,2,0
1,11:22.0,Defensive rebound by J. Ingles,,2,0
1,11:15.0,Turnover by J. Ingles (lost ball; steal by D. Jordan),,2,0
1,11:13.0,,Personal foul by R. Rubio (drawn by M. Hezonja),2,0
1,10:59.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by D. Jordan),2,3
1,10:36.0,D. Mitchell misses 3-pt jump shot from 25 ft,,2,3
1,10:34.0,,Defensive rebound by D. Jordan,2,3
1,10:16.0,,E. Mudiay misses 3-pt jump shot from 25 ft,2,3
1,10:15.0,Defensive rebound by R. Gobert,,2,3
1,10:09.0,D. Mitchell misses 2-pt jump shot from 6 ft (block by D. Jordan),,2,3
1,10:07.0,Offensive rebound by D. Mitchell,,2,3
1,10:04.0,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),,4,3
1,9:42.0,,Turnover by E. Mudiay (out of bounds lost ball),4,3
1,9:30.0,Shooting foul by D. Jordan (drawn by D. Favors),,4,3
1,9:30.0,D. Favors makes free throw 1 of 2,,5,3
1,9:30.0,D. Favors makes free throw 2 of 2,,6,3
1,9:21.0,,D. Jordan misses 2-pt dunk from 2 ft,6,3
1,9:20.0,Defensive rebound by R. Rubio,,6,3
1,9:17.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),,8,3
1,9:05.0,,Turnover by D. Jordan (bad pass),8,3
1,8:49.0,J. Ingles makes 3-pt jump shot from 28 ft (assist by D. Mitchell),,11,3
1,8:39.0,,New York full timeout,11,3
1,8:34.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by D. Jordan),11,6
1,8:19.0,Turnover by R. Rubio (bad pass; steal by D. Jordan),,11,6
1,8:08.0,,M. Hezonja makes 2-pt layup from 1 ft,11,8
1,7:54.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,13,8
1,7:40.0,,Turnover by M. Hezonja (bad pass; steal by D. Mitchell),13,8
1,7:35.0,D. Mitchell makes 2-pt layup at rim,,15,8
1,7:14.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by D. Jordan),15,11
1,6:54.0,D. Mitchell makes 2-pt jump shot from 19 ft (assist by R. Gobert),,17,11
1,6:38.0,,K. Knox makes 3-pt jump shot from 27 ft (assist by E. Mudiay),17,14
1,6:22.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),,20,14
1,6:04.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),20,16
1,6:03.0,Utah full timeout,,20,16
1,6:03.0,J. Crowder enters the game for D. Favors,,20,16
1,6:03.0,R. O'Neale enters the game for J. Ingles,,20,16
1,5:49.0,D. Mitchell makes 2-pt layup at rim (assist by R. Rubio),,22,16
1,5:39.0,,Personal foul by D. Mitchell (drawn by D. Dotson),22,16
1,5:39.0,K. Korver enters the game for R. Rubio,,22,16
1,5:24.0,,E. Mudiay misses 3-pt jump shot from 25 ft,22,16
1,5:22.0,Defensive rebound by R. O'Neale,,22,16
1,5:07.0,J. Crowder misses 3-pt jump shot from 26 ft,,22,16
1,5:05.0,,Defensive rebound by K. Knox,22,16
1,4:52.0,,M. Hezonja misses 2-pt jump shot from 21 ft,22,16
1,4:50.0,Defensive rebound by R. Gobert,,22,16
1,4:50.0,,L. Thomas enters the game for M. Hezonja,22,16
1,4:29.0,D. Mitchell makes 2-pt dunk from 1 ft,,24,16
1,4:05.0,,E. Mudiay makes 2-pt jump shot from 9 ft,24,18
1,3:55.0,K. Korver makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,27,18
1,3:40.0,,D. Dotson misses 3-pt jump shot from 25 ft,27,18
1,3:38.0,Defensive rebound by R. Gobert,,27,18
1,3:29.0,D. Mitchell makes 2-pt jump shot from 6 ft,,29,18
1,3:29.0,,New York full timeout,29,18
1,3:29.0,,M. Robinson enters the game for D. Jordan,29,18
1,3:20.0,,K. Knox makes 2-pt jump shot from 19 ft,29,20
1,3:04.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,32,20
1,2:51.0,,E. Mudiay misses 3-pt jump shot from 26 ft,32,20
1,2:49.0,Defensive rebound by R. Gobert,,32,20
1,2:41.0,K. Korver misses 3-pt jump shot from 26 ft,,32,20
1,2:39.0,,Defensive rebound by E. Mudiay,32,20
1,2:34.0,,D. Dotson makes 3-pt jump shot from 30 ft (assist by E. Mudiay),32,23
1,2:20.0,Personal foul by L. Thomas (drawn by D. Mitchell),,32,23
1,2:20.0,D. Favors enters the game for R. Gobert,,32,23
1,2:20.0,J. Ingles enters the game for D. Mitchell,,32,23
1,2:20.0,R. Neto enters the game for R. O'Neale,,32,23
1,2:20.0,,M. Hezonja enters the game for K. Knox,32,23
1,2:20.0,,J. Jenkins enters the game for E. Mudiay,32,23
1,2:10.0,K. Korver misses 3-pt jump shot from 26 ft,,32,23
1,2:08.0,Offensive rebound by D. Favors,,32,23
1,2:04.0,J. Ingles misses 3-pt jump shot from 26 ft,,32,23
1,2:02.0,,Defensive rebound by M. Robinson,32,23
1,1:49.0,,J. Jenkins misses 2-pt jump shot from 14 ft,32,23
1,1:47.0,Defensive rebound by J. Crowder,,32,23
1,1:40.0,D. Favors makes 2-pt layup from 4 ft (assist by R. Neto),,34,23
1,1:40.0,Shooting foul by M. Robinson (drawn by D. Favors),,34,23
1,1:40.0,D. Favors misses free throw 1 of 1,,34,23
1,1:38.0,Offensive rebound by K. Korver,,34,23
1,1:29.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Ingles),,37,23
1,1:17.0,,Personal foul by J. Crowder (drawn by M. Robinson),37,23
1,1:10.0,,Turnover by J. Jenkins (bad pass; steal by J. Crowder),37,23
1,1:07.0,Shooting foul by D. Dotson (drawn by J. Crowder),,37,23
1,1:07.0,J. Crowder makes free throw 1 of 2,,38,23
1,1:07.0,,K. Knox enters the game for D. Dotson,38,23
1,1:07.0,J. Crowder makes free throw 2 of 2,,39,23
1,0:44.0,,K. Knox misses 3-pt jump shot from 27 ft,39,23
1,0:42.0,Defensive rebound by D. Favors,,39,23
1,0:32.0,J. Crowder misses 3-pt jump shot from 25 ft,,39,23
1,0:29.0,,Defensive rebound by K. Knox,39,23
1,0:08.0,,M. Hezonja misses 2-pt layup from 2 ft,39,23
1,0:06.0,,Offensive rebound by M. Robinson,39,23
1,0:06.0,,M. Robinson misses 2-pt layup at rim,39,23
1,0:05.0,,Offensive rebound by M. Hezonja,39,23
