QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SACRAMENTO_ACTION,GOLDEN STATE_SCORE,SACRAMENTO_SCORE
1,11:37.0,K. Looney makes 2-pt dunk from 1 ft (assist by D. Green),,2,0
1,11:22.0,,N. Bjelica misses 2-pt hook shot from 4 ft,2,0
1,11:20.0,Defensive rebound by D. Green,,2,0
1,11:12.0,S. Curry makes 2-pt jump shot from 20 ft,,4,0
1,11:04.0,,D. Fox misses 3-pt jump shot from 25 ft,4,0
1,11:02.0,Defensive rebound by D. Green,,4,0
1,10:50.0,Shooting foul by W. Cauley-Stein (drawn by K. Looney),,4,0
1,10:50.0,K. Looney misses free throw 1 of 2,,4,0
1,10:50.0,Offensive rebound by Team,,4,0
1,10:50.0,K. Looney misses free throw 2 of 2,,4,0
1,10:47.0,,Defensive rebound by I. Shumpert,4,0
1,10:31.0,,B. Hield misses 3-pt jump shot from 24 ft,4,0
1,10:28.0,Defensive rebound by K. Durant,,4,0
1,10:25.0,K. Durant makes 3-pt jump shot from 25 ft (assist by K. Looney),,7,0
1,10:07.0,,N. Bjelica makes 2-pt jump shot from 8 ft (assist by D. Fox),7,2
1,10:04.0,Turnover by K. Durant (out of bounds lost ball),,7,2
1,10:01.0,,W. Cauley-Stein makes 2-pt hook shot from 8 ft (assist by I. Shumpert),7,4
1,9:49.0,S. Curry misses 3-pt jump shot from 25 ft,,7,4
1,9:46.0,Offensive rebound by D. Green,,7,4
1,9:43.0,K. Durant makes 2-pt layup from 2 ft (assist by D. Green),,9,4
1,9:34.0,,Shooting foul by K. Looney (drawn by W. Cauley-Stein),9,4
1,9:34.0,,W. Cauley-Stein makes free throw 1 of 2,9,5
1,9:34.0,,W. Cauley-Stein makes free throw 2 of 2,9,6
1,9:23.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,11,6
1,9:18.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),11,8
1,9:03.0,S. Curry makes 2-pt layup from 1 ft (assist by K. Durant),,13,8
1,8:58.0,,Shooting foul by S. Curry (drawn by D. Fox),13,8
1,8:58.0,,D. Fox makes free throw 1 of 2,13,9
1,8:58.0,,D. Fox makes free throw 2 of 2,13,10
1,8:44.0,K. Durant makes 3-pt jump shot from 26 ft (assist by D. Green),,16,10
1,8:27.0,,Personal foul by D. Green (drawn by N. Bjelica),16,10
1,8:20.0,,I. Shumpert makes 3-pt jump shot from 26 ft (assist by D. Fox),16,13
1,8:03.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,19,13
1,8:03.0,,B. Bogdanović enters the game for B. Hield,19,13
