QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
1,11:36.0,R. Jackson makes 3-pt jump shot from 22 ft,,3,0
1,11:14.0,,Turnover by O. Porter (bad pass; steal by A. Drummond),3,0
1,11:05.0,B. Brown makes 2-pt layup from 1 ft (assist by W. Ellington),,5,0
1,10:46.0,,R. Lopez makes 2-pt layup from 1 ft (assist by O. Porter),5,2
1,10:36.0,A. Drummond makes 2-pt jump shot from 12 ft (assist by R. Jackson),,7,2
1,10:24.0,,Shooting foul by A. Drummond (drawn by Z. LaVine),7,2
1,10:24.0,,Z. LaVine misses free throw 1 of 2,7,2
1,10:24.0,,Offensive rebound by Team,7,2
1,10:24.0,,Z. LaVine misses free throw 2 of 2,7,2
1,10:20.0,Defensive rebound by B. Griffin,,7,2
1,10:06.0,R. Jackson misses 3-pt jump shot from 26 ft,,7,2
1,10:04.0,,Defensive rebound by K. Dunn,7,2
1,9:55.0,,K. Dunn makes 3-pt jump shot from 23 ft (assist by L. Markkanen),7,5
1,9:35.0,Personal foul by O. Porter (drawn by W. Ellington),,7,5
1,9:22.0,B. Griffin makes 3-pt jump shot from 23 ft,,10,5
1,8:55.0,,L. Markkanen makes 3-pt jump shot from 26 ft,10,8
1,8:42.0,B. Griffin misses 2-pt jump shot from 16 ft,,10,8
1,8:38.0,,Defensive rebound by R. Lopez,10,8
1,8:25.0,,K. Dunn makes 2-pt jump shot from 12 ft,10,10
1,8:07.0,A. Drummond misses 2-pt hook shot from 4 ft,,10,10
1,8:05.0,,Defensive rebound by L. Markkanen,10,10
1,7:51.0,,Z. LaVine makes 2-pt layup from 2 ft,10,12
1,7:41.0,R. Jackson makes 2-pt jump shot from 11 ft,,12,12
1,7:28.0,,Turnover by L. Markkanen (out of bounds lost ball),12,12
1,7:08.0,R. Jackson misses 3-pt jump shot from 26 ft,,12,12
1,7:05.0,,Defensive rebound by L. Markkanen,12,12
1,6:56.0,,Z. LaVine makes 2-pt layup from 2 ft,12,14
1,6:47.0,W. Ellington misses 3-pt jump shot from 26 ft,,12,14
1,6:43.0,,Defensive rebound by K. Dunn,12,14
1,6:36.0,,O. Porter misses 3-pt jump shot from 25 ft,12,14
1,6:36.0,Defensive rebound by A. Drummond,,12,14
1,6:28.0,Turnover by W. Ellington (bad pass),,12,14
1,6:28.0,,Chicago full timeout,12,14
1,6:17.0,,L. Markkanen makes 2-pt dunk at rim (assist by O. Porter),12,16
1,5:57.0,B. Brown misses 3-pt jump shot from 24 ft,,12,16
1,5:53.0,,Defensive rebound by O. Porter,12,16
1,5:47.0,,O. Porter makes 2-pt layup from 2 ft,12,18
1,5:35.0,W. Ellington misses 2-pt layup from 3 ft (block by R. Lopez),,12,18
1,5:33.0,,Defensive rebound by O. Porter,12,18
1,5:29.0,,L. Markkanen misses 3-pt jump shot from 25 ft,12,18
1,5:26.0,Defensive rebound by A. Drummond,,12,18
1,5:15.0,B. Griffin misses 3-pt jump shot from 26 ft,,12,18
1,5:13.0,Offensive rebound by Team,,12,18
1,5:13.0,,R. Arcidiacono enters the game for K. Dunn,12,18
1,5:04.0,B. Griffin misses 3-pt jump shot from 25 ft,,12,18
1,5:01.0,,Defensive rebound by R. Arcidiacono,12,18
1,4:57.0,,Turnover by Z. LaVine (out of bounds lost ball),12,18
1,4:42.0,R. Jackson makes 2-pt jump shot from 12 ft,,14,18
1,4:27.0,,Turnover by Z. LaVine (traveling),14,18
1,4:12.0,R. Jackson makes 2-pt jump shot from 12 ft,,16,18
1,3:57.0,,R. Lopez makes 2-pt layup from 2 ft (assist by R. Arcidiacono),16,20
1,3:48.0,R. Jackson makes 2-pt layup from 2 ft,,18,20
1,3:28.0,,R. Lopez makes 2-pt jump shot from 5 ft (assist by Z. LaVine),18,22
1,3:13.0,Turnover by W. Ellington (bad pass; steal by O. Porter),,18,22
1,3:06.0,,Shooting foul by W. Ellington (drawn by O. Porter),18,22
1,3:06.0,,O. Porter makes free throw 1 of 2,18,23
1,3:06.0,L. Kennard enters the game for W. Ellington,,18,23
1,3:06.0,,O. Porter makes free throw 2 of 2,18,24
1,3:01.0,Detroit full timeout,,18,24
1,3:01.0,T. Maker enters the game for B. Griffin,,18,24
1,3:01.0,I. Smith enters the game for R. Jackson,,18,24
1,3:01.0,,W. Selden enters the game for L. Markkanen,18,24
1,2:53.0,L. Kennard makes 2-pt jump shot from 6 ft (assist by A. Drummond),,20,24
1,2:40.0,,Def 3 sec tech foul by Team,20,24
1,2:40.0,,Offensive rebound by Team,20,24
1,2:40.0,,Z. LaVine misses technical free throw,20,24
1,2:30.0,,Personal foul by B. Brown (drawn by R. Arcidiacono),20,24
1,2:30.0,,T. Luwawu-Cabarrot enters the game for O. Porter,20,24
1,2:30.0,,Offensive foul by R. Lopez (drawn by B. Brown),20,24
1,2:30.0,,Turnover by R. Lopez (offensive foul),20,24
1,2:14.0,A. Drummond makes 2-pt hook shot from 6 ft,,22,24
1,2:05.0,,Personal foul by I. Smith (drawn by R. Lopez),22,24
1,2:05.0,,C. Felício enters the game for R. Lopez,22,24
1,1:56.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,22,24
1,1:52.0,Defensive rebound by L. Kennard,,22,24
1,1:38.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by L. Kennard),,24,24
1,1:19.0,,R. Arcidiacono makes 2-pt layup from 2 ft,24,26
1,0:55.0,A. Drummond misses 2-pt jump shot from 10 ft,,24,26
1,0:52.0,Offensive rebound by T. Maker,,24,26
1,0:43.0,T. Maker misses 3-pt jump shot from 23 ft,,24,26
1,0:40.0,,Defensive rebound by R. Arcidiacono,24,26
1,0:30.0,,Z. LaVine misses 2-pt layup from 3 ft (block by T. Maker),24,26
1,0:29.0,,Offensive rebound by Z. LaVine,24,26
1,0:29.0,,Personal foul by B. Brown (drawn by Z. LaVine),24,26
1,0:29.0,,Z. LaVine makes free throw 1 of 2,24,27
1,0:29.0,L. Galloway enters the game for B. Brown,,24,27
1,0:29.0,,Z. LaVine makes free throw 2 of 2,24,28
1,0:10.0,Turnover by I. Smith (bad pass; steal by T. Luwawu-Cabarrot),,24,28
1,0:00.0,,Z. LaVine makes 2-pt jump shot from 8 ft (assist by R. Arcidiacono),24,30
2,11:40.0,,R. Arcidiacono misses 2-pt jump shot from 7 ft,24,30
2,11:38.0,,Offensive rebound by C. Felício,24,30
