QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ATLANTA_ACTION,OKLAHOMA CITY_SCORE,ATLANTA_SCORE
1,11:41.0,P. George makes 3-pt jump shot from 25 ft,,3,0
1,11:28.0,,K. Huerter misses 2-pt jump shot from 12 ft,3,0
1,11:24.0,,Offensive rebound by K. Huerter,3,0
1,11:20.0,,J. Collins makes 2-pt layup from 8 ft (assist by T. Young),3,2
1,11:09.0,R. Westbrook misses 2-pt jump shot from 16 ft,,3,2
1,11:06.0,,Defensive rebound by O. Spellman,3,2
1,11:02.0,,T. Young misses 3-pt jump shot from 30 ft,3,2
1,10:59.0,Defensive rebound by J. Grant,,3,2
1,10:54.0,P. George misses 3-pt jump shot from 25 ft,,3,2
1,10:50.0,,Defensive rebound by O. Spellman,3,2
1,10:29.0,,Turnover by Team (shot clock),3,2
1,10:18.0,Shooting foul by O. Spellman (drawn by J. Grant),,3,2
1,10:18.0,J. Grant misses free throw 1 of 2,,3,2
1,10:18.0,Offensive rebound by Team,,3,2
1,10:18.0,J. Grant makes free throw 2 of 2,,4,2
1,10:05.0,,K. Huerter makes 2-pt layup from 1 ft (assist by J. Collins),4,4
1,9:52.0,T. Ferguson misses 3-pt jump shot from 22 ft,,4,4
1,9:47.0,Offensive rebound by T. Ferguson,,4,4
1,9:44.0,Shooting foul by D. Bembry (drawn by R. Westbrook),,4,4
1,9:44.0,R. Westbrook misses free throw 1 of 2,,4,4
1,9:44.0,Offensive rebound by Team,,4,4
1,9:44.0,R. Westbrook makes free throw 2 of 2,,5,4
1,9:33.0,,Turnover by T. Young (bad pass; steal by J. Grant),5,4
1,9:22.0,R. Westbrook misses 3-pt jump shot from 24 ft,,5,4
1,9:19.0,,Defensive rebound by K. Huerter,5,4
1,9:10.0,,Shooting foul by T. Ferguson (drawn by T. Young),5,4
1,9:10.0,,T. Young makes free throw 1 of 2,5,5
1,9:10.0,,T. Young misses free throw 2 of 2,5,5
1,9:02.0,Defensive rebound by J. Grant,,5,5
1,8:56.0,R. Westbrook makes 2-pt layup from 1 ft,,7,5
1,8:45.0,,J. Collins makes 2-pt layup from 6 ft (assist by T. Young),7,7
1,8:32.0,P. George misses 2-pt jump shot from 14 ft,,7,7
1,8:29.0,,Defensive rebound by T. Young,7,7
1,8:20.0,,Shooting foul by T. Ferguson (drawn by O. Spellman),7,7
1,8:20.0,,O. Spellman makes free throw 1 of 2,7,8
1,8:20.0,,O. Spellman misses free throw 2 of 2,7,8
1,8:17.0,Defensive rebound by R. Westbrook,,7,8
1,8:03.0,S. Adams makes 2-pt layup from 3 ft,,9,8
1,7:46.0,,Personal foul by P. George (drawn by K. Huerter),9,8
1,7:46.0,,J. Adams enters the game for J. Collins,9,8
1,7:46.0,,V. Carter enters the game for O. Spellman,9,8
1,7:46.0,,A. Len enters the game for T. Young,9,8
1,7:38.0,,V. Carter misses 3-pt jump shot from 24 ft,9,8
1,7:36.0,Defensive rebound by T. Ferguson,,9,8
1,7:28.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,11,8
1,7:20.0,,K. Huerter makes 3-pt jump shot from 27 ft (assist by V. Carter),11,11
1,7:11.0,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),,13,11
1,7:00.0,,K. Huerter misses 3-pt jump shot from 25 ft,13,11
1,6:55.0,Defensive rebound by P. George,,13,11
1,6:46.0,J. Grant misses 3-pt jump shot from 23 ft,,13,11
1,6:44.0,,Defensive rebound by A. Len,13,11
1,6:32.0,,Turnover by K. Huerter (bad pass; steal by S. Adams),13,11
1,6:26.0,T. Ferguson misses 3-pt jump shot from 23 ft,,13,11
1,6:23.0,,Defensive rebound by A. Len,13,11
1,6:18.0,,Atlanta full timeout,13,11
1,6:18.0,D. Schröder enters the game for T. Ferguson,,13,11
1,6:18.0,,D. Hamilton enters the game for D. Bembry,13,11
1,6:07.0,,D. Hamilton makes 2-pt jump shot from 4 ft (assist by K. Huerter),13,13
1,5:54.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,15,13
1,5:35.0,,A. Len makes 2-pt dunk from 1 ft (assist by D. Hamilton),15,15
1,5:15.0,P. George makes 2-pt jump shot from 20 ft,,17,15
1,5:02.0,,Personal foul by R. Westbrook (drawn by D. Hamilton),17,15
1,4:58.0,,A. Len misses 3-pt jump shot from 25 ft,17,15
1,4:54.0,Defensive rebound by J. Grant,,17,15
1,4:49.0,,Violation by Team (kicked ball),17,15
1,4:41.0,R. Westbrook misses 2-pt jump shot from 9 ft,,17,15
1,4:38.0,,Defensive rebound by D. Hamilton,17,15
1,4:34.0,,Turnover by D. Hamilton (bad pass; steal by P. George),17,15
1,4:28.0,Turnover by R. Westbrook (lost ball; steal by J. Adams),,17,15
1,4:26.0,,Turnover by V. Carter (bad pass; steal by P. George),17,15
1,4:25.0,Turnover by P. George (bad pass),,17,15
1,4:12.0,,Personal foul by J. Grant (drawn by A. Len),17,15
1,4:12.0,,A. Len misses free throw 1 of 2,17,15
1,4:12.0,,Offensive rebound by Team,17,15
1,4:12.0,,J. Collins enters the game for J. Adams,17,15
1,4:12.0,,T. Prince enters the game for V. Carter,17,15
1,4:12.0,,T. Young enters the game for K. Huerter,17,15
1,4:12.0,,A. Len makes free throw 2 of 2,17,16
1,3:59.0,Def 3 sec tech foul by Team,,17,16
1,3:59.0,P. George makes technical free throw,,18,16
1,3:49.0,R. Westbrook misses 2-pt jump shot from 17 ft (block by D. Hamilton),,18,16
1,3:45.0,,Defensive rebound by T. Young,18,16
1,3:34.0,,T. Prince makes 2-pt jump shot from 15 ft (assist by A. Len),18,18
1,3:27.0,Turnover by S. Adams (bad pass; steal by D. Hamilton),,18,18
1,3:21.0,,D. Hamilton misses 2-pt jump shot from 20 ft,18,18
1,3:17.0,,Offensive rebound by A. Len,18,18
1,3:17.0,,A. Len makes 2-pt dunk from 1 ft,18,20
1,3:12.0,Shooting foul by A. Len (drawn by R. Westbrook),,18,20
1,3:12.0,R. Westbrook makes free throw 1 of 2,,19,20
1,3:12.0,P. Patterson enters the game for J. Grant,,19,20
1,3:12.0,R. Westbrook makes free throw 2 of 2,,20,20
1,2:57.0,,T. Young misses 2-pt jump shot from 22 ft,20,20
1,2:51.0,,Offensive rebound by D. Hamilton,20,20
1,2:51.0,,D. Hamilton misses 2-pt layup from 1 ft,20,20
1,2:51.0,Defensive rebound by S. Adams,,20,20
1,2:46.0,P. George misses 3-pt jump shot from 25 ft,,20,20
1,2:44.0,Offensive rebound by P. George,,20,20
1,2:35.0,Shooting foul by D. Hamilton (drawn by S. Adams),,20,20
1,2:35.0,Oklahoma City full timeout,,20,20
1,2:35.0,A. Nader enters the game for R. Westbrook,,20,20
1,2:35.0,,D. Bembry enters the game for D. Hamilton,20,20
1,2:35.0,S. Adams makes free throw 1 of 2,,21,20
1,2:35.0,S. Adams misses free throw 2 of 2,,21,20
1,2:32.0,,Defensive rebound by J. Collins,21,20
1,2:17.0,,Turnover by T. Prince (bad pass; steal by D. Schröder),21,20
1,2:08.0,D. Schröder misses 2-pt layup from 2 ft,,21,20
1,2:08.0,Offensive rebound by Team,,21,20
1,2:08.0,Turnover by D. Schröder (traveling),,21,20
1,1:49.0,,Turnover by T. Prince (bad pass; steal by S. Adams),21,20
1,1:34.0,D. Schröder misses 2-pt jump shot from 14 ft,,21,20
1,1:31.0,,Defensive rebound by A. Len,21,20
1,1:27.0,,T. Young makes 3-pt jump shot from 30 ft,21,23
1,1:15.0,Shooting foul by J. Collins (drawn by P. George),,21,23
1,1:15.0,P. George makes free throw 1 of 2,,22,23
1,1:15.0,P. George makes free throw 2 of 2,,23,23
1,0:59.0,,D. Bembry misses 2-pt layup from 1 ft (block by P. Patterson),23,23
1,0:55.0,Defensive rebound by S. Adams,,23,23
1,0:55.0,Shooting foul by T. Prince (drawn by P. George),,23,23
1,0:55.0,P. George makes free throw 1 of 2,,24,23
1,0:55.0,P. George makes free throw 2 of 2,,25,23
1,0:42.0,,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),25,25
1,0:32.0,A. Nader makes 3-pt jump shot from 25 ft (assist by D. Schröder),,28,25
1,0:06.0,,T. Prince misses 2-pt jump shot from 22 ft,28,25
1,0:03.0,Defensive rebound by P. George,,28,25
1,0:00.0,Personal foul by J. Collins (drawn by S. Adams),,28,25
1,0:00.0,S. Adams makes free throw 1 of 2,,29,25
1,0:00.0,,O. Spellman enters the game for J. Collins,29,25
1,0:00.0,S. Adams misses free throw 2 of 2,,29,25
1,0:00.0,,Defensive rebound by D. Bembry,29,25
2,11:44.0,,T. Prince makes 2-pt jump shot from 18 ft,29,27
2,11:24.0,D. Schröder misses 2-pt layup from 2 ft,,29,27
2,11:22.0,,Defensive rebound by T. Prince,29,27
2,11:12.0,,T. Young makes 2-pt layup from 1 ft,29,29
2,10:51.0,J. Grant misses 2-pt jump shot from 6 ft,,29,29
2,10:48.0,Offensive rebound by H. Diallo,,29,29
2,10:48.0,H. Diallo misses 2-pt layup at rim,,29,29
2,10:46.0,Offensive rebound by H. Diallo,,29,29
2,10:42.0,H. Diallo makes 2-pt jump shot from 11 ft,,31,29
2,10:36.0,,T. Young misses 2-pt layup from 2 ft (block by J. Grant),31,29
2,10:36.0,,Offensive rebound by T. Prince,31,29
2,10:29.0,,T. Prince makes 3-pt jump shot from 23 ft,31,32
2,10:13.0,Turnover by D. Schröder (lost ball; steal by T. Prince),,31,32
2,10:05.0,,K. Huerter misses 3-pt jump shot from 26 ft,31,32
2,10:02.0,Defensive rebound by A. Nader,,31,32
2,9:53.0,D. Schröder misses 2-pt layup from 2 ft,,31,32
2,9:50.0,,Defensive rebound by T. Young,31,32
2,9:41.0,,K. Huerter makes 3-pt jump shot from 23 ft,31,35
2,9:30.0,A. Nader misses 2-pt hook shot from 10 ft,,31,35
2,9:26.0,,Defensive rebound by T. Prince,31,35
2,9:21.0,,T. Young misses 2-pt jump shot from 13 ft,31,35
2,9:20.0,Defensive rebound by Team,,31,35
2,9:20.0,,Loose ball foul by T. Young (drawn by J. Grant),31,35
2,9:20.0,Oklahoma City full timeout,,31,35
2,9:09.0,J. Grant makes 2-pt layup at rim (assist by D. Schröder),,33,35
2,8:53.0,,O. Spellman makes 2-pt dunk at rim (assist by T. Young),33,37
2,8:41.0,J. Grant makes 2-pt dunk from 1 ft (assist by D. Schröder),,35,37
2,8:13.0,,T. Young makes 2-pt layup from 1 ft,35,39
2,8:07.0,Turnover by A. Nader (lost ball; steal by V. Carter),,35,39
2,7:54.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by T. Prince),35,42
2,7:36.0,J. Grant makes 2-pt layup from 2 ft (assist by D. Schröder),,37,42
2,7:27.0,,Turnover by T. Young (out of bounds lost ball),37,42
2,7:27.0,T. Ferguson enters the game for A. Nader,,37,42
2,7:27.0,R. Westbrook enters the game for D. Schröder,,37,42
2,7:27.0,,D. Bembry enters the game for T. Prince,37,42
2,7:10.0,R. Westbrook makes 2-pt jump shot from 19 ft,,39,42
2,6:47.0,,D. Bembry makes 2-pt layup from 2 ft (assist by O. Spellman),39,44
2,6:45.0,Oklahoma City full timeout,,39,44
2,6:45.0,,J. Collins enters the game for O. Spellman,39,44
2,6:29.0,R. Westbrook makes 2-pt layup from 1 ft,,41,44
2,6:26.0,,Personal foul by T. Ferguson (drawn by V. Carter),41,44
2,6:26.0,S. Adams enters the game for H. Diallo,,41,44
2,6:26.0,P. George enters the game for P. Patterson,,41,44
2,6:26.0,,A. Len enters the game for V. Carter,41,44
2,6:09.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Huerter),41,46
2,5:59.0,R. Westbrook misses 2-pt jump shot from 20 ft,,41,46
2,5:58.0,,Defensive rebound by Team,41,46
2,5:58.0,Loose ball foul by S. Adams (drawn by A. Len),,41,46
2,5:42.0,,J. Collins makes 2-pt dunk from 1 ft (assist by D. Bembry),41,48
2,5:26.0,P. George misses 2-pt jump shot from 18 ft,,41,48
2,5:24.0,,Defensive rebound by A. Len,41,48
2,5:16.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),41,50
2,5:10.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,44,50
2,4:49.0,,A. Len misses 3-pt jump shot from 24 ft,44,50
2,4:46.0,,Offensive rebound by A. Len,44,50
2,4:45.0,,A. Len makes 2-pt dunk from 1 ft,44,52
2,4:37.0,P. George misses 3-pt jump shot from 25 ft,,44,52
2,4:34.0,,Defensive rebound by D. Bembry,44,52
2,4:30.0,,T. Young misses 3-pt jump shot from 26 ft,44,52
2,4:27.0,Defensive rebound by P. George,,44,52
2,4:18.0,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,46,52
2,4:05.0,,T. Young misses 3-pt jump shot from 25 ft,46,52
2,4:05.0,,Offensive rebound by A. Len,46,52
2,4:05.0,,Shooting foul by S. Adams (drawn by A. Len),46,52
2,4:05.0,,A. Len makes free throw 1 of 2,46,53
2,4:05.0,D. Schröder enters the game for T. Ferguson,,46,53
2,4:05.0,,J. Adams enters the game for T. Young,46,53
2,4:05.0,,A. Len makes free throw 2 of 2,46,54
2,3:55.0,Personal foul by A. Len (drawn by R. Westbrook),,46,54
2,3:44.0,R. Westbrook misses 2-pt layup from 2 ft,,46,54
2,3:42.0,Offensive rebound by S. Adams,,46,54
2,3:42.0,Turnover by S. Adams (traveling),,46,54
2,3:25.0,,Turnover by K. Huerter (bad pass; steal by P. George),46,54
2,3:21.0,Turnover by P. George (bad pass; steal by J. Adams),,46,54
2,3:17.0,,J. Adams misses 3-pt jump shot from 26 ft,46,54
2,3:14.0,Defensive rebound by D. Schröder,,46,54
2,3:11.0,J. Grant makes 2-pt dunk from 2 ft (assist by D. Schröder),,48,54
2,2:52.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by D. Bembry),48,57
2,2:36.0,R. Westbrook misses 3-pt jump shot from 25 ft,,48,57
2,2:33.0,,Defensive rebound by A. Len,48,57
2,2:28.0,,A. Len makes 3-pt jump shot from 25 ft (assist by J. Adams),48,60
2,2:12.0,P. George misses 2-pt layup from 1 ft (block by A. Len),,48,60
2,2:05.0,Offensive rebound by S. Adams,,48,60
2,2:05.0,S. Adams makes 2-pt layup at rim,,50,60
2,1:54.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Collins),50,62
2,1:35.0,D. Schröder misses 2-pt jump shot from 16 ft,,50,62
2,1:32.0,,Defensive rebound by J. Collins,50,62
2,1:25.0,,J. Collins makes 2-pt dunk from 1 ft (assist by J. Adams),50,64
2,1:17.0,D. Schröder makes 2-pt layup from 1 ft,,52,64
2,0:57.0,,J. Adams misses 2-pt layup from 1 ft,52,64
2,0:54.0,,Offensive rebound by D. Bembry,52,64
2,0:51.0,,D. Bembry makes 3-pt jump shot from 26 ft,52,67
2,0:45.0,D. Schröder makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,55,67
2,0:39.0,,Atlanta full timeout,55,67
2,0:35.0,,K. Huerter makes 3-pt jump shot from 27 ft,55,70
2,0:26.0,Personal foul by K. Huerter (drawn by P. George),,55,70
2,0:26.0,,O. Spellman enters the game for J. Collins,55,70
2,0:20.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,57,70
2,0:20.0,Shooting foul by A. Len (drawn by J. Grant),,57,70
2,0:20.0,J. Grant misses free throw 1 of 1,,57,70
2,0:17.0,,Defensive rebound by O. Spellman,57,70
2,0:03.0,,Turnover by K. Huerter (lost ball; steal by R. Westbrook),57,70
2,0:00.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,59,70
3,11:41.0,,Turnover by T. Young (bad pass; steal by P. George),59,70
3,11:36.0,J. Grant makes 2-pt layup from 2 ft (assist by P. George),,61,70
3,11:19.0,,J. Collins makes 2-pt dunk from 1 ft (assist by D. Bembry),61,72
3,11:03.0,R. Westbrook makes 2-pt jump shot from 18 ft,,63,72
3,10:51.0,,O. Spellman misses 3-pt jump shot from 23 ft,63,72
3,10:48.0,Defensive rebound by S. Adams,,63,72
3,10:36.0,R. Westbrook makes 2-pt jump shot from 19 ft,,65,72
3,10:20.0,,Shooting foul by J. Grant (drawn by J. Collins),65,72
3,10:20.0,,J. Collins makes free throw 1 of 2,65,73
3,10:20.0,,J. Collins misses free throw 2 of 2,65,73
3,10:18.0,Defensive rebound by R. Westbrook,,65,73
3,10:07.0,T. Ferguson misses 3-pt jump shot from 23 ft,,65,73
3,10:03.0,Offensive rebound by P. George,,65,73
3,10:01.0,P. George makes 3-pt jump shot from 26 ft,,68,73
3,9:51.0,,O. Spellman misses 3-pt jump shot from 23 ft,68,73
3,9:48.0,Defensive rebound by P. George,,68,73
3,9:44.0,P. George misses 3-pt jump shot from 26 ft,,68,73
3,9:42.0,,Defensive rebound by D. Bembry,68,73
3,9:22.0,,J. Collins makes 2-pt jump shot from 8 ft (assist by T. Young),68,75
3,9:13.0,Personal foul by O. Spellman (drawn by S. Adams),,68,75
3,9:09.0,Shooting foul by J. Collins (drawn by R. Westbrook),,68,75
3,9:09.0,R. Westbrook makes free throw 1 of 2,,69,75
3,9:09.0,,A. Len enters the game for O. Spellman,69,75
3,9:09.0,R. Westbrook makes free throw 2 of 2,,70,75
3,8:51.0,,Personal foul by J. Grant (drawn by T. Young),70,75
3,8:45.0,,T. Young makes 3-pt jump shot from 25 ft (assist by A. Len),70,78
3,8:35.0,S. Adams makes 2-pt jump shot from 9 ft (assist by P. George),,72,78
3,8:35.0,Shooting foul by A. Len (drawn by S. Adams),,72,78
3,8:35.0,S. Adams misses free throw 1 of 1,,72,78
3,8:32.0,,Defensive rebound by D. Bembry,72,78
3,8:24.0,,Turnover by T. Young (bad pass; steal by R. Westbrook),72,78
3,8:20.0,J. Grant makes 2-pt dunk at rim (assist by T. Ferguson),,74,78
3,8:20.0,,Atlanta full timeout,74,78
3,8:07.0,,Turnover by D. Bembry (bad pass; steal by R. Westbrook),74,78
3,8:00.0,R. Westbrook misses 2-pt layup from 1 ft,,74,78
3,7:56.0,Offensive rebound by J. Grant,,74,78
3,7:56.0,J. Grant makes 2-pt layup from 1 ft,,76,78
3,7:42.0,,A. Len makes 2-pt jump shot from 9 ft (assist by T. Young),76,80
3,7:26.0,P. George misses 2-pt jump shot from 20 ft,,76,80
3,7:22.0,,Defensive rebound by A. Len,76,80
3,7:16.0,,K. Huerter misses 3-pt jump shot from 23 ft,76,80
