QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
1,11:45.0,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),,2,0
1,11:29.0,,D. Dotson misses 2-pt jump shot from 16 ft,2,0
1,11:27.0,Defensive rebound by J. Isaac,,2,0
1,11:18.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,4,0
1,11:08.0,,Shooting foul by D. Augustin (drawn by D. Smith),4,0
1,11:08.0,,D. Smith misses free throw 1 of 2,4,0
1,11:08.0,,Offensive rebound by Team,4,0
1,11:08.0,,D. Smith makes free throw 2 of 2,4,1
1,10:48.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by N. Vučević),,7,1
1,10:35.0,,K. Knox misses 2-pt jump shot from 19 ft (block by A. Gordon),7,1
1,10:33.0,Defensive rebound by J. Isaac,,7,1
1,10:17.0,N. Vučević misses 2-pt hook shot from 5 ft,,7,1
1,10:15.0,,Defensive rebound by L. Thomas,7,1
1,10:08.0,,D. Smith misses 2-pt layup from 2 ft (block by N. Vučević),7,1
1,10:07.0,Defensive rebound by E. Fournier,,7,1
1,10:06.0,Turnover by E. Fournier (bad pass),,7,1
1,9:46.0,,K. Knox misses 2-pt layup from 2 ft,7,1
1,9:44.0,Defensive rebound by E. Fournier,,7,1
1,9:30.0,J. Isaac misses 2-pt dunk from 2 ft (block by D. Smith),,7,1
1,9:29.0,Offensive rebound by Team,,7,1
1,9:27.0,E. Fournier misses 3-pt jump shot from 23 ft,,7,1
1,9:25.0,,Defensive rebound by D. Dotson,7,1
1,9:17.0,,K. Knox misses 3-pt jump shot from 26 ft,7,1
1,9:15.0,,Offensive rebound by N. Vonleh,7,1
1,9:10.0,,L. Thomas misses 3-pt jump shot from 26 ft,7,1
1,9:08.0,Defensive rebound by D. Augustin,,7,1
1,9:05.0,Turnover by D. Augustin (lost ball; steal by D. Dotson),,7,1
1,9:02.0,,D. Dotson makes 2-pt layup from 1 ft,7,3
1,8:42.0,E. Fournier makes 2-pt layup from 6 ft,,9,3
1,8:35.0,,New York full timeout,9,3
1,8:26.0,,D. Dotson misses 2-pt jump shot from 17 ft,9,3
1,8:24.0,Defensive rebound by A. Gordon,,9,3
1,8:13.0,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),,11,3
1,8:13.0,Shooting foul by L. Thomas (drawn by A. Gordon),,11,3
1,8:13.0,A. Gordon makes free throw 1 of 1,,12,3
1,8:02.0,,D. Dotson misses 3-pt jump shot from 25 ft,12,3
1,8:00.0,,Offensive rebound by L. Thomas,12,3
1,7:56.0,,Shooting foul by A. Gordon (drawn by L. Thomas),12,3
1,7:56.0,,L. Thomas misses free throw 1 of 2,12,3
1,7:56.0,,Offensive rebound by Team,12,3
1,7:56.0,,L. Thomas makes free throw 2 of 2,12,4
1,7:42.0,N. Vučević makes 2-pt jump shot from 14 ft (assist by E. Fournier),,14,4
1,7:27.0,,D. Smith misses 2-pt jump shot from 17 ft,14,4
1,7:25.0,Defensive rebound by N. Vučević,,14,4
1,7:20.0,Turnover by D. Augustin (out of bounds lost ball),,14,4
1,7:20.0,,E. Mudiay enters the game for D. Dotson,14,4
1,7:20.0,,M. Robinson enters the game for N. Vonleh,14,4
1,7:12.0,,Turnover by L. Thomas (step out of bounds),14,4
1,7:05.0,Personal foul by L. Thomas (drawn by A. Gordon),,14,4
1,6:55.0,A. Gordon misses 3-pt jump shot from 26 ft,,14,4
1,6:53.0,,Defensive rebound by K. Knox,14,4
1,6:48.0,,K. Knox misses 2-pt layup from 2 ft (block by J. Isaac),14,4
1,6:47.0,,Offensive rebound by Team,14,4
1,6:47.0,,H. Ellenson enters the game for L. Thomas,14,4
1,6:34.0,,D. Smith misses 2-pt jump shot from 14 ft,14,4
1,6:32.0,,Offensive rebound by M. Robinson,14,4
1,6:30.0,,M. Robinson makes 2-pt dunk from 1 ft,14,6
1,6:16.0,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),,16,6
1,6:01.0,,E. Mudiay misses 2-pt jump shot from 10 ft,16,6
1,6:00.0,Defensive rebound by Team,,16,6
1,6:00.0,W. Iwundu enters the game for A. Gordon,,16,6
1,5:48.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),,19,6
1,5:41.0,,New York full timeout,19,6
1,5:41.0,,D. Dotson enters the game for D. Smith,19,6
1,5:33.0,,Turnover by H. Ellenson (bad pass; steal by D. Augustin),19,6
1,5:20.0,N. Vučević makes 2-pt hook shot from 4 ft,,21,6
1,4:58.0,,E. Mudiay misses 2-pt jump shot from 11 ft,21,6
1,4:56.0,Defensive rebound by N. Vučević,,21,6
1,4:48.0,Turnover by D. Augustin (bad pass; steal by H. Ellenson),,21,6
1,4:44.0,,E. Mudiay makes 2-pt layup at rim (assist by H. Ellenson),21,8
1,4:44.0,,Shooting foul by W. Iwundu (drawn by E. Mudiay),21,8
1,4:44.0,J. Grant enters the game for D. Augustin,,21,8
1,4:44.0,,E. Mudiay makes free throw 1 of 1,21,9
1,4:31.0,E. Fournier misses 2-pt jump shot from 21 ft,,21,9
1,4:29.0,,Defensive rebound by E. Mudiay,21,9
1,4:23.0,,E. Mudiay makes 2-pt layup from 2 ft,21,11
1,4:16.0,Orlando full timeout,,21,11
1,4:03.0,W. Iwundu misses 3-pt jump shot from 22 ft,,21,11
1,4:01.0,,Defensive rebound by M. Robinson,21,11
1,3:56.0,,E. Mudiay makes 2-pt layup from 1 ft,21,13
1,3:40.0,E. Fournier misses 3-pt jump shot from 25 ft,,21,13
1,3:38.0,,Defensive rebound by E. Mudiay,21,13
1,3:28.0,,Turnover by K. Knox (bad pass; steal by N. Vučević),21,13
1,3:22.0,J. Isaac makes 2-pt dunk from 1 ft (assist by E. Fournier),,23,13
1,3:08.0,,E. Mudiay misses 3-pt jump shot from 28 ft,23,13
1,3:06.0,Defensive rebound by W. Iwundu,,23,13
1,2:57.0,W. Iwundu misses 2-pt layup from 1 ft,,23,13
1,2:55.0,,Defensive rebound by H. Ellenson,23,13
1,2:46.0,,D. Dotson misses 3-pt jump shot from 24 ft,23,13
1,2:44.0,Defensive rebound by J. Grant,,23,13
1,2:37.0,N. Vučević misses 2-pt jump shot from 17 ft,,23,13
1,2:35.0,,Defensive rebound by K. Knox,23,13
1,2:26.0,,K. Knox makes 2-pt layup from 1 ft,23,15
1,2:08.0,N. Vučević makes 2-pt hook shot from 5 ft,,25,15
1,1:52.0,,Turnover by E. Mudiay (bad pass; steal by E. Fournier),25,15
1,1:47.0,J. Isaac makes 2-pt dunk at rim (assist by E. Fournier),,27,15
1,1:29.0,,K. Knox misses 3-pt jump shot from 26 ft,27,15
1,1:27.0,Defensive rebound by J. Isaac,,27,15
1,1:17.0,J. Isaac misses 3-pt jump shot from 26 ft,,27,15
