QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CLEVELAND_ACTION,MEMPHIS_SCORE,CLEVELAND_SCORE
1,11:40.0,J. Valančiūnas misses 2-pt layup from 3 ft,,0,0
1,11:37.0,,Defensive rebound by K. Love,0,0
1,11:33.0,,B. Knight misses 3-pt jump shot from 24 ft,0,0
1,11:29.0,Defensive rebound by A. Bradley,,0,0
1,11:26.0,M. Conley misses 3-pt jump shot from 24 ft,,0,0
1,11:21.0,,Defensive rebound by K. Love,0,0
1,11:15.0,,C. Sexton makes 2-pt layup from 1 ft (assist by B. Knight),0,2
1,11:04.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by A. Bradley),,3,2
1,10:45.0,,K. Love misses 3-pt jump shot from 26 ft,3,2
1,10:43.0,Defensive rebound by M. Conley,,3,2
1,10:34.0,Offensive foul by J. Valančiūnas (drawn by K. Love),,3,2
1,10:34.0,Turnover by J. Valančiūnas (offensive foul),,3,2
1,10:21.0,,C. Osman misses 2-pt jump shot from 15 ft,3,2
1,10:19.0,Defensive rebound by Team,,3,2
1,10:01.0,A. Bradley misses 2-pt layup from 2 ft,,3,2
1,9:59.0,,Defensive rebound by K. Love,3,2
1,9:57.0,,Turnover by C. Osman (step out of bounds),3,2
1,9:48.0,I. Rabb makes 2-pt jump shot from 18 ft (assist by M. Conley),,5,2
1,9:25.0,,A. Žižić misses 2-pt jump shot from 11 ft,5,2
1,9:23.0,,Offensive rebound by K. Love,5,2
1,9:21.0,,Turnover by K. Love (bad pass; steal by M. Conley),5,2
1,9:15.0,I. Rabb makes 2-pt layup from 1 ft (assist by M. Conley),,7,2
1,9:03.0,,C. Sexton makes 2-pt jump shot from 14 ft,7,4
1,8:49.0,J. Valančiūnas misses 2-pt hook shot from 7 ft,,7,4
1,8:47.0,,Defensive rebound by C. Osman,7,4
1,8:40.0,,Shooting foul by I. Rabb (drawn by K. Love),7,4
1,8:40.0,,K. Love makes free throw 1 of 2,7,5
1,8:40.0,,K. Love makes free throw 2 of 2,7,6
1,8:29.0,A. Bradley misses 2-pt jump shot from 22 ft,,7,6
1,8:26.0,,Defensive rebound by K. Love,7,6
1,8:16.0,,B. Knight makes 2-pt jump shot from 9 ft,7,8
1,8:05.0,I. Rabb makes 2-pt hook shot from 5 ft,,9,8
1,8:02.0,,Personal foul by A. Bradley (drawn by C. Sexton),9,8
1,7:53.0,,C. Sexton misses 2-pt jump shot from 12 ft,9,8
1,7:48.0,,Offensive rebound by A. Žižić,9,8
1,7:48.0,,A. Žižić makes 2-pt layup from 1 ft,9,10
1,7:37.0,J. Valančiūnas makes 2-pt jump shot from 14 ft,,11,10
1,7:28.0,,Shooting foul by A. Bradley (drawn by A. Žižić),11,10
1,7:28.0,,A. Žižić makes free throw 1 of 2,11,11
1,7:28.0,,A. Žižić makes free throw 2 of 2,11,12
1,7:15.0,J. Holiday misses 2-pt jump shot from 23 ft,,11,12
1,7:12.0,,Defensive rebound by K. Love,11,12
1,7:04.0,,K. Love makes 3-pt jump shot from 25 ft (assist by C. Osman),11,15
1,6:50.0,M. Conley misses 2-pt jump shot from 19 ft,,11,15
1,6:48.0,,Defensive rebound by A. Žižić,11,15
1,6:44.0,,A. Žižić makes 2-pt layup at rim (assist by B. Knight),11,17
1,6:44.0,,Shooting foul by J. Holiday (drawn by A. Žižić),11,17
1,6:44.0,,Cleveland full timeout,11,17
1,6:44.0,J. Noah enters the game for J. Valančiūnas,,11,17
1,6:44.0,,A. Žižić makes free throw 1 of 1,11,18
1,6:31.0,Personal foul by B. Knight (drawn by J. Noah),,11,18
1,6:24.0,I. Rabb misses 3-pt jump shot from 23 ft,,11,18
1,6:22.0,,Defensive rebound by C. Osman,11,18
1,6:19.0,,Personal foul by I. Rabb (drawn by K. Love),11,18
1,6:19.0,,K. Love makes free throw 1 of 2,11,19
1,6:19.0,B. Caboclo enters the game for I. Rabb,,11,19
1,6:19.0,,K. Love makes free throw 2 of 2,11,20
1,6:03.0,M. Conley misses 2-pt jump shot from 17 ft,,11,20
1,6:00.0,,Defensive rebound by C. Osman,11,20
1,5:52.0,,Personal foul by B. Caboclo (drawn by K. Love),11,20
1,5:52.0,,K. Love makes free throw 1 of 2,11,21
1,5:52.0,D. Wright enters the game for M. Conley,,11,21
1,5:52.0,,L. Nance enters the game for A. Žižić,11,21
1,5:52.0,,K. Love makes free throw 2 of 2,11,22
1,5:41.0,A. Bradley makes 2-pt jump shot from 10 ft (assist by D. Wright),,13,22
1,5:41.0,Shooting foul by B. Knight (drawn by A. Bradley),,13,22
1,5:41.0,,M. Chriss enters the game for B. Knight,13,22
1,5:41.0,,J. Clarkson enters the game for K. Love,13,22
1,5:41.0,A. Bradley makes free throw 1 of 1,,14,22
