QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,OKLAHOMA CITY_ACTION,SACRAMENTO_SCORE,OKLAHOMA CITY_SCORE
1,11:55.0,,T. Ferguson misses 3-pt jump shot from 22 ft,0,0
1,11:52.0,Defensive rebound by W. Cauley-Stein,,0,0
1,11:45.0,H. Barnes misses 2-pt layup from 1 ft,,0,0
1,11:43.0,,Defensive rebound by S. Adams,0,0
1,11:33.0,,P. George makes 2-pt dunk from 1 ft (assist by S. Adams),0,2
1,11:11.0,B. Hield misses 2-pt jump shot from 17 ft,,0,2
1,11:09.0,,Defensive rebound by P. George,0,2
1,11:04.0,,Turnover by R. Westbrook (bad pass; steal by W. Cauley-Stein),0,2
1,10:56.0,D. Fox makes 2-pt jump shot from 20 ft,,2,2
1,10:33.0,,R. Westbrook misses 2-pt jump shot from 11 ft,2,2
1,10:30.0,Defensive rebound by B. Hield,,2,2
1,10:17.0,H. Barnes misses 3-pt jump shot from 27 ft,,2,2
1,10:16.0,,Defensive rebound by Team,2,2
1,10:02.0,,T. Ferguson misses 2-pt jump shot from 5 ft,2,2
1,9:59.0,Defensive rebound by B. Bogdanović,,2,2
1,9:55.0,Turnover by B. Bogdanović (bad pass),,2,2
1,9:49.0,,Offensive foul by P. George (drawn by H. Barnes),2,2
1,9:49.0,,Turnover by P. George (offensive foul),2,2
1,9:35.0,B. Bogdanović makes 2-pt jump shot from 4 ft (assist by B. Hield),,4,2
1,9:28.0,,Turnover by R. Westbrook (bad pass),4,2
1,9:20.0,B. Hield misses 2-pt jump shot from 23 ft,,4,2
1,9:19.0,Offensive rebound by Team,,4,2
1,9:14.0,B. Bogdanović makes 2-pt jump shot from 13 ft,,6,2
1,9:01.0,,P. George makes 2-pt jump shot from 14 ft,6,4
1,8:44.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by B. Hield),,9,4
1,8:35.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),9,6
1,8:23.0,B. Hield makes 2-pt jump shot from 14 ft,,11,6
1,8:13.0,,P. George makes 3-pt jump shot from 26 ft,11,9
1,7:54.0,B. Hield makes 2-pt dunk at rim (assist by D. Fox),,13,9
1,7:39.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by P. George),13,12
1,7:29.0,Personal foul by T. Ferguson (drawn by B. Hield),,13,12
1,7:20.0,D. Fox misses 2-pt jump shot from 6 ft,,13,12
1,7:16.0,,Defensive rebound by R. Westbrook,13,12
1,7:04.0,,S. Adams makes 2-pt hook shot from 7 ft,13,14
1,6:52.0,B. Hield misses 2-pt layup from 3 ft,,13,14
1,6:50.0,,Defensive rebound by J. Grant,13,14
1,6:46.0,,T. Ferguson misses 3-pt jump shot from 24 ft,13,14
1,6:43.0,,Offensive rebound by S. Adams,13,14
1,6:43.0,,S. Adams misses 2-pt layup at rim,13,14
1,6:43.0,,Offensive rebound by Team,13,14
1,6:43.0,,Oklahoma City full timeout,13,14
1,6:43.0,M. Bagley enters the game for B. Bogdanović,,13,14
1,6:30.0,,P. George misses 2-pt layup from 4 ft (block by M. Bagley),13,14
1,6:26.0,Defensive rebound by M. Bagley,,13,14
1,6:09.0,B. Hield makes 2-pt jump shot from 21 ft,,15,14
1,5:53.0,,J. Grant misses 2-pt dunk from 1 ft (block by D. Fox),15,14
1,5:53.0,Defensive rebound by W. Cauley-Stein,,15,14
1,5:48.0,H. Barnes misses 3-pt jump shot from 24 ft,,15,14
1,5:46.0,Offensive rebound by M. Bagley,,15,14
1,5:44.0,B. Hield makes 3-pt jump shot from 26 ft (assist by M. Bagley),,18,14
1,5:22.0,,T. Ferguson misses 3-pt jump shot from 22 ft,18,14
1,5:18.0,Defensive rebound by W. Cauley-Stein,,18,14
