QUARTER,TIME_REMAINING,INDIANA_ACTION,DETROIT_ACTION,INDIANA_SCORE,DETROIT_SCORE
1,11:40.0,,B. Brown misses 2-pt layup from 3 ft,0,0
1,11:37.0,Defensive rebound by M. Turner,,0,0
1,11:21.0,D. Collison misses 2-pt jump shot from 18 ft,,0,0
1,11:18.0,Offensive rebound by T. Young,,0,0
1,11:13.0,T. Young makes 2-pt jump shot from 18 ft,,2,0
1,10:54.0,,A. Drummond makes 2-pt jump shot from 13 ft (assist by R. Jackson),2,2
1,10:45.0,B. Bogdanović misses 2-pt hook shot from 5 ft,,2,2
1,10:42.0,,Defensive rebound by A. Drummond,2,2
1,10:38.0,,B. Brown makes 2-pt layup from 1 ft (assist by R. Jackson),2,4
1,10:29.0,Turnover by D. Collison (lost ball; steal by B. Brown),,2,4
1,10:14.0,,Personal foul by M. Turner (drawn by R. Jackson),2,4
1,10:03.0,,R. Jackson misses 3-pt jump shot from 28 ft,2,4
1,10:02.0,Defensive rebound by Team,,2,4
1,9:48.0,B. Bogdanović misses 2-pt layup from 1 ft,,2,4
1,9:43.0,,Defensive rebound by W. Ellington,2,4
1,9:40.0,,A. Drummond misses 2-pt layup at rim (block by T. Young),2,4
1,9:40.0,,Offensive rebound by Team,2,4
1,9:35.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by R. Jackson),2,7
1,9:22.0,Turnover by D. Collison (bad pass; steal by A. Drummond),,2,7
1,9:15.0,,A. Drummond makes 2-pt dunk from 1 ft,2,9
1,9:01.0,Turnover by B. Bogdanović (3 sec),,2,9
1,8:45.0,,Turnover by W. Ellington (bad pass; steal by D. Collison),2,9
1,8:36.0,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),,4,9
1,8:27.0,,W. Ellington misses 3-pt jump shot from 27 ft,4,9
1,8:27.0,Defensive rebound by M. Turner,,4,9
1,8:18.0,W. Matthews misses 2-pt jump shot from 11 ft,,4,9
1,8:14.0,,Defensive rebound by B. Griffin,4,9
1,8:04.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),4,11
1,7:47.0,Turnover by D. Collison (step out of bounds),,4,11
1,7:34.0,,R. Jackson misses 2-pt jump shot from 17 ft,4,11
1,7:32.0,Defensive rebound by D. Collison,,4,11
1,7:28.0,Shooting foul by R. Jackson (drawn by D. Collison),,4,11
1,7:28.0,D. Collison makes free throw 1 of 2,,5,11
1,7:28.0,D. Collison makes free throw 2 of 2,,6,11
1,7:16.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),6,13
1,7:00.0,Turnover by B. Bogdanović (lost ball; steal by A. Drummond),,6,13
1,6:57.0,,Shooting foul by T. Young (drawn by B. Brown),6,13
1,6:57.0,,Detroit full timeout,6,13
1,6:57.0,,B. Brown makes free throw 1 of 2,6,14
1,6:57.0,,B. Brown misses free throw 2 of 2,6,14
1,6:54.0,Defensive rebound by T. Young,,6,14
1,6:35.0,Personal foul by B. Brown (drawn by M. Turner),,6,14
1,6:29.0,M. Turner misses 2-pt jump shot from 16 ft,,6,14
1,6:23.0,,Defensive rebound by B. Brown,6,14
1,6:09.0,,B. Griffin misses 2-pt layup from 1 ft (block by M. Turner),6,14
1,6:06.0,Defensive rebound by D. Collison,,6,14
1,6:06.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Collison),,8,14
1,6:06.0,,Violation by Team (def goaltending),8,14
1,5:44.0,,B. Griffin makes 3-pt jump shot from 23 ft,8,17
1,5:32.0,T. Young makes 2-pt layup from 2 ft,,10,17
1,5:21.0,,B. Griffin misses 3-pt jump shot from 27 ft,10,17
1,5:17.0,Defensive rebound by T. Young,,10,17
1,5:07.0,D. Collison misses 2-pt jump shot from 20 ft,,10,17
1,5:02.0,,Defensive rebound by A. Drummond,10,17
1,4:59.0,,Personal foul by D. Collison (drawn by R. Jackson),10,17
1,4:49.0,,R. Jackson misses 2-pt jump shot from 13 ft,10,17
1,4:46.0,Defensive rebound by B. Bogdanović,,10,17
1,4:43.0,Personal foul by B. Griffin (drawn by B. Bogdanović),,10,17
1,4:24.0,T. Young misses 2-pt jump shot from 20 ft,,10,17
1,4:22.0,,Defensive rebound by R. Jackson,10,17
1,4:16.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),10,20
1,4:03.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Collison),,13,20
1,3:52.0,,A. Drummond misses 2-pt layup from 3 ft (block by M. Turner),13,20
1,3:48.0,,Offensive rebound by B. Brown,13,20
1,3:46.0,,W. Ellington makes 3-pt jump shot from 28 ft (assist by B. Griffin),13,23
1,3:36.0,Indiana full timeout,,13,23
1,3:36.0,T. Evans enters the game for B. Bogdanović,,13,23
1,3:36.0,C. Joseph enters the game for D. Collison,,13,23
1,3:36.0,D. Sabonis enters the game for T. Young,,13,23
1,3:36.0,,L. Kennard enters the game for W. Ellington,13,23
1,3:36.0,,I. Smith enters the game for R. Jackson,13,23
1,3:29.0,W. Matthews misses 3-pt jump shot from 27 ft,,13,23
1,3:26.0,,Defensive rebound by A. Drummond,13,23
1,3:18.0,,A. Drummond misses 2-pt hook shot from 5 ft,13,23
1,3:16.0,Defensive rebound by D. Sabonis,,13,23
1,3:08.0,Turnover by W. Matthews (lost ball; steal by B. Griffin),,13,23
1,2:48.0,,I. Smith makes 2-pt jump shot from 15 ft,13,25
1,2:35.0,Shooting foul by B. Griffin (drawn by D. Sabonis),,13,25
1,2:35.0,D. Sabonis makes free throw 1 of 2,,14,25
1,2:35.0,T. Leaf enters the game for W. Matthews,,14,25
1,2:35.0,D. McDermott enters the game for M. Turner,,14,25
1,2:35.0,,T. Maker enters the game for B. Griffin,14,25
1,2:35.0,D. Sabonis misses free throw 2 of 2,,14,25
1,2:31.0,,Defensive rebound by T. Maker,14,25
1,2:13.0,,L. Kennard makes 3-pt jump shot from 28 ft (assist by B. Brown),14,28
1,1:56.0,T. Evans misses 2-pt hook shot from 4 ft,,14,28
1,1:54.0,,Defensive rebound by A. Drummond,14,28
1,1:49.0,,L. Kennard makes 3-pt jump shot from 27 ft (assist by B. Brown),14,31
1,1:33.0,D. Sabonis makes 2-pt jump shot from 18 ft (assist by D. McDermott),,16,31
1,1:33.0,Shooting foul by A. Drummond (drawn by D. Sabonis),,16,31
1,1:33.0,,L. Galloway enters the game for B. Brown,16,31
1,1:33.0,D. Sabonis makes free throw 1 of 1,,17,31
1,1:17.0,,A. Drummond makes 2-pt layup from 3 ft (assist by L. Kennard),17,33
1,1:03.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,20,33
1,0:55.0,,Personal foul by D. Sabonis (drawn by A. Drummond),20,33
