QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
4,0:06.0,J. Murray enters the game for M. Plumlee,,112,112
4,0:06.0,,J. Isaac enters the game for D. Augustin,112,112
4,0:06.0,,J. Simmons enters the game for T. Ross,112,112
4,0:01.0,J. Murray misses 2-pt jump shot from 10 ft,,112,112
4,0:01.0,Offensive rebound by Team,,112,112
1OT,4:40.0,N. Jokić misses 2-pt hook shot from 8 ft,,112,112
1OT,4:38.0,,Defensive rebound by Team,112,112
1OT,4:24.0,,E. Fournier misses 3-pt jump shot from 27 ft,112,112
1OT,4:21.0,Defensive rebound by P. Millsap,,112,112
1OT,4:09.0,Shooting foul by E. Fournier (drawn by P. Millsap),,112,112
1OT,4:09.0,P. Millsap misses free throw 1 of 2,,112,112
1OT,4:09.0,Offensive rebound by Team,,112,112
1OT,4:09.0,P. Millsap makes free throw 2 of 2,,113,112
1OT,3:53.0,,A. Gordon misses 2-pt jump shot from 15 ft,113,112
1OT,3:49.0,Defensive rebound by N. Jokić,,113,112
1OT,3:36.0,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),,115,112
1OT,3:26.0,,Personal foul by N. Jokić (drawn by D. Augustin),115,112
1OT,3:20.0,,A. Gordon misses 2-pt jump shot from 21 ft,115,112
1OT,3:17.0,,Offensive rebound by E. Fournier,115,112
1OT,3:16.0,,Shooting foul by J. Hernangómez (drawn by E. Fournier),115,112
1OT,3:16.0,,E. Fournier makes free throw 1 of 2,115,113
1OT,3:16.0,,E. Fournier makes free throw 2 of 2,115,114
1OT,3:07.0,Turnover by N. Jokić (bad pass),,115,114
1OT,2:45.0,,E. Fournier misses 3-pt jump shot from 26 ft,115,114
1OT,2:42.0,Defensive rebound by P. Millsap,,115,114
1OT,2:30.0,J. Murray misses 3-pt jump shot from 27 ft,,115,114
1OT,2:27.0,,Defensive rebound by N. Vučević,115,114
1OT,2:23.0,,Personal foul by M. Beasley (drawn by D. Augustin),115,114
1OT,2:16.0,,N. Vučević misses 3-pt jump shot from 27 ft,115,114
1OT,2:13.0,Defensive rebound by P. Millsap,,115,114
1OT,2:00.0,Personal foul by E. Fournier (drawn by N. Jokić),,115,114
1OT,2:00.0,,J. Isaac enters the game for E. Fournier,115,114
1OT,2:00.0,,Technical foul by E. Fournier,115,114
1OT,2:00.0,J. Murray makes technical free throw,,116,114
1OT,1:48.0,J. Murray makes 3-pt jump shot from 23 ft (assist by N. Jokić),,119,114
1OT,1:35.0,,T. Ross misses 3-pt jump shot from 27 ft,119,114
1OT,1:32.0,Defensive rebound by N. Jokić,,119,114
1OT,1:13.0,N. Jokić makes 2-pt jump shot from 14 ft,,121,114
1OT,1:13.0,,Orlando full timeout,121,114
1OT,1:04.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by T. Ross),121,116
1OT,0:45.0,J. Murray misses 2-pt layup from 2 ft,,121,116
1OT,0:43.0,,Defensive rebound by T. Ross,121,116
1OT,0:39.0,,Personal foul by N. Jokić (drawn by T. Ross),121,116
1OT,0:39.0,,T. Ross makes free throw 1 of 2,121,117
1OT,0:39.0,,T. Ross makes free throw 2 of 2,121,118
1OT,0:20.0,Personal foul by N. Vučević (drawn by J. Murray),,121,118
1OT,0:20.0,J. Murray makes free throw 1 of 2,,122,118
1OT,0:20.0,J. Murray makes free throw 2 of 2,,123,118
1OT,0:20.0,,Orlando full timeout,123,118
1OT,0:17.0,,J. Isaac misses 3-pt jump shot from 27 ft,123,118
1OT,0:11.0,Defensive rebound by M. Beasley,,123,118
1OT,0:10.0,Personal foul by J. Isaac (drawn by J. Murray),,123,118
1OT,0:10.0,J. Murray makes free throw 1 of 2,,124,118
1OT,0:10.0,J. Murray misses free throw 2 of 2,,124,118
1OT,0:08.0,,Defensive rebound by N. Vučević,124,118
1OT,0:03.0,,A. Gordon misses 3-pt jump shot from 27 ft,124,118
1OT,0:00.0,Defensive rebound by P. Millsap,,124,118
