QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
1,4:43.0,,Defensive rebound by N. Vučević,22,16
1,4:33.0,,A. Gordon misses 3-pt jump shot from 23 ft,22,16
1,4:30.0,Defensive rebound by J. Hernangómez,,22,16
1,4:21.0,P. Millsap misses 2-pt hook shot from 7 ft,,22,16
1,4:19.0,Offensive rebound by T. Craig,,22,16
1,4:08.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),,25,16
1,3:52.0,,A. Gordon makes 2-pt jump shot from 12 ft,25,18
1,3:38.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,25,18
1,3:35.0,,Defensive rebound by A. Gordon,25,18
1,3:30.0,,A. Gordon makes 2-pt layup from 2 ft,25,20
1,3:23.0,Denver full timeout,,25,20
1,3:23.0,M. Morris enters the game for P. Millsap,,25,20
1,3:23.0,M. Plumlee enters the game for J. Murray,,25,20
1,3:23.0,,J. Grant enters the game for D. Augustin,25,20
1,3:23.0,,J. Isaac enters the game for E. Fournier,25,20
1,3:23.0,,T. Ross enters the game for J. Simmons,25,20
1,3:10.0,N. Jokić misses 2-pt jump shot from 18 ft,,25,20
1,3:08.0,,Defensive rebound by A. Gordon,25,20
1,3:08.0,,Personal foul by M. Plumlee (drawn by A. Gordon),25,20
1,2:58.0,,N. Vučević misses 2-pt hook shot from 6 ft,25,20
1,2:55.0,Defensive rebound by M. Plumlee,,25,20
1,2:43.0,Personal foul by J. Isaac (drawn by N. Jokić),,25,20
1,2:43.0,M. Beasley enters the game for T. Craig,,25,20
1,2:36.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by M. Beasley),,27,20
1,2:19.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Isaac),27,23
1,1:59.0,Shooting foul by N. Vučević (drawn by M. Plumlee),,27,23
1,1:59.0,,Technical foul by N. Vučević,27,23
1,1:59.0,M. Morris misses technical free throw,,27,23
1,1:59.0,Offensive rebound by Team,,27,23
1,1:59.0,M. Plumlee makes free throw 1 of 2,,28,23
1,1:59.0,T. Lyles enters the game for N. Jokić,,28,23
1,1:59.0,,M. Bamba enters the game for N. Vučević,28,23
1,1:59.0,M. Plumlee makes free throw 2 of 2,,29,23
1,1:43.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by M. Bamba),29,26
1,1:24.0,M. Plumlee makes 2-pt hook shot from 3 ft,,31,26
1,0:59.0,,A. Gordon misses 2-pt layup from 4 ft (block by M. Plumlee),31,26
1,0:59.0,,Offensive rebound by Team,31,26
1,0:59.0,,Orlando full timeout,31,26
1,0:55.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by J. Isaac),31,28
1,0:35.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,31,28
1,0:32.0,,Defensive rebound by M. Bamba,31,28
1,0:19.0,,Turnover by J. Isaac (out of bounds lost ball),31,28
1,0:00.0,T. Lyles misses 2-pt jump shot from 15 ft (block by J. Isaac),,31,28
1,0:00.0,,Defensive rebound by J. Isaac,31,28
