QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
1,11:43.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),0,2
1,11:28.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,2
1,11:25.0,,Defensive rebound by T. Ferguson,0,2
1,11:18.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),0,4
1,10:58.0,Turnover by T. Ariza (bad pass; steal by S. Adams),,0,4
1,10:51.0,,P. George makes 2-pt dunk from 1 ft,0,6
1,10:36.0,J. Green misses 2-pt jump shot from 9 ft,,0,6
1,10:36.0,Offensive rebound by J. Green,,0,6
1,10:36.0,Shooting foul by J. Grant (drawn by J. Green),,0,6
1,10:36.0,J. Green makes free throw 1 of 2,,1,6
1,10:36.0,J. Green makes free throw 2 of 2,,2,6
1,10:27.0,,Turnover by R. Westbrook (bad pass; steal by T. Bryant),2,6
1,10:22.0,B. Beal misses 3-pt jump shot from 26 ft,,2,6
1,10:20.0,,Defensive rebound by R. Westbrook,2,6
1,10:14.0,,R. Westbrook misses 2-pt jump shot from 9 ft,2,6
1,10:11.0,Defensive rebound by J. Green,,2,6
1,9:54.0,T. Satoranský makes 2-pt jump shot from 10 ft (assist by B. Beal),,4,6
1,9:42.0,,T. Ferguson misses 3-pt jump shot from 25 ft,4,6
1,9:39.0,Defensive rebound by J. Green,,4,6
1,9:30.0,,Violation by Team (kicked ball),4,6
1,9:25.0,J. Green misses 2-pt jump shot from 16 ft,,4,6
1,9:21.0,,Defensive rebound by S. Adams,4,6
1,9:07.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),4,8
1,9:07.0,,Shooting foul by J. Green (drawn by P. George),4,8
1,9:07.0,,P. George makes free throw 1 of 1,4,9
1,8:53.0,B. Beal misses 2-pt jump shot from 15 ft,,4,9
1,8:50.0,,Defensive rebound by R. Westbrook,4,9
1,8:39.0,,Shooting foul by B. Beal (drawn by S. Adams),4,9
