QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
1,11:37.0,M. Morris misses 3-pt jump shot from 27 ft,,0,0
1,11:35.0,Offensive rebound by M. Morris,,0,0
1,11:30.0,K. Irving misses 3-pt jump shot from 26 ft,,0,0
1,11:27.0,,Defensive rebound by G. Antetokounmpo,0,0
1,11:11.0,,K. Middleton misses 2-pt jump shot from 14 ft,0,0
1,11:08.0,Defensive rebound by A. Horford,,0,0
1,11:03.0,A. Horford misses 2-pt jump shot from 10 ft,,0,0
1,11:01.0,,Defensive rebound by K. Middleton,0,0
1,10:57.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),0,2
1,10:47.0,K. Irving misses 2-pt layup from 2 ft,,0,2
1,10:46.0,Offensive rebound by A. Horford,,0,2
1,10:46.0,A. Horford misses 2-pt layup from 1 ft,,0,2
1,10:45.0,Offensive rebound by A. Horford,,0,2
1,10:45.0,A. Horford misses 2-pt layup at rim,,0,2
1,10:44.0,Offensive rebound by A. Horford,,0,2
1,10:44.0,A. Horford makes 2-pt layup from 1 ft,,2,2
1,10:25.0,,Turnover by E. Bledsoe (lost ball; steal by M. Smart),2,2
1,10:20.0,K. Irving misses 2-pt jump shot from 20 ft,,2,2
1,10:16.0,,Defensive rebound by G. Antetokounmpo,2,2
1,10:14.0,,Turnover by G. Antetokounmpo (out of bounds lost ball),2,2
1,10:01.0,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),,4,2
1,9:42.0,,M. Brogdon misses 2-pt jump shot from 10 ft,4,2
1,9:39.0,Defensive rebound by A. Horford,,4,2
1,9:31.0,J. Tatum makes 2-pt jump shot from 13 ft,,6,2
1,9:14.0,,Turnover by G. Antetokounmpo (step out of bounds),6,2
1,9:02.0,Turnover by M. Smart (bad pass; steal by M. Brogdon),,6,2
1,8:55.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft,6,2
1,8:53.0,,Offensive rebound by M. Brogdon,6,2
1,8:52.0,,M. Brogdon misses 2-pt layup from 2 ft,6,2
1,8:50.0,Defensive rebound by A. Horford,,6,2
1,8:48.0,Personal foul by B. Lopez (drawn by M. Morris),,6,2
1,8:40.0,A. Horford misses 2-pt jump shot from 15 ft,,6,2
1,8:38.0,,Defensive rebound by G. Antetokounmpo,6,2
1,8:22.0,,K. Middleton makes 2-pt jump shot from 13 ft,6,4
1,8:06.0,K. Irving misses 2-pt layup from 2 ft,,6,4
1,8:03.0,,Defensive rebound by B. Lopez,6,4
1,7:59.0,,K. Middleton misses 3-pt jump shot from 27 ft,6,4
1,7:54.0,,Offensive rebound by E. Bledsoe,6,4
1,7:51.0,,Milwaukee full timeout,6,4
1,7:42.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,6,4
1,7:39.0,Defensive rebound by M. Smart,,6,4
1,7:20.0,Turnover by J. Tatum (bad pass; steal by K. Middleton),,6,4
1,7:15.0,,Turnover by K. Middleton (bad pass; steal by J. Tatum),6,4
1,7:14.0,J. Tatum misses 3-pt jump shot from 27 ft,,6,4
1,7:14.0,Offensive rebound by A. Horford,,6,4
1,7:14.0,Shooting foul by K. Middleton (drawn by A. Horford),,6,4
1,7:14.0,A. Horford misses free throw 1 of 2,,6,4
1,7:14.0,Offensive rebound by Team,,6,4
1,7:14.0,,S. Brown enters the game for M. Brogdon,6,4
1,7:14.0,A. Horford makes free throw 2 of 2,,7,4
1,6:49.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),7,6
1,6:38.0,M. Morris makes 2-pt jump shot from 18 ft,,9,6
1,6:23.0,,E. Bledsoe misses 2-pt jump shot from 17 ft,9,6
1,6:20.0,Defensive rebound by J. Tatum,,9,6
1,6:12.0,K. Irving makes 2-pt jump shot from 9 ft,,11,6
1,6:01.0,,G. Antetokounmpo misses 2-pt layup from 8 ft (block by K. Irving),11,6
1,6:01.0,,Offensive rebound by Team,11,6
1,6:01.0,J. Brown enters the game for J. Tatum,,11,6
1,5:47.0,,B. Lopez misses 3-pt jump shot from 24 ft,11,6
1,5:44.0,Defensive rebound by J. Brown,,11,6
1,5:37.0,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),,14,6
1,5:25.0,,K. Middleton misses 2-pt jump shot from 18 ft,14,6
1,5:23.0,Defensive rebound by J. Brown,,14,6
1,5:16.0,M. Smart makes 3-pt jump shot from 27 ft (assist by M. Morris),,17,6
1,5:14.0,,Milwaukee full timeout,17,6
1,5:14.0,D. Theis enters the game for A. Horford,,17,6
1,5:14.0,,G. Hill enters the game for G. Antetokounmpo,17,6
1,5:14.0,,N. Mirotić enters the game for E. Bledsoe,17,6
1,5:00.0,,B. Lopez misses 2-pt hook shot from 6 ft,17,6
1,4:58.0,Defensive rebound by M. Morris,,17,6
1,4:47.0,J. Brown misses 3-pt jump shot from 25 ft,,17,6
1,4:44.0,,Defensive rebound by G. Hill,17,6
1,4:38.0,,S. Brown misses 3-pt jump shot from 25 ft,17,6
1,4:34.0,Defensive rebound by M. Smart,,17,6
1,4:23.0,M. Morris misses 2-pt jump shot from 11 ft,,17,6
1,4:20.0,,Defensive rebound by K. Middleton,17,6
1,4:13.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by K. Middleton),17,8
1,3:57.0,K. Irving misses 3-pt jump shot from 29 ft,,17,8
1,3:54.0,,Defensive rebound by K. Middleton,17,8
1,3:47.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Hill),17,11
1,3:27.0,K. Irving misses 2-pt jump shot from 12 ft,,17,11
1,3:24.0,,Defensive rebound by G. Hill,17,11
1,3:03.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Hill),17,14
1,2:50.0,Turnover by M. Smart (bad pass; steal by G. Hill),,17,14
1,2:46.0,,Turnover by G. Hill (bad pass; steal by M. Smart),17,14
1,2:39.0,J. Brown makes 3-pt jump shot from 23 ft (assist by M. Morris),,20,14
1,2:14.0,,Shooting foul by D. Theis (drawn by K. Middleton),20,14
1,2:14.0,,K. Middleton makes free throw 1 of 2,20,15
1,2:14.0,T. Rozier enters the game for M. Smart,,20,15
1,2:14.0,,M. Brogdon enters the game for S. Brown,20,15
1,2:14.0,,E. İlyasova enters the game for B. Lopez,20,15
1,2:14.0,,K. Middleton makes free throw 2 of 2,20,16
1,2:04.0,M. Morris misses 3-pt jump shot from 27 ft,,20,16
1,2:00.0,,Defensive rebound by M. Brogdon,20,16
1,1:54.0,,Personal foul by K. Irving (drawn by M. Brogdon),20,16
1,1:54.0,S. Ojeleye enters the game for M. Morris,,20,16
1,1:54.0,,T. Snell enters the game for K. Middleton,20,16
1,1:48.0,,G. Hill misses 3-pt jump shot from 26 ft,20,16
1,1:40.0,,Offensive rebound by E. İlyasova,20,16
1,1:40.0,,E. İlyasova makes 2-pt layup from 1 ft,20,18
1,1:29.0,Offensive foul by J. Brown (drawn by E. İlyasova),,20,18
1,1:29.0,Turnover by J. Brown (offensive foul),,20,18
1,1:29.0,A. Horford enters the game for D. Theis,,20,18
1,1:29.0,,G. Antetokounmpo enters the game for N. Mirotić,20,18
1,1:14.0,,Turnover by G. Hill (bad pass; steal by T. Rozier),20,18
1,1:10.0,Personal foul by T. Snell (drawn by A. Horford),,20,18
1,1:00.0,S. Ojeleye makes 2-pt jump shot from 21 ft (assist by J. Brown),,22,18
1,0:54.0,,Turnover by G. Antetokounmpo (lost ball; steal by A. Horford),22,18
1,0:49.0,T. Rozier misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,22,18
1,0:45.0,,Defensive rebound by G. Hill,22,18
1,0:45.0,,E. İlyasova makes 2-pt dunk from 1 ft (assist by G. Hill),22,20
1,0:28.0,A. Horford misses 3-pt jump shot from 28 ft,,22,20
1,0:26.0,,Defensive rebound by Team,22,20
1,0:26.0,J. Tatum enters the game for K. Irving,,22,20
1,0:09.0,,M. Brogdon misses 3-pt jump shot from 27 ft,22,20
1,0:06.0,Defensive rebound by J. Brown,,22,20
1,0:00.0,J. Brown misses 2-pt jump shot from 22 ft,,22,20
1,0:00.0,,Defensive rebound by E. İlyasova,22,20
2,11:48.0,,T. Snell misses 2-pt jump shot from 19 ft,22,20
2,11:41.0,Defensive rebound by T. Rozier,,22,20
2,11:22.0,A. Horford makes 2-pt jump shot from 10 ft,,24,20
2,11:10.0,,E. Bledsoe misses 2-pt layup from 2 ft (block by T. Rozier),24,20
2,11:07.0,Defensive rebound by S. Ojeleye,,24,20
2,11:04.0,T. Rozier misses 3-pt jump shot from 26 ft,,24,20
