QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
1,11:50.0,Personal foul by R. Arcidiacono (drawn by K. Lowry),,0,0
1,11:39.0,K. Lowry misses 2-pt jump shot from 14 ft,,0,0
1,11:36.0,,Defensive rebound by J. Parker,0,0
1,11:23.0,,J. Parker misses 2-pt jump shot from 18 ft,0,0
1,11:20.0,Defensive rebound by K. Lowry,,0,0
1,11:03.0,Turnover by S. Ibaka (lost ball; steal by J. Parker),,0,0
1,10:59.0,,J. Parker misses 2-pt layup from 1 ft (block by S. Ibaka),0,0
1,10:52.0,Defensive rebound by P. Siakam,,0,0
1,10:49.0,D. Green makes 3-pt jump shot from 22 ft (assist by P. Siakam),,3,0
1,10:27.0,,R. Arcidiacono makes 3-pt jump shot from 22 ft (assist by C. Payne),3,3
1,10:01.0,F. VanVleet misses 2-pt layup from 1 ft (block by C. Payne),,3,3
1,9:59.0,Offensive rebound by F. VanVleet,,3,3
1,9:57.0,P. Siakam misses 3-pt jump shot from 23 ft,,3,3
1,9:57.0,,Defensive rebound by W. Carter,3,3
1,9:44.0,,J. Parker makes 2-pt layup from 1 ft (assist by C. Payne),3,5
1,9:32.0,P. Siakam misses 2-pt jump shot from 19 ft,,3,5
1,9:31.0,Offensive rebound by Team,,3,5
1,9:29.0,F. VanVleet makes 2-pt jump shot from 18 ft (assist by K. Lowry),,5,5
1,9:11.0,,J. Parker misses 2-pt jump shot from 15 ft,5,5
1,9:07.0,Defensive rebound by F. VanVleet,,5,5
1,9:04.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,7,5
1,8:53.0,,Shooting foul by D. Green (drawn by W. Carter),7,5
1,8:53.0,,W. Carter makes free throw 1 of 2,7,6
1,8:53.0,,W. Carter makes free throw 2 of 2,7,7
1,8:33.0,S. Ibaka misses 2-pt jump shot from 7 ft,,7,7
1,8:23.0,Offensive rebound by D. Green,,7,7
1,8:23.0,D. Green makes 2-pt layup from 1 ft,,9,7
1,8:20.0,,J. Holiday misses 3-pt jump shot from 25 ft,9,7
1,8:15.0,,Offensive rebound by C. Payne,9,7
1,8:13.0,,Personal foul by F. VanVleet (drawn by J. Parker),9,7
1,8:01.0,,Turnover by J. Parker (lost ball; steal by K. Lowry),9,7
1,7:56.0,P. Siakam makes 2-pt layup at rim,,11,7
1,7:47.0,,Turnover by J. Holiday (bad pass; steal by P. Siakam),11,7
1,7:43.0,F. VanVleet makes 3-pt jump shot from 24 ft (assist by D. Green),,14,7
1,7:41.0,,Chicago full timeout,14,7
1,7:25.0,,J. Parker makes 3-pt jump shot from 24 ft (assist by W. Carter),14,10
1,7:05.0,S. Ibaka misses 2-pt jump shot from 18 ft,,14,10
1,7:02.0,,Defensive rebound by W. Carter,14,10
1,6:55.0,,J. Holiday makes 2-pt jump shot from 18 ft (assist by R. Arcidiacono),14,12
1,6:29.0,F. VanVleet misses 3-pt jump shot from 24 ft,,14,12
1,6:26.0,,Defensive rebound by J. Parker,14,12
1,6:14.0,,W. Carter misses 2-pt jump shot from 21 ft,14,12
1,6:11.0,Defensive rebound by F. VanVleet,,14,12
1,5:53.0,Turnover by S. Ibaka (out of bounds lost ball),,14,12
1,5:46.0,,C. Payne makes 2-pt jump shot from 7 ft (assist by W. Carter),14,14
1,5:31.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by F. VanVleet),,16,14
1,5:20.0,,Turnover by C. Payne (bad pass; steal by F. VanVleet),16,14
1,5:14.0,S. Ibaka misses 3-pt jump shot from 25 ft,,16,14
1,5:11.0,,Defensive rebound by J. Parker,16,14
1,4:55.0,,W. Carter misses 2-pt jump shot from 11 ft,16,14
1,4:50.0,Defensive rebound by S. Ibaka,,16,14
1,4:46.0,Personal foul by C. Payne (drawn by K. Lowry),,16,14
1,4:46.0,,A. Blakeney enters the game for R. Arcidiacono,16,14
1,4:37.0,Turnover by F. VanVleet (bad pass; steal by J. Holiday),,16,14
1,4:31.0,,J. Holiday misses 2-pt layup from 8 ft,16,14
1,4:29.0,Defensive rebound by D. Green,,16,14
1,4:25.0,S. Ibaka misses 2-pt layup from 2 ft,,16,14
1,4:25.0,Offensive rebound by Team,,16,14
1,4:24.0,,Loose ball foul by W. Carter (drawn by S. Ibaka),16,14
1,4:16.0,F. VanVleet makes 3-pt jump shot from 26 ft (assist by K. Lowry),,19,14
1,3:57.0,,C. Payne misses 2-pt layup from 1 ft,19,14
1,3:57.0,Defensive rebound by P. Siakam,,19,14
1,3:57.0,Personal foul by C. Payne (drawn by P. Siakam),,19,14
1,3:57.0,D. Wright enters the game for D. Green,,19,14
1,3:57.0,,S. Harrison enters the game for C. Payne,19,14
1,3:32.0,S. Ibaka misses 2-pt jump shot from 12 ft,,19,14
1,3:30.0,,Defensive rebound by J. Holiday,19,14
1,3:27.0,,Turnover by A. Blakeney (step out of bounds),19,14
1,3:27.0,J. Valančiūnas enters the game for S. Ibaka,,19,14
1,3:27.0,,R. Lopez enters the game for W. Carter,19,14
1,3:09.0,J. Valančiūnas makes 2-pt layup from 2 ft,,21,14
1,2:57.0,,J. Parker misses 3-pt jump shot from 23 ft,21,14
1,2:54.0,Defensive rebound by D. Wright,,21,14
1,2:50.0,K. Lowry misses 3-pt jump shot from 25 ft,,21,14
1,2:47.0,,Defensive rebound by J. Holiday,21,14
1,2:39.0,,R. Lopez makes 2-pt hook shot from 2 ft (assist by S. Harrison),21,16
1,2:30.0,Turnover by J. Valančiūnas (bad pass; steal by S. Harrison),,21,16
1,2:30.0,,A. Blakeney misses 2-pt jump shot from 16 ft,21,16
1,2:30.0,Defensive rebound by J. Valančiūnas,,21,16
1,2:30.0,Toronto full timeout,,21,16
1,2:30.0,D. Green enters the game for K. Lowry,,21,16
1,2:30.0,M. Richardson enters the game for P. Siakam,,21,16
1,2:13.0,F. VanVleet misses 3-pt jump shot from 23 ft,,21,16
1,2:08.0,,Defensive rebound by J. Holiday,21,16
1,1:48.0,,J. Parker misses 2-pt layup from 2 ft,21,16
1,1:46.0,Defensive rebound by J. Valančiūnas,,21,16
1,1:36.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. Wright),,23,16
1,1:23.0,,J. Holiday misses 3-pt jump shot from 25 ft,23,16
1,1:20.0,Defensive rebound by J. Valančiūnas,,23,16
1,1:07.0,D. Green makes 2-pt jump shot from 7 ft,,25,16
1,0:52.0,,R. Lopez makes 2-pt hook shot from 9 ft (assist by S. Harrison),25,18
1,0:28.0,F. VanVleet makes 2-pt jump shot from 8 ft,,27,18
1,0:07.0,,R. Lopez misses 2-pt jump shot from 19 ft,27,18
1,0:04.0,Defensive rebound by D. Green,,27,18
1,0:00.0,D. Wright misses 2-pt jump shot from 18 ft,,27,18
1,0:00.0,Offensive rebound by Team,,27,18
2,11:53.0,,Personal foul by D. Green (drawn by A. Blakeney),27,18
2,11:39.0,,Turnover by R. Arcidiacono (bad pass),27,18
2,11:28.0,Turnover by D. Wright (lost ball; steal by S. Harrison),,27,18
2,11:19.0,,C. Hutchison misses 3-pt jump shot from 23 ft,27,18
2,11:15.0,Defensive rebound by L. Brown,,27,18
2,11:09.0,Turnover by M. Richardson (traveling),,27,18
2,10:56.0,,A. Blakeney misses 2-pt jump shot from 15 ft,27,18
2,10:51.0,Defensive rebound by M. Richardson,,27,18
2,10:39.0,Turnover by D. Wright (bad pass; steal by C. Hutchison),,27,18
2,10:35.0,,A. Blakeney misses 2-pt layup from 2 ft,27,18
2,10:33.0,Defensive rebound by D. Green,,27,18
2,10:22.0,D. Green makes 2-pt layup from 1 ft (assist by L. Brown),,29,18
2,10:09.0,,R. Lopez misses 2-pt hook shot from 9 ft,29,18
2,10:05.0,Defensive rebound by J. Valančiūnas,,29,18
2,10:00.0,L. Brown misses 3-pt jump shot from 26 ft,,29,18
2,9:57.0,,Defensive rebound by S. Harrison,29,18
2,9:48.0,,S. Harrison misses 2-pt layup from 2 ft,29,18
2,9:46.0,Defensive rebound by M. Richardson,,29,18
2,9:45.0,M. Richardson makes 2-pt layup from 1 ft,,31,18
2,9:45.0,Shooting foul by R. Arcidiacono (drawn by M. Richardson),,31,18
2,9:45.0,K. Lowry enters the game for D. Green,,31,18
2,9:45.0,M. Richardson makes free throw 1 of 1,,32,18
2,9:28.0,,R. Lopez makes 2-pt hook shot from 7 ft,32,20
2,9:17.0,D. Wright misses 3-pt jump shot from 26 ft,,32,20
2,9:17.0,,Defensive rebound by C. Hutchison,32,20
2,9:02.0,,R. Lopez makes 3-pt jump shot from 25 ft (assist by A. Blakeney),32,23
2,8:45.0,Turnover by M. Richardson (bad pass; steal by R. Lopez),,32,23
2,8:41.0,,A. Blakeney makes 2-pt layup from 1 ft,32,25
2,8:41.0,Toronto full timeout,,32,25
2,8:41.0,P. Siakam enters the game for M. Richardson,,32,25
2,8:26.0,K. Lowry misses 3-pt jump shot from 25 ft,,32,25
2,8:22.0,,Defensive rebound by S. Harrison,32,25
2,8:13.0,,Turnover by C. Hutchison (bad pass; steal by L. Brown),32,25
2,8:08.0,L. Brown misses 3-pt jump shot from 23 ft,,32,25
2,8:04.0,Offensive rebound by D. Wright,,32,25
2,7:57.0,Turnover by K. Lowry (bad pass; steal by S. Harrison),,32,25
2,7:57.0,,Personal take foul by K. Lowry (drawn by S. Harrison),32,25
2,7:47.0,,Personal foul by J. Valančiūnas (drawn by R. Lopez),32,25
2,7:44.0,,Turnover by S. Harrison (bad pass; steal by D. Wright),32,25
2,7:40.0,L. Brown makes 2-pt layup from 1 ft (assist by D. Wright),,34,25
2,7:34.0,,Personal foul by L. Brown (drawn by R. Arcidiacono),34,25
2,7:15.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,34,25
2,7:15.0,,Offensive rebound by C. Hutchison,34,25
2,7:10.0,,C. Hutchison misses 2-pt layup from 2 ft,34,25
2,7:08.0,Defensive rebound by K. Lowry,,34,25
2,7:06.0,D. Wright makes 3-pt jump shot from 26 ft (assist by K. Lowry),,37,25
2,7:06.0,,Chicago full timeout,37,25
2,7:06.0,,J. Holiday enters the game for A. Blakeney,37,25
2,7:06.0,,J. Parker enters the game for C. Hutchison,37,25
2,6:50.0,,Turnover by R. Lopez (lost ball; steal by K. Lowry),37,25
2,6:31.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,37,25
2,6:29.0,Offensive rebound by D. Wright,,37,25
2,6:29.0,D. Wright misses 2-pt layup from 1 ft,,37,25
2,6:29.0,Offensive rebound by J. Valančiūnas,,37,25
2,6:26.0,J. Valančiūnas makes 2-pt layup at rim,,39,25
2,6:02.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,39,25
2,5:59.0,Defensive rebound by J. Valančiūnas,,39,25
2,5:51.0,D. Wright misses 2-pt layup from 2 ft,,39,25
2,5:49.0,,Defensive rebound by R. Arcidiacono,39,25
2,5:45.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by S. Harrison),39,28
2,5:25.0,J. Valančiūnas makes 2-pt layup from 2 ft,,41,28
2,5:06.0,,Shooting foul by J. Valančiūnas (drawn by S. Harrison),41,28
2,5:06.0,,S. Harrison makes free throw 1 of 2,41,29
2,5:06.0,F. VanVleet enters the game for D. Wright,,41,29
2,5:06.0,,W. Carter enters the game for R. Arcidiacono,41,29
2,5:06.0,,C. Payne enters the game for R. Lopez,41,29
2,5:06.0,,S. Harrison makes free throw 2 of 2,41,30
2,4:51.0,K. Lowry misses 3-pt jump shot from 25 ft,,41,30
2,4:48.0,,Defensive rebound by J. Parker,41,30
2,4:46.0,,Turnover by J. Parker (bad pass),41,30
2,4:46.0,S. Ibaka enters the game for J. Valančiūnas,,41,30
2,4:36.0,Turnover by K. Lowry (bad pass),,41,30
2,4:28.0,,Turnover by S. Harrison (bad pass; steal by L. Brown),41,30
2,4:23.0,F. VanVleet misses 3-pt jump shot from 23 ft,,41,30
2,4:19.0,Offensive rebound by F. VanVleet,,41,30
2,4:18.0,P. Siakam makes 2-pt layup from 5 ft (assist by F. VanVleet),,43,30
2,4:05.0,,Personal foul by K. Lowry (drawn by W. Carter),43,30
2,4:05.0,,W. Carter makes free throw 1 of 2,43,31
2,4:05.0,D. Green enters the game for L. Brown,,43,31
2,4:05.0,,R. Arcidiacono enters the game for S. Harrison,43,31
2,4:05.0,,W. Carter makes free throw 2 of 2,43,32
2,3:51.0,P. Siakam makes 2-pt jump shot from 5 ft (assist by F. VanVleet),,45,32
2,3:41.0,,J. Parker misses 3-pt jump shot from 25 ft,45,32
2,3:41.0,Defensive rebound by K. Lowry,,45,32
