QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
1,11:46.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by B. Ingram),0,2
1,11:23.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,2
1,11:11.0,,Personal foul by D. Green (drawn by B. Ingram),3,2
1,10:57.0,,B. Ingram makes 2-pt jump shot from 16 ft,3,4
1,10:57.0,,Shooting foul by O. Anunoby (drawn by B. Ingram),3,4
1,10:57.0,,B. Ingram misses free throw 1 of 1,3,4
1,10:57.0,Defensive rebound by P. Siakam,,3,4
1,10:47.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Lowry),,5,4
1,10:29.0,,B. Ingram misses 2-pt layup from 2 ft,5,4
1,10:27.0,Defensive rebound by S. Ibaka,,5,4
1,10:23.0,K. Lowry misses 3-pt jump shot from 27 ft,,5,4
1,10:19.0,,Defensive rebound by B. Ingram,5,4
1,10:08.0,,L. James misses 2-pt jump shot from 4 ft,5,4
1,10:03.0,Defensive rebound by K. Lowry,,5,4
1,9:57.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,8,4
1,9:49.0,,Turnover by K. Kuzma (traveling),8,4
1,9:31.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),,10,4
1,9:20.0,,L. Ball misses 2-pt jump shot from 10 ft,10,4
1,9:15.0,,Offensive rebound by J. McGee,10,4
1,9:15.0,,J. McGee misses 2-pt layup from 1 ft,10,4
1,9:14.0,Defensive rebound by K. Lowry,,10,4
1,9:09.0,P. Siakam misses 3-pt jump shot from 23 ft,,10,4
1,9:07.0,,Defensive rebound by L. Ball,10,4
1,9:06.0,,B. Ingram makes 2-pt layup from 2 ft (assist by L. Ball),10,6
1,8:54.0,S. Ibaka makes 3-pt jump shot from 27 ft (assist by P. Siakam),,13,6
1,8:31.0,,B. Ingram misses 3-pt jump shot from 24 ft,13,6
1,8:29.0,Defensive rebound by P. Siakam,,13,6
1,8:24.0,P. Siakam makes 2-pt layup from 3 ft,,15,6
1,8:14.0,,Shooting foul by D. Green (drawn by L. James),15,6
1,8:14.0,,L. James makes free throw 1 of 2,15,7
1,8:14.0,,L. James makes free throw 2 of 2,15,8
1,7:55.0,D. Green misses 3-pt jump shot from 25 ft,,15,8
1,7:53.0,,Defensive rebound by J. McGee,15,8
1,7:35.0,,L. James misses 2-pt layup from 2 ft,15,8
1,7:33.0,Defensive rebound by S. Ibaka,,15,8
1,7:28.0,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),,17,8
1,7:16.0,,J. McGee misses 2-pt hook shot from 2 ft,17,8
1,7:14.0,Defensive rebound by K. Lowry,,17,8
1,7:08.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Lowry),,20,8
1,7:03.0,,LA Lakers full timeout,20,8
1,6:55.0,,Turnover by L. James (bad pass),20,8
1,6:44.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by D. Green),,22,8
1,6:30.0,,L. Ball misses 3-pt jump shot from 25 ft,22,8
1,6:28.0,Defensive rebound by P. Siakam,,22,8
1,6:20.0,Personal foul by L. Ball (drawn by K. Lowry),,22,8
1,6:12.0,S. Ibaka makes 2-pt layup from 3 ft (assist by K. Lowry),,24,8
1,6:12.0,Shooting foul by L. James (drawn by S. Ibaka),,24,8
1,6:12.0,S. Ibaka makes free throw 1 of 1,,25,8
1,5:50.0,,K. Kuzma misses 2-pt jump shot from 18 ft,25,8
1,5:45.0,Defensive rebound by K. Lowry,,25,8
1,5:38.0,Turnover by S. Ibaka (traveling),,25,8
1,5:30.0,,L. Ball makes 2-pt layup from 3 ft (assist by J. McGee),25,10
1,5:27.0,Personal foul by L. Ball (drawn by K. Lowry),,25,10
1,5:27.0,,J. Hart enters the game for L. Ball,25,10
1,5:27.0,,R. Rondo enters the game for B. Ingram,25,10
1,5:16.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. Green),,28,10
1,5:06.0,,Turnover by R. Rondo (bad pass; steal by S. Ibaka),28,10
1,4:59.0,S. Ibaka makes 2-pt hook shot from 6 ft (assist by K. Lowry),,30,10
1,4:45.0,,Turnover by J. McGee (lost ball; steal by K. Lowry),30,10
1,4:45.0,,L. Stephenson enters the game for J. McGee,30,10
1,4:29.0,O. Anunoby misses 3-pt jump shot from 27 ft,,30,10
1,4:28.0,Offensive rebound by S. Ibaka,,30,10
1,4:26.0,S. Ibaka makes 2-pt layup from 2 ft,,32,10
1,4:07.0,,L. Stephenson misses 2-pt jump shot from 17 ft,32,10
1,4:04.0,Defensive rebound by O. Anunoby,,32,10
1,3:45.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Lowry),,34,10
1,3:44.0,,LA Lakers full timeout,34,10
1,3:44.0,C. Miles enters the game for D. Green,,34,10
1,3:44.0,F. VanVleet enters the game for P. Siakam,,34,10
1,3:44.0,,K. Caldwell-Pope enters the game for L. James,34,10
1,3:31.0,,R. Rondo misses 2-pt jump shot from 1 ft,34,10
1,3:29.0,Defensive rebound by S. Ibaka,,34,10
1,3:15.0,Shooting foul by K. Kuzma (drawn by S. Ibaka),,34,10
1,3:15.0,S. Ibaka makes free throw 1 of 2,,35,10
1,3:15.0,D. Wright enters the game for O. Anunoby,,35,10
1,3:15.0,S. Ibaka makes free throw 2 of 2,,36,10
1,3:03.0,,K. Kuzma misses 2-pt jump shot from 18 ft,36,10
1,3:00.0,Defensive rebound by C. Miles,,36,10
1,2:55.0,K. Lowry makes 3-pt jump shot from 25 ft,,39,10
1,2:25.0,,L. Stephenson misses 3-pt jump shot from 23 ft,39,10
1,2:22.0,Defensive rebound by S. Ibaka,,39,10
1,2:21.0,Personal foul by K. Kuzma (drawn by F. VanVleet),,39,10
1,2:21.0,F. VanVleet makes free throw 1 of 2,,40,10
1,2:21.0,N. Powell enters the game for S. Ibaka,,40,10
1,2:21.0,J. Valančiūnas enters the game for K. Lowry,,40,10
1,2:21.0,,I. Zubac enters the game for K. Kuzma,40,10
1,2:21.0,F. VanVleet makes free throw 2 of 2,,41,10
1,2:06.0,,L. Stephenson makes 2-pt jump shot from 16 ft,41,12
1,1:39.0,D. Wright misses 3-pt jump shot from 25 ft,,41,12
1,1:36.0,,Defensive rebound by R. Rondo,41,12
1,1:33.0,,Personal foul by N. Powell (drawn by L. Stephenson),41,12
1,1:22.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft,41,14
1,1:05.0,J. Valančiūnas misses 2-pt layup from 3 ft,,41,14
1,1:01.0,Offensive rebound by N. Powell,,41,14
1,0:56.0,Shooting foul by L. Stephenson (drawn by F. VanVleet),,41,14
1,0:56.0,F. VanVleet misses free throw 1 of 2,,41,14
1,0:56.0,Offensive rebound by Team,,41,14
1,0:56.0,F. VanVleet makes free throw 2 of 2,,42,14
1,0:55.0,,Personal foul by F. VanVleet (drawn by R. Rondo),42,14
1,0:55.0,,R. Rondo misses free throw 1 of 2,42,14
1,0:55.0,,Offensive rebound by Team,42,14
1,0:55.0,,R. Rondo makes free throw 2 of 2,42,15
1,0:40.0,N. Powell misses 3-pt jump shot from 27 ft,,42,15
1,0:36.0,,Defensive rebound by L. Stephenson,42,15
1,0:29.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,42,15
1,0:25.0,Defensive rebound by N. Powell,,42,15
1,0:06.0,Offensive foul by F. VanVleet (drawn by J. Hart),,42,15
1,0:06.0,Turnover by F. VanVleet (offensive foul),,42,15
1,0:06.0,,K. Kuzma enters the game for I. Zubac,42,15
1,0:00.0,,R. Rondo makes 2-pt layup from 1 ft,42,17
2,11:48.0,Personal foul by I. Zubac (drawn by J. Valančiūnas),,42,17
2,11:39.0,D. Wright makes 2-pt layup from 3 ft,,44,17
2,11:26.0,,Turnover by L. Stephenson (lost ball; steal by C. Miles),44,17
2,11:22.0,D. Wright makes 2-pt dunk from 1 ft,,46,17
2,11:14.0,,Offensive foul by I. Zubac (drawn by D. Wright),46,17
2,11:14.0,,Turnover by I. Zubac (offensive foul),46,17
2,11:02.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by C. Miles),,48,17
2,10:44.0,,L. Stephenson makes 2-pt jump shot from 18 ft,48,19
2,10:38.0,C. Miles misses 3-pt jump shot from 23 ft,,48,19
2,10:35.0,,Defensive rebound by I. Zubac,48,19
2,10:30.0,,Personal foul by N. Powell (drawn by K. Caldwell-Pope),48,19
2,10:30.0,F. VanVleet enters the game for N. Powell,,48,19
2,10:22.0,,R. Rondo makes 2-pt layup from 2 ft (assist by I. Zubac),48,21
2,10:11.0,C. Miles misses 2-pt jump shot from 12 ft,,48,21
2,10:07.0,,Defensive rebound by J. Hart,48,21
2,10:02.0,,R. Rondo misses 2-pt layup from 2 ft,48,21
2,10:00.0,Defensive rebound by C. Miles,,48,21
2,9:55.0,Turnover by F. VanVleet (bad pass; steal by R. Rondo),,48,21
2,9:54.0,,Turnover by L. Stephenson (bad pass; steal by J. Valančiūnas),48,21
2,9:50.0,D. Wright misses 3-pt jump shot from 26 ft,,48,21
2,9:46.0,,Defensive rebound by K. Caldwell-Pope,48,21
2,9:43.0,,J. Hart misses 3-pt jump shot from 25 ft,48,21
2,9:37.0,,I. Zubac misses 2-pt layup from 1 ft,48,21
2,9:37.0,,Offensive rebound by I. Zubac,48,21
2,9:36.0,Defensive rebound by J. Valančiūnas,,48,21
2,9:33.0,F. VanVleet misses 3-pt jump shot from 23 ft,,48,21
2,9:30.0,,Defensive rebound by I. Zubac,48,21
2,9:17.0,,L. Stephenson misses 2-pt jump shot from 14 ft,48,21
2,9:13.0,Defensive rebound by J. Valančiūnas,,48,21
2,8:56.0,J. Valančiūnas makes 2-pt jump shot from 5 ft (assist by D. Wright),,50,21
2,8:49.0,,LA Lakers full timeout,50,21
2,8:49.0,,B. Ingram enters the game for K. Caldwell-Pope,50,21
2,8:49.0,,L. James enters the game for L. Stephenson,50,21
2,8:49.0,,J. McGee enters the game for I. Zubac,50,21
2,8:43.0,,L. James makes 2-pt jump shot from 3 ft (assist by R. Rondo),50,23
2,8:43.0,,Shooting foul by F. VanVleet (drawn by L. James),50,23
2,8:43.0,,L. James makes free throw 1 of 1,50,24
2,8:25.0,F. VanVleet misses 2-pt hook shot from 3 ft,,50,24
2,8:22.0,,Defensive rebound by L. James,50,24
2,8:17.0,,L. James misses 2-pt jump shot from 3 ft,50,24
2,8:17.0,Defensive rebound by Team,,50,24
2,8:17.0,,Loose ball foul by J. McGee (drawn by J. Valančiūnas),50,24
2,8:17.0,K. Lowry enters the game for F. VanVleet,,50,24
2,8:06.0,C. Miles misses 2-pt jump shot from 13 ft,,50,24
2,8:00.0,,Defensive rebound by J. McGee,50,24
2,7:55.0,,Shooting foul by D. Wright (drawn by J. McGee),50,24
2,7:55.0,,J. McGee makes free throw 1 of 2,50,25
2,7:55.0,,J. McGee makes free throw 2 of 2,50,26
2,7:33.0,J. Valančiūnas misses 2-pt layup from 5 ft,,50,26
2,7:26.0,Offensive rebound by D. Wright,,50,26
2,7:26.0,D. Wright makes 2-pt dunk from 1 ft,,52,26
2,7:17.0,,B. Ingram makes 2-pt jump shot from 13 ft (assist by J. McGee),52,28
2,7:01.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. Wright),,54,28
2,6:52.0,,L. James makes 2-pt layup from 5 ft,54,30
2,6:40.0,C. Miles misses 3-pt jump shot from 25 ft,,54,30
2,6:38.0,,Defensive rebound by J. Hart,54,30
2,6:36.0,,Offensive foul by L. James (drawn by K. Lowry),54,30
2,6:36.0,,Turnover by L. James (offensive foul),54,30
2,6:36.0,O. Anunoby enters the game for C. Miles,,54,30
2,6:36.0,D. Green enters the game for D. Wright,,54,30
2,6:36.0,,L. Ball enters the game for R. Rondo,54,30
2,6:19.0,K. Lowry misses 3-pt jump shot from 26 ft,,54,30
2,6:15.0,Offensive rebound by K. Lowry,,54,30
2,6:14.0,O. Anunoby misses 2-pt layup from 2 ft (block by J. McGee),,54,30
2,6:11.0,,Defensive rebound by J. McGee,54,30
2,6:11.0,,L. Ball makes 2-pt layup from 2 ft (assist by L. James),54,32
2,6:11.0,Toronto full timeout,,54,32
2,6:11.0,S. Ibaka enters the game for J. Valančiūnas,,54,32
2,6:11.0,,K. Kuzma enters the game for J. Hart,54,32
2,5:55.0,K. Lowry misses 3-pt jump shot from 27 ft,,54,32
2,5:50.0,,Defensive rebound by L. Ball,54,32
2,5:44.0,,J. McGee makes 2-pt hook shot from 5 ft (assist by L. James),54,34
2,5:18.0,O. Anunoby misses 2-pt dunk from 3 ft (block by J. McGee),,54,34
2,5:15.0,Offensive rebound by S. Ibaka,,54,34
2,5:14.0,S. Ibaka makes 2-pt layup from 1 ft,,56,34
2,5:06.0,,LA Lakers full timeout,56,34
2,5:00.0,,Shooting foul by S. Ibaka (drawn by J. McGee),56,34
2,5:00.0,,J. McGee makes free throw 1 of 2,56,35
2,5:00.0,,J. McGee makes free throw 2 of 2,56,36
2,4:49.0,K. Lowry makes 2-pt layup from 2 ft (assist by P. Siakam),,58,36
2,4:49.0,Shooting foul by L. Ball (drawn by K. Lowry),,58,36
2,4:49.0,,R. Rondo enters the game for L. Ball,58,36
2,4:49.0,K. Lowry makes free throw 1 of 1,,59,36
2,4:42.0,,Personal foul by O. Anunoby (drawn by L. James),59,36
2,4:42.0,,L. James misses free throw 1 of 2,59,36
2,4:42.0,,Offensive rebound by Team,59,36
2,4:42.0,,L. James misses free throw 2 of 2,59,36
2,4:42.0,,Offensive rebound by Team,59,36
2,4:42.0,Loose ball foul by P. Siakam (drawn by J. McGee),,59,36
2,4:42.0,,J. McGee makes free throw 1 of 2,59,37
2,4:42.0,,J. McGee makes free throw 2 of 2,59,38
2,4:32.0,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),,61,38
2,4:20.0,,Turnover by K. Kuzma (bad pass; steal by S. Ibaka),61,38
2,4:16.0,S. Ibaka makes 2-pt dunk from 3 ft (assist by D. Green),,63,38
2,4:04.0,,L. James misses 3-pt jump shot from 28 ft,63,38
2,4:04.0,Defensive rebound by Team,,63,38
2,3:57.0,Personal foul by B. Ingram (drawn by P. Siakam),,63,38
2,3:43.0,S. Ibaka makes 2-pt jump shot from 13 ft (assist by K. Lowry),,65,38
2,3:28.0,,L. James misses 2-pt jump shot from 2 ft,65,38
2,3:23.0,,Offensive rebound by J. McGee,65,38
2,3:23.0,,J. McGee misses 2-pt layup from 1 ft,65,38
2,3:21.0,,Offensive rebound by J. McGee,65,38
2,3:21.0,,J. McGee misses 2-pt layup from 1 ft,65,38
2,3:21.0,Defensive rebound by D. Green,,65,38
2,3:17.0,P. Siakam makes 2-pt dunk from 2 ft (assist by S. Ibaka),,67,38
2,3:09.0,,Turnover by J. McGee (out of bounds lost ball),67,38
2,3:09.0,,J. Hart enters the game for J. McGee,67,38
2,2:58.0,P. Siakam makes 2-pt dunk from 2 ft,,69,38
2,2:38.0,,B. Ingram makes 2-pt layup from 2 ft,69,40
2,2:20.0,Turnover by K. Lowry (bad pass; steal by J. Hart),,69,40
2,2:18.0,,K. Kuzma makes 2-pt layup from 1 ft,69,42
2,2:18.0,Violation by Team (def goaltending),,69,42
2,1:58.0,K. Lowry misses 2-pt jump shot from 17 ft,,69,42
2,1:54.0,,Defensive rebound by K. Kuzma,69,42
2,1:49.0,,Shooting foul by S. Ibaka (drawn by J. Hart),69,42
2,1:49.0,,J. Hart makes free throw 1 of 3,69,43
2,1:49.0,,J. Hart makes free throw 2 of 3,69,44
2,1:49.0,N. Powell enters the game for S. Ibaka,,69,44
2,1:49.0,,J. Hart makes free throw 3 of 3,69,45
2,1:34.0,P. Siakam misses 2-pt jump shot from 5 ft (block by L. James),,69,45
2,1:31.0,Offensive rebound by D. Green,,69,45
2,1:29.0,D. Green misses 3-pt jump shot from 25 ft,,69,45
2,1:26.0,,Defensive rebound by K. Kuzma,69,45
2,1:09.0,,L. James makes 2-pt layup from 1 ft,69,47
2,0:58.0,O. Anunoby makes 2-pt dunk from 2 ft (assist by K. Lowry),,71,47
2,0:34.0,,R. Rondo misses 2-pt layup from 2 ft (block by D. Green),71,47
2,0:31.0,Defensive rebound by P. Siakam,,71,47
2,0:28.0,K. Lowry misses 2-pt layup at rim,,71,47
2,0:25.0,,Defensive rebound by L. James,71,47
2,0:23.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by R. Rondo),71,49
2,0:00.0,K. Lowry misses 2-pt jump shot from 22 ft,,71,49
2,0:00.0,Offensive rebound by Team,,71,49
3,11:44.0,D. Green misses 3-pt jump shot from 24 ft,,71,49
3,11:42.0,Offensive rebound by P. Siakam,,71,49
3,11:38.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,74,49
3,11:22.0,,K. Kuzma misses 3-pt jump shot from 28 ft,74,49
3,11:19.0,Defensive rebound by S. Ibaka,,74,49
3,11:13.0,O. Anunoby misses 3-pt jump shot from 25 ft,,74,49
3,11:11.0,,Defensive rebound by L. Ball,74,49
3,11:08.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. Ball),74,51
3,10:54.0,Turnover by D. Green (lost ball; steal by L. Ball),,74,51
3,10:49.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),74,53
3,10:49.0,,Shooting foul by S. Ibaka (drawn by K. Kuzma),74,53
3,10:49.0,,K. Kuzma makes free throw 1 of 1,74,54
3,10:25.0,Turnover by Team (shot clock),,74,54
3,10:05.0,,B. Ingram misses 2-pt layup from 4 ft (block by K. Lowry),74,54
3,10:05.0,,Offensive rebound by Team,74,54
3,10:02.0,,L. James makes 2-pt jump shot from 14 ft (assist by B. Ingram),74,56
3,9:38.0,K. Lowry makes 2-pt jump shot from 3 ft (assist by O. Anunoby),,76,56
3,9:29.0,,Turnover by L. Ball (bad pass; steal by P. Siakam),76,56
3,9:26.0,P. Siakam makes 2-pt layup from 2 ft,,78,56
3,9:17.0,,Personal foul by P. Siakam (drawn by K. Kuzma),78,56
3,8:59.0,,J. McGee misses 2-pt hook shot from 6 ft,78,56
3,8:56.0,Defensive rebound by S. Ibaka,,78,56
3,8:50.0,S. Ibaka makes 2-pt layup from 3 ft (assist by K. Lowry),,80,56
3,8:40.0,,Shooting foul by D. Green (drawn by B. Ingram),80,56
3,8:40.0,,B. Ingram makes free throw 1 of 2,80,57
3,8:40.0,,B. Ingram makes free throw 2 of 2,80,58
3,8:28.0,D. Green makes 3-pt jump shot from 24 ft (assist by O. Anunoby),,83,58
3,8:06.0,,Turnover by B. Ingram (lost ball; steal by K. Lowry),83,58
3,8:01.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by P. Siakam),,85,58
3,7:46.0,,Shooting foul by K. Lowry (drawn by K. Kuzma),85,58
3,7:46.0,,K. Kuzma misses free throw 1 of 2,85,58
3,7:46.0,,Offensive rebound by Team,85,58
3,7:46.0,,J. Hart enters the game for J. McGee,85,58
3,7:46.0,,K. Kuzma makes free throw 2 of 2,85,59
3,7:31.0,P. Siakam makes 2-pt hook shot from 11 ft,,87,59
3,7:20.0,,B. Ingram makes 2-pt dunk from 4 ft (assist by L. James),87,61
3,7:06.0,Turnover by P. Siakam (bad pass; steal by L. Ball),,87,61
3,7:00.0,,L. Ball makes 2-pt dunk from 2 ft,87,63
3,6:45.0,K. Lowry misses 3-pt jump shot from 26 ft,,87,63
3,6:43.0,,Defensive rebound by J. Hart,87,63
3,6:43.0,,K. Kuzma makes 2-pt jump shot from 4 ft (assist by J. Hart),87,65
3,6:43.0,Toronto full timeout,,87,65
3,6:25.0,P. Siakam misses 2-pt hook shot from 8 ft,,87,65
3,6:22.0,Offensive rebound by S. Ibaka,,87,65
3,6:21.0,S. Ibaka makes 2-pt layup from 1 ft,,89,65
3,6:04.0,,Turnover by L. James (back court),89,65
3,5:52.0,O. Anunoby misses 3-pt jump shot from 26 ft,,89,65
3,5:49.0,,Defensive rebound by K. Kuzma,89,65
3,5:36.0,,K. Kuzma makes 2-pt jump shot from 8 ft (assist by L. Ball),89,67
3,5:16.0,S. Ibaka misses 2-pt jump shot from 15 ft,,89,67
3,5:13.0,,Defensive rebound by L. Ball,89,67
3,5:13.0,F. VanVleet enters the game for D. Green,,89,67
3,5:13.0,D. Wright enters the game for P. Siakam,,89,67
3,5:06.0,,K. Kuzma misses 3-pt jump shot from 27 ft,89,67
3,5:03.0,Defensive rebound by K. Lowry,,89,67
3,5:01.0,K. Lowry makes 2-pt layup from 2 ft,,91,67
3,5:01.0,,Violation by Team (def goaltending),91,67
3,5:01.0,Shooting foul by B. Ingram (drawn by K. Lowry),,91,67
3,5:01.0,K. Lowry makes free throw 1 of 1,,92,67
3,4:48.0,,K. Kuzma makes 2-pt layup from 4 ft (assist by L. James),92,69
3,4:31.0,K. Lowry makes 2-pt layup from 1 ft (assist by S. Ibaka),,94,69
3,4:22.0,,L. James makes 3-pt jump shot from 26 ft,94,72
3,4:00.0,O. Anunoby misses 3-pt jump shot from 23 ft,,94,72
3,3:58.0,,Defensive rebound by L. Ball,94,72
3,3:48.0,,L. James makes 3-pt jump shot from 31 ft (assist by K. Kuzma),94,75
3,3:31.0,K. Lowry misses 2-pt jump shot from 16 ft,,94,75
