QUARTER,TIME_REMAINING,DETROIT_ACTION,ORLANDO_ACTION,DETROIT_SCORE,ORLANDO_SCORE
1,11:34.0,B. Brown makes 2-pt dunk from 1 ft,,2,0
1,11:07.0,,E. Fournier makes 2-pt jump shot from 9 ft,2,2
1,10:47.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by B. Griffin),,5,2
1,10:47.0,Shooting foul by E. Fournier (drawn by R. Bullock),,5,2
1,10:47.0,R. Bullock makes free throw 1 of 1,,6,2
1,10:35.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by E. Fournier),6,4
1,10:35.0,,Shooting foul by R. Bullock (drawn by A. Gordon),6,4
1,10:35.0,,A. Gordon makes free throw 1 of 1,6,5
1,10:11.0,R. Bullock misses 2-pt hook shot from 7 ft,,6,5
1,10:11.0,,Defensive rebound by A. Gordon,6,5
1,10:03.0,,A. Gordon makes 2-pt layup from 3 ft,6,7
1,9:48.0,Turnover by B. Brown (bad pass; steal by N. Vučević),,6,7
1,9:37.0,,Turnover by A. Gordon (bad pass),6,7
1,9:28.0,R. Bullock misses 3-pt jump shot from 26 ft,,6,7
1,9:25.0,,Defensive rebound by N. Vučević,6,7
1,9:15.0,,Turnover by E. Fournier (traveling),6,7
1,8:52.0,R. Bullock misses 3-pt jump shot from 26 ft,,6,7
1,8:49.0,,Defensive rebound by A. Gordon,6,7
1,8:37.0,,A. Gordon misses 3-pt jump shot from 27 ft,6,7
1,8:34.0,Defensive rebound by A. Drummond,,6,7
1,8:26.0,Turnover by A. Drummond (bad pass; steal by D. Augustin),,6,7
1,8:23.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),6,9
1,8:10.0,A. Drummond misses 3-pt jump shot from 27 ft,,6,9
1,8:06.0,,Defensive rebound by N. Vučević,6,9
1,8:01.0,,D. Augustin misses 3-pt jump shot from 26 ft,6,9
1,7:58.0,,Offensive rebound by E. Fournier,6,9
1,7:48.0,,J. Isaac misses 2-pt jump shot from 24 ft,6,9
1,7:46.0,Defensive rebound by A. Drummond,,6,9
1,7:44.0,R. Jackson misses 3-pt jump shot from 26 ft,,6,9
1,7:40.0,,Defensive rebound by A. Gordon,6,9
1,7:32.0,,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),6,11
1,7:25.0,Detroit full timeout,,6,11
1,7:12.0,Offensive foul by A. Drummond (drawn by J. Isaac),,6,11
1,7:12.0,Turnover by A. Drummond (offensive foul),,6,11
1,6:58.0,,N. Vučević makes 2-pt jump shot from 8 ft (assist by E. Fournier),6,13
1,6:57.0,B. Brown misses 3-pt jump shot from 26 ft,,6,13
1,6:40.0,,Defensive rebound by N. Vučević,6,13
1,6:34.0,,Personal foul by B. Brown (drawn by D. Augustin),6,13
1,6:31.0,,Personal foul by R. Bullock (drawn by A. Gordon),6,13
1,6:21.0,,E. Fournier makes 3-pt jump shot from 26 ft,6,16
1,6:06.0,R. Jackson misses 3-pt jump shot from 23 ft,,6,16
1,6:03.0,,Defensive rebound by E. Fournier,6,16
1,6:01.0,Violation by Team (kicked ball),,6,16
1,6:01.0,,W. Iwundu enters the game for J. Isaac,6,16
1,5:51.0,,N. Vučević misses 2-pt jump shot from 15 ft,6,16
1,5:47.0,Defensive rebound by A. Drummond,,6,16
1,5:39.0,Turnover by B. Griffin (bad pass),,6,16
1,5:27.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by W. Iwundu),6,18
1,5:17.0,B. Griffin makes 3-pt jump shot from 27 ft (assist by R. Jackson),,9,18
1,4:58.0,,N. Vučević makes 2-pt jump shot from 10 ft (assist by E. Fournier),9,20
1,4:39.0,R. Jackson misses 2-pt hook shot from 7 ft,,9,20
1,4:37.0,Offensive rebound by R. Jackson,,9,20
1,4:36.0,R. Jackson misses 2-pt layup from 3 ft,,9,20
1,4:35.0,A. Drummond misses 2-pt layup from 4 ft,,9,20
1,4:35.0,Offensive rebound by A. Drummond,,9,20
1,4:35.0,Offensive rebound by A. Drummond,,9,20
1,4:34.0,A. Drummond makes 2-pt layup from 1 ft,,11,20
1,4:16.0,,E. Fournier misses 3-pt jump shot from 26 ft,11,20
1,4:13.0,Defensive rebound by B. Griffin,,11,20
1,4:06.0,R. Bullock makes 2-pt jump shot from 18 ft (assist by B. Griffin),,13,20
1,3:58.0,,Orlando full timeout,13,20
1,3:58.0,J. Calderón enters the game for R. Jackson,,13,20
1,3:58.0,,T. Ross enters the game for D. Augustin,13,20
1,3:58.0,,J. Simmons enters the game for E. Fournier,13,20
1,3:46.0,,Shooting foul by A. Drummond (drawn by A. Gordon),13,20
1,3:46.0,,A. Gordon makes free throw 1 of 2,13,21
