QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
1,11:45.0,,Shooting foul by J. Isaac (drawn by J. Green),0,0
1,11:45.0,,J. Green makes free throw 1 of 2,0,1
1,11:45.0,,J. Green makes free throw 2 of 2,0,2
1,11:24.0,E. Fournier misses 3-pt jump shot from 26 ft,,0,2
1,11:21.0,Offensive rebound by J. Isaac,,0,2
1,11:19.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by J. Isaac),,3,2
1,11:09.0,,B. Portis misses 3-pt jump shot from 28 ft,3,2
1,11:06.0,Defensive rebound by J. Isaac,,3,2
1,10:51.0,N. Vučević misses 2-pt hook shot from 7 ft,,3,2
1,10:49.0,,Defensive rebound by T. Ariza,3,2
1,10:33.0,,T. Ariza makes 2-pt layup from 1 ft (assist by B. Beal),3,4
1,10:17.0,N. Vučević misses 2-pt hook shot from 11 ft,,3,4
1,10:12.0,,Defensive rebound by B. Beal,3,4
1,10:02.0,,B. Beal misses 3-pt jump shot from 26 ft,3,4
1,9:59.0,Defensive rebound by J. Isaac,,3,4
1,9:50.0,N. Vučević makes 2-pt dunk from 2 ft (assist by E. Fournier),,5,4
1,9:34.0,,B. Beal misses 2-pt layup from 2 ft,5,4
1,9:30.0,,Offensive rebound by B. Portis,5,4
1,9:30.0,,B. Portis makes 2-pt layup at rim,5,6
1,9:16.0,N. Vučević makes 2-pt hook shot from 9 ft,,7,6
1,9:05.0,,B. Portis misses 2-pt jump shot from 7 ft,7,6
1,9:03.0,Defensive rebound by N. Vučević,,7,6
1,8:53.0,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),,9,6
1,8:32.0,,T. Satoranský makes 2-pt layup from 2 ft,9,8
1,8:17.0,J. Isaac misses 3-pt jump shot from 26 ft,,9,8
1,8:14.0,,Defensive rebound by J. Green,9,8
1,7:59.0,,J. Green makes 3-pt jump shot from 23 ft (assist by B. Beal),9,11
1,7:38.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by J. Isaac),,12,11
1,7:27.0,,B. Beal makes 2-pt jump shot from 14 ft (assist by T. Satoranský),12,13
1,7:09.0,Personal foul by T. Ariza (drawn by A. Gordon),,12,13
1,6:59.0,J. Isaac misses 2-pt jump shot from 18 ft,,12,13
1,6:56.0,,Defensive rebound by T. Satoranský,12,13
1,6:51.0,,Turnover by T. Satoranský (out of bounds lost ball),12,13
1,6:51.0,,Washington full timeout,12,13
1,6:28.0,N. Vučević misses 2-pt hook shot from 14 ft,,12,13
1,6:25.0,,Defensive rebound by B. Beal,12,13
1,6:10.0,,T. Ariza misses 2-pt jump shot from 20 ft,12,13
1,6:06.0,Defensive rebound by E. Fournier,,12,13
1,5:58.0,N. Vučević misses 2-pt hook shot from 7 ft,,12,13
1,5:55.0,,Defensive rebound by B. Portis,12,13
1,5:51.0,,B. Beal misses 2-pt layup from 2 ft,12,13
1,5:51.0,,Offensive rebound by Team,12,13
1,5:51.0,Loose ball foul by E. Fournier (drawn by B. Beal),,12,13
1,5:51.0,W. Iwundu enters the game for A. Gordon,,12,13
1,5:40.0,,B. Beal makes 2-pt layup from 2 ft (assist by B. Portis),12,15
1,5:30.0,W. Iwundu misses 2-pt jump shot from 16 ft,,12,15
1,5:28.0,Offensive rebound by N. Vučević,,12,15
1,5:28.0,Shooting foul by B. Portis (drawn by N. Vučević),,12,15
1,5:28.0,N. Vučević makes free throw 1 of 2,,13,15
1,5:28.0,N. Vučević makes free throw 2 of 2,,14,15
1,5:18.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),14,17
1,5:06.0,E. Fournier makes 2-pt jump shot from 19 ft (assist by D. Augustin),,16,17
1,4:48.0,,B. Portis misses 2-pt hook shot from 6 ft,16,17
1,4:46.0,Defensive rebound by N. Vučević,,16,17
1,4:42.0,Personal foul by T. Ariza (drawn by J. Isaac),,16,17
1,4:42.0,,T. Brown enters the game for T. Ariza,16,17
1,4:34.0,D. Augustin makes 3-pt jump shot from 26 ft (assist by E. Fournier),,19,17
1,4:17.0,,B. Portis misses 3-pt jump shot from 26 ft,19,17
1,4:14.0,Defensive rebound by N. Vučević,,19,17
1,3:52.0,D. Augustin makes 2-pt layup from 3 ft,,21,17
1,3:43.0,,T. Brown makes 2-pt dunk at rim (assist by B. Beal),21,19
1,3:30.0,E. Fournier misses 2-pt jump shot from 7 ft,,21,19
1,3:28.0,,Defensive rebound by B. Portis,21,19
1,3:10.0,,J. Green misses 2-pt layup from 4 ft,21,19
1,3:08.0,Defensive rebound by N. Vučević,,21,19
1,3:04.0,D. Augustin makes 3-pt jump shot from 26 ft,,24,19
1,2:42.0,,T. Satoranský misses 2-pt hook shot from 12 ft,24,19
1,2:42.0,,Offensive rebound by Team,24,19
1,2:42.0,Loose ball foul by E. Fournier (drawn by B. Portis),,24,19
1,2:42.0,Orlando full timeout,,24,19
1,2:42.0,K. Birch enters the game for D. Augustin,,24,19
1,2:42.0,J. Grant enters the game for E. Fournier,,24,19
1,2:42.0,T. Ross enters the game for N. Vučević,,24,19
1,2:42.0,,T. Bryant enters the game for J. Green,24,19
1,2:42.0,,J. Parker enters the game for B. Portis,24,19
1,2:42.0,,C. Randle enters the game for T. Satoranský,24,19
1,2:36.0,,B. Beal makes 2-pt layup from 2 ft,24,21
1,2:19.0,K. Birch misses 2-pt hook shot from 9 ft,,24,21
1,2:17.0,,Defensive rebound by T. Bryant,24,21
1,2:07.0,,T. Brown makes 2-pt jump shot from 5 ft,24,23
1,1:55.0,Turnover by W. Iwundu (bad pass),,24,23
1,1:55.0,A. Gordon enters the game for J. Isaac,,24,23
1,1:43.0,,B. Beal makes 2-pt jump shot from 18 ft,24,25
1,1:27.0,T. Ross misses 2-pt jump shot from 14 ft,,24,25
1,1:24.0,,Defensive rebound by B. Beal,24,25
1,1:16.0,,C. Randle makes 2-pt layup from 1 ft (assist by B. Beal),24,27
1,1:02.0,Personal foul by J. Parker (drawn by A. Gordon),,24,27
1,0:59.0,A. Gordon makes 2-pt dunk from 2 ft (assist by W. Iwundu),,26,27
1,0:41.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Brown),26,29
1,0:36.0,Offensive foul by J. Grant (drawn by C. Randle),,26,29
1,0:36.0,Turnover by J. Grant (offensive foul),,26,29
1,0:32.0,,B. Beal misses 3-pt jump shot from 25 ft,26,29
1,0:29.0,Defensive rebound by A. Gordon,,26,29
1,0:20.0,A. Gordon misses 2-pt layup from 12 ft,,26,29
