QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
1,11:48.0,,Turnover by D. Mitchell (bad pass),0,0
1,11:32.0,M. Gasol makes 2-pt jump shot from 22 ft (assist by M. Conley),,2,0
1,11:05.0,,J. Ingles misses 3-pt jump shot from 28 ft,2,0
1,11:02.0,Defensive rebound by G. Temple,,2,0
1,10:55.0,J. Jackson makes 2-pt hook shot from 2 ft (assist by M. Gasol),,4,0
1,10:42.0,,D. Favors misses 3-pt jump shot from 23 ft,4,0
1,10:41.0,,Offensive rebound by Team,4,0
1,10:41.0,Loose ball foul by C. Parsons (drawn by R. Gobert),,4,0
1,10:35.0,Violation by Team (kicked ball),,4,0
1,10:29.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),4,3
1,10:03.0,J. Jackson misses 2-pt jump shot from 7 ft,,4,3
1,10:01.0,,Defensive rebound by R. Gobert,4,3
1,9:51.0,,R. Rubio misses 3-pt jump shot from 25 ft,4,3
1,9:49.0,,Offensive rebound by D. Favors,4,3
1,9:46.0,,J. Ingles misses 3-pt jump shot from 27 ft,4,3
1,9:42.0,Defensive rebound by C. Parsons,,4,3
1,9:30.0,C. Parsons misses 3-pt jump shot from 24 ft,,4,3
1,9:24.0,Offensive rebound by G. Temple,,4,3
1,9:17.0,G. Temple misses 3-pt jump shot from 23 ft,,4,3
1,9:14.0,,Defensive rebound by R. Gobert,4,3
1,9:11.0,,Personal foul by J. Jackson (drawn by D. Favors),4,3
1,9:04.0,,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Favors),4,6
1,8:40.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),,7,6
1,8:24.0,,R. Rubio misses 2-pt jump shot from 18 ft,7,6
1,8:21.0,Defensive rebound by M. Gasol,,7,6
1,8:14.0,C. Parsons misses 2-pt jump shot from 20 ft,,7,6
1,8:10.0,,Defensive rebound by R. Gobert,7,6
1,8:03.0,,D. Mitchell makes 2-pt jump shot from 21 ft,7,8
1,7:40.0,J. Jackson misses 3-pt jump shot from 25 ft,,7,8
1,7:38.0,,Defensive rebound by R. Gobert,7,8
1,7:29.0,,J. Ingles misses 2-pt jump shot from 6 ft,7,8
1,7:25.0,Defensive rebound by J. Jackson,,7,8
1,7:21.0,Memphis full timeout,,7,8
1,7:11.0,J. Jackson misses 3-pt jump shot from 23 ft,,7,8
1,7:09.0,,Defensive rebound by J. Ingles,7,8
1,7:02.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),7,10
1,6:51.0,M. Conley makes 2-pt jump shot from 19 ft,,9,10
1,6:32.0,,J. Ingles makes 2-pt jump shot from 8 ft (assist by D. Mitchell),9,12
1,6:14.0,Turnover by C. Parsons (bad pass; steal by J. Ingles),,9,12
1,6:10.0,,J. Ingles makes 2-pt layup from 2 ft,9,14
1,5:50.0,M. Conley misses 3-pt jump shot from 25 ft,,9,14
1,5:49.0,,Defensive rebound by R. Gobert,9,14
