QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
1,11:48.0,Turnover by R. Rubio (bad pass),,0,0
1,11:30.0,,T. Prince makes 2-pt jump shot from 13 ft (assist by J. Collins),0,2
1,11:16.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Gobert),,2,2
1,11:02.0,,K. Huerter misses 3-pt jump shot from 25 ft,2,2
1,10:59.0,Defensive rebound by R. Gobert,,2,2
1,10:55.0,Personal foul by K. Huerter (drawn by D. Mitchell),,2,2
1,10:47.0,Turnover by D. Favors (lost ball; steal by J. Collins),,2,2
1,10:41.0,,J. Collins misses 3-pt jump shot from 25 ft,2,2
1,10:37.0,Defensive rebound by R. Rubio,,2,2
1,10:30.0,D. Favors makes 2-pt jump shot from 12 ft (assist by R. Rubio),,4,2
1,10:19.0,,Turnover by T. Young (bad pass),4,2
1,10:06.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,6,2
1,9:49.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by T. Young),6,5
1,9:36.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),,9,5
1,9:24.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),9,8
1,9:11.0,Offensive foul by J. Ingles (drawn by T. Prince),,9,8
1,9:11.0,Turnover by J. Ingles (offensive foul),,9,8
1,9:01.0,,T. Young misses 2-pt jump shot from 13 ft,9,8
1,8:58.0,Defensive rebound by R. Rubio,,9,8
1,8:52.0,R. Rubio makes 2-pt jump shot from 18 ft,,11,8
1,8:33.0,,K. Huerter makes 2-pt jump shot from 12 ft (assist by T. Prince),11,10
1,8:11.0,D. Mitchell misses 2-pt jump shot from 11 ft,,11,10
1,8:06.0,Offensive rebound by D. Favors,,11,10
1,8:06.0,D. Favors misses 2-pt layup from 1 ft (block by D. Dedmon),,11,10
1,8:06.0,,Defensive rebound by K. Huerter,11,10
1,8:02.0,,Turnover by K. Huerter (bad pass; steal by J. Ingles),11,10
1,7:58.0,R. Rubio misses 3-pt jump shot from 24 ft,,11,10
1,7:53.0,,Defensive rebound by T. Young,11,10
1,7:43.0,,J. Collins misses 2-pt jump shot from 16 ft,11,10
1,7:40.0,Defensive rebound by R. Gobert,,11,10
1,7:32.0,R. Rubio misses 2-pt jump shot from 15 ft,,11,10
1,7:29.0,,Defensive rebound by T. Prince,11,10
1,7:25.0,,T. Prince makes 3-pt jump shot from 26 ft,11,13
1,7:05.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Favors),,14,13
1,6:50.0,,T. Young makes 2-pt jump shot from 13 ft,14,15
1,6:37.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),,16,15
1,6:31.0,,Personal foul by R. Rubio (drawn by T. Young),16,15
1,6:31.0,,Atlanta full timeout,16,15
1,6:31.0,J. Crowder enters the game for D. Favors,,16,15
1,6:31.0,R. O'Neale enters the game for J. Ingles,,16,15
1,6:31.0,,D. Bembry enters the game for D. Dedmon,16,15
1,6:31.0,,V. Carter enters the game for K. Huerter,16,15
1,6:22.0,,T. Young makes 2-pt jump shot from 9 ft,16,17
1,5:56.0,D. Mitchell makes 2-pt jump shot from 17 ft,,18,17
1,5:56.0,Shooting foul by D. Bembry (drawn by D. Mitchell),,18,17
1,5:56.0,D. Mitchell makes free throw 1 of 1,,19,17
1,5:35.0,,J. Collins misses 2-pt hook shot from 12 ft,19,17
1,5:32.0,Defensive rebound by R. Gobert,,19,17
1,5:25.0,R. O'Neale misses 3-pt jump shot from 25 ft,,19,17
1,5:22.0,,Defensive rebound by V. Carter,19,17
