QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
1,11:41.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,2,0
1,11:41.0,Shooting foul by T. Harris (drawn by J. McGee),,2,0
1,11:41.0,J. McGee makes free throw 1 of 1,,3,0
1,11:31.0,,B. Simmons misses 2-pt jump shot from 15 ft,3,0
1,11:27.0,Defensive rebound by J. McGee,,3,0
1,11:21.0,R. Bullock misses 2-pt jump shot from 21 ft,,3,0
1,11:18.0,,Defensive rebound by J. Embiid,3,0
1,11:13.0,,B. Simmons misses 2-pt layup from 1 ft,3,0
1,11:11.0,Defensive rebound by J. McGee,,3,0
1,11:03.0,K. Kuzma makes 2-pt jump shot from 17 ft,,5,0
1,10:53.0,,J. Embiid misses 3-pt jump shot from 25 ft,5,0
1,10:49.0,,Offensive rebound by J. Butler,5,0
1,10:46.0,,T. Harris makes 2-pt layup from 1 ft (assist by J. Butler),5,2
1,10:38.0,Turnover by L. James (bad pass; steal by J. Redick),,5,2
1,10:32.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),5,4
1,10:16.0,K. Kuzma misses 2-pt jump shot from 18 ft,,5,4
1,10:13.0,,Defensive rebound by B. Simmons,5,4
1,10:07.0,,B. Simmons misses 2-pt jump shot from 6 ft,5,4
1,10:05.0,Defensive rebound by B. Ingram,,5,4
1,10:04.0,Shooting foul by J. Redick (drawn by B. Ingram),,5,4
1,10:04.0,B. Ingram makes free throw 1 of 2,,6,4
1,10:04.0,B. Ingram makes free throw 2 of 2,,7,4
1,9:52.0,,Personal foul by J. McGee (drawn by J. Embiid),7,4
1,9:46.0,,J. Butler makes 2-pt jump shot from 17 ft (assist by B. Simmons),7,6
1,9:35.0,L. James makes 3-pt jump shot from 26 ft,,10,6
1,9:22.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Redick),10,9
1,9:03.0,B. Ingram misses 2-pt jump shot from 15 ft,,10,9
1,8:59.0,,Defensive rebound by J. Redick,10,9
1,8:52.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by T. Harris),10,11
1,8:34.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. James),,13,11
1,8:24.0,,B. Simmons misses 2-pt layup from 2 ft (block by R. Bullock),13,11
1,8:21.0,Defensive rebound by J. McGee,,13,11
1,8:19.0,K. Kuzma makes 2-pt jump shot from 9 ft,,15,11
