QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
1,11:43.0,J. Holiday misses 2-pt layup from 6 ft,,0,0
1,11:40.0,,Defensive rebound by A. Horford,0,0
1,11:32.0,,Turnover by G. Hayward (bad pass),0,0
1,11:19.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by R. Arcidiacono),,3,0
1,11:06.0,,Turnover by J. Brown (out of bounds lost ball),3,0
1,10:52.0,J. Parker makes 2-pt jump shot from 12 ft (assist by R. Arcidiacono),,5,0
1,10:35.0,,K. Irving misses 2-pt jump shot from 18 ft,5,0
1,10:32.0,Defensive rebound by J. Parker,,5,0
1,10:22.0,W. Carter misses 2-pt jump shot from 17 ft,,5,0
1,10:21.0,,Defensive rebound by K. Irving,5,0
1,10:14.0,,K. Irving makes 2-pt jump shot from 13 ft,5,2
1,9:53.0,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),,7,2
1,9:35.0,,A. Horford misses 2-pt jump shot from 13 ft,7,2
1,9:34.0,,Offensive rebound by J. Tatum,7,2
1,9:33.0,,J. Tatum makes 2-pt dunk from 2 ft,7,4
1,9:14.0,J. Parker makes 2-pt hook shot from 6 ft,,9,4
1,8:58.0,,J. Brown misses 2-pt jump shot from 12 ft,9,4
1,8:57.0,Defensive rebound by Z. LaVine,,9,4
1,8:48.0,Turnover by J. Holiday (bad pass; steal by A. Horford),,9,4
1,8:43.0,,G. Hayward misses 2-pt layup from 2 ft,9,4
1,8:40.0,Defensive rebound by W. Carter,,9,4
1,8:35.0,J. Parker makes 3-pt jump shot from 24 ft (assist by Z. LaVine),,12,4
1,8:18.0,,J. Tatum misses 2-pt jump shot from 8 ft,12,4
1,8:16.0,Defensive rebound by W. Carter,,12,4
1,8:03.0,J. Holiday misses 3-pt jump shot from 25 ft,,12,4
1,8:01.0,,Defensive rebound by K. Irving,12,4
1,7:56.0,,K. Irving makes 3-pt jump shot from 27 ft,12,7
1,7:34.0,W. Carter misses 2-pt jump shot from 12 ft,,12,7
1,7:33.0,,Defensive rebound by J. Brown,12,7
1,7:21.0,,J. Brown makes 2-pt layup from 2 ft,12,9
1,7:05.0,Turnover by J. Parker (bad pass; steal by J. Brown),,12,9
1,7:02.0,,J. Brown makes 2-pt dunk from 3 ft (assist by K. Irving),12,11
1,7:02.0,Chicago full timeout,,12,11
1,6:50.0,J. Parker misses 2-pt jump shot from 14 ft,,12,11
1,6:48.0,,Defensive rebound by A. Horford,12,11
1,6:37.0,,J. Brown makes 2-pt jump shot from 8 ft (assist by A. Horford),12,13
1,6:12.0,J. Holiday makes 3-pt jump shot from 26 ft,,15,13
1,5:53.0,,J. Tatum misses 2-pt layup from 3 ft,15,13
1,5:52.0,Defensive rebound by W. Carter,,15,13
1,5:39.0,Z. LaVine misses 3-pt jump shot from 29 ft,,15,13
1,5:37.0,,Defensive rebound by A. Horford,15,13
1,5:19.0,,J. Brown misses 2-pt layup from 4 ft (block by W. Carter),15,13
1,5:18.0,Defensive rebound by R. Arcidiacono,,15,13
1,5:12.0,J. Holiday misses 2-pt layup from 2 ft,,15,13
1,5:11.0,Offensive rebound by Z. LaVine,,15,13
1,5:10.0,Z. LaVine makes 2-pt layup from 1 ft,,17,13
1,4:47.0,,Personal foul by R. Arcidiacono (drawn by K. Irving),17,13
1,4:47.0,,T. Rozier enters the game for J. Brown,17,13
1,4:47.0,,M. Smart enters the game for G. Hayward,17,13
1,4:40.0,,K. Irving makes 2-pt jump shot from 19 ft (assist by A. Horford),17,15
1,4:29.0,Personal foul by M. Smart (drawn by J. Holiday),,17,15
1,4:29.0,A. Blakeney enters the game for Z. LaVine,,17,15
1,4:16.0,J. Parker makes 2-pt layup from 3 ft (assist by A. Blakeney),,19,15
1,4:01.0,,J. Tatum misses 3-pt jump shot from 25 ft,19,15
1,3:59.0,Defensive rebound by R. Arcidiacono,,19,15
1,3:52.0,W. Carter misses 2-pt layup from 3 ft (block by A. Horford),,19,15
1,3:51.0,,Defensive rebound by K. Irving,19,15
1,3:43.0,,K. Irving makes 2-pt jump shot from 7 ft,19,17
1,3:26.0,Personal foul by K. Irving (drawn by W. Carter),,19,17
1,3:15.0,J. Parker misses 2-pt jump shot from 19 ft,,19,17
1,3:14.0,,Defensive rebound by J. Tatum,19,17
1,3:04.0,,K. Irving misses 2-pt jump shot from 9 ft,19,17
1,3:03.0,Defensive rebound by J. Parker,,19,17
1,2:54.0,J. Parker misses 2-pt layup from 4 ft,,19,17
1,2:53.0,,Defensive rebound by K. Irving,19,17
1,2:52.0,,Boston full timeout,19,17
1,2:52.0,R. Lopez enters the game for W. Carter,,19,17
1,2:52.0,,A. Baynes enters the game for A. Horford,19,17
1,2:37.0,,T. Rozier misses 2-pt jump shot from 9 ft,19,17
1,2:36.0,,Offensive rebound by A. Baynes,19,17
1,2:36.0,,A. Baynes misses 2-pt layup at rim,19,17
1,2:35.0,Defensive rebound by J. Parker,,19,17
1,2:19.0,Turnover by J. Parker (bad pass; steal by M. Smart),,19,17
1,2:12.0,,J. Tatum misses 2-pt layup from 2 ft,19,17
1,2:11.0,Defensive rebound by R. Arcidiacono,,19,17
1,1:51.0,J. Parker makes 2-pt hook shot from 6 ft,,21,17
1,1:30.0,,M. Smart makes 2-pt layup from 1 ft,21,19
1,1:09.0,J. Holiday misses 2-pt jump shot from 16 ft,,21,19
1,1:08.0,,Defensive rebound by A. Baynes,21,19
1,0:52.0,,T. Rozier misses 3-pt jump shot from 22 ft,21,19
1,0:50.0,Defensive rebound by A. Blakeney,,21,19
1,0:42.0,A. Blakeney misses 2-pt jump shot from 11 ft,,21,19
1,0:39.0,,Defensive rebound by J. Tatum,21,19
1,0:29.0,,A. Baynes misses 3-pt jump shot from 27 ft,21,19
1,0:28.0,Defensive rebound by R. Arcidiacono,,21,19
1,0:06.0,R. Lopez misses 2-pt jump shot from 19 ft,,21,19
1,0:05.0,Offensive rebound by J. Holiday,,21,19
1,0:01.0,J. Parker makes 3-pt jump shot from 26 ft (assist by J. Holiday),,24,19
2,11:46.0,,G. Hayward misses 2-pt jump shot from 19 ft,24,19
2,11:45.0,Defensive rebound by S. Harrison,,24,19
2,11:34.0,R. Lopez misses 2-pt hook shot from 7 ft,,24,19
2,11:33.0,,Defensive rebound by A. Baynes,24,19
2,11:24.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Baynes),24,22
2,11:08.0,Z. LaVine misses 2-pt jump shot from 14 ft,,24,22
2,11:07.0,,Defensive rebound by T. Rozier,24,22
2,11:01.0,,T. Rozier makes 2-pt jump shot from 10 ft,24,24
2,10:36.0,Z. LaVine makes 2-pt layup from 3 ft,,26,24
2,10:18.0,,T. Rozier misses 3-pt jump shot from 26 ft,26,24
2,10:16.0,Defensive rebound by C. Hutchison,,26,24
2,10:05.0,Z. LaVine misses 2-pt jump shot from 12 ft,,26,24
2,10:04.0,,Defensive rebound by A. Baynes,26,24
2,9:58.0,,J. Brown misses 3-pt jump shot from 27 ft,26,24
2,9:56.0,Defensive rebound by Z. LaVine,,26,24
2,9:47.0,A. Blakeney misses 2-pt jump shot from 14 ft,,26,24
2,9:45.0,,Defensive rebound by A. Baynes,26,24
2,9:31.0,,A. Baynes makes 3-pt jump shot from 27 ft (assist by J. Brown),26,27
2,9:12.0,Turnover by R. Lopez (lost ball; steal by A. Baynes),,26,27
2,9:06.0,,A. Baynes misses 2-pt hook shot from 8 ft,26,27
2,9:04.0,Defensive rebound by Z. LaVine,,26,27
2,9:01.0,Turnover by Z. LaVine (bad pass),,26,27
2,8:52.0,,Shooting foul by A. Blakeney (drawn by G. Hayward),26,27
2,8:52.0,,G. Hayward misses free throw 1 of 2,26,27
2,8:52.0,,Offensive rebound by Team,26,27
2,8:52.0,,G. Hayward makes free throw 2 of 2,26,28
2,8:36.0,A. Blakeney makes 2-pt jump shot from 7 ft,,28,28
2,8:23.0,,Personal foul by A. Blakeney (drawn by G. Hayward),28,28
2,8:15.0,,A. Baynes misses 3-pt jump shot from 28 ft,28,28
2,8:13.0,Defensive rebound by Z. LaVine,,28,28
2,8:05.0,Z. LaVine misses 2-pt layup from 5 ft,,28,28
2,8:03.0,,Defensive rebound by J. Brown,28,28
2,8:03.0,Technical foul by Z. LaVine,,28,28
2,8:03.0,,T. Rozier makes technical free throw,28,29
2,7:51.0,,J. Brown misses 2-pt jump shot from 9 ft,28,29
2,7:49.0,,Offensive rebound by A. Baynes,28,29
2,7:38.0,,G. Hayward misses 3-pt jump shot from 23 ft,28,29
2,7:35.0,Defensive rebound by C. Hutchison,,28,29
2,7:23.0,Z. LaVine misses 2-pt layup from 2 ft (block by A. Baynes),,28,29
2,7:20.0,,Defensive rebound by J. Brown,28,29
2,7:20.0,,Turnover by J. Brown (bad pass; steal by S. Harrison),28,29
2,7:14.0,C. Hutchison misses 2-pt layup from 2 ft,,28,29
2,7:12.0,,Defensive rebound by J. Brown,28,29
2,7:06.0,,G. Hayward misses 2-pt layup from 3 ft,28,29
2,7:05.0,,Offensive rebound by S. Ojeleye,28,29
2,7:05.0,,S. Ojeleye makes 2-pt layup at rim,28,31
2,7:05.0,,Boston full timeout,28,31
2,7:05.0,W. Carter enters the game for A. Blakeney,,28,31
2,7:05.0,J. Holiday enters the game for C. Hutchison,,28,31
2,7:05.0,J. Parker enters the game for R. Lopez,,28,31
2,7:05.0,,M. Smart enters the game for T. Rozier,28,31
2,6:53.0,W. Carter misses 2-pt jump shot from 18 ft,,28,31
2,6:51.0,,Defensive rebound by J. Brown,28,31
2,6:35.0,,M. Smart makes 3-pt jump shot from 27 ft (assist by A. Baynes),28,34
2,6:21.0,J. Holiday misses 3-pt jump shot from 23 ft,,28,34
2,6:19.0,,Defensive rebound by A. Baynes,28,34
2,6:10.0,,A. Baynes misses 2-pt jump shot from 14 ft,28,34
2,6:08.0,Defensive rebound by J. Parker,,28,34
2,5:55.0,J. Parker misses 3-pt jump shot from 26 ft,,28,34
2,5:52.0,,Defensive rebound by G. Hayward,28,34
2,5:45.0,,Turnover by J. Brown (lost ball; steal by S. Harrison),28,34
2,5:41.0,S. Harrison makes 2-pt layup from 1 ft,,30,34
2,5:23.0,,J. Brown makes 3-pt jump shot from 25 ft (assist by M. Smart),30,37
2,5:07.0,Offensive foul by J. Parker (drawn by A. Baynes),,30,37
2,5:07.0,Turnover by J. Parker (offensive foul),,30,37
2,5:07.0,R. Arcidiacono enters the game for S. Harrison,,30,37
2,5:07.0,,A. Horford enters the game for A. Baynes,30,37
2,5:07.0,,K. Irving enters the game for G. Hayward,30,37
2,5:07.0,,J. Tatum enters the game for S. Ojeleye,30,37
2,4:52.0,,J. Tatum makes 3-pt jump shot from 27 ft (assist by K. Irving),30,40
2,4:36.0,W. Carter misses 2-pt jump shot from 20 ft,,30,40
2,4:34.0,,Defensive rebound by M. Smart,30,40
2,4:20.0,,A. Horford makes 2-pt jump shot from 10 ft,30,42
2,4:19.0,Chicago full timeout,,30,42
2,4:11.0,Z. LaVine misses 3-pt jump shot from 29 ft,,30,42
2,4:09.0,,Defensive rebound by J. Tatum,30,42
2,3:50.0,,J. Brown misses 3-pt jump shot from 23 ft,30,42
2,3:48.0,Defensive rebound by J. Parker,,30,42
2,3:42.0,Turnover by J. Parker (bad pass),,30,42
2,3:33.0,,J. Tatum misses 3-pt jump shot from 27 ft,30,42
2,3:31.0,Defensive rebound by Z. LaVine,,30,42
2,3:22.0,W. Carter makes 2-pt jump shot from 8 ft (assist by Z. LaVine),,32,42
2,3:22.0,Shooting foul by J. Tatum (drawn by W. Carter),,32,42
2,3:22.0,,T. Rozier enters the game for J. Brown,32,42
2,3:22.0,W. Carter makes free throw 1 of 1,,33,42
2,3:11.0,,Shooting foul by R. Arcidiacono (drawn by K. Irving),33,42
2,3:11.0,,K. Irving makes free throw 1 of 2,33,43
2,3:11.0,,K. Irving makes free throw 2 of 2,33,44
2,3:03.0,Turnover by R. Arcidiacono (bad pass; steal by K. Irving),,33,44
2,3:02.0,,Turnover by K. Irving (bad pass; steal by J. Holiday),33,44
2,2:47.0,Turnover by Z. LaVine (bad pass),,33,44
2,2:31.0,,A. Horford makes 2-pt jump shot from 14 ft (assist by K. Irving),33,46
2,2:15.0,J. Holiday misses 3-pt jump shot from 27 ft,,33,46
2,2:13.0,,Defensive rebound by A. Horford,33,46
2,1:59.0,,A. Horford misses 2-pt jump shot from 6 ft,33,46
2,1:58.0,Defensive rebound by W. Carter,,33,46
2,1:39.0,Turnover by Z. LaVine (traveling),,33,46
2,1:23.0,,Personal foul by W. Carter (drawn by K. Irving),33,46
2,1:12.0,,J. Tatum makes 3-pt jump shot from 27 ft,33,49
2,0:52.0,W. Carter misses 2-pt jump shot from 6 ft,,33,49
2,0:50.0,Offensive rebound by W. Carter,,33,49
2,0:50.0,W. Carter misses 2-pt layup from 1 ft,,33,49
2,0:49.0,,Defensive rebound by A. Horford,33,49
2,0:39.0,,J. Tatum misses 2-pt jump shot from 15 ft,33,49
2,0:36.0,Defensive rebound by W. Carter,,33,49
2,0:33.0,R. Arcidiacono makes 2-pt layup from 1 ft (assist by J. Parker),,35,49
2,0:33.0,,Violation by Team (def goaltending),35,49
2,0:20.0,,M. Smart misses 3-pt jump shot from 25 ft,35,49
2,0:18.0,,Offensive rebound by K. Irving,35,49
2,0:06.0,,T. Rozier makes 2-pt jump shot from 12 ft,35,51
2,0:01.0,Z. LaVine misses 2-pt layup from 3 ft,,35,51
2,0:01.0,Offensive rebound by Team,,35,51
3,11:49.0,,J. Tatum misses 2-pt layup from 3 ft,35,51
3,11:46.0,,Offensive rebound by J. Tatum,35,51
3,11:33.0,,Turnover by J. Tatum (lost ball; steal by R. Arcidiacono),35,51
3,11:29.0,Z. LaVine makes 2-pt dunk from 1 ft,,37,51
3,11:14.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Brown),37,54
3,10:46.0,J. Parker misses 2-pt layup from 2 ft,,37,54
3,10:44.0,,Defensive rebound by A. Horford,37,54
3,10:39.0,,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),37,56
3,10:20.0,J. Parker misses 3-pt jump shot from 23 ft,,37,56
3,10:18.0,,Defensive rebound by K. Irving,37,56
3,10:14.0,,Personal foul by R. Arcidiacono (drawn by K. Irving),37,56
3,10:07.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by G. Hayward),37,59
3,10:06.0,Chicago full timeout,,37,59
3,9:54.0,Personal foul by J. Tatum (drawn by W. Carter),,37,59
3,9:46.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,37,59
3,9:44.0,,Defensive rebound by J. Brown,37,59
3,9:27.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by K. Irving),37,62
3,9:09.0,Personal foul by G. Hayward (drawn by Z. LaVine),,37,62
3,8:55.0,Turnover by W. Carter (lost ball; steal by J. Tatum),,37,62
3,8:50.0,,G. Hayward misses 3-pt jump shot from 26 ft,37,62
3,8:47.0,Defensive rebound by W. Carter,,37,62
3,8:40.0,W. Carter makes 2-pt layup from 3 ft (assist by R. Arcidiacono),,39,62
3,8:22.0,,G. Hayward misses 3-pt jump shot from 23 ft,39,62
3,8:19.0,Defensive rebound by R. Arcidiacono,,39,62
3,8:08.0,J. Parker misses 2-pt layup from 3 ft (block by A. Horford),,39,62
3,8:07.0,,Defensive rebound by A. Horford,39,62
3,8:02.0,,J. Tatum misses 3-pt jump shot from 25 ft,39,62
3,8:01.0,,Offensive rebound by G. Hayward,39,62
3,8:01.0,,G. Hayward misses 2-pt layup from 1 ft,39,62
3,7:59.0,Defensive rebound by R. Arcidiacono,,39,62
3,7:52.0,W. Carter makes 2-pt layup from 1 ft (assist by J. Holiday),,41,62
3,7:32.0,,J. Brown misses 2-pt layup from 3 ft (block by J. Parker),41,62
