QUARTER,TIME_REMAINING,HOUSTON_ACTION,WASHINGTON_ACTION,HOUSTON_SCORE,WASHINGTON_SCORE
1,11:38.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Wall),0,2
1,11:21.0,E. Gordon makes 2-pt layup from 1 ft,,2,2
1,11:03.0,,K. Oubre misses 3-pt jump shot from 26 ft,2,2
1,10:59.0,Defensive rebound by E. Gordon,,2,2
1,10:53.0,Turnover by J. Harden (bad pass; steal by O. Porter),,2,2
1,10:44.0,,T. Bryant misses 2-pt layup from 3 ft,2,2
1,10:42.0,,Offensive rebound by T. Bryant,2,2
1,10:41.0,,T. Bryant misses 2-pt layup from 1 ft (block by C. Capela),2,2
1,10:39.0,Defensive rebound by P. Tucker,,2,2
1,10:35.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by P. Tucker),,5,2
1,10:16.0,,J. Wall makes 2-pt jump shot from 16 ft,5,4
1,10:09.0,Turnover by J. Harden (bad pass),,5,4
1,10:05.0,,Personal foul by J. Harden (drawn by J. Wall),5,4
1,10:00.0,,O. Porter misses 2-pt jump shot from 21 ft,5,4
1,9:56.0,Defensive rebound by P. Tucker,,5,4
1,9:52.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),,8,4
1,9:37.0,,Personal foul by C. Capela (drawn by K. Oubre),8,4
1,9:27.0,,J. Wall makes 2-pt jump shot from 2 ft,8,6
1,9:19.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by J. Harden),,11,6
1,8:56.0,,J. Wall misses 3-pt jump shot from 25 ft,11,6
1,8:52.0,Defensive rebound by P. Tucker,,11,6
1,8:49.0,C. Capela misses 2-pt layup at rim (block by T. Bryant),,11,6
1,8:47.0,,Defensive rebound by K. Oubre,11,6
1,8:43.0,,Offensive foul by J. Wall (drawn by J. Ennis),11,6
1,8:43.0,,Turnover by J. Wall (offensive foul),11,6
1,8:37.0,E. Gordon misses 2-pt layup from 6 ft,,11,6
1,8:35.0,Offensive rebound by C. Capela,,11,6
1,8:34.0,C. Capela misses 2-pt layup from 5 ft (block by B. Beal),,11,6
1,8:34.0,Offensive rebound by C. Capela,,11,6
1,8:30.0,C. Capela misses 2-pt layup from 4 ft,,11,6
1,8:30.0,,Defensive rebound by K. Oubre,11,6
1,8:25.0,,Shooting foul by E. Gordon (drawn by B. Beal),11,6
1,8:25.0,,B. Beal makes free throw 1 of 2,11,7
1,8:25.0,,B. Beal makes free throw 2 of 2,11,8
1,8:12.0,E. Gordon makes 3-pt jump shot from 27 ft,,14,8
1,7:58.0,,J. Wall makes 2-pt layup from 2 ft,14,10
1,7:49.0,J. Ennis makes 2-pt layup from 3 ft (assist by J. Harden),,16,10
1,7:36.0,,O. Porter misses 2-pt jump shot from 11 ft,16,10
1,7:33.0,Defensive rebound by C. Capela,,16,10
1,7:28.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by J. Harden),,19,10
1,7:27.0,,Washington full timeout,19,10
1,7:27.0,G. Clark enters the game for J. Ennis,,19,10
1,7:09.0,,K. Oubre misses 3-pt jump shot from 23 ft,19,10
1,7:05.0,Defensive rebound by C. Capela,,19,10
1,6:59.0,J. Harden makes 2-pt layup from 2 ft,,21,10
1,6:42.0,,B. Beal misses 2-pt jump shot from 13 ft,21,10
1,6:37.0,Defensive rebound by P. Tucker,,21,10
1,6:33.0,J. Harden makes 3-pt jump shot from 26 ft,,24,10
1,6:33.0,Shooting foul by B. Beal (drawn by J. Harden),,24,10
1,6:33.0,,M. Morris enters the game for T. Bryant,24,10
1,6:33.0,J. Harden makes free throw 1 of 1,,25,10
1,6:25.0,,Turnover by J. Wall (lost ball; steal by J. Harden),25,10
1,6:21.0,J. Harden makes 2-pt dunk from 1 ft (assist by P. Tucker),,27,10
1,6:21.0,,Washington full timeout,27,10
1,6:21.0,D. House enters the game for E. Gordon,,27,10
1,6:00.0,,M. Morris misses 3-pt jump shot from 26 ft,27,10
1,5:54.0,Defensive rebound by P. Tucker,,27,10
1,5:47.0,J. Harden misses 2-pt layup from 2 ft,,27,10
1,5:45.0,,Defensive rebound by M. Morris,27,10
1,5:33.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),27,13
1,5:23.0,G. Clark makes 3-pt jump shot from 27 ft (assist by J. Harden),,30,13
1,5:06.0,,J. Wall misses 2-pt jump shot from 7 ft (block by C. Capela),30,13
1,5:04.0,,Offensive rebound by B. Beal,30,13
1,4:59.0,,Shooting foul by D. House (drawn by B. Beal),30,13
1,4:59.0,,B. Beal makes free throw 1 of 2,30,14
1,4:59.0,,J. Green enters the game for O. Porter,30,14
1,4:59.0,,B. Beal makes free throw 2 of 2,30,15
1,4:46.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,32,15
1,4:26.0,,K. Oubre makes 2-pt jump shot from 8 ft (assist by J. Wall),32,17
1,4:20.0,Personal foul by K. Oubre (drawn by G. Clark),,32,17
1,4:20.0,M. Chriss enters the game for C. Capela,,32,17
1,4:14.0,M. Chriss misses 2-pt layup from 2 ft (block by J. Wall),,32,17
1,4:11.0,,Defensive rebound by M. Morris,32,17
1,4:05.0,,Shooting foul by M. Chriss (drawn by J. Wall),32,17
1,4:05.0,,J. Wall makes free throw 1 of 2,32,18
1,4:05.0,,J. Wall makes free throw 2 of 2,32,19
1,3:46.0,J. Harden misses 2-pt layup from 2 ft (block by K. Oubre),,32,19
1,3:46.0,Offensive rebound by Team,,32,19
1,3:39.0,J. Harden misses 3-pt jump shot from 28 ft,,32,19
1,3:39.0,Offensive rebound by Team,,32,19
1,3:38.0,Turnover by Team (shot clock),,32,19
1,3:25.0,,K. Oubre misses 3-pt jump shot from 26 ft,32,19
1,3:23.0,Defensive rebound by Team,,32,19
1,3:23.0,Personal foul by J. Green (drawn by G. Clark),,32,19
1,3:23.0,J. Ennis enters the game for P. Tucker,,32,19
