QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
1,11:37.0,D. Lillard makes 3-pt jump shot from 25 ft,,3,0
1,11:20.0,,Turnover by J. Green (lost ball; steal by A. Aminu),3,0
1,11:11.0,C. McCollum misses 2-pt jump shot from 19 ft,,3,0
1,11:11.0,,Defensive rebound by I. Zubac,3,0
1,11:11.0,,LA Clippers full timeout,3,0
1,10:52.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by L. Shamet),3,2
1,10:24.0,A. Aminu misses 3-pt jump shot from 23 ft,,3,2
1,10:18.0,Offensive rebound by J. Nurkić,,3,2
1,10:18.0,J. Nurkić misses 2-pt layup from 1 ft,,3,2
1,10:18.0,,Defensive rebound by P. Beverley,3,2
1,10:16.0,,Turnover by S. Gilgeous-Alexander (bad pass),3,2
1,10:04.0,Shooting foul by P. Beverley (drawn by C. McCollum),,3,2
1,10:04.0,C. McCollum makes free throw 1 of 2,,4,2
1,10:04.0,C. McCollum makes free throw 2 of 2,,5,2
1,9:50.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft,5,4
1,9:35.0,D. Lillard makes 2-pt layup from 1 ft (assist by C. McCollum),,7,4
1,9:15.0,,Personal foul by M. Harkless (drawn by S. Gilgeous-Alexander),7,4
1,9:06.0,,L. Shamet makes 2-pt jump shot from 12 ft (assist by P. Beverley),7,6
1,8:46.0,Turnover by J. Nurkić (lost ball; steal by J. Green),,7,6
1,8:41.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by L. Shamet),7,9
1,8:27.0,C. McCollum misses 3-pt jump shot from 24 ft,,7,9
1,8:24.0,,Defensive rebound by I. Zubac,7,9
1,8:09.0,,I. Zubac misses 2-pt layup from 2 ft (block by A. Aminu),7,9
1,8:06.0,,Offensive rebound by I. Zubac,7,9
1,8:05.0,,I. Zubac misses 2-pt layup from 1 ft,7,9
1,8:05.0,,Offensive rebound by I. Zubac,7,9
1,8:02.0,,Turnover by Team (shot clock),7,9
1,7:50.0,M. Harkless makes 2-pt hook shot from 5 ft (assist by D. Lillard),,9,9
1,7:40.0,,Turnover by I. Zubac (bad pass; steal by C. McCollum),9,9
1,7:22.0,Shooting foul by I. Zubac (drawn by J. Nurkić),,9,9
1,7:22.0,J. Nurkić misses free throw 1 of 2,,9,9
1,7:22.0,Offensive rebound by Team,,9,9
1,7:22.0,J. Nurkić makes free throw 2 of 2,,10,9
1,7:03.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,10,11
1,6:52.0,J. Nurkić makes 2-pt hook shot from 8 ft (assist by D. Lillard),,12,11
1,6:43.0,,I. Zubac makes 2-pt jump shot from 18 ft (assist by P. Beverley),12,13
1,6:33.0,Turnover by D. Lillard (lost ball; steal by S. Gilgeous-Alexander),,12,13
1,6:29.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Lillard),12,13
1,6:14.0,J. Nurkić misses 2-pt dunk from 1 ft,,12,13
1,6:11.0,,Defensive rebound by J. Green,12,13
1,5:59.0,,I. Zubac misses 2-pt jump shot from 14 ft,12,13
1,5:57.0,Defensive rebound by C. McCollum,,12,13
1,5:44.0,C. McCollum misses 2-pt jump shot from 6 ft,,12,13
1,5:42.0,,Defensive rebound by I. Zubac,12,13
1,5:37.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by P. Beverley),12,16
1,5:12.0,C. McCollum misses 3-pt jump shot from 26 ft,,12,16
1,5:09.0,,Defensive rebound by I. Zubac,12,16
1,5:00.0,,L. Shamet misses 2-pt layup from 2 ft,12,16
1,5:00.0,,Offensive rebound by I. Zubac,12,16
1,5:00.0,,I. Zubac misses 2-pt layup at rim,12,16
1,5:00.0,Defensive rebound by Team,,12,16
1,5:00.0,E. Freedom enters the game for M. Harkless,,12,16
1,5:00.0,J. Layman enters the game for J. Nurkić,,12,16
1,4:47.0,D. Lillard misses 3-pt jump shot from 26 ft,,12,16
1,4:43.0,,Defensive rebound by J. Green,12,16
1,4:32.0,,J. Green misses 2-pt jump shot from 18 ft,12,16
1,4:28.0,Defensive rebound by J. Layman,,12,16
1,4:23.0,Turnover by E. Freedom (out of bounds lost ball),,12,16
1,4:23.0,,M. Harrell enters the game for S. Gilgeous-Alexander,12,16
1,4:23.0,,L. Williams enters the game for I. Zubac,12,16
1,4:08.0,,J. Green makes 3-pt jump shot from 24 ft (assist by P. Beverley),12,19
1,4:07.0,Portland full timeout,,12,19
1,3:52.0,A. Aminu misses 3-pt jump shot from 24 ft,,12,19
1,3:48.0,Offensive rebound by E. Freedom,,12,19
1,3:44.0,E. Freedom makes 2-pt hook shot from 3 ft (assist by D. Lillard),,14,19
1,3:27.0,,L. Shamet misses 3-pt jump shot from 26 ft,14,19
1,3:25.0,Defensive rebound by E. Freedom,,14,19
1,3:19.0,C. McCollum misses 3-pt jump shot from 25 ft,,14,19
1,3:16.0,,Defensive rebound by J. Green,14,19
1,3:09.0,,M. Harrell misses 2-pt layup from 4 ft,14,19
1,3:05.0,,Offensive rebound by M. Harrell,14,19
1,3:05.0,,M. Harrell misses 2-pt layup at rim,14,19
1,3:05.0,,Offensive rebound by J. Green,14,19
1,3:02.0,,J. Green makes 2-pt layup at rim,14,21
1,2:48.0,J. Layman makes 2-pt layup from 2 ft (assist by D. Lillard),,16,21
1,2:22.0,,M. Harrell makes 2-pt layup from 3 ft (assist by P. Beverley),16,23
1,2:12.0,Personal foul by L. Shamet (drawn by D. Lillard),,16,23
1,2:12.0,Z. Collins enters the game for A. Aminu,,16,23
1,2:12.0,S. Curry enters the game for C. McCollum,,16,23
1,2:12.0,,G. Temple enters the game for L. Shamet,16,23
1,1:58.0,Z. Collins misses 2-pt jump shot from 8 ft,,16,23
1,1:55.0,Offensive rebound by E. Freedom,,16,23
1,1:54.0,E. Freedom makes 2-pt layup from 1 ft,,18,23
1,1:42.0,,Turnover by M. Harrell (bad pass; steal by D. Lillard),18,23
1,1:39.0,D. Lillard makes 2-pt layup from 1 ft,,20,23
1,1:26.0,,L. Williams makes 2-pt jump shot from 15 ft,20,25
1,1:12.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Lillard),,23,25
1,1:02.0,,Turnover by L. Williams (bad pass; steal by E. Freedom),23,25
1,0:42.0,E. Freedom misses 2-pt layup from 1 ft,,23,25
1,0:40.0,,Defensive rebound by P. Beverley,23,25
1,0:37.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by P. Beverley),23,28
1,0:31.0,Z. Collins misses 3-pt jump shot from 25 ft,,23,28
1,0:30.0,,Defensive rebound by Team,23,28
1,0:30.0,Loose ball foul by E. Freedom (drawn by M. Harrell),,23,28
1,0:30.0,,W. Chandler enters the game for P. Beverley,23,28
1,0:30.0,,T. Wallace enters the game for J. Green,23,28
1,0:23.0,,Personal foul by D. Lillard (drawn by L. Williams),23,28
1,0:23.0,,L. Williams makes free throw 1 of 2,23,29
1,0:23.0,,L. Williams makes free throw 2 of 2,23,30
1,0:08.0,Personal foul by G. Temple (drawn by D. Lillard),,23,30
1,0:08.0,C. McCollum enters the game for Z. Collins,,23,30
1,0:08.0,,S. Thornwell enters the game for L. Williams,23,30
1,0:02.0,S. Curry misses 3-pt jump shot from 24 ft,,23,30
1,0:00.0,,Defensive rebound by W. Chandler,23,30
2,11:43.0,,L. Williams misses 2-pt jump shot from 19 ft,23,30
2,11:41.0,Defensive rebound by E. Freedom,,23,30
2,11:26.0,E. Freedom misses 3-pt jump shot from 24 ft,,23,30
2,11:22.0,,Defensive rebound by W. Chandler,23,30
2,11:05.0,,W. Chandler misses 3-pt jump shot from 24 ft,23,30
2,11:03.0,Defensive rebound by E. Turner,,23,30
2,10:55.0,J. Layman misses 2-pt layup from 2 ft,,23,30
2,10:55.0,Offensive rebound by Team,,23,30
2,10:52.0,E. Freedom misses 2-pt jump shot from 15 ft,,23,30
2,10:49.0,,Defensive rebound by W. Chandler,23,30
2,10:39.0,,M. Harrell misses 2-pt layup from 3 ft (block by E. Freedom),23,30
2,10:36.0,Defensive rebound by E. Freedom,,23,30
2,10:27.0,Z. Collins makes 2-pt layup from 2 ft (assist by E. Turner),,25,30
2,10:12.0,,L. Williams makes 2-pt jump shot from 7 ft (assist by M. Harrell),25,32
2,9:51.0,E. Turner makes 2-pt jump shot from 19 ft,,27,32
2,9:39.0,,L. Williams misses 2-pt jump shot from 5 ft,27,32
2,9:36.0,Defensive rebound by Z. Collins,,27,32
2,9:24.0,E. Freedom makes 2-pt layup from 3 ft (assist by S. Curry),,29,32
2,9:08.0,,W. Chandler makes 3-pt jump shot from 27 ft (assist by L. Williams),29,35
2,8:47.0,S. Curry misses 3-pt jump shot from 25 ft,,29,35
2,8:45.0,,Defensive rebound by T. Wallace,29,35
2,8:42.0,,G. Temple misses 2-pt layup at rim,29,35
2,8:38.0,Defensive rebound by J. Layman,,29,35
2,8:36.0,S. Curry makes 3-pt jump shot from 23 ft (assist by J. Layman),,32,35
2,8:36.0,Shooting foul by M. Harrell (drawn by S. Curry),,32,35
2,8:36.0,,S. Gilgeous-Alexander enters the game for T. Wallace,32,35
2,8:36.0,S. Curry misses free throw 1 of 1,,32,35
2,8:34.0,,Defensive rebound by M. Harrell,32,35
2,8:28.0,,Personal foul by E. Turner (drawn by L. Williams),32,35
2,8:23.0,,L. Williams misses 2-pt jump shot from 17 ft,32,35
2,8:21.0,Defensive rebound by E. Turner,,32,35
2,8:15.0,J. Layman misses 3-pt jump shot from 25 ft,,32,35
2,8:13.0,,Defensive rebound by Team,32,35
2,8:01.0,,M. Harrell misses 2-pt jump shot from 12 ft,32,35
2,7:59.0,Defensive rebound by Z. Collins,,32,35
2,7:41.0,S. Curry misses 2-pt layup from 3 ft,,32,35
2,7:41.0,,Defensive rebound by Team,32,35
2,7:41.0,Loose ball foul by E. Freedom (drawn by M. Harrell),,32,35
2,7:26.0,,L. Williams misses 2-pt jump shot from 6 ft,32,35
2,7:22.0,,Offensive rebound by W. Chandler,32,35
2,7:22.0,C. McCollum enters the game for J. Layman,,32,35
2,7:15.0,,M. Harrell makes 3-pt jump shot from 26 ft (assist by L. Williams),32,38
2,6:57.0,Shooting foul by W. Chandler (drawn by E. Freedom),,32,38
2,6:57.0,,LA Clippers full timeout,32,38
2,6:57.0,M. Harkless enters the game for E. Turner,,32,38
2,6:57.0,,P. Beverley enters the game for G. Temple,32,38
2,6:57.0,E. Freedom makes free throw 1 of 2,,33,38
2,6:57.0,E. Freedom misses free throw 2 of 2,,33,38
2,6:53.0,,Defensive rebound by M. Harrell,33,38
2,6:46.0,,L. Williams misses 2-pt jump shot from 18 ft,33,38
2,6:43.0,Defensive rebound by Z. Collins,,33,38
2,6:27.0,E. Freedom makes 2-pt hook shot from 5 ft,,35,38
2,6:07.0,,P. Beverley misses 2-pt jump shot from 11 ft,35,38
2,6:04.0,,Offensive rebound by P. Beverley,35,38
2,5:58.0,,W. Chandler makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),35,41
2,5:39.0,Z. Collins misses 3-pt jump shot from 25 ft,,35,41
2,5:37.0,Offensive rebound by E. Freedom,,35,41
2,5:37.0,E. Freedom misses 2-pt layup from 1 ft,,35,41
2,5:37.0,Offensive rebound by M. Harkless,,35,41
2,5:37.0,Shooting foul by S. Gilgeous-Alexander (drawn by M. Harkless),,35,41
2,5:37.0,Portland full timeout,,35,41
2,5:37.0,A. Aminu enters the game for Z. Collins,,35,41
2,5:37.0,D. Lillard enters the game for S. Curry,,35,41
2,5:37.0,J. Nurkić enters the game for E. Freedom,,35,41
2,5:37.0,,J. Green enters the game for W. Chandler,35,41
2,5:37.0,,L. Shamet enters the game for M. Harrell,35,41
2,5:37.0,,I. Zubac enters the game for L. Williams,35,41
2,5:37.0,M. Harkless misses free throw 1 of 2,,35,41
2,5:37.0,Offensive rebound by Team,,35,41
2,5:37.0,M. Harkless misses free throw 2 of 2,,35,41
2,5:33.0,Offensive rebound by A. Aminu,,35,41
2,5:32.0,Personal foul by J. Green (drawn by A. Aminu),,35,41
2,5:22.0,A. Aminu misses 2-pt jump shot from 18 ft,,35,41
2,5:18.0,,Defensive rebound by J. Green,35,41
2,5:11.0,,Shooting foul by D. Lillard (drawn by P. Beverley),35,41
2,5:11.0,,P. Beverley makes free throw 1 of 2,35,42
2,5:11.0,,P. Beverley makes free throw 2 of 2,35,43
2,4:56.0,C. McCollum misses 3-pt jump shot from 24 ft,,35,43
2,4:53.0,,Defensive rebound by J. Green,35,43
2,4:48.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,35,43
2,4:48.0,,Offensive rebound by I. Zubac,35,43
2,4:44.0,,I. Zubac misses 2-pt layup at rim,35,43
2,4:43.0,,Offensive rebound by I. Zubac,35,43
2,4:43.0,,I. Zubac misses 2-pt layup at rim (block by M. Harkless),35,43
2,4:43.0,Defensive rebound by D. Lillard,,35,43
2,4:39.0,D. Lillard misses 2-pt jump shot from 12 ft,,35,43
2,4:39.0,Offensive rebound by Team,,35,43
2,4:31.0,J. Nurkić misses 2-pt hook shot from 7 ft,,35,43
2,4:31.0,Offensive rebound by J. Nurkić,,35,43
2,4:26.0,J. Nurkić misses 2-pt layup from 8 ft,,35,43
2,4:26.0,Offensive rebound by M. Harkless,,35,43
2,4:23.0,M. Harkless makes 2-pt layup from 1 ft,,37,43
2,4:01.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,37,43
2,4:00.0,,Offensive rebound by Team,37,43
2,3:56.0,,L. Shamet misses 3-pt jump shot from 24 ft,37,43
2,3:54.0,Defensive rebound by J. Nurkić,,37,43
2,3:47.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,39,43
2,3:29.0,,P. Beverley makes 2-pt layup from 3 ft (assist by I. Zubac),39,45
2,3:21.0,M. Harkless makes 2-pt layup from 1 ft (assist by C. McCollum),,41,45
2,3:13.0,,Turnover by S. Gilgeous-Alexander (traveling),41,45
