QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
1,11:41.0,K. Towns makes 3-pt jump shot from 24 ft (assist by J. Okogie),,3,0
1,11:24.0,,B. Caboclo makes 3-pt jump shot from 24 ft (assist by T. Dorsey),3,3
1,11:05.0,A. Wiggins misses 3-pt jump shot from 27 ft,,3,3
1,11:05.0,,Defensive rebound by J. Valančiūnas,3,3
1,10:53.0,,J. Valančiūnas misses 2-pt hook shot from 10 ft,3,3
1,10:50.0,Defensive rebound by K. Towns,,3,3
1,10:39.0,D. Šarić misses 3-pt jump shot from 24 ft,,3,3
1,10:36.0,,Defensive rebound by M. Conley,3,3
1,10:29.0,,M. Conley makes 2-pt jump shot from 2 ft,3,5
1,10:16.0,Def 3 sec tech foul by Team,,3,5
1,10:16.0,T. Jones makes technical free throw,,4,5
1,10:06.0,Turnover by A. Wiggins (step out of bounds),,4,5
1,9:44.0,,Shooting foul by D. Šarić (drawn by J. Valančiūnas),4,5
1,9:44.0,,J. Valančiūnas makes free throw 1 of 2,4,6
1,9:44.0,,J. Valančiūnas makes free throw 2 of 2,4,7
1,9:36.0,Offensive foul by K. Towns (drawn by M. Conley),,4,7
1,9:36.0,Turnover by K. Towns (offensive foul),,4,7
1,9:18.0,,T. Dorsey misses 3-pt jump shot from 26 ft (block by J. Okogie),4,7
1,9:15.0,,Offensive rebound by J. Valančiūnas,4,7
1,9:12.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft,4,9
1,8:51.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,6,9
1,8:40.0,,Offensive foul by J. Valančiūnas (drawn by J. Okogie),6,9
1,8:40.0,,Turnover by J. Valančiūnas (offensive foul),6,9
1,8:37.0,J. Okogie makes 2-pt layup from 2 ft (assist by D. Šarić),,8,9
1,8:21.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Valančiūnas),8,11
1,8:09.0,K. Towns makes 2-pt layup at rim (assist by T. Jones),,10,11
1,7:59.0,,M. Conley misses 3-pt jump shot from 25 ft,10,11
1,7:56.0,Defensive rebound by D. Šarić,,10,11
1,7:47.0,A. Wiggins misses 2-pt layup from 2 ft (block by J. Valančiūnas),,10,11
1,7:43.0,,Defensive rebound by J. Valančiūnas,10,11
1,7:42.0,,Turnover by J. Valančiūnas (bad pass; steal by D. Šarić),10,11
1,7:38.0,A. Wiggins misses 3-pt jump shot from 24 ft,,10,11
1,7:35.0,,Defensive rebound by B. Caboclo,10,11
1,7:35.0,,J. Noah enters the game for J. Valančiūnas,10,11
1,7:24.0,,J. Noah misses 2-pt layup from 1 ft,10,11
1,7:21.0,Defensive rebound by K. Towns,,10,11
1,7:14.0,Turnover by D. Šarić (bad pass; steal by J. Holiday),,10,11
1,7:04.0,,T. Dorsey misses 2-pt layup from 1 ft,10,11
1,7:01.0,,Offensive rebound by J. Noah,10,11
1,7:01.0,,J. Noah misses 2-pt layup at rim,10,11
1,6:59.0,Defensive rebound by K. Towns,,10,11
1,6:54.0,Turnover by D. Šarić (bad pass; steal by B. Caboclo),,10,11
1,6:52.0,,Personal take foul by T. Jones (drawn by M. Conley),10,11
1,6:52.0,,Memphis full timeout,10,11
1,6:52.0,,D. Wright enters the game for T. Dorsey,10,11
1,6:41.0,,M. Conley misses 2-pt jump shot from 6 ft,10,11
1,6:38.0,Defensive rebound by J. Okogie,,10,11
1,6:28.0,Personal foul by J. Noah (drawn by K. Towns),,10,11
1,6:26.0,Turnover by A. Wiggins (bad pass; steal by J. Holiday),,10,11
