QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
1,12:00.0,,Violation by Team (delay of game),0,0
1,11:39.0,,D. Mitchell makes 2-pt jump shot from 5 ft (assist by J. Ingles),0,2
1,11:21.0,N. Jokić makes 2-pt hook shot from 5 ft (assist by G. Harris),,2,2
1,11:05.0,,R. O'Neale misses 3-pt jump shot from 23 ft,2,2
1,11:03.0,Defensive rebound by J. Murray,,2,2
1,10:46.0,P. Millsap misses 3-pt jump shot from 25 ft,,2,2
1,10:43.0,,Defensive rebound by D. Mitchell,2,2
1,10:37.0,,D. Mitchell misses 2-pt jump shot from 10 ft,2,2
1,10:34.0,,Offensive rebound by D. Favors,2,2
1,10:31.0,,R. Gobert makes 2-pt layup from 5 ft (assist by D. Favors),2,4
1,10:19.0,G. Harris misses 2-pt jump shot from 14 ft,,2,4
1,10:18.0,,Defensive rebound by Team,2,4
1,10:07.0,,D. Favors misses 3-pt jump shot from 24 ft,2,4
1,10:04.0,Defensive rebound by W. Barton,,2,4
1,9:53.0,J. Murray makes 2-pt jump shot from 11 ft (assist by N. Jokić),,4,4
1,9:39.0,,R. O'Neale makes 3-pt jump shot from 24 ft (assist by D. Mitchell),4,7
1,9:18.0,Turnover by P. Millsap (lost ball; steal by R. Gobert),,4,7
1,9:04.0,,Turnover by D. Favors (bad pass; steal by J. Murray),4,7
1,8:57.0,G. Harris misses 2-pt layup from 7 ft (block by R. O'Neale),,4,7
1,8:57.0,,Defensive rebound by R. O'Neale,4,7
1,8:47.0,,R. Gobert misses 2-pt layup from 2 ft (block by N. Jokić),4,7
1,8:44.0,Defensive rebound by N. Jokić,,4,7
1,8:44.0,Personal foul by J. Ingles (drawn by G. Harris),,4,7
1,8:36.0,G. Harris makes 2-pt layup from 3 ft (assist by P. Millsap),,6,7
1,8:25.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),6,9
1,8:15.0,J. Murray misses 3-pt jump shot from 26 ft,,6,9
1,8:12.0,,Defensive rebound by J. Ingles,6,9
1,7:56.0,,R. Gobert misses 2-pt jump shot from 4 ft,6,9
1,7:54.0,Defensive rebound by N. Jokić,,6,9
1,7:50.0,J. Murray makes 2-pt layup from 1 ft (assist by W. Barton),,8,9
1,7:37.0,,D. Mitchell makes 2-pt layup from 1 ft,8,11
1,7:23.0,J. Murray misses 2-pt jump shot from 13 ft,,8,11
1,7:20.0,,Defensive rebound by R. Gobert,8,11
1,7:15.0,,D. Mitchell makes 3-pt jump shot from 27 ft,8,14
1,6:55.0,G. Harris makes 2-pt dunk from 2 ft (assist by N. Jokić),,10,14
1,6:49.0,,Utah full timeout,10,14
1,6:49.0,,J. Crowder enters the game for D. Favors,10,14
1,6:42.0,,Shooting foul by G. Harris (drawn by D. Mitchell),10,14
1,6:42.0,,D. Mitchell makes free throw 1 of 2,10,15
1,6:42.0,,D. Mitchell makes free throw 2 of 2,10,16
1,6:22.0,N. Jokić misses 2-pt jump shot from 13 ft (block by R. Gobert),,10,16
1,6:17.0,,Defensive rebound by J. Crowder,10,16
1,6:11.0,,R. O'Neale misses 3-pt jump shot from 23 ft,10,16
1,6:08.0,Defensive rebound by W. Barton,,10,16
1,6:03.0,P. Millsap misses 3-pt jump shot from 26 ft,,10,16
1,6:00.0,,Defensive rebound by J. Crowder,10,16
1,5:50.0,,R. O'Neale makes 2-pt layup from 3 ft (assist by D. Mitchell),10,18
