QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
1,11:39.0,Turnover by E. Okobo (bad pass; steal by L. Dončić),,0,0
1,11:27.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by L. Dončić),0,2
1,11:03.0,D. Bender makes 3-pt jump shot from 26 ft (assist by E. Okobo),,3,2
1,10:47.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,3,2
1,10:44.0,Defensive rebound by J. Jackson,,3,2
1,10:40.0,E. Okobo misses 2-pt layup from 1 ft,,3,2
1,10:38.0,,Defensive rebound by L. Dončić,3,2
1,10:32.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Harris),3,5
1,10:16.0,E. Okobo makes 3-pt jump shot from 25 ft (assist by R. Spalding),,6,5
1,10:00.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,6,5
1,9:56.0,Defensive rebound by R. Spalding,,6,5
1,9:48.0,D. Bender misses 3-pt jump shot from 24 ft,,6,5
1,9:45.0,,Defensive rebound by L. Dončić,6,5
1,9:36.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by L. Dončić),6,7
1,9:19.0,Shooting foul by D. Powell (drawn by E. Okobo),,6,7
1,9:19.0,E. Okobo makes free throw 1 of 2,,7,7
1,9:19.0,E. Okobo makes free throw 2 of 2,,8,7
1,9:02.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Harris),8,10
1,8:48.0,E. Okobo misses 3-pt jump shot from 26 ft,,8,10
1,8:45.0,,Defensive rebound by D. Nowitzki,8,10
1,8:39.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,8,10
1,8:36.0,,Offensive rebound by D. Powell,8,10
1,8:29.0,,Personal foul by E. Okobo (drawn by D. Harris),8,10
1,8:19.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,8,10
1,8:17.0,Defensive rebound by J. Jackson,,8,10
1,8:08.0,R. Spalding misses 2-pt hook shot from 4 ft,,8,10
1,8:06.0,,Defensive rebound by L. Dončić,8,10
1,7:49.0,,Shooting foul by J. Jackson (drawn by D. Powell),8,10
1,7:49.0,,D. Powell makes free throw 1 of 2,8,11
1,7:49.0,,D. Powell makes free throw 2 of 2,8,12
1,7:41.0,D. Bender makes 2-pt jump shot from 4 ft (assist by E. Okobo),,10,12
1,7:25.0,,D. Harris makes 3-pt jump shot from 26 ft (assist by L. Dončić),10,15
1,7:09.0,Turnover by E. Okobo (step out of bounds),,10,15
1,7:09.0,,Dallas full timeout,10,15
1,7:09.0,T. Daniels enters the game for R. Spalding,,10,15
1,6:54.0,,L. Dončić misses 3-pt jump shot from 27 ft,10,15
1,6:51.0,,Offensive rebound by D. Powell,10,15
1,6:49.0,,D. Harris makes 3-pt jump shot from 24 ft (assist by D. Powell),10,18
1,6:29.0,M. Bridges misses 2-pt jump shot from 11 ft,,10,18
1,6:27.0,,Defensive rebound by D. Powell,10,18
1,6:14.0,,D. Harris misses 3-pt jump shot from 29 ft,10,18
1,6:10.0,Defensive rebound by J. Jackson,,10,18
1,6:06.0,T. Daniels misses 3-pt jump shot from 25 ft,,10,18
1,6:04.0,,Defensive rebound by D. Nowitzki,10,18
1,5:50.0,,Turnover by D. Powell (bad pass),10,18
1,5:50.0,J. Crawford enters the game for M. Bridges,,10,18
1,5:50.0,,J. Brunson enters the game for D. Harris,10,18
1,5:37.0,T. Daniels misses 3-pt jump shot from 23 ft,,10,18
1,5:33.0,,Defensive rebound by D. Nowitzki,10,18
1,5:18.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by L. Dončić),10,21
1,5:16.0,Phoenix full timeout,,10,21
1,5:16.0,,D. Finney-Smith enters the game for D. Nowitzki,10,21
1,5:16.0,,M. Kleber enters the game for D. Powell,10,21
1,5:03.0,Shooting foul by J. Brunson (drawn by J. Jackson),,10,21
1,5:03.0,J. Jackson makes free throw 1 of 2,,11,21
1,5:03.0,J. Jackson misses free throw 2 of 2,,11,21
1,5:00.0,,Defensive rebound by D. Finney-Smith,11,21
1,4:48.0,,D. Finney-Smith makes 2-pt layup from 3 ft (assist by L. Dončić),11,23
