QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,WASHINGTON_ACTION,NEW ORLEANS_SCORE,WASHINGTON_SCORE
4,1:56.0,J. Randle makes 3-pt jump shot from 26 ft (assist by J. Holiday),,110,119
4,1:30.0,,B. Beal misses 2-pt jump shot from 20 ft,110,119
4,1:26.0,Defensive rebound by N. Mirotić,,110,119
4,1:22.0,Turnover by N. Mirotić (bad pass; steal by O. Porter),,110,119
4,1:19.0,,Shooting foul by J. Holiday (drawn by M. Morris),110,119
4,1:19.0,,M. Morris makes free throw 1 of 2,110,120
4,1:19.0,,M. Morris misses free throw 2 of 2,110,120
4,1:19.0,Defensive rebound by N. Mirotić,,110,120
4,1:19.0,New Orleans full timeout,,110,120
4,1:15.0,J. Randle makes 2-pt layup from 2 ft,,112,120
4,1:03.0,,Personal foul by J. Holiday (drawn by J. Wall),112,120
4,1:03.0,,J. Wall makes free throw 1 of 2,112,121
4,1:03.0,,J. Wall misses free throw 2 of 2,112,121
4,1:00.0,Defensive rebound by J. Randle,,112,121
4,0:52.0,D. Miller misses 3-pt jump shot from 26 ft,,112,121
4,0:49.0,Offensive rebound by N. Mirotić,,112,121
4,0:49.0,Shooting foul by B. Beal (drawn by N. Mirotić),,112,121
4,0:49.0,N. Mirotić makes free throw 1 of 2,,113,121
4,0:49.0,N. Mirotić makes free throw 2 of 2,,114,121
4,0:36.0,,Washington full timeout,114,121
4,0:28.0,,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),114,123
4,0:20.0,J. Randle misses 3-pt jump shot from 26 ft,,114,123
4,0:16.0,,Defensive rebound by B. Beal,114,123
4,0:16.0,,Personal foul by J. Randle (drawn by B. Beal),114,123
4,0:16.0,,B. Beal misses free throw 1 of 2,114,123
4,0:16.0,,Offensive rebound by Team,114,123
4,0:16.0,,B. Beal makes free throw 2 of 2,114,124
4,0:10.0,J. Holiday misses 3-pt jump shot from 25 ft,,114,124
4,0:06.0,,Defensive rebound by J. Wall,114,124
