QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
1,11:38.0,,Turnover by S. Ibaka (traveling),0,0
1,11:25.0,B. Lopez makes 2-pt jump shot from 12 ft,,2,0
1,11:03.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by K. Leonard),2,2
1,10:42.0,M. Brogdon misses 3-pt jump shot from 24 ft,,2,2
1,10:35.0,,Defensive rebound by K. Leonard,2,2
1,10:34.0,,K. Lowry makes 2-pt layup from 2 ft (assist by P. Siakam),2,4
1,10:25.0,Personal foul by K. Lowry (drawn by E. Bledsoe),,2,4
1,10:20.0,M. Brogdon misses 2-pt layup from 1 ft,,2,4
1,10:17.0,,Defensive rebound by D. Green,2,4
1,10:12.0,,K. Leonard misses 2-pt jump shot from 19 ft,2,4
1,10:08.0,Defensive rebound by G. Antetokounmpo,,2,4
1,9:59.0,G. Antetokounmpo misses 2-pt hook shot from 1 ft,,2,4
1,9:57.0,,Defensive rebound by D. Green,2,4
1,9:46.0,,P. Siakam makes 2-pt jump shot from 19 ft (assist by K. Lowry),2,6
1,9:32.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,2,6
1,9:29.0,,Defensive rebound by P. Siakam,2,6
1,9:24.0,,Turnover by P. Siakam (lost ball; steal by G. Antetokounmpo),2,6
1,9:20.0,E. Bledsoe makes 2-pt layup from 1 ft,,4,6
1,9:00.0,,Turnover by S. Ibaka (bad pass; steal by E. Bledsoe),4,6
1,8:56.0,E. Bledsoe makes 2-pt layup from 1 ft,,6,6
1,8:36.0,,S. Ibaka misses 3-pt jump shot from 26 ft,6,6
1,8:33.0,Defensive rebound by K. Middleton,,6,6
1,8:27.0,K. Middleton makes 2-pt dunk from 1 ft,,8,6
1,8:19.0,,K. Leonard misses 2-pt jump shot from 19 ft,8,6
1,8:14.0,Defensive rebound by G. Antetokounmpo,,8,6
1,8:05.0,B. Lopez misses 3-pt jump shot from 29 ft,,8,6
1,8:01.0,,Defensive rebound by K. Lowry,8,6
1,7:55.0,,K. Leonard misses 2-pt jump shot from 3 ft (block by B. Lopez),8,6
1,7:54.0,,Offensive rebound by Team,8,6
1,7:54.0,S. Brown enters the game for M. Brogdon,,8,6
1,7:52.0,,D. Green misses 2-pt jump shot from 16 ft,8,6
1,7:48.0,Defensive rebound by E. Bledsoe,,8,6
1,7:31.0,Turnover by E. Bledsoe (lost ball; steal by K. Leonard),,8,6
1,7:19.0,,Turnover by K. Lowry (bad pass; steal by E. Bledsoe),8,6
1,7:10.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,10,6
1,7:10.0,,Toronto full timeout,10,6
1,7:10.0,,F. VanVleet enters the game for D. Green,10,6
1,6:50.0,,K. Leonard misses 2-pt jump shot from 14 ft,10,6
1,6:46.0,Defensive rebound by S. Brown,,10,6
1,6:38.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,10,6
1,6:35.0,,Defensive rebound by S. Ibaka,10,6
1,6:28.0,,Shooting foul by K. Middleton (drawn by S. Ibaka),10,6
1,6:28.0,,S. Ibaka makes free throw 1 of 2,10,7
1,6:28.0,,S. Ibaka makes free throw 2 of 2,10,8
1,6:11.0,K. Middleton misses 2-pt jump shot from 13 ft,,10,8
1,6:07.0,,Defensive rebound by K. Leonard,10,8
1,5:57.0,,S. Ibaka makes 2-pt hook shot from 9 ft (assist by K. Lowry),10,10
1,5:37.0,G. Antetokounmpo misses 2-pt hook shot from 4 ft (block by S. Ibaka),,10,10
1,5:33.0,,Defensive rebound by F. VanVleet,10,10
1,5:31.0,,K. Lowry misses 3-pt jump shot from 24 ft,10,10
1,5:27.0,,Offensive rebound by K. Lowry,10,10
1,5:27.0,,K. Lowry misses 3-pt jump shot from 24 ft,10,10
1,5:27.0,,Offensive rebound by S. Ibaka,10,10
1,5:27.0,,Shooting foul by G. Antetokounmpo (drawn by S. Ibaka),10,10
1,5:27.0,,S. Ibaka makes free throw 1 of 2,10,11
1,5:27.0,G. Hill enters the game for G. Antetokounmpo,,10,11
1,5:27.0,D. Wilson enters the game for E. Bledsoe,,10,11
1,5:27.0,,S. Ibaka makes free throw 2 of 2,10,12
1,5:10.0,D. Wilson makes 3-pt jump shot from 27 ft (assist by K. Middleton),,13,12
1,5:01.0,,K. Lowry makes 2-pt layup from 4 ft,13,14
1,4:45.0,Turnover by D. Wilson (bad pass; steal by K. Leonard),,13,14
1,4:43.0,,K. Leonard makes 2-pt layup from 1 ft,13,16
1,4:20.0,K. Middleton misses 2-pt layup from 3 ft (block by S. Ibaka),,13,16
1,4:19.0,Offensive rebound by K. Middleton,,13,16
1,4:18.0,Turnover by Team (shot clock),,13,16
1,4:18.0,,N. Powell enters the game for K. Lowry,13,16
1,4:04.0,,S. Ibaka misses 3-pt jump shot from 23 ft,13,16
1,3:58.0,Defensive rebound by K. Middleton,,13,16
1,3:55.0,G. Hill makes 3-pt jump shot from 26 ft (assist by K. Middleton),,16,16
1,3:31.0,,P. Siakam makes 2-pt layup at rim,16,18
1,3:20.0,Shooting foul by F. VanVleet (drawn by K. Middleton),,16,18
1,3:20.0,M. Brogdon enters the game for S. Brown,,16,18
1,3:20.0,E. İlyasova enters the game for B. Lopez,,16,18
1,3:20.0,,O. Anunoby enters the game for P. Siakam,16,18
1,3:20.0,K. Middleton makes free throw 1 of 2,,17,18
1,3:20.0,K. Middleton makes free throw 2 of 2,,18,18
1,3:01.0,,S. Ibaka makes 2-pt hook shot from 6 ft (assist by N. Powell),18,20
1,2:40.0,Turnover by G. Hill (bad pass),,18,20
1,2:40.0,Milwaukee full timeout,,18,20
1,2:40.0,S. Brown enters the game for K. Middleton,,18,20
1,2:40.0,,G. Monroe enters the game for S. Ibaka,18,20
1,2:40.0,,D. Wright enters the game for K. Leonard,18,20
1,2:27.0,,F. VanVleet misses 3-pt jump shot from 25 ft,18,20
1,2:22.0,,Offensive rebound by D. Wright,18,20
1,2:21.0,,D. Wright misses 2-pt layup from 1 ft,18,20
1,2:17.0,Defensive rebound by S. Brown,,18,20
1,2:09.0,G. Hill makes 2-pt jump shot from 12 ft,,20,20
1,1:48.0,,D. Wright makes 2-pt layup from 4 ft,20,22
1,1:48.0,G. Antetokounmpo enters the game for S. Brown,,20,22
1,1:48.0,T. Snell enters the game for D. Wilson,,20,22
1,1:48.0,,P. Siakam enters the game for G. Monroe,20,22
1,1:27.0,Turnover by E. İlyasova (back court),,20,22
1,1:20.0,,Personal foul by T. Snell (drawn by P. Siakam),20,22
1,1:15.0,,P. Siakam makes 3-pt jump shot from 26 ft (assist by O. Anunoby),20,25
1,1:03.0,Turnover by M. Brogdon (bad pass; steal by F. VanVleet),,20,25
1,0:52.0,,O. Anunoby misses 3-pt jump shot from 26 ft,20,25
1,0:49.0,Defensive rebound by G. Hill,,20,25
1,0:44.0,M. Brogdon misses 2-pt jump shot from 14 ft,,20,25
1,0:40.0,Offensive rebound by G. Antetokounmpo,,20,25
1,0:35.0,Turnover by G. Hill (out of bounds lost ball),,20,25
1,0:30.0,,Offensive foul by D. Wright (drawn by E. İlyasova),20,25
1,0:30.0,,Turnover by D. Wright (offensive foul),20,25
1,0:19.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,22,25
1,0:00.0,,O. Anunoby misses 3-pt jump shot from 26 ft,22,25
1,0:00.0,,Offensive rebound by Team,22,25
2,11:35.0,T. Snell makes 3-pt jump shot from 27 ft (assist by M. Brogdon),,25,25
2,11:10.0,,Turnover by P. Siakam (lost ball; steal by G. Antetokounmpo),25,25
2,11:05.0,E. İlyasova misses 3-pt jump shot from 25 ft,,25,25
2,11:01.0,,Defensive rebound by O. Anunoby,25,25
2,10:55.0,,N. Powell makes 2-pt dunk at rim (assist by P. Siakam),25,27
2,10:46.0,T. Snell makes 3-pt jump shot from 26 ft (assist by E. İlyasova),,28,27
2,10:21.0,,D. Wright misses 2-pt jump shot from 5 ft,28,27
2,10:17.0,Defensive rebound by E. İlyasova,,28,27
2,10:14.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,30,27
2,10:14.0,Shooting foul by O. Anunoby (drawn by G. Antetokounmpo),,30,27
2,10:14.0,G. Antetokounmpo makes free throw 1 of 1,,31,27
