QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DALLAS_ACTION,CHARLOTTE_SCORE,DALLAS_SCORE
1,7:19.0,,T. Hardaway enters the game for L. Dončić,7,9
1,7:02.0,J. Lamb misses 2-pt jump shot from 20 ft,,7,9
1,6:58.0,,Defensive rebound by T. Hardaway,7,9
1,6:52.0,,J. Brunson misses 3-pt jump shot from 25 ft,7,9
1,6:51.0,,Offensive rebound by M. Kleber,7,9
1,6:48.0,,T. Hardaway misses 3-pt jump shot from 25 ft,7,9
1,6:43.0,Defensive rebound by K. Walker,,7,9
1,6:40.0,K. Walker makes 3-pt jump shot from 25 ft,,10,9
1,6:38.0,,Dallas full timeout,10,9
1,6:38.0,M. Kidd-Gilchrist enters the game for M. Williams,,10,9
1,6:22.0,,T. Hardaway misses 2-pt jump shot from 5 ft,10,9
1,6:20.0,Defensive rebound by M. Kidd-Gilchrist,,10,9
1,6:06.0,J. Lamb misses 3-pt jump shot from 23 ft,,10,9
1,6:03.0,,Defensive rebound by J. Brunson,10,9
1,5:48.0,,D. Finney-Smith makes 2-pt jump shot from 5 ft (assist by J. Brunson),10,11
1,5:29.0,C. Zeller misses 2-pt jump shot from 4 ft,,10,11
1,5:28.0,Offensive rebound by C. Zeller,,10,11
1,5:27.0,C. Zeller makes 2-pt layup from 1 ft,,12,11
1,5:12.0,,D. Finney-Smith makes 2-pt dunk at rim (assist by H. Barnes),12,13
1,4:51.0,M. Kidd-Gilchrist misses 2-pt hook shot from 4 ft,,12,13
1,4:49.0,,Defensive rebound by D. Finney-Smith,12,13
1,4:42.0,,T. Hardaway misses 3-pt jump shot from 25 ft,12,13
1,4:40.0,Defensive rebound by Team,,12,13
1,4:40.0,M. Bridges enters the game for N. Batum,,12,13
1,4:40.0,M. Monk enters the game for J. Lamb,,12,13
1,4:40.0,,D. Powell enters the game for M. Kleber,12,13
1,4:30.0,Turnover by K. Walker (bad pass; steal by J. Brunson),,12,13
1,4:26.0,,D. Finney-Smith makes 2-pt dunk at rim (assist by J. Brunson),12,15
1,4:12.0,M. Monk makes 3-pt jump shot from 23 ft (assist by M. Kidd-Gilchrist),,15,15
1,4:00.0,,H. Barnes misses 3-pt jump shot from 25 ft,15,15
1,3:57.0,Defensive rebound by M. Monk,,15,15
1,3:49.0,K. Walker makes 2-pt jump shot from 20 ft,,17,15
1,3:27.0,,Turnover by J. Brunson (lost ball; steal by M. Bridges),17,15
1,3:25.0,Personal foul by T. Hardaway (drawn by C. Zeller),,17,15
1,3:25.0,,L. Dončić enters the game for H. Barnes,17,15
1,3:25.0,,D. Nowitzki enters the game for J. Brunson,17,15
1,3:18.0,Turnover by M. Monk (traveling),,17,15
1,3:03.0,,Personal foul by M. Monk (drawn by T. Hardaway),17,15
