QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DALLAS_ACTION,CHARLOTTE_SCORE,DALLAS_SCORE
4,3:34.0,J. Lamb misses 2-pt jump shot from 7 ft,,86,88
4,3:32.0,,Defensive rebound by D. Powell,86,88
4,3:28.0,,L. Dončić makes 2-pt layup at rim,86,90
4,3:28.0,,Shooting foul by C. Zeller (drawn by L. Dončić),86,90
4,3:28.0,,L. Dončić makes free throw 1 of 1,86,91
4,3:16.0,M. Williams misses 3-pt jump shot from 26 ft,,86,91
4,3:13.0,,Defensive rebound by J. Brunson,86,91
4,2:57.0,,M. Kleber misses 2-pt jump shot from 12 ft,86,91
4,2:53.0,Defensive rebound by M. Williams,,86,91
4,2:48.0,N. Batum makes 2-pt layup from 1 ft (assist by K. Walker),,88,91
4,2:30.0,,L. Dončić makes 3-pt jump shot from 25 ft,88,94
4,2:16.0,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),,91,94
4,1:54.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by L. Dončić),91,97
4,1:39.0,N. Batum misses 3-pt jump shot from 25 ft,,91,97
4,1:36.0,,Defensive rebound by D. Powell,91,97
4,1:25.0,,L. Dončić misses 3-pt jump shot from 25 ft,91,97
4,1:22.0,Defensive rebound by M. Williams,,91,97
4,1:14.0,J. Lamb misses 2-pt layup from 3 ft,,91,97
4,1:12.0,,Defensive rebound by J. Brunson,91,97
4,1:10.0,,Shooting foul by K. Walker (drawn by J. Brunson),91,97
4,1:10.0,,J. Brunson misses free throw 1 of 2,91,97
4,1:10.0,,Offensive rebound by Team,91,97
4,1:10.0,B. Biyombo enters the game for C. Zeller,,91,97
4,1:10.0,,J. Brunson misses free throw 2 of 2,91,97
4,1:08.0,,Offensive rebound by M. Kleber,91,97
4,0:56.0,,L. Dončić misses 2-pt layup from 6 ft,91,97
4,0:53.0,Defensive rebound by J. Lamb,,91,97
4,0:49.0,Turnover by K. Walker (bad pass),,91,97
4,0:30.0,,D. Powell misses 2-pt jump shot from 23 ft (block by B. Biyombo),91,97
4,0:29.0,,Offensive rebound by D. Powell,91,97
4,0:25.0,,D. Powell misses 2-pt jump shot from 19 ft,91,97
4,0:25.0,Defensive rebound by J. Lamb,,91,97
4,0:25.0,Charlotte full timeout,,91,97
4,0:25.0,M. Monk enters the game for N. Batum,,91,97
4,0:25.0,C. Zeller enters the game for B. Biyombo,,91,97
4,0:22.0,Personal take foul by L. Dončić (drawn by C. Zeller),,91,97
4,0:22.0,N. Batum enters the game for C. Zeller,,91,97
4,0:13.0,N. Batum makes 2-pt layup from 4 ft (assist by K. Walker),,93,97
4,0:09.0,,Personal foul by J. Lamb (drawn by D. Powell),93,97
4,0:09.0,,D. Powell makes free throw 1 of 2,93,98
4,0:09.0,,D. Powell makes free throw 2 of 2,93,99
4,0:09.0,Charlotte full timeout,,93,99
4,0:09.0,C. Zeller enters the game for J. Lamb,,93,99
4,0:07.0,M. Monk misses 3-pt jump shot from 28 ft,,93,99
4,0:04.0,Offensive rebound by K. Walker,,93,99
4,0:03.0,N. Batum misses 3-pt jump shot from 26 ft,,93,99
4,0:03.0,Offensive rebound by Team,,93,99
4,0:00.0,Turnover by N. Batum (turnover; steal by J. Brunson),,93,99
