QUARTER,TIME_REMAINING,TORONTO_ACTION,OKLAHOMA CITY_ACTION,TORONTO_SCORE,OKLAHOMA CITY_SCORE
1,11:35.0,F. VanVleet makes 2-pt jump shot from 12 ft (assist by D. Green),,2,0
1,11:28.0,,P. George misses 3-pt jump shot from 25 ft,2,0
1,11:25.0,Defensive rebound by K. Leonard,,2,0
1,11:15.0,P. Siakam misses 2-pt jump shot from 3 ft,,2,0
1,11:13.0,,Defensive rebound by P. George,2,0
1,11:05.0,,J. Grant misses 2-pt jump shot from 11 ft,2,0
1,11:03.0,,Offensive rebound by S. Adams,2,0
1,10:58.0,,J. Grant makes 2-pt layup from 2 ft (assist by P. George),2,2
1,10:42.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,5,2
1,10:23.0,,T. Ferguson makes 3-pt jump shot from 24 ft (assist by R. Westbrook),5,5
1,10:03.0,F. VanVleet misses 3-pt jump shot from 23 ft,,5,5
1,10:01.0,Offensive rebound by P. Siakam,,5,5
1,9:49.0,M. Gasol makes 2-pt jump shot from 6 ft (assist by D. Green),,7,5
1,9:40.0,,Turnover by P. George (out of bounds lost ball),7,5
1,9:28.0,Turnover by P. Siakam (out of bounds lost ball),,7,5
1,9:16.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by J. Grant),7,8
1,9:00.0,Personal foul by T. Ferguson (drawn by K. Leonard),,7,8
1,8:46.0,Turnover by F. VanVleet (bad pass; steal by S. Adams),,7,8
1,8:43.0,,Turnover by R. Westbrook (bad pass; steal by F. VanVleet),7,8
1,8:35.0,M. Gasol misses 3-pt jump shot from 25 ft,,7,8
1,8:31.0,,Defensive rebound by J. Grant,7,8
1,8:26.0,,R. Westbrook misses 2-pt jump shot from 15 ft,7,8
1,8:25.0,,Offensive rebound by S. Adams,7,8
1,8:25.0,,S. Adams misses 2-pt layup at rim,7,8
1,8:23.0,Defensive rebound by K. Leonard,,7,8
1,8:13.0,K. Leonard makes 3-pt jump shot from 26 ft,,10,8
1,8:04.0,,Shooting foul by D. Green (drawn by P. George),10,8
1,8:04.0,,P. George makes free throw 1 of 2,10,9
1,8:04.0,,P. George misses free throw 2 of 2,10,9
1,8:00.0,Defensive rebound by M. Gasol,,10,9
1,7:56.0,F. VanVleet makes 2-pt layup from 2 ft,,12,9
1,7:48.0,,T. Ferguson misses 3-pt jump shot from 23 ft,12,9
1,7:46.0,,Offensive rebound by Team,12,9
1,7:46.0,,Personal foul by F. VanVleet (drawn by S. Adams),12,9
1,7:39.0,,R. Westbrook makes 2-pt jump shot from 7 ft,12,11
1,7:33.0,Turnover by P. Siakam (bad pass),,12,11
1,7:22.0,,J. Grant misses 2-pt layup from 6 ft (block by M. Gasol),12,11
1,7:20.0,Defensive rebound by D. Green,,12,11
1,7:15.0,Turnover by D. Green (bad pass; steal by P. George),,12,11
1,7:12.0,,P. George makes 2-pt layup from 2 ft,12,13
1,7:12.0,,Shooting foul by F. VanVleet (drawn by P. George),12,13
1,7:12.0,,P. George misses free throw 1 of 1,12,13
1,7:10.0,Defensive rebound by P. Siakam,,12,13
1,6:52.0,Shooting foul by R. Westbrook (drawn by F. VanVleet),,12,13
1,6:52.0,,Oklahoma City full timeout,12,13
1,6:52.0,F. VanVleet makes free throw 1 of 2,,13,13
1,6:52.0,F. VanVleet makes free throw 2 of 2,,14,13
1,6:42.0,,R. Westbrook makes 2-pt layup from 2 ft,14,15
1,6:22.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Leonard),,17,15
1,6:07.0,,Turnover by R. Westbrook (bad pass; steal by K. Leonard),17,15
1,6:01.0,P. Siakam makes 2-pt dunk from 1 ft (assist by F. VanVleet),,19,15
1,5:49.0,,P. George makes 2-pt layup from 1 ft,19,17
1,5:28.0,F. VanVleet misses 2-pt jump shot from 14 ft,,19,17
1,5:26.0,,Defensive rebound by J. Grant,19,17
1,5:20.0,,J. Grant misses 3-pt jump shot from 25 ft,19,17
1,5:17.0,Defensive rebound by P. Siakam,,19,17
1,5:06.0,P. Siakam makes 2-pt jump shot from 3 ft,,21,17
1,4:44.0,,S. Adams makes 2-pt hook shot from 5 ft (assist by J. Grant),21,19
1,4:25.0,K. Leonard misses 3-pt jump shot from 26 ft,,21,19
1,4:23.0,,Defensive rebound by J. Grant,21,19
1,4:11.0,,S. Adams makes 2-pt hook shot from 6 ft,21,21
1,3:55.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,24,21
1,3:39.0,,Personal foul by M. Gasol (drawn by T. Ferguson),24,21
1,3:39.0,O. Anunoby enters the game for K. Leonard,,24,21
1,3:39.0,N. Powell enters the game for F. VanVleet,,24,21
1,3:39.0,,D. Schröder enters the game for P. George,24,21
1,3:31.0,,R. Westbrook misses 2-pt jump shot from 13 ft,24,21
1,3:26.0,Defensive rebound by N. Powell,,24,21
1,3:09.0,P. Siakam misses 2-pt layup from 1 ft,,24,21
1,3:08.0,,Defensive rebound by J. Grant,24,21
1,3:03.0,,R. Westbrook makes 2-pt layup from 2 ft,24,23
1,3:02.0,Toronto full timeout,,24,23
1,3:02.0,S. Ibaka enters the game for M. Gasol,,24,23
1,3:02.0,,M. Morris enters the game for J. Grant,24,23
1,2:50.0,P. Siakam makes 2-pt layup from 5 ft (assist by D. Green),,26,23
1,2:36.0,,T. Ferguson misses 3-pt jump shot from 22 ft,26,23
1,2:34.0,,Offensive rebound by S. Adams,26,23
1,2:28.0,,T. Ferguson makes 2-pt layup from 2 ft (assist by S. Adams),26,25
1,2:20.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by P. Siakam),,29,25
1,1:58.0,,Personal foul by P. Siakam (drawn by D. Schröder),29,25
1,1:58.0,J. Lin enters the game for D. Green,,29,25
1,1:58.0,,P. George enters the game for S. Adams,29,25
1,1:58.0,,A. Nader enters the game for T. Ferguson,29,25
1,1:58.0,,N. Noel enters the game for R. Westbrook,29,25
1,1:58.0,,D. Schröder misses free throw 1 of 2,29,25
1,1:58.0,,Offensive rebound by Team,29,25
1,1:58.0,,D. Schröder makes free throw 2 of 2,29,26
1,1:49.0,Personal foul by P. George (drawn by P. Siakam),,29,26
1,1:41.0,P. Siakam makes 2-pt layup from 2 ft,,31,26
1,1:29.0,,D. Schröder misses 2-pt jump shot from 6 ft,31,26
1,1:26.0,Defensive rebound by P. Siakam,,31,26
1,1:22.0,J. Lin makes 2-pt jump shot from 20 ft (assist by P. Siakam),,33,26
1,1:01.0,,A. Nader makes 2-pt layup from 5 ft,33,28
1,1:01.0,,Shooting foul by N. Powell (drawn by A. Nader),33,28
1,1:01.0,,A. Nader misses free throw 1 of 1,33,28
1,0:59.0,Defensive rebound by S. Ibaka,,33,28
1,0:51.0,Personal foul by D. Schröder (drawn by J. Lin),,33,28
1,0:51.0,J. Lin makes free throw 1 of 2,,34,28
1,0:51.0,J. Lin makes free throw 2 of 2,,35,28
1,0:38.0,,P. George makes 3-pt jump shot from 25 ft (assist by N. Noel),35,31
1,0:30.0,P. Siakam makes 2-pt layup from 2 ft,,37,31
1,0:13.0,,D. Schröder misses 2-pt layup from 4 ft (block by S. Ibaka),37,31
1,0:11.0,Defensive rebound by N. Powell,,37,31
1,0:09.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by N. Powell),,39,31
1,0:02.0,,P. George misses 3-pt jump shot from 26 ft,39,31
1,0:02.0,Defensive rebound by P. Siakam,,39,31
2,11:48.0,,N. Noel makes 2-pt layup from 1 ft (assist by P. George),39,33
2,11:48.0,,Shooting foul by O. Anunoby (drawn by N. Noel),39,33
2,11:48.0,,N. Noel misses free throw 1 of 1,39,33
2,11:45.0,Defensive rebound by K. Leonard,,39,33
2,11:31.0,K. Leonard makes 2-pt jump shot from 11 ft,,41,33
2,11:08.0,,N. Noel makes 2-pt jump shot from 14 ft (assist by P. George),41,35
2,10:51.0,K. Leonard misses 2-pt jump shot from 22 ft,,41,35
2,10:49.0,,Defensive rebound by A. Nader,41,35
2,10:44.0,,P. George misses 3-pt jump shot from 25 ft,41,35
2,10:41.0,Defensive rebound by S. Ibaka,,41,35
2,10:26.0,J. Lin misses 2-pt layup from 2 ft,,41,35
2,10:22.0,,Defensive rebound by D. Schröder,41,35
2,10:19.0,,Shooting foul by S. Ibaka (drawn by M. Morris),41,35
2,10:19.0,,M. Morris makes free throw 1 of 2,41,36
2,10:19.0,,M. Morris misses free throw 2 of 2,41,36
2,10:17.0,Defensive rebound by O. Anunoby,,41,36
2,10:03.0,S. Ibaka makes 2-pt jump shot from 15 ft (assist by N. Powell),,43,36
2,9:49.0,,Shooting foul by O. Anunoby (drawn by N. Noel),43,36
2,9:49.0,,N. Noel misses free throw 1 of 2,43,36
2,9:49.0,,Offensive rebound by Team,43,36
2,9:49.0,,N. Noel misses free throw 2 of 2,43,36
2,9:47.0,Defensive rebound by O. Anunoby,,43,36
2,9:38.0,Personal foul by P. George (drawn by K. Leonard),,43,36
2,9:23.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by N. Powell),,46,36
2,9:05.0,,N. Noel makes 2-pt dunk from 1 ft (assist by M. Morris),46,38
2,8:43.0,N. Powell misses 2-pt layup from 2 ft (block by N. Noel),,46,38
2,8:41.0,,Defensive rebound by A. Nader,46,38
2,8:32.0,,D. Schröder misses 3-pt jump shot from 25 ft,46,38
2,8:28.0,,Offensive rebound by Team,46,38
2,8:28.0,,S. Adams enters the game for P. George,46,38
2,8:28.0,,R. Westbrook enters the game for N. Noel,46,38
2,8:25.0,,R. Westbrook misses 2-pt jump shot from 14 ft,46,38
2,8:21.0,Defensive rebound by S. Ibaka,,46,38
2,8:10.0,Turnover by K. Leonard (out of bounds lost ball),,46,38
2,8:10.0,F. VanVleet enters the game for J. Lin,,46,38
2,8:10.0,,J. Grant enters the game for M. Morris,46,38
2,7:59.0,,J. Grant misses 2-pt layup from 2 ft,46,38
2,7:57.0,Defensive rebound by S. Ibaka,,46,38
2,7:48.0,F. VanVleet makes 3-pt jump shot from 23 ft (assist by O. Anunoby),,49,38
2,7:35.0,,Turnover by R. Westbrook (traveling),49,38
2,7:35.0,,T. Ferguson enters the game for A. Nader,49,38
2,7:25.0,K. Leonard misses 2-pt jump shot from 12 ft,,49,38
2,7:20.0,,Defensive rebound by J. Grant,49,38
2,7:20.0,P. Siakam enters the game for K. Leonard,,49,38
2,7:08.0,,Turnover by J. Grant (lost ball; steal by N. Powell),49,38
2,6:54.0,Shooting foul by J. Grant (drawn by S. Ibaka),,49,38
2,6:54.0,,Oklahoma City full timeout,49,38
2,6:54.0,D. Green enters the game for O. Anunoby,,49,38
2,6:54.0,P. McCaw enters the game for N. Powell,,49,38
2,6:54.0,S. Ibaka makes free throw 1 of 2,,50,38
2,6:54.0,S. Ibaka makes free throw 2 of 2,,51,38
2,6:43.0,,D. Schröder misses 2-pt jump shot from 17 ft,51,38
2,6:40.0,Defensive rebound by S. Ibaka,,51,38
2,6:25.0,P. Siakam misses 3-pt jump shot from 23 ft,,51,38
2,6:21.0,,Defensive rebound by D. Schröder,51,38
2,6:15.0,,D. Schröder makes 2-pt jump shot from 2 ft,51,40
2,5:56.0,S. Ibaka misses 3-pt jump shot from 26 ft,,51,40
2,5:53.0,,Defensive rebound by R. Westbrook,51,40
2,5:46.0,,Shooting foul by D. Green (drawn by J. Grant),51,40
2,5:46.0,,J. Grant misses free throw 1 of 2,51,40
2,5:46.0,,Offensive rebound by Team,51,40
2,5:46.0,K. Leonard enters the game for D. Green,,51,40
2,5:46.0,,P. George enters the game for T. Ferguson,51,40
2,5:46.0,,J. Grant makes free throw 2 of 2,51,41
2,5:38.0,Personal foul by D. Schröder (drawn by F. VanVleet),,51,41
2,5:38.0,M. Gasol enters the game for S. Ibaka,,51,41
2,5:32.0,Turnover by F. VanVleet (bad pass; steal by D. Schröder),,51,41
2,5:29.0,,R. Westbrook makes 2-pt dunk from 1 ft (assist by P. George),51,43
2,5:19.0,Toronto full timeout,,51,43
2,5:10.0,Shooting foul by P. George (drawn by K. Leonard),,51,43
2,5:10.0,K. Leonard makes free throw 1 of 2,,52,43
2,5:10.0,K. Leonard makes free throw 2 of 2,,53,43
2,5:10.0,,T. Ferguson enters the game for P. George,53,43
2,4:59.0,,Turnover by R. Westbrook (bad pass; steal by F. VanVleet),53,43
2,4:54.0,P. Siakam makes 2-pt dunk from 1 ft (assist by F. VanVleet),,55,43
2,4:45.0,,Shooting foul by M. Gasol (drawn by R. Westbrook),55,43
2,4:45.0,,R. Westbrook makes free throw 1 of 2,55,44
2,4:45.0,,R. Westbrook misses free throw 2 of 2,55,44
2,4:43.0,Defensive rebound by K. Leonard,,55,44
2,4:28.0,M. Gasol misses 2-pt layup from 1 ft,,55,44
2,4:27.0,,Defensive rebound by R. Westbrook,55,44
2,4:21.0,,D. Schröder misses 3-pt jump shot from 26 ft,55,44
2,4:17.0,,Offensive rebound by R. Westbrook,55,44
2,4:10.0,,R. Westbrook misses 2-pt layup from 2 ft (block by P. Siakam),55,44
2,4:08.0,Defensive rebound by P. McCaw,,55,44
2,4:03.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by M. Gasol),,58,44
2,3:51.0,,J. Grant misses 3-pt jump shot from 25 ft,58,44
2,3:48.0,,Offensive rebound by J. Grant,58,44
2,3:38.0,,D. Schröder makes 2-pt jump shot from 13 ft,58,46
2,3:11.0,F. VanVleet misses 2-pt layup from 1 ft,,58,46
2,3:08.0,,Defensive rebound by T. Ferguson,58,46
2,2:52.0,,S. Adams misses 2-pt hook shot from 7 ft,58,46
2,2:50.0,Defensive rebound by K. Leonard,,58,46
2,2:38.0,P. Siakam makes 2-pt jump shot from 2 ft,,60,46
2,2:38.0,,Violation by Team (def goaltending),60,46
2,2:15.0,,Shooting foul by P. McCaw (drawn by J. Grant),60,46
2,2:15.0,,J. Grant makes free throw 1 of 2,60,47
2,2:15.0,D. Green enters the game for M. Gasol,,60,47
2,2:15.0,S. Ibaka enters the game for P. McCaw,,60,47
2,2:15.0,,J. Grant makes free throw 2 of 2,60,48
2,2:03.0,Personal foul by S. Adams (drawn by K. Leonard),,60,48
2,2:03.0,K. Leonard misses free throw 1 of 2,,60,48
2,2:03.0,Offensive rebound by Team,,60,48
2,2:03.0,K. Leonard makes free throw 2 of 2,,61,48
2,1:51.0,,R. Westbrook makes 2-pt layup from 2 ft,61,50
2,1:36.0,K. Leonard misses 2-pt jump shot from 6 ft,,61,50
2,1:34.0,,Defensive rebound by J. Grant,61,50
2,1:22.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by D. Schröder),61,53
2,0:55.0,F. VanVleet makes 2-pt jump shot from 17 ft (assist by K. Leonard),,63,53
2,0:48.0,,R. Westbrook misses 3-pt jump shot from 25 ft,63,53
2,0:45.0,Defensive rebound by K. Leonard,,63,53
2,0:36.0,P. Siakam misses 3-pt jump shot from 23 ft,,63,53
2,0:34.0,,Defensive rebound by R. Westbrook,63,53
2,0:29.0,,R. Westbrook makes 2-pt layup from 1 ft,63,55
2,0:07.0,D. Green misses 3-pt jump shot from 23 ft,,63,55
2,0:04.0,,Defensive rebound by J. Grant,63,55
3,11:46.0,,J. Grant misses 2-pt jump shot from 7 ft,63,55
3,11:42.0,,Offensive rebound by S. Adams,63,55
3,11:41.0,,Turnover by S. Adams (bad pass; steal by D. Green),63,55
3,11:20.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by D. Green),,66,55
3,11:06.0,,P. George misses 2-pt jump shot from 6 ft,66,55
3,11:02.0,Defensive rebound by D. Green,,66,55
3,10:57.0,K. Leonard makes 2-pt dunk at rim,,68,55
3,10:46.0,,Turnover by P. George (lost ball; steal by P. Siakam),68,55
3,10:39.0,D. Green makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,71,55
3,10:38.0,,Oklahoma City full timeout,71,55
3,10:23.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by P. George),71,58
3,9:55.0,Turnover by Team (shot clock),,71,58
3,9:30.0,,R. Westbrook misses 2-pt layup from 1 ft,71,58
3,9:27.0,Defensive rebound by D. Green,,71,58
3,9:23.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. Siakam),,74,58
3,9:07.0,,Personal foul by M. Gasol (drawn by J. Grant),74,58
3,8:59.0,,T. Ferguson misses 3-pt jump shot from 23 ft,74,58
3,8:57.0,Defensive rebound by M. Gasol,,74,58
3,8:53.0,Turnover by F. VanVleet (bad pass; steal by T. Ferguson),,74,58
3,8:48.0,,P. George misses 3-pt jump shot from 28 ft,74,58
3,8:44.0,Defensive rebound by M. Gasol,,74,58
3,8:30.0,D. Green makes 2-pt layup from 3 ft,,76,58
3,8:13.0,,Offensive foul by S. Adams (drawn by M. Gasol),76,58
3,8:13.0,,Turnover by S. Adams (offensive foul),76,58
3,7:52.0,P. Siakam misses 2-pt jump shot from 20 ft,,76,58
3,7:50.0,,Defensive rebound by R. Westbrook,76,58
3,7:47.0,,T. Ferguson misses 3-pt jump shot from 25 ft,76,58
3,7:43.0,Defensive rebound by P. Siakam,,76,58
3,7:29.0,D. Green misses 3-pt jump shot from 26 ft,,76,58
3,7:26.0,,Defensive rebound by R. Westbrook,76,58
3,7:21.0,,Offensive foul by P. George (drawn by M. Gasol),76,58
3,7:21.0,,Turnover by P. George (offensive foul),76,58
3,7:05.0,K. Leonard misses 2-pt jump shot from 21 ft,,76,58
3,7:03.0,,Defensive rebound by P. George,76,58
3,6:56.0,,P. George makes 2-pt layup from 2 ft,76,60
3,6:38.0,P. Siakam misses 3-pt jump shot from 23 ft,,76,60
3,6:35.0,,Defensive rebound by P. George,76,60
3,6:28.0,,J. Grant misses 3-pt jump shot from 23 ft,76,60
3,6:24.0,,Offensive rebound by J. Grant,76,60
3,6:22.0,,J. Grant makes 2-pt dunk from 2 ft,76,62
3,5:55.0,F. VanVleet makes 2-pt jump shot from 14 ft,,78,62
3,5:47.0,,R. Westbrook makes 2-pt layup from 1 ft,78,64
3,5:47.0,,D. Schröder enters the game for P. George,78,64
3,5:36.0,Turnover by (5 sec),,78,64
3,5:29.0,,Turnover by R. Westbrook (bad pass),78,64
3,5:15.0,Toronto full timeout,,78,64
3,5:06.0,F. VanVleet makes 3-pt jump shot from 26 ft,,81,64
3,4:51.0,,D. Schröder misses 3-pt jump shot from 25 ft,81,64
3,4:49.0,Defensive rebound by P. Siakam,,81,64
3,4:41.0,K. Leonard makes 2-pt hook shot from 8 ft (assist by F. VanVleet),,83,64
3,4:29.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by R. Westbrook),83,67
3,4:11.0,M. Gasol makes 3-pt jump shot from 24 ft (assist by P. Siakam),,86,67
3,4:11.0,S. Ibaka enters the game for M. Gasol,,86,67
3,4:11.0,N. Powell enters the game for K. Leonard,,86,67
3,3:49.0,,R. Westbrook makes 2-pt layup from 1 ft,86,69
3,3:32.0,Turnover by S. Ibaka (3 sec),,86,69
3,3:26.0,,Shooting foul by P. Siakam (drawn by R. Westbrook),86,69
3,3:26.0,,R. Westbrook makes free throw 1 of 2,86,70
3,3:26.0,,R. Westbrook makes free throw 2 of 2,86,71
3,3:13.0,D. Green misses 3-pt jump shot from 23 ft,,86,71
3,3:11.0,,Defensive rebound by D. Schröder,86,71
3,3:04.0,,T. Ferguson misses 3-pt jump shot from 23 ft,86,71
3,3:00.0,,Offensive rebound by J. Grant,86,71
3,2:50.0,,R. Westbrook misses 2-pt jump shot from 15 ft,86,71
3,2:47.0,,Offensive rebound by S. Adams,86,71
3,2:45.0,,R. Westbrook misses 3-pt jump shot from 23 ft,86,71
3,2:41.0,,Offensive rebound by S. Adams,86,71
3,2:38.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by S. Adams),86,73
3,2:29.0,S. Ibaka misses 3-pt jump shot from 25 ft,,86,73
3,2:26.0,,Defensive rebound by J. Grant,86,73
3,2:20.0,,D. Schröder makes 2-pt jump shot from 14 ft,86,75
3,2:19.0,Toronto full timeout,,86,75
3,2:19.0,J. Lin enters the game for D. Green,,86,75
3,2:19.0,,P. George enters the game for S. Adams,86,75
3,1:55.0,S. Ibaka misses 2-pt jump shot from 10 ft,,86,75
3,1:52.0,,Defensive rebound by D. Schröder,86,75
3,1:36.0,,R. Westbrook misses 3-pt jump shot from 28 ft,86,75
3,1:34.0,Defensive rebound by N. Powell,,86,75
3,1:30.0,Shooting foul by T. Ferguson (drawn by P. Siakam),,86,75
3,1:30.0,O. Anunoby enters the game for F. VanVleet,,86,75
3,1:30.0,P. Siakam makes free throw 1 of 2,,87,75
3,1:30.0,P. Siakam makes free throw 2 of 2,,88,75
3,1:25.0,,Turnover by R. Westbrook (lost ball; steal by O. Anunoby),88,75
3,1:23.0,Offensive foul by J. Lin (drawn by D. Schröder),,88,75
3,1:23.0,Turnover by J. Lin (offensive foul),,88,75
3,1:17.0,,R. Westbrook misses 2-pt layup from 1 ft,88,75
3,1:17.0,,Offensive rebound by Team,88,75
3,1:08.0,,J. Grant misses 2-pt layup from 2 ft (block by S. Ibaka),88,75
3,1:05.0,Defensive rebound by P. Siakam,,88,75
3,1:04.0,Shooting foul by D. Schröder (drawn by P. Siakam),,88,75
3,1:04.0,P. Siakam makes free throw 1 of 2,,89,75
3,1:04.0,,A. Nader enters the game for T. Ferguson,89,75
3,1:04.0,P. Siakam makes free throw 2 of 2,,90,75
3,0:56.0,,Turnover by R. Westbrook (bad pass; steal by P. Siakam),90,75
3,0:51.0,Turnover by P. Siakam (bad pass; steal by R. Westbrook),,90,75
3,0:45.0,,Personal foul by N. Powell (drawn by D. Schröder),90,75
3,0:39.0,,R. Westbrook makes 3-pt jump shot from 24 ft,90,78
3,0:39.0,,Shooting foul by P. Siakam (drawn by R. Westbrook),90,78
3,0:39.0,,R. Westbrook misses free throw 1 of 1,90,78
3,0:39.0,Defensive rebound by O. Anunoby,,90,78
3,0:31.0,P. Siakam makes 2-pt layup from 2 ft,,92,78
3,0:25.0,,A. Nader misses 3-pt jump shot from 23 ft,92,78
3,0:22.0,Defensive rebound by P. Siakam,,92,78
3,0:03.0,Offensive foul by P. Siakam (drawn by P. George),,92,78
3,0:03.0,Turnover by P. Siakam (offensive foul),,92,78
3,0:03.0,P. McCaw enters the game for P. Siakam,,92,78
3,0:00.0,,P. George misses 3-pt jump shot from 23 ft (block by O. Anunoby),92,78
3,0:00.0,,Offensive rebound by Team,92,78
4,11:48.0,Turnover by N. Powell (out of bounds lost ball),,92,78
