QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA CLIPPERS_ACTION,OKLAHOMA CITY_SCORE,LA CLIPPERS_SCORE
1,11:46.0,,T. Harris misses 2-pt jump shot from 7 ft,0,0
1,11:42.0,Defensive rebound by D. Schröder,,0,0
1,11:31.0,Personal foul by P. Beverley (drawn by D. Schröder),,0,0
1,11:21.0,P. George misses 2-pt jump shot from 18 ft,,0,0
1,11:17.0,,Defensive rebound by D. Gallinari,0,0
1,11:06.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by T. Harris),0,2
1,10:54.0,T. Ferguson misses 3-pt jump shot from 26 ft,,0,2
1,10:51.0,,Defensive rebound by M. Gortat,0,2
1,10:44.0,,T. Harris makes 2-pt jump shot from 14 ft,0,4
1,10:32.0,Turnover by P. George (lost ball; steal by A. Bradley),,0,4
1,10:30.0,,Personal foul by T. Ferguson (drawn by P. Beverley),0,4
1,10:14.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by A. Bradley),0,7
1,10:04.0,Personal foul by A. Bradley (drawn by P. George),,0,7
1,9:52.0,D. Schröder misses 3-pt jump shot from 25 ft,,0,7
1,9:48.0,,Defensive rebound by M. Gortat,0,7
1,9:44.0,,M. Gortat makes 2-pt layup from 1 ft (assist by P. Beverley),0,9
1,9:44.0,,Shooting foul by P. Patterson (drawn by M. Gortat),0,9
1,9:44.0,Oklahoma City full timeout,,0,9
1,9:44.0,,M. Gortat misses free throw 1 of 1,0,9
1,9:44.0,,Offensive rebound by D. Gallinari,0,9
1,9:40.0,,D. Gallinari misses 2-pt layup from 1 ft,0,9
1,9:37.0,Defensive rebound by S. Adams,,0,9
1,9:23.0,P. George misses 2-pt jump shot from 22 ft,,0,9
1,9:19.0,,Defensive rebound by P. Beverley,0,9
1,9:15.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by T. Harris),0,12
1,9:05.0,D. Schröder misses 2-pt jump shot from 14 ft,,0,12
1,9:00.0,,Defensive rebound by D. Gallinari,0,12
1,8:53.0,,T. Harris makes 2-pt jump shot from 10 ft,0,14
1,8:38.0,P. George misses 2-pt jump shot from 10 ft,,0,14
1,8:35.0,,Defensive rebound by T. Harris,0,14
1,8:28.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by P. Beverley),0,16
1,8:12.0,P. George makes 2-pt layup from 2 ft (assist by D. Schröder),,2,16
1,7:54.0,,D. Gallinari misses 3-pt jump shot from 25 ft,2,16
1,7:51.0,Defensive rebound by S. Adams,,2,16
1,7:42.0,D. Schröder makes 2-pt jump shot from 15 ft,,4,16
1,7:27.0,,P. Beverley misses 2-pt jump shot from 4 ft,4,16
1,7:24.0,Defensive rebound by S. Adams,,4,16
1,7:18.0,P. George misses 3-pt jump shot from 26 ft,,4,16
1,7:15.0,,Defensive rebound by M. Gortat,4,16
1,7:00.0,,P. Beverley misses 3-pt jump shot from 23 ft,4,16
1,6:56.0,Defensive rebound by D. Schröder,,4,16
1,6:50.0,D. Schröder misses 2-pt layup from 1 ft (block by T. Harris),,4,16
1,6:50.0,Offensive rebound by Team,,4,16
1,6:50.0,J. Grant enters the game for P. Patterson,,4,16
1,6:44.0,Shooting foul by M. Gortat (drawn by T. Ferguson),,4,16
1,6:44.0,T. Ferguson misses free throw 1 of 2,,4,16
1,6:44.0,Offensive rebound by Team,,4,16
1,6:44.0,T. Ferguson makes free throw 2 of 2,,5,16
1,6:39.0,,Personal foul by D. Schröder (drawn by P. Beverley),5,16
1,6:39.0,N. Noel enters the game for S. Adams,,5,16
1,6:24.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by D. Gallinari),5,19
1,6:02.0,J. Grant makes 2-pt dunk from 2 ft (assist by P. George),,7,19
1,5:44.0,,T. Harris makes 2-pt dunk from 2 ft (assist by M. Gortat),7,21
1,5:32.0,Offensive foul by J. Grant (drawn by D. Gallinari),,7,21
1,5:32.0,Turnover by J. Grant (offensive foul),,7,21
1,5:32.0,Á. Abrines enters the game for T. Ferguson,,7,21
1,5:16.0,,A. Bradley misses 2-pt jump shot from 19 ft,7,21
1,5:12.0,Defensive rebound by P. George,,7,21
1,5:03.0,N. Noel misses 2-pt jump shot from 16 ft,,7,21
1,5:00.0,,Defensive rebound by T. Harris,7,21
1,4:54.0,,T. Harris makes 3-pt jump shot from 25 ft,7,24
1,4:38.0,N. Noel makes 2-pt layup from 1 ft (assist by D. Schröder),,9,24
1,4:24.0,,T. Harris misses 2-pt layup from 4 ft,9,24
1,4:20.0,,Offensive rebound by P. Beverley,9,24
1,4:18.0,,T. Harris misses 3-pt jump shot from 26 ft,9,24
1,4:13.0,Defensive rebound by P. George,,9,24
1,4:07.0,P. George misses 2-pt jump shot from 17 ft,,9,24
1,4:03.0,Offensive rebound by P. George,,9,24
1,4:00.0,D. Schröder misses 3-pt jump shot from 26 ft,,9,24
1,3:55.0,,Defensive rebound by M. Gortat,9,24
1,3:53.0,,LA Clippers full timeout,9,24
1,3:45.0,,Turnover by T. Harris (lost ball; steal by N. Noel),9,24
1,3:34.0,Shooting foul by P. Beverley (drawn by D. Schröder),,9,24
1,3:34.0,D. Schröder makes free throw 1 of 2,,10,24
1,3:34.0,,S. Gilgeous-Alexander enters the game for P. Beverley,10,24
1,3:34.0,D. Schröder makes free throw 2 of 2,,11,24
1,3:24.0,,Turnover by A. Bradley (traveling),11,24
1,3:24.0,,M. Harrell enters the game for M. Gortat,11,24
1,3:06.0,Turnover by D. Schröder (bad pass; steal by T. Harris),,11,24
1,2:59.0,,D. Gallinari misses 2-pt jump shot from 18 ft,11,24
1,2:55.0,Defensive rebound by J. Grant,,11,24
1,2:55.0,,L. Williams enters the game for D. Gallinari,11,24
1,2:45.0,P. George misses 3-pt jump shot from 26 ft,,11,24
1,2:41.0,Offensive rebound by N. Noel,,11,24
1,2:39.0,Á. Abrines makes 2-pt layup from 3 ft (assist by D. Schröder),,13,24
1,2:32.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,13,24
1,2:28.0,,Offensive rebound by A. Bradley,13,24
1,2:18.0,,Personal foul by D. Schröder (drawn by M. Harrell),13,24
1,2:18.0,R. Felton enters the game for D. Schröder,,13,24
1,2:18.0,,L. Mbah a Moute enters the game for A. Bradley,13,24
1,2:10.0,,T. Harris misses 2-pt layup from 3 ft (block by J. Grant),13,24
1,2:07.0,Defensive rebound by Á. Abrines,,13,24
1,2:04.0,J. Grant misses 2-pt layup from 2 ft,,13,24
1,2:01.0,,Defensive rebound by S. Gilgeous-Alexander,13,24
1,1:53.0,,M. Harrell misses 2-pt layup from 3 ft (block by R. Felton),13,24
1,1:50.0,Defensive rebound by J. Grant,,13,24
1,1:48.0,Á. Abrines makes 3-pt jump shot from 25 ft (assist by J. Grant),,16,24
1,1:36.0,,Offensive foul by M. Harrell (drawn by N. Noel),16,24
1,1:36.0,,Turnover by M. Harrell (offensive foul),16,24
1,1:36.0,,M. Scott enters the game for T. Harris,16,24
1,1:25.0,P. George misses 3-pt jump shot from 27 ft,,16,24
1,1:23.0,,Defensive rebound by Team,16,24
1,1:23.0,Loose ball foul by N. Noel (drawn by M. Harrell),,16,24
1,1:23.0,,M. Harrell misses free throw 1 of 2,16,24
1,1:23.0,,Offensive rebound by Team,16,24
1,1:23.0,,M. Harrell makes free throw 2 of 2,16,25
1,1:07.0,J. Grant misses 2-pt jump shot from 17 ft,,16,25
1,1:04.0,,Defensive rebound by L. Williams,16,25
1,1:00.0,,Turnover by L. Williams (traveling),16,25
1,0:47.0,Shooting foul by S. Gilgeous-Alexander (drawn by R. Felton),,16,25
1,0:47.0,R. Felton makes free throw 1 of 2,,17,25
1,0:47.0,R. Felton makes free throw 2 of 2,,18,25
1,0:36.0,,Turnover by L. Mbah a Moute (step out of bounds),18,25
1,0:27.0,P. George misses 2-pt dunk from 2 ft (block by M. Harrell),,18,25
1,0:23.0,Offensive rebound by N. Noel,,18,25
1,0:23.0,N. Noel makes 2-pt dunk at rim,,20,25
1,0:23.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by M. Scott),20,27
1,0:03.0,R. Felton misses 3-pt jump shot from 27 ft,,20,27
1,0:03.0,,Defensive rebound by M. Harrell,20,27
2,11:45.0,Shooting foul by M. Scott (drawn by J. Grant),,20,27
2,11:45.0,J. Grant misses free throw 1 of 2,,20,27
2,11:45.0,Offensive rebound by Team,,20,27
2,11:45.0,J. Grant misses free throw 2 of 2,,20,27
2,11:43.0,,Defensive rebound by M. Harrell,20,27
2,11:27.0,,L. Williams misses 3-pt jump shot from 27 ft,20,27
2,11:23.0,Defensive rebound by R. Felton,,20,27
2,11:14.0,Á. Abrines misses 3-pt jump shot from 27 ft,,20,27
2,11:08.0,,Defensive rebound by M. Harrell,20,27
2,10:54.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by M. Scott),20,29
2,10:32.0,R. Felton misses 2-pt jump shot from 15 ft,,20,29
2,10:29.0,,Defensive rebound by M. Harrell,20,29
2,10:24.0,,L. Williams makes 2-pt layup from 2 ft (assist by M. Harrell),20,31
2,10:24.0,,Shooting foul by H. Diallo (drawn by L. Williams),20,31
2,10:24.0,S. Adams enters the game for N. Noel,,20,31
2,10:24.0,,L. Williams makes free throw 1 of 1,20,32
2,10:06.0,S. Adams makes 2-pt layup from 3 ft,,22,32
2,9:59.0,,Shooting foul by H. Diallo (drawn by L. Williams),22,32
2,9:59.0,,L. Williams makes free throw 1 of 2,22,33
2,9:59.0,,L. Williams makes free throw 2 of 2,22,34
2,9:49.0,Turnover by Á. Abrines (traveling),,22,34
2,9:37.0,,Turnover by M. Harrell (off goaltending),22,34
2,9:27.0,R. Felton misses 2-pt jump shot from 17 ft,,22,34
2,9:22.0,Offensive rebound by S. Adams,,22,34
2,9:19.0,S. Adams misses 2-pt hook shot from 7 ft,,22,34
2,9:15.0,H. Diallo misses 2-pt layup at rim,,22,34
2,9:15.0,Offensive rebound by H. Diallo,,22,34
2,9:15.0,Offensive rebound by H. Diallo,,22,34
2,9:15.0,Oklahoma City full timeout,,22,34
2,9:15.0,,B. Marjanović enters the game for M. Scott,22,34
2,9:10.0,Á. Abrines makes 3-pt jump shot from 24 ft (assist by R. Felton),,25,34
2,8:50.0,,L. Williams misses 2-pt jump shot from 13 ft,25,34
2,8:50.0,Defensive rebound by J. Grant,,25,34
2,8:50.0,Personal foul by B. Marjanović (drawn by S. Adams),,25,34
2,8:50.0,D. Schröder enters the game for R. Felton,,25,34
2,8:39.0,S. Adams misses 2-pt jump shot from 8 ft,,25,34
2,8:34.0,Offensive rebound by S. Adams,,25,34
2,8:34.0,S. Adams makes 2-pt layup at rim,,27,34
2,8:15.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,27,34
2,8:12.0,Defensive rebound by S. Adams,,27,34
2,8:06.0,D. Schröder misses 2-pt layup from 4 ft (block by M. Harrell),,27,34
2,8:03.0,,Defensive rebound by B. Marjanović,27,34
2,8:00.0,Violation by Team (kicked ball),,27,34
2,7:57.0,,Offensive foul by S. Gilgeous-Alexander (drawn by J. Grant),27,34
2,7:57.0,,Turnover by S. Gilgeous-Alexander (offensive foul),27,34
2,7:38.0,Shooting foul by L. Williams (drawn by H. Diallo),,27,34
2,7:38.0,H. Diallo misses free throw 1 of 2,,27,34
2,7:38.0,Offensive rebound by Team,,27,34
2,7:38.0,,D. Gallinari enters the game for M. Harrell,27,34
2,7:38.0,H. Diallo makes free throw 2 of 2,,28,34
2,7:28.0,,B. Marjanović misses 2-pt dunk from 2 ft (block by J. Grant),28,34
2,7:25.0,Defensive rebound by S. Adams,,28,34
2,7:19.0,Á. Abrines makes 2-pt jump shot from 22 ft (assist by D. Schröder),,30,34
2,7:18.0,,LA Clippers full timeout,30,34
2,7:18.0,T. Ferguson enters the game for H. Diallo,,30,34
2,7:18.0,,P. Beverley enters the game for S. Gilgeous-Alexander,30,34
2,7:18.0,,T. Harris enters the game for L. Mbah a Moute,30,34
2,7:10.0,,Shooting foul by J. Grant (drawn by B. Marjanović),30,34
2,7:10.0,,B. Marjanović makes free throw 1 of 2,30,35
2,7:10.0,P. George enters the game for Á. Abrines,,30,35
2,7:10.0,,A. Bradley enters the game for L. Williams,30,35
2,7:10.0,,B. Marjanović misses free throw 2 of 2,30,35
2,7:08.0,Defensive rebound by J. Grant,,30,35
2,7:03.0,Offensive foul by D. Schröder (drawn by P. Beverley),,30,35
2,7:03.0,Turnover by D. Schröder (offensive foul),,30,35
2,6:40.0,,A. Bradley misses 3-pt jump shot from 24 ft,30,35
2,6:37.0,Defensive rebound by J. Grant,,30,35
2,6:20.0,S. Adams makes 2-pt dunk from 1 ft (assist by P. George),,32,35
2,5:59.0,,A. Bradley misses 3-pt jump shot from 23 ft,32,35
2,5:56.0,Defensive rebound by S. Adams,,32,35
2,5:47.0,Turnover by P. George (bad pass),,32,35
2,5:47.0,R. Felton enters the game for D. Schröder,,32,35
2,5:47.0,,M. Gortat enters the game for B. Marjanović,32,35
2,5:31.0,,D. Gallinari misses 2-pt layup from 2 ft,32,35
2,5:28.0,Defensive rebound by J. Grant,,32,35
2,5:25.0,T. Ferguson makes 3-pt jump shot from 27 ft (assist by R. Felton),,35,35
2,5:13.0,,Personal foul by R. Felton (drawn by P. Beverley),35,35
2,5:03.0,,T. Harris misses 2-pt hook shot from 5 ft,35,35
2,4:57.0,,Offensive rebound by M. Gortat,35,35
2,4:56.0,,M. Gortat misses 2-pt hook shot from 3 ft,35,35
2,4:53.0,Defensive rebound by S. Adams,,35,35
2,4:46.0,T. Ferguson misses 3-pt jump shot from 24 ft,,35,35
2,4:46.0,,Defensive rebound by Team,35,35
2,4:44.0,Loose ball foul by J. Grant (drawn by D. Gallinari),,35,35
2,4:44.0,,D. Gallinari makes free throw 1 of 2,35,36
2,4:44.0,P. Patterson enters the game for J. Grant,,35,36
2,4:44.0,,D. Gallinari makes free throw 2 of 2,35,37
2,4:26.0,R. Felton misses 3-pt jump shot from 24 ft,,35,37
2,4:24.0,,Defensive rebound by A. Bradley,35,37
2,4:23.0,,Personal foul by P. George (drawn by P. Beverley),35,37
2,4:23.0,,P. Beverley makes free throw 1 of 2,35,38
2,4:23.0,,P. Beverley makes free throw 2 of 2,35,39
2,4:11.0,T. Ferguson misses 3-pt jump shot from 27 ft,,35,39
2,4:07.0,,Defensive rebound by D. Gallinari,35,39
2,4:04.0,,Personal foul by T. Ferguson (drawn by T. Harris),35,39
2,4:04.0,,T. Harris misses free throw 1 of 2,35,39
2,4:04.0,,Offensive rebound by Team,35,39
2,4:04.0,Á. Abrines enters the game for T. Ferguson,,35,39
2,4:04.0,,T. Harris makes free throw 2 of 2,35,40
2,3:56.0,R. Felton makes 2-pt jump shot from 18 ft,,37,40
2,3:32.0,,A. Bradley misses 3-pt jump shot from 26 ft,37,40
2,3:30.0,Defensive rebound by P. George,,37,40
2,3:24.0,P. Patterson makes 2-pt jump shot from 16 ft (assist by Á. Abrines),,39,40
2,3:07.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by A. Bradley),39,43
2,2:49.0,R. Felton makes 2-pt layup from 1 ft,,41,43
2,2:38.0,,T. Harris misses 2-pt jump shot from 14 ft,41,43
2,2:35.0,Defensive rebound by P. George,,41,43
2,2:29.0,Shooting foul by M. Gortat (drawn by S. Adams),,41,43
2,2:29.0,S. Adams misses free throw 1 of 2,,41,43
2,2:29.0,Offensive rebound by Team,,41,43
2,2:29.0,S. Adams makes free throw 2 of 2,,42,43
2,2:16.0,,D. Gallinari makes 2-pt jump shot from 16 ft,42,45
2,2:04.0,R. Felton makes 2-pt jump shot from 18 ft,,44,45
2,1:45.0,,A. Bradley misses 2-pt layup from 2 ft,44,45
2,1:40.0,,Offensive rebound by M. Gortat,44,45
2,1:40.0,,M. Gortat misses 2-pt layup from 1 ft,44,45
2,1:40.0,Defensive rebound by S. Adams,,44,45
2,1:35.0,P. George misses 2-pt jump shot from 19 ft,,44,45
2,1:33.0,,Defensive rebound by M. Gortat,44,45
2,1:28.0,,Personal foul by R. Felton (drawn by T. Harris),44,45
2,1:28.0,,T. Harris misses free throw 1 of 2,44,45
2,1:28.0,,Offensive rebound by Team,44,45
2,1:28.0,,T. Harris makes free throw 2 of 2,44,46
2,1:08.0,P. George makes 2-pt jump shot from 15 ft,,46,46
2,0:50.0,,P. Beverley misses 3-pt jump shot from 26 ft,46,46
2,0:45.0,Defensive rebound by P. George,,46,46
2,0:42.0,P. Patterson misses 3-pt jump shot from 24 ft,,46,46
2,0:37.0,,Defensive rebound by M. Gortat,46,46
2,0:32.0,,D. Gallinari misses 2-pt jump shot from 14 ft,46,46
2,0:27.0,,Offensive rebound by T. Harris,46,46
2,0:17.0,,T. Harris misses 3-pt jump shot from 24 ft,46,46
2,0:12.0,,Offensive rebound by M. Gortat,46,46
2,0:01.0,,D. Gallinari makes 2-pt jump shot from 5 ft,46,48
2,0:00.0,Á. Abrines misses 3-pt jump shot from 65 ft,,46,48
2,0:00.0,Offensive rebound by Team,,46,48
3,11:41.0,P. Patterson makes 3-pt jump shot from 23 ft (assist by D. Schröder),,49,48
3,11:36.0,,Personal foul by D. Schröder (drawn by P. Beverley),49,48
3,11:29.0,,T. Harris misses 2-pt layup from 3 ft,49,48
3,11:26.0,,Offensive rebound by T. Harris,49,48
3,11:26.0,,Shooting foul by P. George (drawn by T. Harris),49,48
3,11:26.0,,T. Harris makes free throw 1 of 2,49,49
3,11:26.0,,T. Harris misses free throw 2 of 2,49,49
3,11:25.0,Defensive rebound by P. George,,49,49
3,11:14.0,S. Adams makes 2-pt dunk from 2 ft (assist by P. George),,51,49
3,10:57.0,Violation by Team (kicked ball),,51,49
3,10:49.0,,M. Gortat misses 2-pt layup from 1 ft,51,49
3,10:45.0,Defensive rebound by S. Adams,,51,49
3,10:37.0,Shooting foul by D. Gallinari (drawn by D. Schröder),,51,49
3,10:37.0,D. Schröder makes free throw 1 of 2,,52,49
3,10:37.0,D. Schröder makes free throw 2 of 2,,53,49
