QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
1,11:41.0,,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by K. Lowry),0,2
1,11:25.0,B. Beal makes 2-pt jump shot from 17 ft (assist by K. Oubre),,2,2
1,11:08.0,,K. Leonard makes 2-pt jump shot from 19 ft (assist by P. Siakam),2,4
1,10:47.0,O. Porter makes 2-pt jump shot from 7 ft (assist by B. Beal),,4,4
1,10:47.0,Shooting foul by D. Green (drawn by O. Porter),,4,4
1,10:47.0,O. Porter makes free throw 1 of 1,,5,4
1,10:34.0,,K. Leonard misses 2-pt layup from 1 ft,5,4
1,10:32.0,Defensive rebound by B. Beal,,5,4
1,10:25.0,J. Wall misses 3-pt jump shot from 25 ft,,5,4
1,10:22.0,,Defensive rebound by P. Siakam,5,4
1,10:19.0,,Shooting foul by B. Beal (drawn by P. Siakam),5,4
1,10:19.0,,P. Siakam makes free throw 1 of 2,5,5
1,10:19.0,,P. Siakam makes free throw 2 of 2,5,6
1,10:10.0,Turnover by B. Beal (bad pass),,5,6
1,9:51.0,,D. Green misses 3-pt jump shot from 23 ft (block by J. Wall),5,6
1,9:48.0,,Offensive rebound by J. Valančiūnas,5,6
1,9:47.0,,Turnover by J. Valančiūnas (bad pass; steal by T. Bryant),5,6
1,9:43.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Wall),,7,6
1,9:32.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),7,8
1,9:15.0,B. Beal misses 2-pt jump shot from 6 ft,,7,8
1,9:12.0,,Defensive rebound by P. Siakam,7,8
1,9:06.0,,K. Leonard makes 2-pt jump shot from 20 ft,7,10
1,8:49.0,O. Porter makes 2-pt jump shot from 16 ft (assist by J. Wall),,9,10
1,8:35.0,,D. Green misses 3-pt jump shot from 26 ft,9,10
1,8:33.0,,Offensive rebound by D. Green,9,10
1,8:32.0,,D. Green misses 3-pt jump shot from 26 ft,9,10
1,8:30.0,Defensive rebound by T. Bryant,,9,10
1,8:22.0,K. Oubre misses 3-pt jump shot from 25 ft,,9,10
