QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
1,11:42.0,,H. Barnes misses 2-pt jump shot from 18 ft,0,0
1,11:39.0,Defensive rebound by R. Gobert,,0,0
1,11:26.0,R. Gobert makes 2-pt layup from 1 ft (assist by R. Rubio),,2,0
1,11:16.0,,D. Smith makes 2-pt jump shot from 5 ft,2,2
1,11:05.0,Personal foul by H. Barnes (drawn by R. Gobert),,2,2
1,10:59.0,J. Ingles makes 2-pt layup from 2 ft (assist by R. Gobert),,4,2
1,10:59.0,,Dallas full timeout,4,2
1,10:42.0,,Turnover by D. Jordan (off goaltending),4,2
1,10:20.0,J. Ingles misses 3-pt jump shot from 22 ft,,4,2
1,10:18.0,,Defensive rebound by D. Jordan,4,2
1,10:00.0,,L. Dončić misses 2-pt hook shot from 8 ft,4,2
1,9:57.0,Defensive rebound by R. Gobert,,4,2
1,9:48.0,Shooting foul by W. Matthews (drawn by D. Mitchell),,4,2
1,9:48.0,D. Mitchell makes free throw 1 of 2,,5,2
1,9:48.0,D. Mitchell makes free throw 2 of 2,,6,2
1,9:31.0,,Shooting foul by D. Favors (drawn by H. Barnes),6,2
1,9:31.0,,H. Barnes makes free throw 1 of 2,6,3
1,9:31.0,,H. Barnes makes free throw 2 of 2,6,4
1,9:14.0,Turnover by D. Mitchell (lost ball; steal by W. Matthews),,6,4
1,9:10.0,,L. Dončić makes 2-pt layup from 1 ft,6,6
1,8:55.0,D. Favors makes 2-pt jump shot from 4 ft,,8,6
1,8:49.0,,Turnover by L. Dončić (palming),8,6
1,8:41.0,D. Favors misses 2-pt dunk from 1 ft (block by L. Dončić),,8,6
1,8:39.0,Offensive rebound by D. Favors,,8,6
1,8:38.0,D. Favors misses 2-pt layup from 1 ft,,8,6
1,8:35.0,,Defensive rebound by D. Jordan,8,6
1,8:30.0,,D. Smith misses 3-pt jump shot from 26 ft,8,6
1,8:27.0,Defensive rebound by D. Favors,,8,6
1,8:17.0,R. Gobert misses 2-pt layup from 3 ft,,8,6
1,8:13.0,Offensive rebound by R. Gobert,,8,6
1,8:13.0,R. Gobert makes 2-pt layup from 1 ft,,10,6
1,7:59.0,,D. Smith makes 2-pt layup from 2 ft (assist by D. Jordan),10,8
1,7:43.0,R. Rubio misses 2-pt jump shot from 20 ft,,10,8
1,7:38.0,,Defensive rebound by W. Matthews,10,8
1,7:32.0,,W. Matthews makes 2-pt jump shot from 13 ft (assist by D. Jordan),10,10
1,7:18.0,D. Mitchell makes 2-pt layup from 2 ft,,12,10
1,7:09.0,,L. Dončić misses 2-pt jump shot from 3 ft (block by D. Favors),12,10
1,7:08.0,Defensive rebound by R. Gobert,,12,10
1,7:05.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Gobert),,15,10
1,6:46.0,,H. Barnes misses 2-pt jump shot from 4 ft,15,10
1,6:43.0,Defensive rebound by R. Gobert,,15,10
1,6:41.0,Turnover by J. Ingles (bad pass; steal by W. Matthews),,15,10
1,6:32.0,,D. Jordan misses 2-pt hook shot from 3 ft,15,10
1,6:29.0,Defensive rebound by R. Gobert,,15,10
1,6:21.0,R. Rubio misses 2-pt jump shot from 18 ft,,15,10
1,6:18.0,,Defensive rebound by D. Jordan,15,10
1,6:12.0,,D. Smith misses 2-pt jump shot from 12 ft,15,10
1,6:11.0,,Offensive rebound by Team,15,10
1,6:11.0,Loose ball foul by D. Mitchell (drawn by D. Jordan),,15,10
1,6:11.0,A. Burks enters the game for D. Favors,,15,10
1,6:11.0,J. Crowder enters the game for D. Mitchell,,15,10
1,6:11.0,,J. Barea enters the game for D. Smith,15,10
1,5:59.0,,L. Dončić makes 3-pt jump shot from 27 ft,15,13
1,5:45.0,Personal foul by J. Barea (drawn by R. Gobert),,15,13
1,5:34.0,J. Ingles makes 3-pt jump shot from 28 ft (assist by R. Rubio),,18,13
1,5:22.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),18,16
1,5:00.0,A. Burks makes 2-pt layup from 1 ft,,20,16
1,4:47.0,,J. Barea makes 2-pt jump shot from 8 ft,20,18
1,4:24.0,R. Rubio misses 3-pt jump shot from 26 ft,,20,18
1,4:22.0,,Defensive rebound by H. Barnes,20,18
1,4:17.0,,Offensive foul by D. Jordan (drawn by R. Gobert),20,18
1,4:17.0,,Turnover by D. Jordan (offensive foul),20,18
1,4:17.0,D. Exum enters the game for R. Rubio,,20,18
1,4:11.0,Offensive foul by J. Crowder (drawn by L. Dončić),,20,18
1,4:11.0,Turnover by J. Crowder (offensive foul),,20,18
1,3:52.0,,J. Barea misses 3-pt jump shot from 23 ft,20,18
1,3:49.0,,Offensive rebound by D. Jordan,20,18
1,3:45.0,,W. Matthews makes 2-pt layup from 3 ft (assist by D. Jordan),20,20
1,3:45.0,Utah full timeout,,20,20
1,3:26.0,J. Crowder misses 3-pt jump shot from 26 ft,,20,20
1,3:22.0,,Defensive rebound by D. Jordan,20,20
1,3:07.0,,D. Jordan makes 2-pt layup from 2 ft (assist by J. Barea),20,22
1,2:54.0,D. Exum misses 2-pt jump shot from 7 ft,,20,22
1,2:54.0,,Defensive rebound by L. Dončić,20,22
1,2:49.0,,Personal foul by J. Ingles (drawn by D. Jordan),20,22
1,2:49.0,D. Favors enters the game for R. Gobert,,20,22
1,2:49.0,D. Mitchell enters the game for J. Ingles,,20,22
1,2:49.0,,D. Finney-Smith enters the game for H. Barnes,20,22
1,2:49.0,,D. Harris enters the game for L. Dončić,20,22
1,2:49.0,,M. Kleber enters the game for W. Matthews,20,22
1,2:39.0,,Shooting foul by D. Exum (drawn by J. Barea),20,22
1,2:39.0,,J. Barea misses free throw 1 of 3,20,22
1,2:39.0,,Offensive rebound by Team,20,22
1,2:39.0,,J. Barea makes free throw 2 of 3,20,23
1,2:39.0,,D. Powell enters the game for D. Jordan,20,23
1,2:39.0,,J. Barea makes free throw 3 of 3,20,24
1,2:26.0,A. Burks misses 3-pt jump shot from 26 ft,,20,24
1,2:22.0,,Defensive rebound by D. Harris,20,24
1,2:15.0,,Shooting foul by D. Favors (drawn by D. Powell),20,24
1,2:15.0,,D. Powell makes free throw 1 of 2,20,25
1,2:15.0,G. Allen enters the game for A. Burks,,20,25
1,2:15.0,,D. Powell makes free throw 2 of 2,20,26
1,1:58.0,J. Crowder misses 3-pt jump shot from 25 ft,,20,26
1,1:53.0,,Defensive rebound by M. Kleber,20,26
1,1:30.0,,D. Powell makes 2-pt dunk from 2 ft (assist by J. Barea),20,28
1,1:15.0,J. Crowder makes 2-pt layup from 2 ft (assist by D. Exum),,22,28
1,1:01.0,,Shooting foul by G. Allen (drawn by D. Finney-Smith),22,28
1,1:01.0,,D. Finney-Smith misses free throw 1 of 2,22,28
1,1:01.0,,Offensive rebound by Team,22,28
1,1:01.0,,D. Finney-Smith misses free throw 2 of 2,22,28
1,0:59.0,Defensive rebound by D. Exum,,22,28
1,0:41.0,D. Favors makes 2-pt dunk from 1 ft (assist by D. Exum),,24,28
1,0:24.0,,J. Barea makes 2-pt layup from 2 ft,24,30
1,0:08.0,D. Exum misses 3-pt jump shot from 26 ft,,24,30
1,0:05.0,,Defensive rebound by M. Kleber,24,30
2,11:48.0,D. Mitchell misses 2-pt jump shot from 6 ft,,24,30
2,11:43.0,,Defensive rebound by J. Barea,24,30
2,11:26.0,,J. Barea misses 3-pt jump shot from 25 ft,24,30
2,11:23.0,Defensive rebound by J. Crowder,,24,30
2,11:05.0,D. Mitchell makes 2-pt jump shot from 4 ft (assist by J. Crowder),,26,30
2,10:50.0,,D. Harris makes 2-pt jump shot from 21 ft,26,32
2,10:37.0,J. Crowder misses 3-pt jump shot from 23 ft,,26,32
2,10:34.0,,Defensive rebound by D. Finney-Smith,26,32
2,10:25.0,,Personal foul by G. Allen (drawn by D. Powell),26,32
2,10:25.0,A. Burks enters the game for D. Exum,,26,32
2,10:16.0,,D. Harris misses 2-pt layup from 3 ft (block by D. Favors),26,32
2,10:15.0,Defensive rebound by Team,,26,32
2,10:03.0,J. Crowder misses 2-pt jump shot from 6 ft (block by M. Kleber),,26,32
2,10:03.0,Offensive rebound by Team,,26,32
2,9:56.0,D. Favors makes 2-pt layup from 2 ft (assist by D. Mitchell),,28,32
2,9:41.0,,D. Powell misses 3-pt jump shot from 26 ft,28,32
2,9:38.0,Defensive rebound by A. Burks,,28,32
2,9:30.0,G. Allen makes 3-pt jump shot from 27 ft (assist by A. Burks),,31,32
2,9:26.0,,Dallas full timeout,31,32
2,9:26.0,G. Niang enters the game for J. Crowder,,31,32
2,9:17.0,,D. Harris makes 2-pt jump shot from 12 ft (assist by J. Barea),31,34
2,9:17.0,,Shooting foul by G. Allen (drawn by D. Harris),31,34
2,9:17.0,,D. Harris misses free throw 1 of 1,31,34
2,9:15.0,Defensive rebound by A. Burks,,31,34
2,9:06.0,D. Mitchell misses 2-pt layup from 3 ft,,31,34
2,9:03.0,Offensive rebound by D. Mitchell,,31,34
2,9:03.0,R. Rubio enters the game for G. Allen,,31,34
2,8:54.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Rubio),,34,34
2,8:38.0,,J. Barea misses 3-pt jump shot from 26 ft,34,34
2,8:34.0,Defensive rebound by R. Rubio,,34,34
2,8:27.0,G. Niang misses 3-pt jump shot from 25 ft,,34,34
2,8:25.0,,Defensive rebound by D. Powell,34,34
2,8:15.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by D. Powell),34,37
2,7:58.0,Personal foul by D. Finney-Smith (drawn by A. Burks),,34,37
2,7:58.0,D. Exum enters the game for D. Favors,,34,37
2,7:58.0,R. Gobert enters the game for D. Mitchell,,34,37
2,7:50.0,A. Burks makes 2-pt layup from 2 ft,,36,37
2,7:37.0,,M. Kleber makes 2-pt jump shot from 14 ft (assist by J. Barea),36,39
2,7:28.0,Turnover by R. Rubio (out of bounds lost ball),,36,39
2,7:28.0,,D. Smith enters the game for J. Barea,36,39
2,7:15.0,,Turnover by D. Harris (bad pass; steal by R. Gobert),36,39
2,7:15.0,Personal take foul by D. Harris (drawn by A. Burks),,36,39
2,7:15.0,J. Ingles enters the game for D. Exum,,36,39
2,7:15.0,,W. Matthews enters the game for D. Harris,36,39
2,6:59.0,Turnover by A. Burks (bad pass; steal by D. Smith),,36,39
2,6:58.0,,D. Smith misses 2-pt layup from 2 ft,36,39
2,6:58.0,Defensive rebound by Team,,36,39
2,6:34.0,R. Rubio makes 2-pt layup from 3 ft,,38,39
2,6:13.0,,W. Matthews makes 2-pt jump shot from 12 ft (assist by D. Powell),38,41
2,5:59.0,G. Niang misses 3-pt jump shot from 27 ft,,38,41
2,5:56.0,,Defensive rebound by W. Matthews,38,41
2,5:50.0,,D. Powell makes 3-pt jump shot from 25 ft (assist by D. Smith),38,44
2,5:48.0,Utah full timeout,,38,44
2,5:48.0,J. Crowder enters the game for G. Niang,,38,44
2,5:48.0,,H. Barnes enters the game for D. Finney-Smith,38,44
2,5:48.0,,L. Dončić enters the game for M. Kleber,38,44
2,5:48.0,,D. Jordan enters the game for D. Powell,38,44
2,5:29.0,A. Burks misses 2-pt jump shot from 13 ft,,38,44
2,5:26.0,Offensive rebound by R. Gobert,,38,44
2,5:17.0,J. Ingles misses 2-pt jump shot from 12 ft,,38,44
2,5:14.0,,Defensive rebound by D. Smith,38,44
2,4:56.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Smith),38,47
2,4:43.0,Shooting foul by D. Smith (drawn by R. Rubio),,38,47
2,4:43.0,R. Rubio makes free throw 1 of 2,,39,47
2,4:43.0,D. Mitchell enters the game for A. Burks,,39,47
2,4:43.0,R. Rubio makes free throw 2 of 2,,40,47
2,4:30.0,,Turnover by W. Matthews (bad pass; steal by R. Rubio),40,47
2,4:23.0,R. Rubio misses 3-pt jump shot from 27 ft,,40,47
2,4:20.0,Offensive rebound by R. Gobert,,40,47
2,4:16.0,J. Crowder misses 3-pt jump shot from 25 ft,,40,47
2,4:14.0,,Defensive rebound by Team,40,47
2,4:05.0,,Turnover by D. Smith (bad pass; steal by R. Rubio),40,47
2,3:57.0,Shooting foul by D. Jordan (drawn by R. Gobert),,40,47
2,3:57.0,,Violation by Team (delay of game),40,47
2,3:57.0,R. Gobert misses free throw 1 of 2,,40,47
2,3:57.0,Offensive rebound by Team,,40,47
2,3:57.0,R. Gobert misses free throw 2 of 2,,40,47
