QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
2,3:55.0,,Defensive rebound by H. Barnes,40,47
2,3:34.0,,D. Smith makes 3-pt jump shot from 27 ft,40,50
2,3:10.0,J. Crowder misses 3-pt jump shot from 26 ft,,40,50
2,3:07.0,,Defensive rebound by D. Smith,40,50
2,3:05.0,,Turnover by D. Smith (lost ball; steal by R. Gobert),40,50
2,2:57.0,J. Ingles misses 3-pt jump shot from 26 ft,,40,50
2,2:56.0,Offensive rebound by Team,,40,50
2,2:56.0,,Loose ball foul by D. Jordan (drawn by R. Gobert),40,50
2,2:56.0,R. Gobert misses free throw 1 of 2,,40,50
2,2:56.0,Offensive rebound by Team,,40,50
2,2:56.0,,D. Powell enters the game for D. Jordan,40,50
2,2:56.0,R. Gobert makes free throw 2 of 2,,41,50
2,2:46.0,,L. Dončić makes 2-pt jump shot from 17 ft,41,52
2,2:24.0,R. Rubio misses 3-pt jump shot from 26 ft,,41,52
2,2:24.0,Offensive rebound by Team,,41,52
2,2:24.0,,Loose ball foul by D. Powell (drawn by R. Gobert),41,52
2,2:24.0,R. Gobert makes free throw 1 of 2,,42,52
2,2:24.0,,Technical foul by D. Jordan,42,52
2,2:24.0,R. Rubio makes technical free throw,,43,52
2,2:24.0,R. Gobert misses free throw 2 of 2,,43,52
2,2:24.0,,Defensive rebound by Team,43,52
2,2:08.0,,Turnover by L. Dončić (traveling),43,52
2,2:08.0,,Technical foul by L. Dončić,43,52
2,2:08.0,R. Rubio makes technical free throw,,44,52
2,1:54.0,R. Rubio makes 2-pt jump shot from 4 ft (assist by D. Mitchell),,46,52
2,1:33.0,,L. Dončić misses 2-pt jump shot from 7 ft,46,52
2,1:31.0,Defensive rebound by J. Ingles,,46,52
2,1:20.0,Turnover by D. Mitchell (bad pass; steal by L. Dončić),,46,52
2,1:11.0,,W. Matthews misses 3-pt jump shot from 25 ft,46,52
2,1:07.0,Defensive rebound by R. Gobert,,46,52
2,0:49.0,D. Mitchell misses 2-pt layup from 4 ft,,46,52
2,0:47.0,Offensive rebound by D. Mitchell,,46,52
2,0:46.0,D. Mitchell misses 2-pt layup from 1 ft,,46,52
2,0:43.0,,Defensive rebound by D. Powell,46,52
2,0:41.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),46,55
2,0:25.0,R. Gobert misses 2-pt jump shot from 5 ft,,46,55
2,0:23.0,,Defensive rebound by L. Dončić,46,55
2,0:01.0,,L. Dončić makes 3-pt jump shot from 30 ft,46,58
3,11:46.0,D. Mitchell misses 3-pt jump shot from 28 ft,,46,58
3,11:45.0,,Defensive rebound by Team,46,58
3,11:33.0,,Turnover by D. Jordan (out of bounds lost ball),46,58
3,11:11.0,D. Favors misses 3-pt jump shot from 23 ft,,46,58
3,11:07.0,,Defensive rebound by L. Dončić,46,58
3,10:51.0,,L. Dončić misses 2-pt jump shot from 7 ft,46,58
3,10:49.0,,Offensive rebound by L. Dončić,46,58
3,10:47.0,,L. Dončić makes 2-pt jump shot from 3 ft,46,60
3,10:35.0,Turnover by D. Mitchell (out of bounds lost ball),,46,60
3,10:26.0,,D. Smith misses 3-pt jump shot from 26 ft,46,60
3,10:23.0,Defensive rebound by R. Rubio,,46,60
3,10:12.0,Turnover by J. Ingles (bad pass; steal by W. Matthews),,46,60
3,10:09.0,,Personal foul by R. Rubio (drawn by D. Smith),46,60
3,10:04.0,,L. Dončić misses 3-pt jump shot from 26 ft,46,60
3,10:00.0,Defensive rebound by D. Mitchell,,46,60
3,9:59.0,J. Ingles misses 2-pt layup from 3 ft (block by W. Matthews),,46,60
3,9:57.0,,Defensive rebound by H. Barnes,46,60
3,9:50.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by H. Barnes),46,63
3,9:49.0,Utah full timeout,,46,63
3,9:35.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),,48,63
3,9:23.0,,H. Barnes makes 2-pt layup from 2 ft,48,65
3,9:13.0,D. Mitchell misses 3-pt jump shot from 26 ft,,48,65
3,9:09.0,,Defensive rebound by D. Jordan,48,65
3,8:55.0,,H. Barnes misses 2-pt jump shot from 7 ft,48,65
3,8:52.0,,Offensive rebound by D. Jordan,48,65
3,8:52.0,,Turnover by D. Jordan (lost ball; steal by R. Rubio),48,65
3,8:46.0,Turnover by D. Mitchell (bad pass; steal by L. Dončić),,48,65
3,8:42.0,,D. Smith misses 3-pt jump shot from 26 ft,48,65
3,8:40.0,Defensive rebound by R. Rubio,,48,65
3,8:29.0,Turnover by R. Rubio (bad pass),,48,65
3,8:21.0,,Personal foul by R. Rubio (drawn by D. Smith),48,65
3,8:17.0,,Shooting foul by R. Gobert (drawn by L. Dončić),48,65
3,8:17.0,,L. Dončić misses free throw 1 of 2,48,65
3,8:17.0,,Offensive rebound by Team,48,65
3,8:17.0,,L. Dončić makes free throw 2 of 2,48,66
3,8:06.0,J. Ingles misses 3-pt jump shot from 24 ft,,48,66
3,8:02.0,,Defensive rebound by D. Jordan,48,66
3,7:55.0,,Turnover by D. Smith (bad pass),48,66
3,7:53.0,Personal take foul by D. Smith (drawn by R. Rubio),,48,66
3,7:53.0,,D. Finney-Smith enters the game for W. Matthews,48,66
3,7:41.0,R. Rubio misses 3-pt jump shot from 25 ft,,48,66
3,7:38.0,,Defensive rebound by L. Dončić,48,66
3,7:34.0,,H. Barnes misses 3-pt jump shot from 28 ft,48,66
3,7:31.0,Defensive rebound by R. Gobert,,48,66
3,7:23.0,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),,50,66
3,7:06.0,,L. Dončić misses 2-pt jump shot from 6 ft,50,66
3,7:04.0,Defensive rebound by J. Ingles,,50,66
3,7:01.0,,Violation by Team (kicked ball),50,66
3,7:01.0,A. Burks enters the game for D. Favors,,50,66
3,7:01.0,J. Crowder enters the game for D. Mitchell,,50,66
3,6:55.0,A. Burks misses 2-pt jump shot from 19 ft,,50,66
3,6:52.0,,Defensive rebound by D. Smith,50,66
3,6:45.0,,D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by D. Jordan),50,69
3,6:30.0,Personal foul by D. Smith (drawn by J. Ingles),,50,69
3,6:22.0,J. Crowder misses 3-pt jump shot from 25 ft,,50,69
3,6:18.0,Offensive rebound by J. Ingles,,50,69
3,6:18.0,R. Rubio makes 3-pt jump shot from 27 ft (assist by J. Ingles),,53,69
3,5:55.0,Violation by Team (kicked ball),,53,69
3,5:50.0,,Turnover by D. Finney-Smith (bad pass; steal by R. Rubio),53,69
3,5:38.0,J. Crowder misses 3-pt jump shot from 23 ft,,53,69
3,5:35.0,,Defensive rebound by L. Dončić,53,69
3,5:26.0,,D. Smith misses 2-pt jump shot from 14 ft,53,69
3,5:25.0,,Offensive rebound by D. Finney-Smith,53,69
3,5:20.0,,Shooting foul by A. Burks (drawn by H. Barnes),53,69
3,5:20.0,,H. Barnes makes free throw 1 of 2,53,70
3,5:20.0,,H. Barnes makes free throw 2 of 2,53,71
3,5:08.0,Turnover by R. Rubio (bad pass; steal by D. Jordan),,53,71
3,4:59.0,,Turnover by D. Smith (lost ball; steal by J. Crowder),53,71
3,4:55.0,J. Crowder misses 2-pt layup from 3 ft,,53,71
3,4:52.0,,Defensive rebound by D. Smith,53,71
3,4:49.0,,D. Finney-Smith makes 3-pt jump shot from 29 ft (assist by D. Smith),53,74
3,4:46.0,Utah full timeout,,53,74
3,4:32.0,A. Burks misses 2-pt jump shot from 9 ft,,53,74
3,4:29.0,Offensive rebound by R. Gobert,,53,74
3,4:28.0,R. Gobert makes 2-pt layup from 4 ft,,55,74
3,4:11.0,,Turnover by L. Dončić (bad pass; steal by R. Gobert),55,74
3,4:02.0,Turnover by R. Rubio (bad pass),,55,74
3,4:02.0,D. Exum enters the game for R. Rubio,,55,74
3,3:46.0,,H. Barnes makes 2-pt jump shot from 16 ft,55,76
3,3:29.0,Personal foul by L. Dončić (drawn by J. Crowder),,55,76
3,3:29.0,G. Allen enters the game for R. Gobert,,55,76
3,3:29.0,D. Favors enters the game for J. Ingles,,55,76
3,3:29.0,,J. Barea enters the game for D. Smith,55,76
3,3:16.0,D. Favors misses 2-pt jump shot from 6 ft,,55,76
3,3:13.0,,Defensive rebound by D. Jordan,55,76
3,3:02.0,,L. Dončić misses 2-pt hook shot from 2 ft,55,76
3,3:01.0,,Offensive rebound by D. Jordan,55,76
3,2:56.0,,D. Jordan makes 2-pt dunk from 1 ft,55,78
3,2:44.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Burks),,58,78
3,2:29.0,,J. Barea makes 2-pt layup from 1 ft (assist by H. Barnes),58,80
3,2:26.0,Turnover by A. Burks (out of bounds lost ball),,58,80
3,2:14.0,,L. Dončić misses 3-pt jump shot from 29 ft,58,80
3,2:12.0,Defensive rebound by Team,,58,80
3,1:50.0,Shooting foul by D. Finney-Smith (drawn by A. Burks),,58,80
3,1:50.0,A. Burks makes free throw 1 of 2,,59,80
3,1:50.0,,D. Harris enters the game for L. Dončić,59,80
3,1:50.0,,D. Powell enters the game for D. Jordan,59,80
3,1:50.0,A. Burks misses free throw 2 of 2,,59,80
3,1:48.0,,Defensive rebound by H. Barnes,59,80
3,1:33.0,,H. Barnes makes 2-pt jump shot from 5 ft,59,82
3,1:08.0,A. Burks misses 2-pt jump shot from 5 ft (block by D. Finney-Smith),,59,82
3,1:07.0,Offensive rebound by Team,,59,82
3,1:07.0,Turnover by Team (shot clock),,59,82
3,0:57.0,,H. Barnes misses 3-pt jump shot from 27 ft,59,82
3,0:57.0,Defensive rebound by D. Favors,,59,82
3,0:43.0,J. Crowder misses 3-pt jump shot from 25 ft,,59,82
3,0:40.0,,Defensive rebound by D. Finney-Smith,59,82
3,0:31.0,,Personal foul by D. Exum (drawn by J. Barea),59,82
3,0:31.0,,J. Barea misses free throw 1 of 2,59,82
3,0:31.0,,Offensive rebound by Team,59,82
3,0:31.0,,M. Kleber enters the game for H. Barnes,59,82
3,0:31.0,,J. Barea misses free throw 2 of 2,59,82
3,0:29.0,Defensive rebound by D. Favors,,59,82
3,0:16.0,Offensive foul by G. Allen (drawn by J. Barea),,59,82
3,0:16.0,Turnover by G. Allen (offensive foul),,59,82
3,0:04.0,,D. Powell misses 3-pt jump shot from 28 ft,59,82
3,0:03.0,,Offensive rebound by D. Finney-Smith,59,82
3,0:02.0,,D. Finney-Smith makes 2-pt dunk from 1 ft,59,84
4,11:46.0,,Turnover by D. Harris (bad pass; steal by D. Favors),59,84
4,11:40.0,Turnover by D. Favors (lost ball; steal by D. Powell),,59,84
4,11:37.0,,D. Powell makes 2-pt dunk at rim,59,86
4,11:17.0,Turnover by D. Mitchell (lost ball; steal by D. Finney-Smith),,59,86
4,11:12.0,,Flagrant foul type 1 by D. Favors (drawn by J. Barea),59,86
4,11:12.0,,Technical foul by J. Barea,59,86
4,11:12.0,E. Udoh enters the game for D. Favors,,59,86
4,11:12.0,D. Mitchell makes technical free throw,,60,86
4,11:12.0,,J. Barea makes flagrant free throw 1 of 2,60,87
4,11:12.0,,J. Barea makes flagrant free throw 2 of 2,60,88
4,11:04.0,,M. Kleber misses 3-pt jump shot from 26 ft,60,88
4,11:00.0,,Offensive rebound by M. Kleber,60,88
4,10:59.0,,M. Kleber misses 2-pt jump shot from 17 ft,60,88
4,10:56.0,Defensive rebound by E. Udoh,,60,88
4,10:50.0,G. Allen misses 3-pt jump shot from 23 ft,,60,88
4,10:50.0,,Defensive rebound by J. Barea,60,88
4,10:34.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),60,90
4,10:16.0,Turnover by G. Allen (bad pass; steal by M. Kleber),,60,90
4,10:01.0,,D. Powell misses 2-pt layup from 3 ft (block by D. Mitchell),60,90
4,9:59.0,Defensive rebound by T. Sefolosha,,60,90
4,9:55.0,G. Allen misses 2-pt jump shot from 8 ft,,60,90
4,9:55.0,,Defensive rebound by M. Kleber,60,90
4,9:38.0,,J. Barea makes 2-pt jump shot from 10 ft,60,92
4,9:38.0,,Away from play foul by G. Allen (drawn by D. Powell),60,92
4,9:38.0,Turnover by G. Allen (turnover),,60,92
4,9:38.0,R. O'Neale enters the game for D. Mitchell,,60,92
4,9:38.0,,D. Powell misses free throw 1 of 1,60,92
4,9:38.0,Defensive rebound by T. Sefolosha,,60,92
4,9:20.0,G. Allen misses 3-pt jump shot from 26 ft,,60,92
4,9:17.0,,Defensive rebound by M. Kleber,60,92
4,9:05.0,,Turnover by D. Harris (bad pass),60,92
4,8:52.0,D. Exum misses 2-pt layup from 8 ft (block by J. Barea),,60,92
4,8:51.0,Offensive rebound by Team,,60,92
4,8:48.0,Turnover by E. Udoh (bad pass; steal by D. Harris),,60,92
4,8:44.0,,D. Harris misses 3-pt jump shot from 29 ft,60,92
4,8:40.0,Defensive rebound by T. Sefolosha,,60,92
4,8:32.0,Shooting foul by D. Powell (drawn by R. O'Neale),,60,92
4,8:32.0,R. O'Neale makes free throw 1 of 2,,61,92
4,8:32.0,,J. Brunson enters the game for D. Harris,61,92
4,8:32.0,R. O'Neale misses free throw 2 of 2,,61,92
4,8:30.0,,Defensive rebound by D. Powell,61,92
4,8:20.0,,Offensive foul by D. Powell (drawn by D. Exum),61,92
4,8:20.0,,Turnover by D. Powell (offensive foul),61,92
4,8:10.0,G. Allen misses 2-pt jump shot from 14 ft,,61,92
4,8:06.0,,Defensive rebound by D. Finney-Smith,61,92
4,7:59.0,,J. Barea makes 2-pt layup from 2 ft,61,94
4,7:46.0,Turnover by G. Allen (lost ball; steal by J. Barea),,61,94
4,7:31.0,,Dallas full timeout,61,94
4,7:31.0,G. Niang enters the game for D. Exum,,61,94
4,7:31.0,,R. Broekhoff enters the game for J. Barea,61,94
4,7:26.0,,J. Brunson makes 2-pt layup from 2 ft (assist by D. Powell),61,96
4,7:04.0,Turnover by R. O'Neale (bad pass),,61,96
4,6:48.0,,Shooting foul by E. Udoh (drawn by D. Powell),61,96
4,6:48.0,,D. Powell makes free throw 1 of 2,61,97
4,6:48.0,,S. Mejri enters the game for M. Kleber,61,97
4,6:48.0,,D. Powell makes free throw 2 of 2,61,98
4,6:48.0,,M. Kleber enters the game for D. Finney-Smith,61,98
4,6:33.0,G. Allen misses 3-pt jump shot from 23 ft,,61,98
4,6:30.0,,Defensive rebound by R. Broekhoff,61,98
4,6:20.0,,D. Powell misses 3-pt jump shot from 26 ft,61,98
4,6:16.0,Defensive rebound by E. Udoh,,61,98
4,6:09.0,T. Sefolosha misses 3-pt jump shot from 27 ft,,61,98
4,6:06.0,,Defensive rebound by J. Brunson,61,98
4,5:51.0,,J. Brunson makes 2-pt layup from 2 ft,61,100
4,5:36.0,G. Niang misses 2-pt layup from 2 ft (block by D. Powell),,61,100
4,5:32.0,,Defensive rebound by M. Kleber,61,100
4,5:26.0,,M. Kleber makes 2-pt jump shot from 13 ft (assist by J. Brunson),61,102
4,5:24.0,Utah full timeout,,61,102
4,5:24.0,D. Exum enters the game for G. Niang,,61,102
4,5:14.0,D. Exum makes 2-pt layup from 2 ft,,63,102
4,4:58.0,,R. Broekhoff makes 3-pt jump shot from 25 ft (assist by J. Brunson),63,105
4,4:42.0,E. Udoh makes 2-pt dunk from 1 ft (assist by G. Allen),,65,105
4,4:27.0,,Personal foul by R. O'Neale (drawn by M. Kleber),65,105
