QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
1,11:37.0,D. Green misses 2-pt jump shot from 13 ft,,0,0
1,11:36.0,,Defensive rebound by A. Iguodala,0,0
1,11:10.0,,Turnover by D. Cousins (bad pass; steal by K. Leonard),0,0
1,11:03.0,Turnover by D. Green (lost ball; steal by A. Iguodala),,0,0
1,10:57.0,,Turnover by D. Cousins (lost ball; steal by D. Green),0,0
1,10:53.0,D. Green misses 3-pt jump shot from 27 ft,,0,0
1,10:51.0,,Defensive rebound by D. Green,0,0
1,10:43.0,,D. Green misses 2-pt jump shot from 6 ft,0,0
1,10:43.0,,Offensive rebound by Team,0,0
1,10:43.0,,S. Curry misses 3-pt jump shot from 30 ft,0,0
1,10:41.0,,Offensive rebound by K. Thompson,0,0
1,10:35.0,,K. Thompson misses 2-pt jump shot from 10 ft,0,0
1,10:35.0,,Offensive rebound by Team,0,0
1,10:35.0,Loose ball foul by M. Gasol (drawn by D. Cousins),,0,0
1,10:28.0,,K. Thompson misses 3-pt jump shot from 33 ft,0,0
1,10:26.0,Defensive rebound by P. Siakam,,0,0
1,10:18.0,P. Siakam misses 3-pt jump shot from 23 ft,,0,0
1,10:16.0,,Defensive rebound by D. Green,0,0
1,10:08.0,,Turnover by D. Cousins (lost ball; steal by D. Green),0,0
1,9:46.0,Turnover by P. Siakam (bad pass; steal by D. Green),,0,0
1,9:41.0,,S. Curry makes 2-pt jump shot from 23 ft (assist by D. Green),0,2
1,9:21.0,D. Green misses 3-pt jump shot from 24 ft,,0,2
1,9:19.0,,Defensive rebound by D. Cousins,0,2
1,9:05.0,,Turnover by D. Green (bad pass; steal by K. Lowry),0,2
1,9:00.0,Shooting foul by D. Cousins (drawn by P. Siakam),,0,2
1,9:00.0,P. Siakam makes free throw 1 of 2,,1,2
1,9:00.0,P. Siakam misses free throw 2 of 2,,1,2
1,8:59.0,,Defensive rebound by D. Cousins,1,2
1,8:51.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),1,4
1,8:36.0,K. Leonard makes 2-pt jump shot from 10 ft,,3,4
1,8:21.0,,A. Iguodala misses 2-pt jump shot from 18 ft,3,4
1,8:20.0,Defensive rebound by M. Gasol,,3,4
1,8:09.0,P. Siakam misses 2-pt hook shot from 11 ft,,3,4
1,8:08.0,,Defensive rebound by D. Cousins,3,4
1,7:56.0,,D. Green makes 2-pt layup from 3 ft (assist by K. Thompson),3,6
1,7:42.0,K. Leonard misses 3-pt jump shot from 25 ft,,3,6
1,7:40.0,,Defensive rebound by A. Iguodala,3,6
1,7:32.0,,D. Cousins makes 2-pt layup from 2 ft (assist by K. Thompson),3,8
1,7:20.0,K. Lowry makes 2-pt jump shot from 12 ft,,5,8
1,6:57.0,,D. Green misses 2-pt jump shot from 23 ft,5,8
1,6:55.0,Defensive rebound by K. Leonard,,5,8
1,6:45.0,Personal foul by D. Cousins (drawn by K. Leonard),,5,8
1,6:45.0,,Golden State full timeout,5,8
1,6:45.0,,K. Looney enters the game for D. Cousins,5,8
1,6:32.0,D. Green misses 3-pt jump shot from 26 ft,,5,8
1,6:30.0,,Defensive rebound by K. Looney,5,8
1,6:13.0,,K. Looney makes 2-pt layup from 1 ft (assist by D. Green),5,10
1,6:04.0,Shooting foul by K. Thompson (drawn by K. Leonard),,5,10
1,6:04.0,K. Leonard makes free throw 1 of 2,,6,10
1,6:04.0,F. VanVleet enters the game for D. Green,,6,10
1,6:04.0,K. Leonard makes free throw 2 of 2,,7,10
1,5:51.0,,Turnover by K. Looney (out of bounds lost ball),7,10
1,5:40.0,P. Siakam misses 2-pt hook shot from 9 ft,,7,10
1,5:39.0,,Defensive rebound by D. Green,7,10
1,5:27.0,,S. Curry misses 3-pt jump shot from 28 ft,7,10
1,5:25.0,Defensive rebound by K. Leonard,,7,10
1,5:09.0,K. Lowry misses 2-pt jump shot from 21 ft,,7,10
1,5:08.0,,Defensive rebound by D. Green,7,10
1,5:02.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by D. Green),7,13
1,4:52.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by M. Gasol),,10,13
1,4:35.0,,Shooting foul by K. Leonard (drawn by D. Green),10,13
1,4:35.0,,D. Green makes free throw 1 of 2,10,14
1,4:35.0,,A. McKinnie enters the game for A. Iguodala,10,14
1,4:35.0,,D. Green makes free throw 2 of 2,10,15
1,4:21.0,F. VanVleet misses 3-pt jump shot from 28 ft,,10,15
1,4:19.0,,Defensive rebound by A. McKinnie,10,15
1,4:08.0,,S. Curry makes 2-pt jump shot from 18 ft,10,17
1,4:06.0,Toronto full timeout,,10,17
1,4:06.0,,S. Livingston enters the game for K. Thompson,10,17
1,3:37.0,K. Leonard makes 2-pt jump shot from 13 ft (assist by M. Gasol),,12,17
1,3:25.0,,K. Looney makes 2-pt jump shot from 3 ft (assist by D. Green),12,19
1,3:11.0,K. Lowry misses 3-pt jump shot from 26 ft,,12,19
1,3:09.0,,Defensive rebound by D. Green,12,19
1,2:44.0,,Turnover by Team (shot clock),12,19
1,2:19.0,M. Gasol misses 2-pt layup from 5 ft (block by D. Green),,12,19
1,2:18.0,,Defensive rebound by Team,12,19
1,2:18.0,D. Green enters the game for M. Gasol,,12,19
1,2:18.0,S. Ibaka enters the game for P. Siakam,,12,19
