QUARTER,TIME_REMAINING,MINNESOTA_ACTION,WASHINGTON_ACTION,MINNESOTA_SCORE,WASHINGTON_SCORE
1,11:46.0,,Turnover by T. Satoranský (bad pass),0,0
1,11:42.0,J. Teague misses 2-pt jump shot from 9 ft,,0,0
1,11:39.0,,Defensive rebound by J. Green,0,0
1,11:33.0,,T. Satoranský makes 2-pt layup from 1 ft,0,2
1,11:10.0,D. Šarić makes 2-pt layup from 2 ft (assist by K. Towns),,2,2
1,10:57.0,,T. Ariza makes 3-pt jump shot from 26 ft,2,5
1,10:38.0,A. Wiggins misses 2-pt hook shot from 6 ft,,2,5
1,10:35.0,,Defensive rebound by B. Portis,2,5
1,10:25.0,,Personal foul by A. Wiggins (drawn by T. Ariza),2,5
1,10:19.0,,T. Satoranský makes 2-pt jump shot from 10 ft,2,7
1,10:11.0,K. Towns misses 3-pt jump shot from 26 ft,,2,7
1,10:09.0,,Defensive rebound by Team,2,7
1,10:00.0,,B. Portis misses 2-pt jump shot from 16 ft,2,7
1,9:57.0,Defensive rebound by D. Šarić,,2,7
1,9:42.0,D. Šarić makes 2-pt layup from 1 ft,,4,7
1,9:22.0,,J. Green misses 2-pt layup from 4 ft (block by J. Okogie),4,7
1,9:19.0,Defensive rebound by A. Wiggins,,4,7
1,9:18.0,Turnover by J. Teague (bad pass),,4,7
1,9:11.0,,T. Ariza misses 2-pt jump shot from 14 ft,4,7
1,9:09.0,,Offensive rebound by Team,4,7
1,9:07.0,,B. Beal makes 2-pt layup from 3 ft (assist by T. Ariza),4,9
1,8:44.0,D. Šarić makes 2-pt jump shot from 18 ft (assist by K. Towns),,6,9
1,8:44.0,Shooting foul by J. Green (drawn by D. Šarić),,6,9
1,8:44.0,D. Šarić makes free throw 1 of 1,,7,9
1,8:39.0,,Shooting foul by D. Šarić (drawn by B. Beal),7,9
1,8:39.0,,B. Beal makes free throw 1 of 2,7,10
1,8:39.0,,B. Beal makes free throw 2 of 2,7,11
1,8:19.0,A. Wiggins makes 2-pt jump shot from 20 ft,,9,11
1,8:07.0,,J. Green makes 2-pt layup from 4 ft,9,13
1,8:07.0,Violation by Team (def goaltending),,9,13
1,7:55.0,Def 3 sec tech foul by Team,,9,13
1,7:55.0,J. Teague makes technical free throw,,10,13
1,7:46.0,A. Wiggins makes 2-pt layup from 4 ft (assist by J. Teague),,12,13
1,7:40.0,,Shooting foul by J. Okogie (drawn by T. Ariza),12,13
1,7:40.0,,T. Ariza makes free throw 1 of 3,12,14
1,7:40.0,,T. Ariza makes free throw 2 of 3,12,15
1,7:40.0,,T. Ariza misses free throw 3 of 3,12,15
1,7:38.0,Defensive rebound by D. Šarić,,12,15
1,7:32.0,J. Teague makes 2-pt layup from 3 ft,,14,15
1,7:22.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by T. Satoranský),14,18
1,7:10.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,16,18
1,6:58.0,,B. Portis misses 3-pt jump shot from 23 ft,16,18
1,6:56.0,Defensive rebound by A. Wiggins,,16,18
1,6:45.0,D. Šarić makes 2-pt layup from 2 ft,,18,18
1,6:28.0,,T. Satoranský misses 2-pt jump shot from 3 ft,18,18
1,6:22.0,,Offensive rebound by B. Portis,18,18
1,6:22.0,,B. Portis makes 2-pt layup at rim,18,20
1,6:09.0,D. Šarić misses 2-pt hook shot from 3 ft,,18,20
1,6:05.0,Offensive rebound by J. Okogie,,18,20
1,6:05.0,J. Okogie makes 2-pt dunk from 1 ft,,20,20
1,5:52.0,,J. Green misses 3-pt jump shot from 23 ft,20,20
1,5:51.0,,Offensive rebound by B. Beal,20,20
1,5:50.0,,B. Beal makes 2-pt layup from 2 ft,20,22
1,5:50.0,,Shooting foul by J. Okogie (drawn by B. Beal),20,22
1,5:50.0,,Washington full timeout,20,22
1,5:50.0,D. Rose enters the game for J. Okogie,,20,22
1,5:50.0,,B. Beal misses free throw 1 of 1,20,22
1,5:48.0,Defensive rebound by K. Towns,,20,22
1,5:34.0,K. Towns misses 3-pt jump shot from 27 ft,,20,22
1,5:31.0,,Defensive rebound by T. Ariza,20,22
1,5:17.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by T. Ariza),20,25
1,5:01.0,J. Teague misses 3-pt jump shot from 26 ft,,20,25
1,4:59.0,,Defensive rebound by B. Portis,20,25
1,4:48.0,,Shooting foul by D. Rose (drawn by J. Green),20,25
1,4:48.0,,J. Green misses free throw 1 of 2,20,25
1,4:48.0,,Offensive rebound by Team,20,25
1,4:48.0,T. Gibson enters the game for D. Šarić,,20,25
1,4:48.0,,C. Randle enters the game for T. Satoranský,20,25
1,4:48.0,,J. Green makes free throw 2 of 2,20,26
1,4:36.0,D. Rose misses 3-pt jump shot from 25 ft,,20,26
1,4:32.0,Offensive rebound by K. Towns,,20,26
1,4:32.0,K. Towns makes 2-pt dunk from 1 ft,,22,26
1,4:26.0,,B. Portis misses 3-pt jump shot from 26 ft,22,26
1,4:25.0,Defensive rebound by T. Gibson,,22,26
1,4:24.0,Personal foul by B. Portis (drawn by K. Towns),,22,26
