QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
1,11:45.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),0,2
1,11:27.0,K. Dunn makes 2-pt layup from 3 ft (assist by R. Lopez),,2,2
1,11:12.0,,A. Gordon misses 2-pt jump shot from 16 ft,2,2
1,11:10.0,,Offensive rebound by N. Vučević,2,2
1,11:00.0,,A. Gordon misses 3-pt jump shot from 25 ft,2,2
1,10:54.0,Defensive rebound by K. Dunn,,2,2
1,10:51.0,Turnover by K. Dunn (bad pass),,2,2
1,10:36.0,,D. Augustin makes 3-pt jump shot from 25 ft,2,5
1,10:18.0,Turnover by L. Markkanen (lost ball),,2,5
1,10:18.0,,Personal foul by L. Markkanen (drawn by J. Isaac),2,5
1,10:03.0,,Turnover by E. Fournier (bad pass; steal by L. Markkanen),2,5
1,9:57.0,L. Markkanen misses 2-pt layup from 2 ft (block by A. Gordon),,2,5
1,9:57.0,Offensive rebound by Team,,2,5
1,9:55.0,L. Markkanen misses 3-pt jump shot from 25 ft,,2,5
1,9:55.0,,Defensive rebound by A. Gordon,2,5
1,9:46.0,,Turnover by A. Gordon (out of bounds lost ball),2,5
1,9:27.0,Z. LaVine makes 3-pt jump shot from 25 ft,,5,5
1,9:13.0,,D. Augustin misses 2-pt layup from 3 ft,5,5
1,9:10.0,Defensive rebound by K. Dunn,,5,5
1,9:05.0,O. Porter makes 3-pt jump shot from 25 ft (assist by L. Markkanen),,8,5
1,8:53.0,,E. Fournier misses 3-pt jump shot from 23 ft,8,5
1,8:49.0,,Offensive rebound by N. Vučević,8,5
1,8:48.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),8,8
1,8:30.0,O. Porter misses 3-pt jump shot from 25 ft,,8,8
1,8:25.0,Offensive rebound by R. Lopez,,8,8
1,8:24.0,L. Markkanen misses 3-pt jump shot from 26 ft,,8,8
1,8:22.0,,Defensive rebound by E. Fournier,8,8
1,8:16.0,,J. Isaac misses 2-pt layup from 3 ft,8,8
1,8:15.0,,Offensive rebound by Team,8,8
