QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
1,11:43.0,M. Smart makes 3-pt jump shot from 30 ft (assist by A. Baynes),,3,0
1,11:27.0,,J. Wall misses 3-pt jump shot from 26 ft,3,0
1,11:23.0,Defensive rebound by M. Smart,,3,0
1,11:14.0,Turnover by K. Irving (bad pass; steal by J. Wall),,3,0
1,11:07.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Green),3,2
1,10:52.0,K. Irving makes 2-pt jump shot from 13 ft,,5,2
1,10:38.0,,T. Satoranský misses 3-pt jump shot from 24 ft,5,2
1,10:35.0,Defensive rebound by A. Baynes,,5,2
1,10:27.0,J. Tatum misses 3-pt jump shot from 26 ft,,5,2
1,10:24.0,Offensive rebound by A. Baynes,,5,2
1,10:18.0,M. Smart misses 3-pt jump shot from 24 ft,,5,2
1,10:15.0,,Defensive rebound by J. Green,5,2
1,9:57.0,,Turnover by J. Wall (bad pass; steal by M. Smart),5,2
1,9:53.0,K. Irving misses 2-pt layup from 1 ft (block by J. Green),,5,2
1,9:49.0,Offensive rebound by M. Morris,,5,2
1,9:49.0,M. Morris makes 2-pt layup from 2 ft,,7,2
1,9:27.0,,T. Satoranský makes 2-pt layup from 3 ft,7,4
1,9:08.0,M. Morris misses 3-pt jump shot from 27 ft,,7,4
1,9:05.0,,Defensive rebound by J. Wall,7,4
1,8:58.0,,T. Bryant makes 2-pt jump shot from 4 ft (assist by J. Wall),7,6
1,8:37.0,M. Morris makes 2-pt dunk from 1 ft (assist by M. Smart),,9,6
1,8:21.0,,B. Beal makes 2-pt layup from 5 ft (assist by J. Wall),9,8
1,8:10.0,Personal foul by T. Satoranský (drawn by K. Irving),,9,8
1,8:02.0,J. Tatum misses 2-pt jump shot from 13 ft,,9,8
1,7:59.0,,Defensive rebound by J. Wall,9,8
1,7:55.0,,J. Green misses 3-pt jump shot from 26 ft,9,8
1,7:52.0,Defensive rebound by A. Baynes,,9,8
1,7:41.0,M. Morris misses 2-pt jump shot from 11 ft,,9,8
1,7:36.0,,Defensive rebound by T. Bryant,9,8
1,7:29.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),9,11
1,7:09.0,J. Tatum makes 2-pt jump shot from 17 ft,,11,11
1,6:58.0,,Washington full timeout,11,11
1,6:58.0,D. Theis enters the game for A. Baynes,,11,11
