QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHILADELPHIA_ACTION,OKLAHOMA CITY_SCORE,PHILADELPHIA_SCORE
1,11:49.0,P. George misses 2-pt jump shot from 17 ft,,0,0
1,11:42.0,,Defensive rebound by J. Redick,0,0
1,11:38.0,,B. Simmons makes 2-pt layup from 4 ft,0,2
1,11:38.0,,Shooting foul by R. Westbrook (drawn by B. Simmons),0,2
1,11:38.0,,B. Simmons makes free throw 1 of 1,0,3
1,11:20.0,S. Adams makes 2-pt layup from 4 ft,,2,3
1,11:06.0,,Shooting foul by P. George (drawn by J. Embiid),2,3
1,11:06.0,,J. Embiid makes free throw 1 of 2,2,4
1,11:06.0,,J. Embiid misses free throw 2 of 2,2,4
1,11:04.0,Defensive rebound by R. Westbrook,,2,4
1,10:54.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,5,4
1,10:49.0,,Turnover by B. Simmons (traveling),5,4
1,10:41.0,T. Ferguson misses 2-pt jump shot from 5 ft,,5,4
1,10:39.0,Offensive rebound by S. Adams,,5,4
1,10:32.0,T. Ferguson makes 2-pt layup from 4 ft (assist by S. Adams),,7,4
1,10:15.0,,W. Chandler misses 3-pt jump shot from 26 ft,7,4
1,10:11.0,Defensive rebound by R. Westbrook,,7,4
1,10:06.0,S. Adams misses 2-pt layup from 2 ft (block by W. Chandler),,7,4
1,10:03.0,Offensive rebound by Team,,7,4
1,9:56.0,R. Westbrook misses 2-pt jump shot from 19 ft,,7,4
1,9:52.0,Offensive rebound by S. Adams,,7,4
1,9:47.0,Personal foul by W. Chandler (drawn by S. Adams),,7,4
1,9:43.0,R. Westbrook makes 2-pt jump shot from 21 ft (assist by S. Adams),,9,4
1,9:31.0,,J. Butler misses 3-pt jump shot from 26 ft,9,4
1,9:28.0,Defensive rebound by J. Grant,,9,4
1,9:22.0,Turnover by R. Westbrook (bad pass; steal by J. Redick),,9,4
1,9:18.0,,Offensive foul by J. Embiid (drawn by P. George),9,4
1,9:18.0,,Turnover by J. Embiid (offensive foul),9,4
1,9:01.0,P. George makes 2-pt jump shot from 14 ft,,11,4
1,8:52.0,,Personal foul by T. Ferguson (drawn by B. Simmons),11,4
1,8:44.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),11,6
1,8:36.0,R. Westbrook makes 2-pt jump shot from 17 ft,,13,6
1,8:28.0,,B. Simmons makes 2-pt layup from 5 ft,13,8
1,8:06.0,J. Grant makes 2-pt jump shot from 8 ft,,15,8
1,7:52.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),15,11
1,7:34.0,S. Adams makes 2-pt hook shot from 8 ft,,17,11
1,7:08.0,,J. Redick misses 2-pt jump shot from 7 ft,17,11
1,7:06.0,Defensive rebound by P. George,,17,11
1,6:59.0,S. Adams makes 2-pt dunk from 1 ft (assist by P. George),,19,11
1,6:59.0,,Philadelphia full timeout,19,11
1,6:59.0,,J. Bolden enters the game for W. Chandler,19,11
1,6:59.0,,T. McConnell enters the game for J. Embiid,19,11
1,6:59.0,,L. Shamet enters the game for J. Redick,19,11
1,6:50.0,,Turnover by B. Simmons (lost ball; steal by R. Westbrook),19,11
1,6:47.0,R. Westbrook makes 2-pt dunk from 1 ft,,21,11
1,6:28.0,,Shooting foul by J. Grant (drawn by J. Butler),21,11
1,6:28.0,,J. Butler makes free throw 1 of 2,21,12
1,6:28.0,N. Noel enters the game for S. Adams,,21,12
1,6:28.0,,J. Butler makes free throw 2 of 2,21,13
1,6:05.0,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),,23,13
1,5:56.0,,B. Simmons misses 2-pt layup from 3 ft,23,13
1,5:52.0,Defensive rebound by T. Ferguson,,23,13
1,5:45.0,R. Westbrook misses 2-pt jump shot from 6 ft,,23,13
1,5:42.0,,Defensive rebound by B. Simmons,23,13
