QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
1,11:54.0,J. Redick misses 3-pt jump shot from 26 ft,,0,0
1,11:50.0,,Defensive rebound by O. Porter,0,0
1,11:36.0,,R. Lopez misses 2-pt hook shot from 5 ft,0,0
1,11:34.0,Defensive rebound by A. Johnson,,0,0
1,11:22.0,Turnover by T. Harris (bad pass; steal by O. Porter),,0,0
1,11:15.0,,L. Markkanen misses 2-pt hook shot from 6 ft,0,0
1,11:13.0,Defensive rebound by T. Harris,,0,0
1,11:10.0,Personal foul by L. Markkanen (drawn by B. Simmons),,0,0
1,11:03.0,B. Simmons misses 2-pt hook shot from 6 ft,,0,0
1,10:57.0,Offensive rebound by B. Simmons,,0,0
1,10:57.0,B. Simmons makes 2-pt layup from 1 ft,,2,0
1,10:46.0,,Z. LaVine misses 2-pt jump shot from 7 ft,2,0
1,10:43.0,Defensive rebound by A. Johnson,,2,0
1,10:30.0,J. Butler makes 2-pt jump shot from 2 ft (assist by J. Redick),,4,0
1,10:30.0,Shooting foul by K. Dunn (drawn by J. Butler),,4,0
1,10:30.0,J. Butler misses free throw 1 of 1,,4,0
1,10:26.0,,Defensive rebound by L. Markkanen,4,0
1,10:19.0,,Z. LaVine misses 2-pt layup from 2 ft (block by A. Johnson),4,0
1,10:19.0,Defensive rebound by Team,,4,0
1,10:09.0,Shooting foul by L. Markkanen (drawn by J. Redick),,4,0
1,10:09.0,J. Redick makes free throw 1 of 2,,5,0
1,10:09.0,,W. Selden enters the game for L. Markkanen,5,0
1,10:09.0,J. Redick makes free throw 2 of 2,,6,0
1,9:56.0,,O. Porter misses 2-pt jump shot from 9 ft,6,0
1,9:52.0,,Offensive rebound by O. Porter,6,0
1,9:51.0,,O. Porter misses 2-pt layup from 2 ft,6,0
1,9:51.0,,Offensive rebound by R. Lopez,6,0
1,9:49.0,,R. Lopez makes 2-pt layup at rim,6,2
1,9:49.0,Violation by Team (def goaltending),,6,2
1,9:41.0,B. Simmons makes 2-pt layup from 1 ft,,8,2
1,9:31.0,,K. Dunn makes 2-pt jump shot from 14 ft,8,4
1,9:19.0,J. Butler makes 2-pt jump shot from 19 ft,,10,4
1,9:09.0,,W. Selden misses 3-pt jump shot from 24 ft,10,4
1,9:06.0,Defensive rebound by A. Johnson,,10,4
1,9:00.0,J. Butler makes 2-pt dunk at rim (assist by B. Simmons),,12,4
1,9:00.0,,Chicago full timeout,12,4
1,8:52.0,,O. Porter misses 2-pt jump shot from 16 ft,12,4
1,8:48.0,,Offensive rebound by R. Lopez,12,4
1,8:42.0,,K. Dunn makes 2-pt layup from 1 ft,12,6
1,8:21.0,A. Johnson makes 2-pt hook shot from 5 ft (assist by J. Butler),,14,6
1,8:13.0,,W. Selden makes 2-pt jump shot from 11 ft (assist by K. Dunn),14,8
1,8:01.0,Turnover by J. Butler (bad pass; steal by O. Porter),,14,8
1,7:41.0,,Z. LaVine makes 2-pt layup from 2 ft,14,10
1,7:28.0,J. Redick misses 3-pt jump shot from 25 ft,,14,10
1,7:28.0,,Defensive rebound by Team,14,10
1,7:16.0,,R. Lopez misses 2-pt hook shot from 10 ft,14,10
1,7:13.0,Defensive rebound by B. Simmons,,14,10
1,7:05.0,B. Simmons misses 2-pt jump shot from 19 ft,,14,10
1,7:03.0,,Defensive rebound by K. Dunn,14,10
1,6:59.0,,O. Porter misses 3-pt jump shot from 24 ft,14,10
1,6:59.0,Defensive rebound by A. Johnson,,14,10
1,6:47.0,A. Johnson makes 3-pt jump shot from 26 ft (assist by J. Redick),,17,10
