QUARTER,TIME_REMAINING,MIAMI_ACTION,ORLANDO_ACTION,MIAMI_SCORE,ORLANDO_SCORE
3,0:58.0,,T. Ross misses free throw 2 of 2,88,69
3,0:56.0,Defensive rebound by J. Richardson,,88,69
3,0:38.0,J. Richardson misses 2-pt jump shot from 16 ft,,88,69
3,0:35.0,Offensive rebound by J. Richardson,,88,69
3,0:25.0,D. Wade makes 2-pt layup from 1 ft,,90,69
3,0:04.0,,J. Grant makes 2-pt jump shot from 9 ft,90,71
3,0:00.0,D. Wade misses 3-pt jump shot from 24 ft,,90,71
3,0:00.0,Offensive rebound by Team,,90,71
4,11:38.0,,M. Bamba makes 2-pt layup at rim (assist by A. Gordon),90,73
4,11:16.0,D. Wade misses 2-pt jump shot from 11 ft,,90,73
4,11:13.0,,Defensive rebound by M. Bamba,90,73
4,11:07.0,,Turnover by J. Simmons (step out of bounds),90,73
4,10:52.0,Turnover by J. Richardson (dbl dribble),,90,73
4,10:37.0,,Turnover by J. Simmons (bad pass; steal by J. Richardson),90,73
4,10:21.0,K. Olynyk makes 2-pt hook shot from 9 ft (assist by D. Wade),,92,73
4,9:58.0,,J. Simmons makes 2-pt jump shot from 10 ft (assist by M. Bamba),92,75
4,9:33.0,Offensive foul by B. Adebayo (drawn by M. Bamba),,92,75
4,9:33.0,Turnover by B. Adebayo (offensive foul),,92,75
4,9:25.0,Violation by Team (kicked ball),,92,75
4,9:16.0,,M. Bamba misses 2-pt jump shot from 15 ft,92,75
4,9:12.0,Defensive rebound by B. Adebayo,,92,75
4,9:06.0,D. Wade misses 3-pt jump shot from 26 ft,,92,75
4,9:05.0,,Defensive rebound by Team,92,75
4,9:05.0,Loose ball foul by B. Adebayo (drawn by M. Bamba),,92,75
4,8:53.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Simmons),92,78
4,8:37.0,D. Wade misses 2-pt jump shot from 13 ft,,92,78
4,8:34.0,,Defensive rebound by A. Gordon,92,78
4,8:29.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by T. Ross),92,81
4,8:28.0,Miami full timeout,,92,81
4,8:11.0,B. Adebayo misses 2-pt hook shot from 11 ft,,92,81
4,8:09.0,,Defensive rebound by M. Bamba,92,81
4,8:00.0,,J. Simmons makes 3-pt jump shot from 25 ft,92,84
4,7:45.0,Personal foul by D. Augustin (drawn by J. Richardson),,92,84
4,7:45.0,,J. Grant enters the game for D. Augustin,92,84
4,7:31.0,Shooting foul by M. Bamba (drawn by J. Richardson),,92,84
4,7:31.0,J. Richardson makes free throw 1 of 2,,93,84
4,7:31.0,H. Whiteside enters the game for B. Adebayo,,93,84
4,7:31.0,J. Richardson makes free throw 2 of 2,,94,84
4,7:13.0,,M. Bamba misses 2-pt layup from 2 ft,94,84
4,7:11.0,Defensive rebound by D. Jones,,94,84
4,6:57.0,J. Richardson misses 3-pt jump shot from 23 ft,,94,84
4,6:55.0,,Defensive rebound by T. Ross,94,84
4,6:47.0,,T. Ross misses 2-pt layup from 2 ft (block by H. Whiteside),94,84
4,6:44.0,Defensive rebound by J. Richardson,,94,84
4,6:44.0,Flagrant foul type 1 by J. Simmons (drawn by J. Richardson),,94,84
4,6:44.0,J. Richardson makes flagrant free throw 1 of 2,,95,84
4,6:44.0,J. Richardson makes flagrant free throw 2 of 2,,96,84
4,6:34.0,D. Jones misses 2-pt dunk from 2 ft (block by A. Gordon),,96,84
4,6:30.0,,Defensive rebound by M. Bamba,96,84
4,6:29.0,,Personal foul by K. Olynyk (drawn by M. Bamba),96,84
4,6:29.0,J. Winslow enters the game for D. Wade,,96,84
4,6:29.0,,E. Fournier enters the game for J. Simmons,96,84
4,6:20.0,,T. Ross misses 3-pt jump shot from 28 ft,96,84
4,6:18.0,Defensive rebound by D. Jones,,96,84
4,6:06.0,H. Whiteside misses 2-pt jump shot from 13 ft,,96,84
4,6:03.0,Offensive rebound by D. Jones,,96,84
4,6:02.0,Shooting foul by M. Bamba (drawn by D. Jones),,96,84
4,6:02.0,D. Jones makes free throw 1 of 2,,97,84
4,6:02.0,D. Jones misses free throw 2 of 2,,97,84
4,6:00.0,,Defensive rebound by T. Ross,97,84
4,5:53.0,,A. Gordon misses 3-pt jump shot from 26 ft,97,84
4,5:50.0,Defensive rebound by J. Richardson,,97,84
4,5:38.0,J. Winslow makes 2-pt jump shot from 19 ft,,99,84
4,5:36.0,,Orlando full timeout,99,84
4,5:36.0,,D. Augustin enters the game for M. Bamba,99,84
4,5:36.0,,N. Vučević enters the game for J. Grant,99,84
4,5:13.0,,A. Gordon misses 3-pt jump shot from 25 ft,99,84
4,5:12.0,Defensive rebound by Team,,99,84
4,4:57.0,J. Winslow misses 2-pt jump shot from 11 ft,,99,84
4,4:51.0,Offensive rebound by H. Whiteside,,99,84
4,4:51.0,H. Whiteside makes 2-pt layup at rim,,101,84
4,4:37.0,,N. Vučević misses 2-pt jump shot from 17 ft,101,84
4,4:35.0,Defensive rebound by J. Winslow,,101,84
4,4:23.0,J. Winslow makes 2-pt layup from 1 ft,,103,84
4,4:07.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Fournier),103,86
4,3:47.0,J. Winslow makes 3-pt jump shot from 26 ft (assist by J. Richardson),,106,86
4,3:46.0,,Orlando full timeout,106,86
4,3:46.0,,K. Birch enters the game for D. Augustin,106,86
4,3:46.0,,I. Briscoe enters the game for E. Fournier,106,86
4,3:46.0,,J. Grant enters the game for A. Gordon,106,86
