QUARTER,TIME_REMAINING,MIAMI_ACTION,ORLANDO_ACTION,MIAMI_SCORE,ORLANDO_SCORE
1,11:39.0,,Turnover by A. Gordon (bad pass; steal by J. Winslow),0,0
1,11:26.0,H. Whiteside misses 2-pt hook shot from 7 ft,,0,0
1,11:23.0,,Defensive rebound by A. Gordon,0,0
1,11:16.0,,A. Gordon makes 2-pt layup from 1 ft,0,2
1,10:59.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,2
1,10:48.0,,Personal foul by J. Richardson (drawn by E. Fournier),3,2
1,10:39.0,,Turnover by E. Fournier (lost ball; steal by J. Richardson),3,2
1,10:35.0,J. Richardson misses 2-pt layup from 2 ft,,3,2
1,10:32.0,,Defensive rebound by J. Isaac,3,2
1,10:25.0,,D. Augustin makes 2-pt layup from 3 ft,3,4
1,10:05.0,J. Johnson makes 2-pt layup from 1 ft,,5,4
1,9:52.0,,E. Fournier misses 2-pt jump shot from 4 ft,5,4
1,9:50.0,,Offensive rebound by E. Fournier,5,4
1,9:42.0,,N. Vučević misses 2-pt layup from 2 ft,5,4
1,9:37.0,,Offensive rebound by N. Vučević,5,4
1,9:37.0,,N. Vučević makes 2-pt layup at rim,5,6
1,9:19.0,H. Whiteside makes 2-pt hook shot from 8 ft (assist by J. Winslow),,7,6
1,9:01.0,,N. Vučević misses 3-pt jump shot from 26 ft,7,6
1,8:59.0,Defensive rebound by H. Whiteside,,7,6
1,8:44.0,J. Winslow makes 3-pt jump shot from 26 ft (assist by J. Richardson),,10,6
1,8:27.0,,Turnover by N. Vučević (lost ball; steal by J. Winslow),10,6
1,8:18.0,T. Johnson misses 3-pt jump shot from 25 ft,,10,6
1,8:14.0,,Defensive rebound by E. Fournier,10,6
1,8:10.0,,J. Isaac misses 3-pt jump shot from 27 ft,10,6
1,8:07.0,Defensive rebound by J. Johnson,,10,6
1,7:51.0,J. Johnson makes 2-pt layup from 1 ft,,12,6
1,7:35.0,,N. Vučević misses 2-pt jump shot from 10 ft,12,6
1,7:32.0,Defensive rebound by J. Winslow,,12,6
1,7:25.0,J. Richardson makes 2-pt layup from 2 ft (assist by J. Winslow),,14,6
1,7:20.0,,Orlando full timeout,14,6
1,7:13.0,,D. Augustin misses 2-pt jump shot from 16 ft,14,6
1,7:09.0,Defensive rebound by H. Whiteside,,14,6
1,6:58.0,T. Johnson makes 2-pt jump shot from 9 ft (assist by J. Winslow),,16,6
1,6:44.0,,J. Isaac misses 2-pt layup from 3 ft (block by H. Whiteside),16,6
1,6:41.0,Defensive rebound by H. Whiteside,,16,6
1,6:34.0,H. Whiteside misses 2-pt layup from 2 ft,,16,6
1,6:29.0,,Defensive rebound by E. Fournier,16,6
1,6:25.0,,Turnover by D. Augustin (bad pass; steal by H. Whiteside),16,6
1,6:24.0,Turnover by J. Richardson (lost ball; steal by D. Augustin),,16,6
1,6:24.0,,Personal foul by J. Winslow (drawn by D. Augustin),16,6
1,6:24.0,D. Wade enters the game for T. Johnson,,16,6
1,6:05.0,,A. Gordon makes 2-pt hook shot from 7 ft,16,8
1,5:48.0,H. Whiteside misses 2-pt layup from 2 ft (block by N. Vučević),,16,8
1,5:44.0,,Defensive rebound by D. Augustin,16,8
1,5:40.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by D. Augustin),16,11
1,5:27.0,Personal foul by A. Gordon (drawn by J. Winslow),,16,11
1,5:27.0,T. Johnson enters the game for J. Richardson,,16,11
1,5:27.0,,J. Simmons enters the game for A. Gordon,16,11
1,5:12.0,J. Johnson makes 3-pt jump shot from 26 ft,,19,11
1,4:58.0,,E. Fournier misses 3-pt jump shot from 26 ft,19,11
1,4:56.0,,Offensive rebound by N. Vučević,19,11
1,4:44.0,,E. Fournier makes 2-pt jump shot from 23 ft (assist by D. Augustin),19,13
1,4:20.0,H. Whiteside makes 2-pt jump shot from 19 ft,,21,13
1,4:09.0,,N. Vučević misses 2-pt layup from 2 ft,21,13
1,4:07.0,,Offensive rebound by N. Vučević,21,13
1,4:06.0,,N. Vučević misses 2-pt layup from 1 ft,21,13
1,4:05.0,,Offensive rebound by N. Vučević,21,13
1,4:05.0,,N. Vučević misses 2-pt layup at rim,21,13
1,4:05.0,Defensive rebound by Team,,21,13
1,4:05.0,B. Adebayo enters the game for H. Whiteside,,21,13
1,4:05.0,,J. Grant enters the game for D. Augustin,21,13
1,3:56.0,J. Johnson makes 2-pt layup from 2 ft,,23,13
1,3:34.0,,Turnover by E. Fournier (bad pass),23,13
1,3:34.0,,T. Ross enters the game for E. Fournier,23,13
1,3:28.0,Miami full timeout,,23,13
1,3:28.0,D. Jones enters the game for J. Johnson,,23,13
1,3:22.0,T. Johnson misses 3-pt jump shot from 25 ft,,23,13
1,3:19.0,Offensive rebound by B. Adebayo,,23,13
1,3:07.0,D. Jones makes 2-pt jump shot from 3 ft (assist by T. Johnson),,25,13
1,2:52.0,,T. Ross misses 2-pt jump shot from 20 ft (block by D. Jones),25,13
1,2:49.0,Defensive rebound by D. Wade,,25,13
1,2:44.0,J. Winslow misses 2-pt layup from 2 ft (block by J. Isaac),,25,13
1,2:44.0,,Defensive rebound by Team,25,13
1,2:44.0,K. Olynyk enters the game for J. Winslow,,25,13
1,2:44.0,,M. Bamba enters the game for J. Isaac,25,13
1,2:44.0,,A. Gordon enters the game for N. Vučević,25,13
1,2:29.0,,Turnover by J. Grant (traveling),25,13
1,2:12.0,B. Adebayo misses 2-pt hook shot from 5 ft (block by M. Bamba),,25,13
1,2:10.0,Offensive rebound by D. Jones,,25,13
1,2:04.0,K. Olynyk misses 2-pt jump shot from 22 ft,,25,13
1,2:04.0,Offensive rebound by Team,,25,13
1,2:04.0,Turnover by Team (shot clock),,25,13
1,1:53.0,,J. Simmons makes 2-pt jump shot from 20 ft,25,15
1,1:39.0,D. Jones misses 2-pt dunk from 2 ft,,25,15
1,1:35.0,,Defensive rebound by A. Gordon,25,15
1,1:27.0,,Turnover by A. Gordon (out of bounds lost ball),25,15
1,1:27.0,J. Richardson enters the game for T. Johnson,,25,15
1,1:15.0,Personal foul by J. Grant (drawn by J. Richardson),,25,15
1,1:00.0,D. Jones misses 3-pt jump shot from 24 ft,,25,15
1,0:58.0,,Defensive rebound by M. Bamba,25,15
1,0:52.0,,Turnover by M. Bamba (traveling),25,15
1,0:43.0,D. Wade makes 3-pt jump shot from 26 ft,,28,15
1,0:33.0,,Shooting foul by D. Jones (drawn by M. Bamba),28,15
1,0:33.0,,M. Bamba makes free throw 1 of 2,28,16
1,0:33.0,,M. Bamba misses free throw 2 of 2,28,16
1,0:25.0,Defensive rebound by D. Jones,,28,16
1,0:15.0,D. Wade misses 2-pt jump shot from 16 ft,,28,16
1,0:12.0,,Defensive rebound by J. Simmons,28,16
1,0:04.0,,Personal foul by K. Olynyk (drawn by M. Bamba),28,16
1,0:04.0,,M. Bamba misses free throw 1 of 2,28,16
1,0:04.0,,Offensive rebound by Team,28,16
1,0:04.0,,M. Bamba makes free throw 2 of 2,28,17
1,0:00.0,B. Adebayo misses 3-pt jump shot from 28 ft,,28,17
1,0:00.0,Offensive rebound by Team,,28,17
2,11:46.0,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Wade),,31,17
2,11:22.0,,Shooting foul by D. Wade (drawn by M. Bamba),31,17
2,11:22.0,,M. Bamba misses free throw 1 of 2,31,17
2,11:22.0,,Offensive rebound by Team,31,17
2,11:22.0,,M. Bamba makes free throw 2 of 2,31,18
2,11:13.0,Personal foul by D. Augustin (drawn by K. Olynyk),,31,18
2,10:59.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,34,18
2,10:34.0,,T. Ross misses 3-pt jump shot from 23 ft,34,18
2,10:30.0,Defensive rebound by J. Richardson,,34,18
2,10:24.0,J. Richardson misses 3-pt jump shot from 25 ft,,34,18
2,10:20.0,,Defensive rebound by T. Ross,34,18
2,10:17.0,,Personal foul by D. Jones (drawn by J. Simmons),34,18
2,10:03.0,,D. Augustin misses 3-pt jump shot from 25 ft,34,18
2,9:59.0,,Offensive rebound by A. Gordon,34,18
2,9:57.0,,J. Simmons misses 3-pt jump shot from 25 ft,34,18
2,9:53.0,Defensive rebound by B. Adebayo,,34,18
2,9:45.0,J. Richardson makes 2-pt layup from 2 ft (assist by B. Adebayo),,36,18
2,9:45.0,Shooting foul by D. Augustin (drawn by J. Richardson),,36,18
2,9:45.0,J. Richardson makes free throw 1 of 1,,37,18
2,9:29.0,,T. Ross misses 2-pt jump shot from 10 ft,37,18
2,9:27.0,,Offensive rebound by M. Bamba,37,18
2,9:25.0,,M. Bamba makes 2-pt layup from 2 ft,37,20
2,9:15.0,Shooting foul by M. Bamba (drawn by B. Adebayo),,37,20
2,9:15.0,B. Adebayo misses free throw 1 of 2,,37,20
2,9:15.0,Offensive rebound by Team,,37,20
2,9:15.0,B. Adebayo makes free throw 2 of 2,,38,20
2,9:04.0,,Turnover by D. Augustin (bad pass; steal by B. Adebayo),38,20
2,8:48.0,B. Adebayo misses 2-pt jump shot from 16 ft,,38,20
2,8:45.0,,Defensive rebound by T. Ross,38,20
2,8:33.0,,J. Simmons makes 2-pt jump shot from 15 ft,38,22
2,8:20.0,J. Richardson misses 2-pt jump shot from 17 ft,,38,22
2,8:17.0,Offensive rebound by J. Richardson,,38,22
2,8:09.0,J. Richardson misses 2-pt layup from 6 ft (block by M. Bamba),,38,22
2,8:05.0,Offensive rebound by B. Adebayo,,38,22
2,8:05.0,B. Adebayo misses 2-pt layup from 2 ft,,38,22
2,8:05.0,Offensive rebound by Team,,38,22
2,8:05.0,,J. Grant enters the game for D. Augustin,38,22
2,7:56.0,D. Wade misses 2-pt jump shot from 18 ft,,38,22
2,7:52.0,Offensive rebound by B. Adebayo,,38,22
2,7:51.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,41,22
2,7:42.0,,Orlando full timeout,41,22
2,7:42.0,W. Ellington enters the game for J. Richardson,,41,22
2,7:42.0,J. Winslow enters the game for D. Wade,,41,22
2,7:42.0,,E. Fournier enters the game for J. Simmons,41,22
2,7:37.0,,Personal foul by W. Ellington (drawn by J. Grant),41,22
2,7:26.0,,T. Ross makes 3-pt jump shot from 28 ft (assist by E. Fournier),41,25
2,7:01.0,Shooting foul by J. Grant (drawn by J. Winslow),,41,25
2,7:01.0,J. Winslow makes free throw 1 of 2,,42,25
2,7:01.0,J. Winslow misses free throw 2 of 2,,42,25
2,6:58.0,,Defensive rebound by A. Gordon,42,25
2,6:50.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by A. Gordon),42,28
2,6:44.0,Turnover by B. Adebayo (traveling),,42,28
2,6:39.0,,Personal foul by W. Ellington (drawn by J. Grant),42,28
2,6:28.0,,Personal foul by D. Jones (drawn by E. Fournier),42,28
2,6:28.0,,E. Fournier makes free throw 1 of 2,42,29
2,6:28.0,T. Johnson enters the game for B. Adebayo,,42,29
2,6:28.0,H. Whiteside enters the game for D. Jones,,42,29
2,6:28.0,,E. Fournier makes free throw 2 of 2,42,30
2,6:21.0,Personal foul by A. Gordon (drawn by K. Olynyk),,42,30
2,6:21.0,K. Olynyk misses free throw 1 of 2,,42,30
2,6:21.0,Offensive rebound by Team,,42,30
2,6:21.0,,J. Isaac enters the game for M. Bamba,42,30
2,6:21.0,,N. Vučević enters the game for A. Gordon,42,30
2,6:21.0,K. Olynyk makes free throw 2 of 2,,43,30
2,6:13.0,,T. Ross misses 3-pt jump shot from 26 ft,43,30
2,6:09.0,Defensive rebound by K. Olynyk,,43,30
2,5:53.0,Turnover by H. Whiteside (bad pass),,43,30
2,5:35.0,,E. Fournier makes 2-pt jump shot from 19 ft,43,32
2,5:19.0,J. Winslow misses 3-pt jump shot from 26 ft,,43,32
2,5:15.0,,Defensive rebound by E. Fournier,43,32
2,5:10.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),43,34
2,5:10.0,,Shooting foul by H. Whiteside (drawn by N. Vučević),43,34
2,5:10.0,,N. Vučević misses free throw 1 of 1,43,34
2,5:04.0,,Offensive rebound by J. Isaac,43,34
2,5:02.0,,E. Fournier misses 3-pt jump shot from 23 ft,43,34
2,5:01.0,,Offensive rebound by J. Isaac,43,34
2,5:01.0,,J. Isaac makes 2-pt dunk at rim,43,36
2,5:01.0,Miami full timeout,,43,36
2,5:01.0,J. Johnson enters the game for W. Ellington,,43,36
2,5:01.0,J. Richardson enters the game for K. Olynyk,,43,36
2,4:51.0,T. Johnson misses 2-pt jump shot from 12 ft,,43,36
2,4:49.0,,Defensive rebound by E. Fournier,43,36
2,4:49.0,,Personal foul by H. Whiteside (drawn by E. Fournier),43,36
2,4:49.0,,E. Fournier misses free throw 1 of 2,43,36
2,4:49.0,,Offensive rebound by Team,43,36
2,4:49.0,,E. Fournier misses free throw 2 of 2,43,36
2,4:46.0,Defensive rebound by H. Whiteside,,43,36
2,4:25.0,J. Richardson misses 3-pt jump shot from 26 ft,,43,36
2,4:22.0,,Defensive rebound by N. Vučević,43,36
2,4:14.0,,E. Fournier misses 2-pt layup from 1 ft (block by H. Whiteside),43,36
2,4:12.0,Defensive rebound by J. Richardson,,43,36
2,3:57.0,Turnover by J. Winslow (lost ball; steal by J. Grant),,43,36
2,3:52.0,,Turnover by T. Ross (bad pass),43,36
2,3:43.0,Turnover by J. Winslow (bad pass),,43,36
2,3:29.0,,Personal foul by J. Johnson (drawn by J. Isaac),43,36
2,3:29.0,,J. Isaac makes free throw 1 of 2,43,37
2,3:29.0,,J. Isaac makes free throw 2 of 2,43,38
2,3:16.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by T. Johnson),,46,38
2,2:57.0,,N. Vučević misses 2-pt hook shot from 8 ft,46,38
2,2:54.0,Defensive rebound by J. Winslow,,46,38
2,2:50.0,J. Winslow makes 2-pt jump shot from 7 ft,,48,38
2,2:38.0,,J. Isaac misses 3-pt jump shot from 25 ft,48,38
2,2:38.0,,Offensive rebound by J. Grant,48,38
2,2:34.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by J. Grant),48,41
2,2:15.0,T. Johnson misses 2-pt jump shot from 15 ft,,48,41
2,2:13.0,,Defensive rebound by N. Vučević,48,41
2,2:03.0,,Personal foul by J. Winslow (drawn by N. Vučević),48,41
2,2:03.0,,N. Vučević makes free throw 1 of 2,48,42
2,2:03.0,B. Adebayo enters the game for H. Whiteside,,48,42
2,2:03.0,D. Wade enters the game for J. Winslow,,48,42
2,2:03.0,,N. Vučević misses free throw 2 of 2,48,42
2,2:03.0,,Offensive rebound by Team,48,42
2,1:45.0,,J. Isaac misses 2-pt jump shot from 22 ft,48,42
2,1:42.0,,Offensive rebound by E. Fournier,48,42
2,1:42.0,,Turnover by E. Fournier (bad pass),48,42
2,1:27.0,D. Wade makes 2-pt jump shot from 12 ft (assist by B. Adebayo),,50,42
2,1:27.0,Shooting foul by N. Vučević (drawn by D. Wade),,50,42
2,1:27.0,D. Wade makes free throw 1 of 1,,51,42
2,1:04.0,,T. Ross misses 3-pt jump shot from 27 ft,51,42
2,1:01.0,,Offensive rebound by N. Vučević,51,42
2,1:01.0,,Turnover by N. Vučević (traveling),51,42
2,0:49.0,D. Wade makes 2-pt jump shot from 11 ft (assist by B. Adebayo),,53,42
2,0:40.0,,J. Grant misses 2-pt jump shot from 15 ft,53,42
2,0:38.0,Defensive rebound by J. Johnson,,53,42
2,0:24.0,D. Wade misses 3-pt jump shot from 25 ft,,53,42
2,0:20.0,,Defensive rebound by J. Isaac,53,42
2,0:19.0,,Personal foul by J. Johnson (drawn by J. Isaac),53,42
2,0:19.0,,J. Isaac makes free throw 1 of 2,53,43
2,0:19.0,,J. Isaac makes free throw 2 of 2,53,44
2,0:00.0,J. Richardson misses 3-pt jump shot from 26 ft,,53,44
2,0:00.0,Offensive rebound by Team,,53,44
3,11:50.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Richardson),,56,44
3,11:33.0,,A. Gordon misses 2-pt jump shot from 19 ft,56,44
3,11:31.0,Defensive rebound by Team,,56,44
3,11:18.0,J. Richardson misses 3-pt jump shot from 26 ft,,56,44
3,11:15.0,,Defensive rebound by J. Isaac,56,44
3,11:01.0,,E. Fournier misses 3-pt jump shot from 25 ft,56,44
3,10:58.0,Defensive rebound by T. Johnson,,56,44
3,10:51.0,Turnover by T. Johnson (bad pass; steal by E. Fournier),,56,44
3,10:45.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),56,47
3,10:22.0,T. Johnson makes 2-pt jump shot from 6 ft (assist by J. Johnson),,58,47
3,10:07.0,,E. Fournier misses 3-pt jump shot from 25 ft,58,47
3,10:03.0,Defensive rebound by H. Whiteside,,58,47
3,9:56.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,61,47
3,9:43.0,,D. Augustin makes 2-pt jump shot from 21 ft,61,49
3,9:23.0,T. Johnson misses 3-pt jump shot from 26 ft,,61,49
3,9:21.0,,Defensive rebound by J. Isaac,61,49
3,9:15.0,,J. Isaac makes 2-pt layup from 6 ft,61,51
3,8:59.0,Personal foul by E. Fournier (drawn by J. Winslow),,61,51
3,8:50.0,Personal foul by E. Fournier (drawn by J. Richardson),,61,51
3,8:38.0,J. Winslow makes 2-pt jump shot from 2 ft,,63,51
3,8:25.0,,Turnover by D. Augustin (bad pass; steal by J. Johnson),63,51
3,8:20.0,H. Whiteside makes 2-pt layup from 4 ft (assist by J. Winslow),,65,51
3,8:20.0,Shooting foul by D. Augustin (drawn by H. Whiteside),,65,51
3,8:20.0,H. Whiteside misses free throw 1 of 1,,65,51
3,8:17.0,,Defensive rebound by A. Gordon,65,51
3,8:05.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Isaac),65,54
3,7:54.0,Personal foul by D. Augustin (drawn by T. Johnson),,65,54
3,7:54.0,,J. Grant enters the game for D. Augustin,65,54
3,7:44.0,T. Johnson makes 3-pt jump shot from 27 ft (assist by J. Johnson),,68,54
3,7:42.0,,Orlando full timeout,68,54
3,7:34.0,,Turnover by N. Vučević (bad pass; steal by J. Winslow),68,54
3,7:24.0,,Violation by Team (kicked ball),68,54
3,7:13.0,H. Whiteside makes 2-pt dunk from 3 ft (assist by J. Johnson),,70,54
3,6:59.0,,Turnover by J. Grant (bad pass; steal by H. Whiteside),70,54
3,6:53.0,J. Winslow makes 2-pt jump shot from 7 ft (assist by J. Richardson),,72,54
3,6:42.0,,Shooting foul by T. Johnson (drawn by J. Grant),72,54
3,6:42.0,,J. Grant makes free throw 1 of 2,72,55
3,6:42.0,,J. Grant makes free throw 2 of 2,72,56
3,6:35.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by H. Whiteside),,75,56
3,6:35.0,Shooting foul by J. Grant (drawn by T. Johnson),,75,56
3,6:35.0,T. Johnson makes free throw 1 of 1,,76,56
3,6:21.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by E. Fournier),76,59
3,6:06.0,H. Whiteside misses 2-pt layup from 4 ft,,76,59
3,6:04.0,,Defensive rebound by J. Isaac,76,59
3,5:56.0,,N. Vučević misses 2-pt jump shot from 18 ft,76,59
3,5:53.0,Defensive rebound by J. Richardson,,76,59
3,5:40.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Johnson),,79,59
3,5:26.0,,Shooting foul by J. Winslow (drawn by E. Fournier),79,59
3,5:26.0,,E. Fournier makes free throw 1 of 2,79,60
3,5:26.0,D. Wade enters the game for J. Richardson,,79,60
3,5:26.0,,J. Simmons enters the game for A. Gordon,79,60
3,5:26.0,,E. Fournier makes free throw 2 of 2,79,61
3,5:12.0,H. Whiteside makes 2-pt dunk from 2 ft (assist by D. Wade),,81,61
3,5:12.0,Shooting foul by E. Fournier (drawn by H. Whiteside),,81,61
3,5:12.0,H. Whiteside misses free throw 1 of 1,,81,61
3,5:10.0,Offensive rebound by J. Winslow,,81,61
3,5:00.0,J. Winslow makes 2-pt layup from 3 ft,,83,61
3,4:37.0,,Turnover by J. Isaac (lost ball; steal by J. Winslow),83,61
3,4:20.0,Turnover by H. Whiteside (traveling),,83,61
3,4:08.0,,Shooting foul by H. Whiteside (drawn by N. Vučević),83,61
3,4:08.0,,N. Vučević misses free throw 1 of 2,83,61
3,4:08.0,,Offensive rebound by Team,83,61
3,4:08.0,,T. Ross enters the game for E. Fournier,83,61
3,4:08.0,,N. Vučević makes free throw 2 of 2,83,62
3,3:43.0,J. Winslow makes 3-pt jump shot from 23 ft (assist by D. Wade),,86,62
3,3:27.0,,J. Isaac misses 2-pt layup from 4 ft,86,62
3,3:25.0,Defensive rebound by J. Winslow,,86,62
3,3:09.0,T. Johnson makes 2-pt jump shot from 11 ft,,88,62
3,3:09.0,,Orlando full timeout,88,62
3,3:09.0,,A. Gordon enters the game for J. Isaac,88,62
3,2:54.0,,Personal foul by J. Winslow (drawn by J. Simmons),88,62
3,2:54.0,J. Richardson enters the game for J. Winslow,,88,62
3,2:50.0,,J. Simmons makes 2-pt jump shot from 21 ft (assist by A. Gordon),88,64
3,2:34.0,Offensive foul by H. Whiteside (drawn by T. Ross),,88,64
3,2:34.0,Turnover by H. Whiteside (offensive foul),,88,64
3,2:21.0,,Shooting foul by J. Johnson (drawn by A. Gordon),88,64
3,2:21.0,,A. Gordon makes free throw 1 of 2,88,65
3,2:21.0,B. Adebayo enters the game for H. Whiteside,,88,65
3,2:21.0,,A. Gordon makes free throw 2 of 2,88,66
3,2:05.0,Turnover by T. Johnson (bad pass; steal by A. Gordon),,88,66
3,1:55.0,,Shooting foul by B. Adebayo (drawn by A. Gordon),88,66
3,1:55.0,,A. Gordon makes free throw 1 of 2,88,67
3,1:55.0,,A. Gordon makes free throw 2 of 2,88,68
3,1:55.0,Miami full timeout,,88,68
3,1:40.0,D. Wade misses 2-pt jump shot from 19 ft,,88,68
3,1:37.0,,Defensive rebound by Team,88,68
3,1:24.0,,J. Grant misses 3-pt jump shot from 25 ft,88,68
3,1:20.0,Defensive rebound by J. Johnson,,88,68
3,1:06.0,T. Johnson misses 2-pt jump shot from 11 ft,,88,68
3,1:04.0,,Defensive rebound by T. Ross,88,68
3,0:58.0,,Personal foul by J. Johnson (drawn by T. Ross),88,68
3,0:58.0,,T. Ross makes free throw 1 of 2,88,69
3,0:58.0,D. Jones enters the game for J. Johnson,,88,69
