QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
1,11:47.0,S. Curry misses 2-pt jump shot from 17 ft,,0,0
1,11:44.0,,Defensive rebound by D. Gallinari,0,0
1,11:30.0,,Offensive foul by L. Shamet (drawn by K. Durant),0,0
1,11:30.0,,Turnover by L. Shamet (offensive foul),0,0
1,11:18.0,K. Durant makes 2-pt jump shot from 18 ft (assist by A. Bogut),,2,0
1,11:02.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,2,0
1,11:00.0,Defensive rebound by A. Bogut,,2,0
1,10:58.0,Personal foul by P. Beverley (drawn by K. Durant),,2,0
1,10:55.0,Offensive foul by K. Durant (drawn by P. Beverley),,2,0
1,10:55.0,Turnover by K. Durant (offensive foul),,2,0
1,10:44.0,,Turnover by I. Zubac (offensive foul),2,0
1,10:44.0,,Offensive foul by I. Zubac (drawn by K. Durant),2,0
1,10:30.0,K. Durant makes 2-pt jump shot from 17 ft,,4,0
1,10:21.0,,Personal foul by K. Durant (drawn by P. Beverley),4,0
1,10:06.0,,Turnover by D. Gallinari (bad pass; steal by K. Durant),4,0
1,10:03.0,Turnover by K. Durant (lost ball; steal by S. Gilgeous-Alexander),,4,0
1,9:55.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by D. Gallinari),4,3
1,9:41.0,K. Durant makes 2-pt jump shot from 19 ft (assist by A. Bogut),,6,3
1,9:33.0,,L. Shamet misses 3-pt jump shot from 25 ft (block by D. Green),6,3
1,9:33.0,Defensive rebound by K. Durant,,6,3
1,9:27.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,9,3
1,9:08.0,,Shooting foul by A. Bogut (drawn by I. Zubac),9,3
1,9:08.0,,I. Zubac makes free throw 1 of 2,9,4
1,9:08.0,,I. Zubac misses free throw 2 of 2,9,4
1,9:05.0,Defensive rebound by D. Green,,9,4
1,9:02.0,K. Thompson misses 2-pt jump shot from 12 ft (block by S. Gilgeous-Alexander),,9,4
1,8:58.0,,Defensive rebound by I. Zubac,9,4
1,8:49.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,9,4
1,8:46.0,Defensive rebound by Team,,9,4
1,8:30.0,A. Bogut makes 2-pt dunk from 2 ft (assist by K. Durant),,11,4
1,8:14.0,,D. Gallinari misses 2-pt jump shot from 15 ft,11,4
1,8:11.0,Defensive rebound by S. Curry,,11,4
1,8:06.0,Turnover by S. Curry (lost ball; steal by P. Beverley),,11,4
1,7:56.0,,D. Gallinari misses 2-pt layup from 2 ft,11,4
1,7:56.0,,Offensive rebound by Team,11,4
1,7:56.0,,J. Green enters the game for I. Zubac,11,4
1,7:43.0,,Turnover by P. Beverley (bad pass; steal by D. Green),11,4
1,7:35.0,K. Thompson misses 2-pt jump shot from 10 ft,,11,4
1,7:33.0,,Defensive rebound by P. Beverley,11,4
1,7:26.0,,J. Green makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),11,6
1,7:17.0,Turnover by K. Durant (bad pass),,11,6
1,7:03.0,,Personal foul by K. Thompson (drawn by D. Gallinari),11,6
1,6:48.0,,Turnover by Team (shot clock),11,6
1,6:48.0,,LA Clippers full timeout,11,6
1,6:37.0,K. Durant makes 2-pt jump shot from 10 ft (assist by K. Thompson),,13,6
1,6:23.0,,P. Beverley makes 2-pt jump shot from 7 ft (assist by D. Gallinari),13,8
1,6:23.0,,Shooting foul by S. Curry (drawn by P. Beverley),13,8
1,6:23.0,,P. Beverley makes free throw 1 of 1,13,9
1,6:04.0,K. Durant makes 2-pt jump shot from 19 ft,,15,9
1,5:53.0,,P. Beverley misses 3-pt jump shot from 25 ft,15,9
1,5:53.0,Defensive rebound by A. Bogut,,15,9
1,5:35.0,S. Curry misses 2-pt layup from 2 ft,,15,9
1,5:29.0,Offensive rebound by A. Bogut,,15,9
1,5:29.0,A. Bogut misses 2-pt layup at rim,,15,9
1,5:28.0,Offensive rebound by A. Bogut,,15,9
1,5:28.0,A. Bogut makes 2-pt layup at rim,,17,9
1,5:11.0,,D. Gallinari misses 3-pt jump shot from 25 ft,17,9
1,5:09.0,Defensive rebound by K. Thompson,,17,9
1,5:00.0,Shooting foul by D. Gallinari (drawn by K. Durant),,17,9
1,5:00.0,K. Durant makes free throw 1 of 2,,18,9
1,5:00.0,A. Iguodala enters the game for A. Bogut,,18,9
1,5:00.0,K. Looney enters the game for K. Thompson,,18,9
1,5:00.0,,M. Harrell enters the game for D. Gallinari,18,9
1,5:00.0,,L. Williams enters the game for L. Shamet,18,9
1,5:00.0,K. Durant makes free throw 2 of 2,,19,9
1,4:37.0,,P. Beverley misses 2-pt layup from 1 ft,19,9
1,4:35.0,Defensive rebound by S. Curry,,19,9
1,4:32.0,S. Curry makes 3-pt jump shot from 29 ft,,22,9
1,4:17.0,,Shooting foul by S. Curry (drawn by L. Williams),22,9
1,4:17.0,,L. Williams misses free throw 1 of 2,22,9
1,4:17.0,,Offensive rebound by Team,22,9
1,4:17.0,,L. Williams makes free throw 2 of 2,22,10
1,4:03.0,K. Looney makes 2-pt dunk at rim (assist by D. Green),,24,10
1,3:52.0,,J. Green makes 3-pt jump shot from 25 ft (assist by L. Williams),24,13
1,3:45.0,Shooting foul by S. Gilgeous-Alexander (drawn by S. Curry),,24,13
1,3:45.0,S. Curry makes free throw 1 of 2,,25,13
1,3:45.0,A. McKinnie enters the game for K. Durant,,25,13
1,3:45.0,,W. Chandler enters the game for S. Gilgeous-Alexander,25,13
1,3:45.0,S. Curry makes free throw 2 of 2,,26,13
1,3:36.0,,J. Green misses 2-pt layup from 2 ft (block by K. Looney),26,13
1,3:34.0,Defensive rebound by K. Looney,,26,13
