QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
1,11:38.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by M. Conley),0,3
1,11:18.0,K. Towns misses 2-pt hook shot from 4 ft,,0,3
1,11:15.0,,Defensive rebound by J. Jackson,0,3
1,11:02.0,,I. Rabb misses 2-pt jump shot from 19 ft,0,3
1,11:00.0,Defensive rebound by K. Towns,,0,3
1,10:52.0,A. Wiggins misses 2-pt jump shot from 11 ft,,0,3
1,10:48.0,,Defensive rebound by J. Holiday,0,3
1,10:44.0,,Shooting foul by A. Wiggins (drawn by J. Jackson),0,3
1,10:44.0,,J. Jackson makes free throw 1 of 2,0,4
1,10:44.0,,J. Jackson makes free throw 2 of 2,0,5
1,10:23.0,Turnover by A. Wiggins (bad pass; steal by I. Rabb),,0,5
1,10:17.0,,M. Conley makes 3-pt jump shot from 25 ft,0,8
1,10:16.0,Minnesota full timeout,,0,8
1,9:54.0,J. Okogie makes 2-pt jump shot from 4 ft (assist by K. Towns),,2,8
1,9:36.0,,I. Rabb makes 2-pt hook shot from 3 ft (assist by M. Conley),2,10
1,9:24.0,A. Wiggins misses 2-pt jump shot from 17 ft,,2,10
1,9:22.0,,Defensive rebound by J. Holiday,2,10
1,9:15.0,,J. Holiday makes 2-pt layup from 1 ft,2,12
1,8:59.0,Turnover by J. Okogie (lost ball; steal by I. Rabb),,2,12
1,8:54.0,,J. Washburn misses 2-pt jump shot from 17 ft,2,12
1,8:51.0,Defensive rebound by K. Towns,,2,12
1,8:45.0,Turnover by J. Okogie (bad pass; steal by J. Holiday),,2,12
1,8:41.0,,M. Conley misses 2-pt layup from 1 ft,2,12
1,8:38.0,,Offensive rebound by J. Washburn,2,12
1,8:36.0,,M. Conley misses 3-pt jump shot from 23 ft,2,12
1,8:32.0,,Offensive rebound by I. Rabb,2,12
1,8:31.0,,I. Rabb misses 2-pt hook shot from 1 ft,2,12
