QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
1,11:41.0,,N. Jokić misses 3-pt jump shot from 25 ft,0,0
1,11:36.0,Defensive rebound by J. Jackson,,0,0
1,11:22.0,Personal foul by T. Craig (drawn by M. Conley),,0,0
1,11:12.0,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),,2,0
1,10:47.0,,M. Plumlee misses 2-pt hook shot from 4 ft,2,0
1,10:45.0,Defensive rebound by J. Jackson,,2,0
1,10:36.0,M. Gasol misses 2-pt jump shot from 7 ft,,2,0
1,10:32.0,,Defensive rebound by N. Jokić,2,0
1,10:15.0,,T. Craig misses 3-pt jump shot from 22 ft,2,0
1,10:13.0,,Offensive rebound by M. Plumlee,2,0
1,10:13.0,,Turnover by M. Plumlee (step out of bounds),2,0
1,9:55.0,K. Anderson makes 2-pt layup from 3 ft,,4,0
1,9:42.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),4,3
1,9:16.0,M. Conley misses 3-pt jump shot from 22 ft,,4,3
1,9:14.0,,Defensive rebound by N. Jokić,4,3
1,9:08.0,,Turnover by N. Jokić (bad pass),4,3
1,8:51.0,Turnover by K. Anderson (bad pass; steal by T. Craig),,4,3
1,8:32.0,,Turnover by M. Plumlee (bad pass; steal by M. Conley),4,3
1,8:22.0,J. Jackson misses 2-pt jump shot from 6 ft,,4,3
1,8:20.0,,Defensive rebound by N. Jokić,4,3
1,8:14.0,,J. Hernangómez misses 3-pt jump shot from 24 ft,4,3
1,8:10.0,Defensive rebound by K. Anderson,,4,3
1,8:07.0,Turnover by K. Anderson (offensive foul),,4,3
1,8:07.0,Offensive foul by K. Anderson (drawn by J. Hernangómez),,4,3
1,8:07.0,J. Green enters the game for J. Jackson,,4,3
1,7:58.0,,Shooting foul by M. Gasol (drawn by N. Jokić),4,3
1,7:58.0,,N. Jokić makes free throw 1 of 2,4,4
1,7:58.0,,N. Jokić makes free throw 2 of 2,4,5
1,7:40.0,M. Gasol misses 2-pt jump shot from 9 ft,,4,5
1,7:36.0,,Defensive rebound by M. Plumlee,4,5
1,7:26.0,,T. Craig misses 2-pt layup from 3 ft,4,5
1,7:25.0,,Offensive rebound by M. Plumlee,4,5
1,7:20.0,,Shooting foul by M. Gasol (drawn by N. Jokić),4,5
1,7:20.0,,N. Jokić makes free throw 1 of 2,4,6
1,7:20.0,J. Noah enters the game for M. Gasol,,4,6
1,7:20.0,,N. Jokić makes free throw 2 of 2,4,7
1,7:00.0,J. Green makes 3-pt jump shot from 24 ft (assist by G. Temple),,7,7
1,6:39.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by J. Murray),7,10
1,6:16.0,Turnover by J. Noah (off goaltending),,7,10
1,6:16.0,,Denver full timeout,7,10
1,6:00.0,,J. Murray makes 3-pt jump shot from 23 ft (assist by T. Craig),7,13
1,5:46.0,J. Noah makes 2-pt dunk at rim (assist by K. Anderson),,9,13
1,5:33.0,,Shooting foul by J. Noah (drawn by M. Plumlee),9,13
1,5:33.0,,M. Plumlee misses free throw 1 of 2,9,13
1,5:33.0,,Offensive rebound by Team,9,13
1,5:33.0,,M. Plumlee makes free throw 2 of 2,9,14
1,5:10.0,M. Conley misses 2-pt jump shot from 5 ft,,9,14
1,5:07.0,Offensive rebound by J. Green,,9,14
1,5:06.0,Turnover by J. Green (bad pass; steal by J. Murray),,9,14
1,5:04.0,,J. Murray misses 3-pt jump shot from 25 ft,9,14
1,5:01.0,,Offensive rebound by J. Hernangómez,9,14
1,4:52.0,,M. Plumlee misses 2-pt layup from 3 ft (block by J. Noah),9,14
1,4:49.0,Defensive rebound by J. Green,,9,14
1,4:45.0,M. Conley makes 2-pt layup from 3 ft,,11,14
1,4:45.0,Shooting foul by J. Murray (drawn by M. Conley),,11,14
1,4:45.0,M. Brooks enters the game for G. Temple,,11,14
1,4:45.0,,T. Lyles enters the game for J. Murray,11,14
1,4:45.0,,M. Morris enters the game for M. Plumlee,11,14
1,4:45.0,M. Conley makes free throw 1 of 1,,12,14
1,4:24.0,,T. Lyles misses 3-pt jump shot from 23 ft (block by J. Green),12,14
1,4:24.0,,Offensive rebound by Team,12,14
1,4:24.0,S. Mack enters the game for M. Conley,,12,14
