QUARTER,TIME_REMAINING,ATLANTA_ACTION,GOLDEN STATE_ACTION,ATLANTA_SCORE,GOLDEN STATE_SCORE
1,11:49.0,O. Spellman misses 3-pt jump shot from 25 ft,,0,0
1,11:47.0,,Defensive rebound by K. Durant,0,0
1,11:33.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by D. Jones),0,2
1,11:24.0,Personal foul by J. Jerebko (drawn by T. Young),,0,2
1,11:12.0,O. Spellman misses 2-pt jump shot from 11 ft,,0,2
1,11:11.0,,Defensive rebound by J. Jerebko,0,2
1,11:04.0,,Q. Cook misses 3-pt jump shot from 27 ft,0,2
1,11:02.0,Defensive rebound by A. Len,,0,2
1,10:51.0,K. Bazemore makes 2-pt layup from 2 ft (assist by T. Young),,2,2
1,10:24.0,,Turnover by K. Durant (bad pass; steal by K. Bazemore),2,2
1,10:18.0,Turnover by K. Bazemore (lost ball; steal by K. Thompson),,2,2
1,10:09.0,,K. Durant misses 2-pt jump shot from 5 ft,2,2
1,10:08.0,Defensive rebound by T. Young,,2,2
1,9:44.0,K. Bazemore misses 2-pt jump shot from 7 ft,,2,2
1,9:41.0,,Defensive rebound by D. Jones,2,2
1,9:41.0,,Turnover by K. Thompson (bad pass; steal by T. Young),2,2
1,9:37.0,T. Young misses 2-pt layup from 2 ft,,2,2
1,9:34.0,,Defensive rebound by Team,2,2
1,9:28.0,,Personal foul by T. Prince (drawn by K. Durant),2,2
1,9:22.0,,K. Durant misses 2-pt jump shot from 12 ft,2,2
1,9:21.0,Defensive rebound by T. Prince,,2,2
1,9:10.0,K. Bazemore misses 3-pt jump shot from 23 ft,,2,2
1,9:08.0,Offensive rebound by A. Len,,2,2
1,9:06.0,Turnover by A. Len (traveling),,2,2
1,8:54.0,,Shooting foul by A. Len (drawn by K. Durant),2,2
1,8:54.0,,K. Durant makes free throw 1 of 2,2,3
1,8:54.0,,K. Durant makes free throw 2 of 2,2,4
1,8:41.0,T. Prince misses 2-pt jump shot from 18 ft,,2,4
1,8:40.0,Offensive rebound by A. Len,,2,4
1,8:38.0,Shooting foul by D. Jones (drawn by A. Len),,2,4
1,8:38.0,A. Len misses free throw 1 of 2,,2,4
1,8:38.0,Offensive rebound by Team,,2,4
1,8:38.0,A. Len misses free throw 2 of 2,,2,4
1,8:37.0,,Defensive rebound by J. Jerebko,2,4
1,8:26.0,,K. Thompson misses 3-pt jump shot from 25 ft,2,4
1,8:24.0,,Offensive rebound by J. Jerebko,2,4
1,8:23.0,,J. Jerebko misses 2-pt layup from 1 ft,2,4
1,8:23.0,Defensive rebound by Team,,2,4
