QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
1,11:45.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by B. Beal),0,3
1,11:26.0,L. Markkanen misses 2-pt jump shot from 14 ft,,0,3
1,11:23.0,,Defensive rebound by T. Bryant,0,3
1,11:08.0,,Personal foul by W. Carter (drawn by T. Bryant),0,3
1,10:59.0,,B. Beal makes 2-pt jump shot from 10 ft (assist by T. Satoranský),0,5
1,10:45.0,J. Holiday misses 2-pt jump shot from 14 ft,,0,5
1,10:42.0,,Defensive rebound by B. Beal,0,5
1,10:35.0,,T. Satoranský misses 3-pt jump shot from 26 ft,0,5
1,10:31.0,Defensive rebound by J. Holiday,,0,5
1,10:16.0,Turnover by L. Markkanen (lost ball; steal by B. Beal),,0,5
1,10:11.0,,Turnover by J. Green (out of bounds lost ball),0,5
1,9:51.0,K. Dunn misses 2-pt hook shot from 10 ft,,0,5
1,9:48.0,,Defensive rebound by T. Bryant,0,5
1,9:41.0,,J. Green misses 3-pt jump shot from 26 ft,0,5
1,9:36.0,Defensive rebound by W. Carter,,0,5
1,9:26.0,L. Markkanen makes 2-pt dunk at rim (assist by K. Dunn),,2,5
1,9:06.0,Violation by Team (kicked ball),,2,5
1,8:59.0,,J. Green misses 2-pt jump shot from 20 ft,2,5
1,8:55.0,Defensive rebound by Z. LaVine,,2,5
1,8:46.0,W. Carter misses 2-pt hook shot from 11 ft,,2,5
1,8:43.0,,Defensive rebound by J. Green,2,5
1,8:37.0,,B. Beal makes 2-pt layup from 3 ft (assist by J. Green),2,7
1,8:13.0,W. Carter makes 2-pt layup from 2 ft (assist by K. Dunn),,4,7
1,7:47.0,,J. Green misses 2-pt jump shot from 16 ft,4,7
1,7:44.0,Defensive rebound by L. Markkanen,,4,7
1,7:35.0,Z. LaVine misses 3-pt jump shot from 24 ft,,4,7
1,7:32.0,,Defensive rebound by B. Beal,4,7
1,7:28.0,,T. Ariza misses 3-pt jump shot from 26 ft,4,7
1,7:25.0,Defensive rebound by W. Carter,,4,7
1,7:10.0,L. Markkanen misses 3-pt jump shot from 25 ft,,4,7
1,7:07.0,,Defensive rebound by J. Green,4,7
1,6:50.0,,Turnover by B. Beal (bad pass; steal by J. Holiday),4,7
1,6:45.0,Turnover by J. Holiday (bad pass; steal by B. Beal),,4,7
1,6:40.0,,J. Green misses 3-pt jump shot from 24 ft,4,7
1,6:35.0,Defensive rebound by K. Dunn,,4,7
1,6:30.0,K. Dunn makes 2-pt layup from 2 ft,,6,7
1,6:14.0,,T. Bryant makes 2-pt dunk at rim (assist by B. Beal),6,9
1,5:52.0,J. Holiday misses 3-pt jump shot from 25 ft,,6,9
1,5:50.0,Offensive rebound by W. Carter,,6,9
1,5:48.0,W. Carter makes 2-pt layup from 2 ft,,8,9
1,5:38.0,,B. Beal misses 3-pt jump shot from 26 ft,8,9
1,5:35.0,Defensive rebound by L. Markkanen,,8,9
1,5:23.0,L. Markkanen misses 3-pt jump shot from 27 ft,,8,9
1,5:19.0,,Defensive rebound by T. Bryant,8,9
1,4:56.0,,T. Ariza misses 3-pt jump shot from 23 ft,8,9
1,4:54.0,,Offensive rebound by T. Bryant,8,9
1,4:54.0,,T. Bryant misses 2-pt layup from 3 ft (block by W. Carter),8,9
1,4:54.0,,Offensive rebound by Team,8,9
1,4:54.0,,Washington full timeout,8,9
1,4:54.0,,I. Mahinmi enters the game for T. Bryant,8,9
1,4:54.0,,C. Randle enters the game for T. Satoranský,8,9
1,4:53.0,,Turnover by T. Ariza (bad pass; steal by K. Dunn),8,9
1,4:41.0,L. Markkanen misses 2-pt jump shot from 5 ft,,8,9
1,4:39.0,,Defensive rebound by C. Randle,8,9
1,4:28.0,,T. Ariza misses 2-pt hook shot from 6 ft (block by W. Carter),8,9
1,4:28.0,,Offensive rebound by Team,8,9
1,4:28.0,C. Hutchison enters the game for L. Markkanen,,8,9
1,4:25.0,,C. Randle makes 2-pt layup from 3 ft (assist by T. Ariza),8,11
1,4:13.0,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),,10,11
1,4:13.0,Shooting foul by I. Mahinmi (drawn by W. Carter),,10,11
1,4:13.0,W. Carter makes free throw 1 of 1,,11,11
1,4:01.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by C. Randle),11,13
1,3:36.0,K. Dunn misses 2-pt jump shot from 6 ft,,11,13
1,3:34.0,,Defensive rebound by J. Green,11,13
1,3:25.0,,J. Green makes 2-pt jump shot from 3 ft,11,15
1,3:11.0,W. Carter makes 2-pt layup from 1 ft (assist by J. Holiday),,13,15
1,2:54.0,,Turnover by I. Mahinmi (bad pass),13,15
1,2:54.0,Chicago full timeout,,13,15
1,2:54.0,S. Harrison enters the game for Z. LaVine,,13,15
1,2:54.0,,R. Baker enters the game for B. Beal,13,15
1,2:54.0,,S. Dekker enters the game for J. Green,13,15
1,2:27.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by W. Carter),,16,15
1,2:12.0,,C. Randle makes 3-pt jump shot from 26 ft (assist by R. Baker),16,18
1,1:56.0,K. Dunn misses 2-pt jump shot from 17 ft,,16,18
1,1:52.0,,Defensive rebound by I. Mahinmi,16,18
1,1:46.0,,T. Ariza misses 3-pt jump shot from 26 ft,16,18
1,1:43.0,Defensive rebound by C. Hutchison,,16,18
1,1:35.0,W. Carter makes 2-pt layup from 2 ft (assist by K. Dunn),,18,18
1,1:19.0,,T. Ariza makes 2-pt layup from 2 ft (assist by I. Mahinmi),18,20
1,1:00.0,Shooting foul by T. Ariza (drawn by J. Holiday),,18,20
1,1:00.0,J. Holiday misses free throw 1 of 3,,18,20
1,1:00.0,Offensive rebound by Team,,18,20
1,1:00.0,J. Holiday makes free throw 2 of 3,,19,20
1,1:00.0,J. Holiday makes free throw 3 of 3,,20,20
1,1:00.0,R. Arcidiacono enters the game for J. Holiday,,20,20
1,0:36.0,,Turnover by Team (shot clock),20,20
1,0:22.0,R. Arcidiacono misses 2-pt layup from 3 ft (block by I. Mahinmi),,20,20
1,0:19.0,,Defensive rebound by T. Ariza,20,20
1,0:19.0,,S. Dekker makes 2-pt dunk from 2 ft (assist by T. Ariza),20,22
1,0:03.0,K. Dunn misses 2-pt jump shot from 15 ft,,20,22
1,0:01.0,,Defensive rebound by Team,20,22
2,11:46.0,Shooting foul by S. Dekker (drawn by L. Markkanen),,20,22
2,11:46.0,L. Markkanen misses free throw 1 of 2,,20,22
2,11:46.0,Offensive rebound by Team,,20,22
2,11:46.0,L. Markkanen misses free throw 2 of 2,,20,22
2,11:43.0,,Defensive rebound by S. Dekker,20,22
2,11:30.0,,S. Dekker misses 2-pt layup from 2 ft,20,22
2,11:28.0,Defensive rebound by L. Markkanen,,20,22
2,11:16.0,A. Blakeney misses 2-pt jump shot from 14 ft,,20,22
2,11:13.0,,Defensive rebound by I. Mahinmi,20,22
2,11:09.0,,S. Dekker makes 2-pt layup from 1 ft (assist by C. Randle),20,24
2,10:53.0,L. Markkanen misses 3-pt jump shot from 26 ft,,20,24
2,10:51.0,,Defensive rebound by T. Satoranský,20,24
2,10:41.0,,S. Dekker misses 2-pt jump shot from 19 ft,20,24
