QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
1,11:43.0,J. Layman makes 2-pt dunk from 1 ft (assist by J. Nurkić),,2,0
1,11:32.0,,Personal foul by J. Nurkić (drawn by N. Jokić),2,0
1,11:24.0,,Turnover by J. Murray (bad pass; steal by A. Aminu),2,0
1,11:16.0,D. Lillard makes 3-pt jump shot from 26 ft,,5,0
1,10:57.0,,N. Jokić makes 2-pt layup from 2 ft,5,2
1,10:35.0,A. Aminu misses 3-pt jump shot from 25 ft,,5,2
1,10:33.0,,Defensive rebound by P. Millsap,5,2
1,10:11.0,,N. Jokić misses 2-pt hook shot from 5 ft,5,2
1,10:10.0,,Offensive rebound by N. Jokić,5,2
1,10:09.0,,N. Jokić makes 2-pt layup from 2 ft,5,4
1,9:47.0,Shooting foul by P. Millsap (drawn by J. Nurkić),,5,4
1,9:47.0,J. Nurkić makes free throw 1 of 2,,6,4
1,9:47.0,J. Nurkić makes free throw 2 of 2,,7,4
1,9:31.0,,N. Jokić misses 3-pt jump shot from 25 ft,7,4
1,9:28.0,Defensive rebound by J. Nurkić,,7,4
1,9:19.0,C. McCollum misses 3-pt jump shot from 25 ft,,7,4
1,9:16.0,,Defensive rebound by T. Craig,7,4
1,9:02.0,,N. Jokić makes 2-pt hook shot from 3 ft,7,6
1,8:44.0,Turnover by A. Aminu (bad pass; steal by M. Beasley),,7,6
1,8:34.0,,N. Jokić misses 2-pt jump shot from 5 ft,7,6
1,8:30.0,Defensive rebound by A. Aminu,,7,6
1,8:25.0,C. McCollum makes 2-pt jump shot from 8 ft,,9,6
1,8:03.0,,P. Millsap makes 2-pt jump shot from 12 ft,9,8
1,7:47.0,D. Lillard makes 3-pt jump shot from 30 ft (assist by C. McCollum),,12,8
1,7:29.0,,T. Craig misses 2-pt layup from 3 ft,12,8
1,7:28.0,Defensive rebound by A. Aminu,,12,8
1,7:22.0,D. Lillard misses 3-pt jump shot from 26 ft,,12,8
1,7:19.0,,Defensive rebound by J. Murray,12,8
1,7:15.0,,T. Craig misses 3-pt jump shot from 22 ft,12,8
1,7:12.0,Defensive rebound by C. McCollum,,12,8
1,7:03.0,J. Nurkić makes 2-pt jump shot from 7 ft (assist by C. McCollum),,14,8
1,6:46.0,,N. Jokić misses 3-pt jump shot from 25 ft,14,8
1,6:44.0,Defensive rebound by A. Aminu,,14,8
1,6:37.0,J. Layman makes 3-pt jump shot from 25 ft,,17,8
1,6:35.0,,Denver full timeout,17,8
1,6:18.0,,Turnover by P. Millsap (lost ball; steal by J. Nurkić),17,8
1,6:12.0,Offensive foul by J. Nurkić (drawn by P. Millsap),,17,8
1,6:12.0,Turnover by J. Nurkić (offensive foul),,17,8
1,6:01.0,,J. Murray makes 2-pt jump shot from 10 ft (assist by T. Craig),17,10
1,5:42.0,A. Aminu misses 3-pt jump shot from 23 ft,,17,10
1,5:41.0,,Defensive rebound by P. Millsap,17,10
1,5:36.0,,P. Millsap makes 2-pt jump shot from 11 ft,17,12
1,5:36.0,,Shooting foul by J. Layman (drawn by P. Millsap),17,12
1,5:36.0,M. Leonard enters the game for J. Layman,,17,12
1,5:36.0,E. Turner enters the game for J. Nurkić,,17,12
1,5:36.0,,P. Millsap makes free throw 1 of 1,17,13
1,5:26.0,Def 3 sec tech foul by Team,,17,13
1,5:26.0,D. Lillard makes technical free throw,,18,13
1,5:26.0,,M. Plumlee enters the game for P. Millsap,18,13
1,5:19.0,C. McCollum misses 2-pt jump shot from 7 ft,,18,13
1,5:16.0,,Defensive rebound by N. Jokić,18,13
1,5:12.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by T. Craig),18,16
1,4:52.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by D. Lillard),,21,16
1,4:37.0,,M. Plumlee misses 2-pt hook shot from 7 ft,21,16
1,4:35.0,Defensive rebound by M. Leonard,,21,16
1,4:27.0,D. Lillard makes 2-pt jump shot from 13 ft,,23,16
1,4:08.0,,N. Jokić makes 2-pt hook shot from 5 ft,23,18
1,3:55.0,C. McCollum misses 3-pt jump shot from 26 ft,,23,18
1,3:53.0,,Defensive rebound by M. Plumlee,23,18
1,3:42.0,,Turnover by T. Craig (discontinued dribble),23,18
1,3:28.0,D. Lillard misses 3-pt jump shot from 26 ft,,23,18
1,3:25.0,,Defensive rebound by N. Jokić,23,18
1,3:22.0,,T. Craig makes 2-pt layup from 3 ft (assist by N. Jokić),23,20
1,3:22.0,,Shooting foul by E. Turner (drawn by T. Craig),23,20
1,3:22.0,Portland full timeout,,23,20
