QUARTER,TIME_REMAINING,TORONTO_ACTION,DENVER_ACTION,TORONTO_SCORE,DENVER_SCORE
1,11:52.0,,T. Craig makes 2-pt jump shot from 3 ft (assist by N. Jokić),0,2
1,11:34.0,S. Ibaka misses 2-pt jump shot from 10 ft,,0,2
1,11:32.0,,Defensive rebound by N. Jokić,0,2
1,11:15.0,,N. Jokić misses 3-pt jump shot from 23 ft,0,2
1,11:11.0,Defensive rebound by D. Wright,,0,2
1,10:52.0,K. Leonard misses 2-pt dunk from 1 ft (block by T. Craig),,0,2
1,10:51.0,Offensive rebound by Team,,0,2
1,10:36.0,D. Green misses 2-pt jump shot from 9 ft,,0,2
1,10:34.0,,Defensive rebound by N. Jokić,0,2
1,10:32.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by T. Craig),0,5
1,10:08.0,C. Miles misses 3-pt jump shot from 24 ft,,0,5
1,10:04.0,,Defensive rebound by J. Murray,0,5
1,10:02.0,,Personal foul by C. Miles (drawn by M. Plumlee),0,5
1,9:56.0,,J. Murray misses 2-pt jump shot from 15 ft,0,5
1,9:52.0,Defensive rebound by C. Miles,,0,5
1,9:32.0,D. Wright misses 2-pt layup from 2 ft,,0,5
1,9:31.0,Offensive rebound by D. Green,,0,5
1,9:30.0,S. Ibaka makes 2-pt layup from 2 ft (assist by D. Wright),,2,5
1,9:30.0,Shooting foul by M. Plumlee (drawn by S. Ibaka),,2,5
1,9:30.0,S. Ibaka makes free throw 1 of 1,,3,5
1,9:10.0,,N. Jokić misses 2-pt hook shot from 5 ft (block by S. Ibaka),3,5
1,9:08.0,Defensive rebound by K. Leonard,,3,5
1,9:05.0,Turnover by K. Leonard (lost ball; steal by M. Plumlee),,3,5
1,9:02.0,,M. Plumlee misses 2-pt layup from 2 ft,3,5
1,8:59.0,,Offensive rebound by M. Plumlee,3,5
1,8:59.0,,M. Plumlee misses 2-pt layup from 1 ft,3,5
1,8:58.0,Defensive rebound by K. Leonard,,3,5
1,8:55.0,D. Green makes 3-pt jump shot from 22 ft (assist by K. Leonard),,6,5
1,8:35.0,,Turnover by N. Jokić (bad pass; steal by D. Green),6,5
1,8:33.0,D. Green makes 2-pt layup from 1 ft,,8,5
1,8:14.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by N. Jokić),8,7
1,7:52.0,K. Leonard misses 2-pt jump shot from 10 ft,,8,7
1,7:49.0,,Defensive rebound by J. Hernangómez,8,7
1,7:45.0,,Personal foul by S. Ibaka (drawn by N. Jokić),8,7
1,7:30.0,,T. Craig misses 2-pt jump shot from 20 ft,8,7
1,7:26.0,Defensive rebound by D. Wright,,8,7
1,7:11.0,Turnover by D. Wright (bad pass; steal by N. Jokić),,8,7
1,6:52.0,,M. Plumlee makes 2-pt hook shot from 4 ft,8,9
1,6:51.0,Toronto full timeout,,8,9
1,6:34.0,Turnover by K. Leonard (traveling),,8,9
1,6:20.0,,N. Jokić misses 2-pt hook shot from 5 ft,8,9
1,6:18.0,,Offensive rebound by N. Jokić,8,9
1,6:18.0,,N. Jokić misses 2-pt layup from 1 ft,8,9
1,6:18.0,Defensive rebound by K. Leonard,,8,9
1,6:13.0,Turnover by K. Leonard (lost ball; steal by J. Murray),,8,9
1,6:09.0,,T. Craig misses 2-pt layup from 2 ft,8,9
1,6:05.0,Defensive rebound by Team,,8,9
1,5:53.0,Shooting foul by M. Plumlee (drawn by K. Leonard),,8,9
1,5:53.0,K. Leonard makes free throw 1 of 2,,9,9
1,5:53.0,,M. Beasley enters the game for M. Plumlee,9,9
1,5:53.0,K. Leonard makes free throw 2 of 2,,10,9
1,5:38.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Hernangómez),10,11
1,5:29.0,D. Wright makes 2-pt layup from 4 ft,,12,11
1,5:18.0,,J. Murray misses 3-pt jump shot from 25 ft,12,11
1,5:16.0,Defensive rebound by S. Ibaka,,12,11
1,5:04.0,D. Green makes 2-pt jump shot from 11 ft (assist by C. Miles),,14,11
1,4:44.0,,T. Craig makes 3-pt jump shot from 23 ft (assist by J. Murray),14,14
1,4:16.0,Turnover by Team (shot clock),,14,14
1,4:16.0,O. Anunoby enters the game for D. Green,,14,14
1,4:16.0,L. Brown enters the game for C. Miles,,14,14
1,4:16.0,,M. Morris enters the game for J. Murray,14,14
1,4:05.0,,M. Morris makes 2-pt layup from 3 ft,14,16
1,3:44.0,D. Wright makes 2-pt jump shot from 4 ft (assist by O. Anunoby),,16,16
1,3:26.0,,M. Beasley misses 2-pt layup from 3 ft (block by O. Anunoby),16,16
1,3:23.0,,Offensive rebound by M. Beasley,16,16
1,3:22.0,,M. Beasley makes 2-pt layup from 1 ft,16,18
1,3:02.0,D. Wright misses 3-pt jump shot from 26 ft,,16,18
1,2:59.0,Offensive rebound by K. Leonard,,16,18
1,2:54.0,K. Leonard makes 2-pt dunk at rim,,18,18
1,2:54.0,,Denver full timeout,18,18
1,2:54.0,G. Monroe enters the game for S. Ibaka,,18,18
1,2:40.0,,Shooting foul by G. Monroe (drawn by N. Jokić),18,18
1,2:40.0,,N. Jokić makes free throw 1 of 2,18,19
1,2:40.0,,N. Jokić makes free throw 2 of 2,18,20
1,2:28.0,Turnover by D. Wright (bad pass; steal by M. Morris),,18,20
1,2:24.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Morris),18,23
1,2:05.0,L. Brown misses 3-pt jump shot from 25 ft,,18,23
1,2:02.0,,Defensive rebound by T. Craig,18,23
1,1:43.0,,N. Jokić misses 2-pt hook shot from 8 ft,18,23
1,1:40.0,Defensive rebound by L. Brown,,18,23
1,1:35.0,L. Brown makes 2-pt jump shot from 9 ft,,20,23
1,1:14.0,,Offensive foul by,20,23
