QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,WASHINGTON_ACTION,OKLAHOMA CITY_SCORE,WASHINGTON_SCORE
4,10:37.0,P. Patterson misses 3-pt jump shot from 26 ft,,113,85
4,10:33.0,,Defensive rebound by K. Oubre,113,85
4,10:24.0,,J. Wall makes 2-pt jump shot from 18 ft,113,87
4,10:08.0,Á. Abrines makes 3-pt jump shot from 25 ft (assist by D. Schröder),,116,87
4,9:47.0,,J. Wall makes 2-pt layup from 2 ft,116,89
4,9:34.0,Shooting foul by J. Wall (drawn by H. Diallo),,116,89
4,9:34.0,H. Diallo misses free throw 1 of 2,,116,89
4,9:34.0,Offensive rebound by Team,,116,89
4,9:34.0,,T. Brown enters the game for B. Beal,116,89
4,9:34.0,,T. Satoranský enters the game for J. Green,116,89
4,9:34.0,,J. Smith enters the game for J. Wall,116,89
4,9:34.0,H. Diallo makes free throw 2 of 2,,117,89
4,9:23.0,,K. Oubre misses 3-pt jump shot from 27 ft,117,89
4,9:20.0,Defensive rebound by H. Diallo,,117,89
4,9:05.0,P. Patterson misses 2-pt jump shot from 8 ft,,117,89
4,9:02.0,,Defensive rebound by A. Rivers,117,89
4,8:49.0,Violation by Team (kicked ball),,117,89
4,8:39.0,,K. Oubre misses 2-pt jump shot from 20 ft,117,89
4,8:34.0,,Offensive rebound by T. Satoranský,117,89
4,8:34.0,,T. Satoranský makes 2-pt dunk at rim,117,91
4,8:21.0,Á. Abrines misses 3-pt jump shot from 30 ft,,117,91
4,8:18.0,,Defensive rebound by J. Smith,117,91
4,8:05.0,,A. Rivers misses 2-pt layup from 4 ft (block by P. Patterson),117,91
4,8:02.0,Defensive rebound by D. Schröder,,117,91
4,7:56.0,D. Schröder misses 2-pt jump shot from 1 ft,,117,91
4,7:55.0,,Defensive rebound by J. Smith,117,91
4,7:51.0,,K. Oubre makes 2-pt layup from 4 ft (assist by T. Satoranský),117,93
4,7:51.0,Oklahoma City full timeout,,117,93
4,7:32.0,J. Grant makes 2-pt layup from 2 ft (assist by D. Schröder),,119,93
4,7:14.0,,T. Satoranský misses 2-pt jump shot from 17 ft,119,93
4,7:12.0,,Offensive rebound by T. Brown,119,93
4,7:11.0,,T. Brown makes 2-pt jump shot from 4 ft,119,95
4,6:52.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by J. Grant),,122,95
4,6:34.0,,K. Oubre makes 2-pt dunk from 2 ft (assist by T. Satoranský),122,97
4,6:15.0,J. Grant makes 2-pt jump shot from 4 ft (assist by D. Schröder),,124,97
4,6:03.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by T. Satoranský),124,100
4,5:46.0,D. Schröder misses 2-pt jump shot from 14 ft,,124,100
4,5:44.0,,Defensive rebound by A. Rivers,124,100
4,5:32.0,,K. Oubre makes 2-pt jump shot from 6 ft,124,102
4,5:13.0,J. Grant misses 3-pt jump shot from 23 ft,,124,102
4,5:13.0,,Defensive rebound by Team,124,102
4,5:13.0,Loose ball foul by P. Patterson (drawn by K. Oubre),,124,102
4,5:03.0,,T. Brown misses 3-pt jump shot from 26 ft,124,102
4,4:59.0,Defensive rebound by H. Diallo,,124,102
4,4:52.0,D. Schröder makes 3-pt jump shot from 27 ft (assist by Á. Abrines),,127,102
4,4:39.0,,K. Oubre misses 3-pt jump shot from 26 ft,127,102
4,4:38.0,,Offensive rebound by Team,127,102
4,4:38.0,,Personal foul by J. Grant (drawn by J. Smith),127,102
4,4:38.0,T. Ferguson enters the game for H. Diallo,,127,102
4,4:38.0,N. Noel enters the game for J. Grant,,127,102
4,4:30.0,,K. Oubre misses 3-pt jump shot from 28 ft,127,102
4,4:25.0,Defensive rebound by D. Schröder,,127,102
4,4:17.0,Á. Abrines makes 3-pt jump shot from 23 ft (assist by T. Ferguson),,130,102
4,4:07.0,,Personal foul by N. Noel (drawn by K. Oubre),130,102
4,4:07.0,H. Diallo enters the game for P. Patterson,,130,102
4,3:59.0,,J. Smith makes 2-pt layup from 2 ft (assist by T. Satoranský),130,104
4,3:46.0,Shooting foul by K. Oubre (drawn by H. Diallo),,130,104
4,3:46.0,H. Diallo makes free throw 1 of 2,,131,104
4,3:46.0,H. Diallo makes free throw 2 of 2,,132,104
4,3:35.0,,T. Brown makes 2-pt dunk from 3 ft (assist by J. Smith),132,106
4,3:23.0,D. Schröder makes 2-pt jump shot from 20 ft,,134,106
4,3:08.0,,K. Oubre misses 3-pt jump shot from 27 ft,134,106
4,3:06.0,Defensive rebound by D. Schröder,,134,106
4,2:58.0,Turnover by D. Schröder (bad pass; steal by T. Brown),,134,106
4,2:54.0,,T. Satoranský misses 2-pt layup from 1 ft,134,106
4,2:48.0,,Offensive rebound by K. Oubre,134,106
4,2:48.0,,K. Oubre makes 2-pt layup at rim,134,108
4,2:30.0,T. Ferguson misses 3-pt jump shot from 24 ft,,134,108
4,2:27.0,Offensive rebound by D. Schröder,,134,108
