QUARTER,TIME_REMAINING,PHOENIX_ACTION,WASHINGTON_ACTION,PHOENIX_SCORE,WASHINGTON_SCORE
1,11:41.0,D. Ayton misses 2-pt jump shot from 16 ft,,0,0
1,11:40.0,,Defensive rebound by T. Ariza,0,0
1,11:31.0,,T. Bryant makes 2-pt layup from 1 ft (assist by B. Beal),0,2
1,11:09.0,M. Bridges makes 3-pt jump shot from 24 ft (assist by T. Warren),,3,2
1,10:56.0,,T. Bryant makes 2-pt layup from 2 ft (assist by T. Satoranský),3,4
1,10:56.0,,Shooting foul by D. Melton (drawn by T. Bryant),3,4
1,10:56.0,,T. Bryant makes free throw 1 of 1,3,5
1,10:43.0,Personal foul by T. Bryant (drawn by D. Ayton),,3,5
1,10:38.0,Turnover by D. Ayton (traveling),,3,5
1,10:26.0,,T. Ariza makes 2-pt hook shot from 3 ft,3,7
1,10:09.0,Turnover by D. Booker (bad pass; steal by T. Ariza),,3,7
1,9:52.0,,Turnover by T. Satoranský (lost ball; steal by D. Melton),3,7
1,9:48.0,D. Melton makes 2-pt dunk from 2 ft (assist by D. Booker),,5,7
1,9:43.0,,J. Green misses 2-pt dunk from 1 ft,5,7
1,9:41.0,Defensive rebound by Team,,5,7
1,9:25.0,Turnover by D. Melton (bad pass; steal by J. Green),,5,7
1,9:13.0,,T. Ariza misses 2-pt layup from 3 ft,5,7
1,9:12.0,,Offensive rebound by T. Ariza,5,7
1,9:12.0,,T. Ariza makes 2-pt layup at rim,5,9
1,8:50.0,D. Melton makes 3-pt jump shot from 28 ft (assist by D. Booker),,8,9
1,8:26.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),8,12
1,8:18.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,10,12
1,7:57.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Ariza),10,14
1,7:45.0,Turnover by D. Booker (bad pass),,10,14
1,7:28.0,,Turnover by T. Ariza (lost ball; steal by T. Warren),10,14
1,7:23.0,T. Warren makes 2-pt layup from 1 ft,,12,14
1,7:09.0,,B. Beal misses 2-pt jump shot from 21 ft,12,14
1,7:07.0,,Offensive rebound by B. Beal,12,14
1,7:06.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),12,16
1,6:48.0,T. Warren misses 2-pt jump shot from 15 ft,,12,16
1,6:45.0,Offensive rebound by D. Ayton,,12,16
1,6:42.0,T. Warren misses 3-pt jump shot from 24 ft,,12,16
1,6:39.0,,Defensive rebound by T. Bryant,12,16
1,6:33.0,,B. Beal makes 2-pt layup from 2 ft,12,18
