QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
1,11:46.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),0,3
1,11:19.0,G. Harris misses 3-pt jump shot from 24 ft,,0,3
1,11:17.0,,Defensive rebound by M. Gasol,0,3
1,11:01.0,,J. Holiday misses 3-pt jump shot from 23 ft,0,3
1,10:58.0,,Offensive rebound by M. Gasol,0,3
1,10:55.0,,J. Jackson misses 3-pt jump shot from 25 ft,0,3
1,10:52.0,Defensive rebound by T. Craig,,0,3
1,10:40.0,T. Craig misses 2-pt layup from 2 ft,,0,3
1,10:37.0,,Defensive rebound by J. Holiday,0,3
1,10:34.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by K. Anderson),0,5
1,10:16.0,N. Jokić misses 3-pt jump shot from 26 ft,,0,5
1,10:14.0,,Defensive rebound by J. Holiday,0,5
1,10:02.0,,Turnover by K. Anderson (bad pass; steal by T. Craig),0,5
1,9:58.0,W. Barton misses 3-pt jump shot from 25 ft,,0,5
1,9:57.0,Offensive rebound by Team,,0,5
1,9:54.0,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),,2,5
1,9:40.0,,M. Gasol makes 2-pt jump shot from 13 ft (assist by M. Conley),2,7
1,9:24.0,P. Millsap misses 2-pt jump shot from 9 ft,,2,7
1,9:21.0,,Defensive rebound by M. Conley,2,7
1,9:16.0,,J. Holiday makes 2-pt layup at rim (assist by M. Conley),2,9
1,9:16.0,,Shooting foul by G. Harris (drawn by J. Holiday),2,9
1,9:16.0,,J. Holiday makes free throw 1 of 1,2,10
1,9:00.0,P. Millsap misses 2-pt layup from 2 ft,,2,10
1,8:57.0,,Defensive rebound by J. Jackson,2,10
1,8:52.0,,M. Conley makes 3-pt jump shot from 26 ft,2,13
1,8:51.0,Denver full timeout,,2,13
1,8:40.0,Turnover by N. Jokić (out of bounds lost ball),,2,13
1,8:23.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),2,16
1,7:54.0,W. Barton makes 2-pt layup from 1 ft,,4,16
1,7:36.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),4,18
1,7:14.0,G. Harris makes 2-pt jump shot from 16 ft,,6,18
1,7:01.0,,M. Conley misses 3-pt jump shot from 25 ft,6,18
1,6:57.0,Defensive rebound by P. Millsap,,6,18
