QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
1,11:38.0,,K. Lowry makes 2-pt jump shot from 14 ft (assist by D. Green),0,2
1,11:22.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,3,2
1,10:58.0,Violation by Team (kicked ball),,3,2
1,10:45.0,,P. Siakam makes 2-pt hook shot from 4 ft,3,4
1,10:28.0,Turnover by E. Bledsoe (lost ball; steal by D. Green),,3,4
1,10:20.0,,D. Green misses 3-pt jump shot from 23 ft,3,4
1,10:16.0,Defensive rebound by B. Lopez,,3,4
1,10:08.0,E. Bledsoe misses 2-pt hook shot from 3 ft,,3,4
1,10:04.0,Offensive rebound by G. Antetokounmpo,,3,4
1,10:04.0,G. Antetokounmpo misses 2-pt dunk from 1 ft,,3,4
1,10:03.0,,Defensive rebound by M. Gasol,3,4
1,9:55.0,,K. Leonard makes 2-pt jump shot from 12 ft,3,6
1,9:39.0,G. Antetokounmpo misses 3-pt jump shot from 23 ft,,3,6
1,9:38.0,,Defensive rebound by K. Leonard,3,6
1,9:30.0,,Turnover by K. Leonard (bad pass),3,6
1,9:15.0,M. Brogdon makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,6,6
1,8:59.0,,K. Leonard misses 2-pt jump shot from 14 ft,6,6
1,8:57.0,Defensive rebound by K. Middleton,,6,6
1,8:47.0,K. Middleton makes 3-pt jump shot from 27 ft,,9,6
1,8:29.0,,K. Lowry misses 2-pt jump shot from 19 ft,9,6
1,8:27.0,Defensive rebound by G. Antetokounmpo,,9,6
1,8:19.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Green),,9,6
1,8:12.0,,Turnover by K. Leonard (lost ball; steal by G. Antetokounmpo),9,6
1,8:06.0,Turnover by M. Brogdon (bad pass; steal by K. Leonard),,9,6
1,7:53.0,,D. Green misses 3-pt jump shot from 24 ft,9,6
1,7:51.0,Defensive rebound by E. Bledsoe,,9,6
1,7:44.0,Milwaukee full timeout,,9,6
1,7:44.0,G. Hill enters the game for M. Brogdon,,9,6
1,7:33.0,B. Lopez misses 2-pt jump shot from 7 ft (block by M. Gasol),,9,6
1,7:30.0,,Defensive rebound by P. Siakam,9,6
1,7:09.0,,Turnover by P. Siakam (bad pass; steal by G. Antetokounmpo),9,6
1,7:08.0,Shooting foul by M. Gasol (drawn by G. Antetokounmpo),,9,6
1,7:08.0,G. Antetokounmpo misses free throw 1 of 2,,9,6
1,7:08.0,Offensive rebound by Team,,9,6
1,7:08.0,G. Antetokounmpo makes free throw 2 of 2,,10,6
1,6:50.0,,K. Leonard misses 3-pt jump shot from 25 ft,10,6
1,6:47.0,Defensive rebound by G. Antetokounmpo,,10,6
1,6:42.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),,12,6
1,6:18.0,,P. Siakam misses 2-pt hook shot from 3 ft (block by B. Lopez),12,6
1,6:16.0,Defensive rebound by B. Lopez,,12,6
1,6:05.0,Personal foul by P. Siakam (drawn by B. Lopez),,12,6
1,6:05.0,E. İlyasova enters the game for G. Antetokounmpo,,12,6
1,5:59.0,B. Lopez makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,14,6
1,5:48.0,,D. Green misses 3-pt jump shot from 23 ft,14,6
1,5:45.0,Defensive rebound by E. İlyasova,,14,6
1,5:29.0,K. Middleton misses 2-pt jump shot from 16 ft,,14,6
1,5:27.0,Offensive rebound by E. İlyasova,,14,6
1,5:25.0,E. İlyasova misses 2-pt layup from 3 ft (block by P. Siakam),,14,6
1,5:25.0,,Defensive rebound by K. Leonard,14,6
1,5:14.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by M. Gasol),14,9
1,4:53.0,Turnover by K. Middleton (bad pass; steal by K. Leonard),,14,9
1,4:52.0,,Shooting foul by E. Bledsoe (drawn by K. Leonard),14,9
1,4:52.0,,K. Leonard makes free throw 1 of 2,14,10
1,4:52.0,G. Antetokounmpo enters the game for E. Bledsoe,,14,10
1,4:52.0,P. Connaughton enters the game for B. Lopez,,14,10
1,4:52.0,,N. Powell enters the game for D. Green,14,10
1,4:52.0,,K. Leonard makes free throw 2 of 2,14,11
1,4:33.0,G. Antetokounmpo makes 2-pt jump shot from 21 ft,,16,11
1,4:17.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),16,13
1,3:58.0,K. Middleton misses 3-pt jump shot from 23 ft,,16,13
1,3:55.0,,Defensive rebound by N. Powell,16,13
1,3:50.0,,N. Powell makes 2-pt jump shot from 3 ft,16,15
1,3:50.0,Violation by Team (def goaltending),,16,15
1,3:50.0,,Shooting foul by P. Connaughton (drawn by N. Powell),16,15
1,3:50.0,,S. Ibaka enters the game for M. Gasol,16,15
1,3:50.0,,N. Powell makes free throw 1 of 1,16,16
1,3:35.0,G. Hill makes 2-pt jump shot from 18 ft,,18,16
1,3:19.0,,N. Powell misses 2-pt layup from 3 ft (block by P. Connaughton),18,16
1,3:16.0,Defensive rebound by P. Connaughton,,18,16
1,3:13.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Hill),,21,16
1,3:04.0,,Toronto full timeout,21,16
1,3:04.0,M. Brogdon enters the game for K. Middleton,,21,16
1,3:04.0,,F. VanVleet enters the game for K. Leonard,21,16
1,2:51.0,,Shooting foul by E. İlyasova (drawn by K. Lowry),21,16
1,2:51.0,,K. Lowry makes free throw 1 of 2,21,17
1,2:51.0,,K. Lowry makes free throw 2 of 2,21,18
1,2:40.0,G. Antetokounmpo misses 2-pt hook shot from 8 ft,,21,18
1,2:36.0,,Defensive rebound by N. Powell,21,18
1,2:23.0,,P. Siakam misses 2-pt hook shot from 9 ft,21,18
1,2:21.0,Defensive rebound by E. İlyasova,,21,18
1,2:11.0,M. Brogdon makes 2-pt layup from 3 ft (assist by P. Connaughton),,23,18
1,1:57.0,,P. Siakam misses 2-pt layup from 2 ft (block by G. Antetokounmpo),23,18
1,1:54.0,Defensive rebound by E. İlyasova,,23,18
1,1:47.0,E. İlyasova makes 2-pt jump shot from 16 ft (assist by G. Hill),,25,18
